"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_31AdUplms9iaYiH","standard","1","1","HP","20","0.002","20.01","20.555","20.553","0.545","3","3",""
"2","R_31AdUplms9iaYiH","standard","1","2","HP","12","21.562","33.569","34.266","12.704","0.697","3","6",""
"3","R_31AdUplms9iaYiH","standard","1","3","HP","18","35.273","53.281","53.826","18.553","0.545","3","9",""
"4","R_31AdUplms9iaYiH","standard","1","4","HP","14","54.833","68.842","69.434","14.601","0.592","3","12",""
"5","R_31AdUplms9iaYiH","standard","1","5","HP","20","70.435","90.442","90.907","20.472","0.465","3","15",""
"6","R_31AdUplms9iaYiH","standard","1","6","HP","2","91.907","93.912","NA","3.006","NA","0","15",""
"7","R_31AdUplms9iaYiH","standard","1","7","HP","18","95.915","113.923","114.45","18.535","0.527","3","18",""
"8","R_31AdUplms9iaYiH","standard","1","8","HP","12","115.451","127.458","127.929","12.478","0.471","3","21",""
"9","R_31AdUplms9iaYiH","standard","1","9","HP","20","128.931","148.938","149.411","20.48","0.473","3","24",""
"10","R_31AdUplms9iaYiH","standard","1","10","HP","6","150.416","156.419","157.112","6.696","0.693","3","27",""
"11","R_31AdUplms9iaYiH","standard","1","11","HP","4","158.115","162.123","162.817","4.702","0.694","3","30",""
"12","R_31AdUplms9iaYiH","standard","1","12","HP","2","163.819","165.826","166.44","2.621","0.614","3","33",""
"13","R_31AdUplms9iaYiH","standard","1","13","HP","20","167.442","187.452","187.889","20.447","0.437","3","36",""
"14","R_31AdUplms9iaYiH","standard","1","14","HP","20","188.892","208.9","209.521","20.629","0.621","3","39",""
"15","R_31AdUplms9iaYiH","standard","1","15","HP","10","210.524","220.532","NA","11.016","NA","0","39",""
"16","R_31AdUplms9iaYiH","standard","1","16","HP","20","222.544","242.547","243.136","20.592","0.589","3","42",""
"17","R_31AdUplms9iaYiH","standard","1","17","HP","20","244.14","264.148","264.809","20.669","0.661","3","45",""
"18","R_31AdUplms9iaYiH","standard","1","18","HP","14","265.813","279.813","280.384","14.571","0.571","3","48",""
"19","R_31AdUplms9iaYiH","standard","1","19","HP","6","281.389","287.397","287.872","6.483","0.475","3","51",""
"20","R_31AdUplms9iaYiH","standard","1","20","HP","18","288.876","306.886","307.431","18.555","0.545","3","54",""
"21","R_31AdUplms9iaYiH","standard","1","21","HP","4","308.438","312.446","312.952","4.514","0.506","3","57",""
"22","R_31AdUplms9iaYiH","standard","1","22","HP","16","313.958","329.966","330.4","16.442","0.434","3","60",""
"23","R_31AdUplms9iaYiH","standard","1","23","HP","8","331.406","339.414","339.808","8.402","0.394","3","63",""
"24","R_31AdUplms9iaYiH","standard","1","24","HP","4","340.814","344.819","NA","5.008","NA","0","63",""
"25","R_31AdUplms9iaYiH","standard","1","25","HP","6","346.83","352.832","NA","7.009","NA","0","60","546"
"26","R_31AdUplms9iaYiH","standard","1","26","HP","6","354.846","360.854","361.52","6.674","0.666","3","63",""
"27","R_31AdUplms9iaYiH","standard","1","27","HP","12","362.526","374.535","375.328","12.802","0.793","3","66",""
"28","R_31AdUplms9iaYiH","standard","1","28","HP","14","376.335","390.343","391.008","14.673","0.665","3","69",""
"29","R_31AdUplms9iaYiH","standard","1","29","HP","16","392.016","408.019","408.551","16.535","0.532","3","72",""
"30","R_31AdUplms9iaYiH","standard","1","30","HP","18","409.559","427.568","428.016","18.457","0.448","3","72","14352"
"31","R_31AdUplms9iaYiH","standard","1","31","HP","20","429.026","449.032","449.647","20.621","0.615","3","75",""
"32","R_31AdUplms9iaYiH","standard","1","32","HP","16","450.655","466.664","NA","17.208","NA","0","75",""
"33","R_31AdUplms9iaYiH","standard","1","33","HP","18","469.856","487.867","488.527","18.671","0.66","3","78",""
"34","R_31AdUplms9iaYiH","standard","1","34","HP","14","489.529","503.536","NA","15.016","NA","0","78",""
"35","R_31AdUplms9iaYiH","standard","1","35","HP","18","505.553","523.56","524.151","18.598","0.591","3","81",""
"36","R_31AdUplms9iaYiH","standard","1","36","HP","18","525.152","543.161","543.75","18.598","0.589","3","84",""
"37","R_31AdUplms9iaYiH","standard","1","37","HP","16","544.754","560.761","561.334","16.58","0.573","3","87",""
"38","R_31AdUplms9iaYiH","standard","1","38","HP","16","562.337","578.345","578.878","16.541","0.533","3","90",""
"39","R_31AdUplms9iaYiH","standard","1","39","HP","10","579.881","589.884","590.358","10.477","0.474","3","93",""
"40","R_31AdUplms9iaYiH","standard","1","40","HP","6","591.361","597.369","597.941","6.58","0.572","3","96",""
"41","R_31AdUplms9iaYiH","standard","1","41","HP","16","598.945","614.955","615.575","16.63","0.62","3","99",""
"42","R_31AdUplms9iaYiH","standard","1","42","HP","20","616.578","636.587","637.175","20.597","0.588","3","102",""
"43","R_31AdUplms9iaYiH","standard","1","43","HP","6","638.188","644.194","644.846","6.658","0.652","3","105",""
"44","R_31AdUplms9iaYiH","standard","1","44","HP","4","645.851","649.853","650.662","4.811","0.809","3","108",""
"45","R_31AdUplms9iaYiH","standard","1","45","HP","14","651.667","665.669","666.231","14.564","0.562","3","111",""
"46","R_31AdUplms9iaYiH","standard","1","46","HP","4","667.234","671.236","671.893","4.659","0.657","3","114",""
"47","R_31AdUplms9iaYiH","standard","1","47","HP","8","672.899","680.907","681.493","8.594","0.586","3","117",""
"48","R_31AdUplms9iaYiH","standard","1","48","HP","16","682.499","698.507","699.157","16.658","0.65","3","120",""
"49","R_31AdUplms9iaYiH","standard","1","49","HP","10","700.163","710.17","710.733","10.57","0.563","3","123",""
"50","R_31AdUplms9iaYiH","standard","1","50","HP","18","711.738","729.749","730.27","18.532","0.521","3","126",""
"51","R_31AdUplms9iaYiH","standard","1","51","HP","18","731.271","749.277","749.966","18.695","0.689","3","129",""
"52","R_31AdUplms9iaYiH","standard","1","52","HP","6","750.973","756.981","757.669","6.696","0.688","3","132",""
"53","R_31AdUplms9iaYiH","standard","1","53","HP","16","758.676","774.685","775.157","16.481","0.472","3","135",""
"54","R_31AdUplms9iaYiH","standard","1","54","HP","6","776.165","782.171","782.788","6.623","0.617","3","138",""
"55","R_31AdUplms9iaYiH","standard","1","55","HP","4","783.796","787.805","788.326","4.53","0.521","3","141",""
"56","R_31AdUplms9iaYiH","standard","1","56","HP","14","789.333","803.341","804.013","14.68","0.672","3","144",""
"57","R_31AdUplms9iaYiH","standard","1","57","HP","16","805.021","821.032","821.549","16.528","0.517","3","147",""
"58","R_31AdUplms9iaYiH","standard","1","58","HP","16","822.557","838.565","839.053","16.496","0.488","3","150",""
"59","R_31AdUplms9iaYiH","standard","1","59","HP","6","840.061","846.071","846.725","6.664","0.654","3","153",""
"60","R_31AdUplms9iaYiH","standard","1","60","HP","4","847.727","851.734","852.349","4.622","0.615","3","156",""
"61","R_31AdUplms9iaYiH","standard","1","61","HP","12","853.35","865.358","865.885","12.535","0.527","3","159",""
"62","R_31AdUplms9iaYiH","standard","1","62","HP","2","866.887","868.891","869.74","2.853","0.849","3","162",""
"63","R_31AdUplms9iaYiH","standard","1","63","HP","4","870.743","874.746","875.372","4.629","0.626","3","165",""
"64","R_31AdUplms9iaYiH","standard","1","64","HP","10","876.374","886.377","887.028","10.654","0.651","3","168",""
"65","R_31AdUplms9iaYiH","standard","2","1","LP","13.0392072382594","0.001","NaN","2.045","2.044","NaN","0","168",NA
"66","R_31AdUplms9iaYiH","standard","2","2","LP","2.15079707022835","3.049","NaN","5.101","2.052","NaN","0","168",NA
"67","R_31AdUplms9iaYiH","standard","2","3","LP","8.51632916846187","6.105","NaN","8.077","1.972","NaN","0","168",NA
"68","R_31AdUplms9iaYiH","standard","2","4","LP","30","9.081","NaN","14.213","5.132","NaN","0","168",NA
"69","R_31AdUplms9iaYiH","standard","2","5","LP","3.49090909090909","15.213","18.705","19.278","4.065","0.573","3","171",NA
"70","R_31AdUplms9iaYiH","standard","2","6","LP","19.8235243429556","20.28","NaN","25.653","5.373","NaN","0","171",NA
"71","R_31AdUplms9iaYiH","standard","2","7","LP","8.51632916846187","26.656","NaN","29.973","3.317","NaN","0","171",NA
"72","R_31AdUplms9iaYiH","standard","2","8","LP","19.8235243429556","30.994","NaN","32.778","1.784","NaN","0","171",NA
"73","R_31AdUplms9iaYiH","standard","2","9","LP","0.264713485566566","33.788","34.061","34.692","0.904","0.631","3","174",NA
"74","R_31AdUplms9iaYiH","standard","2","10","LP","3.49090909090909","35.737","NaN","36.209","0.472","NaN","0","174",NA
"75","R_31AdUplms9iaYiH","standard","2","11","LP","8.51632916846187","37.21","NaN","38.399","1.189","NaN","0","174",NA
"76","R_31AdUplms9iaYiH","standard","2","12","LP","8.51632916846187","39.402","NaN","40.757","1.355","NaN","0","174",NA
"77","R_31AdUplms9iaYiH","standard","2","13","LP","0.264713485566566","41.774","42.042","42.537","0.763","0.495","3","177",NA
"78","R_31AdUplms9iaYiH","standard","2","14","LP","1.25738905644119","43.553","NaN","44.135","0.582","NaN","0","177",NA
"79","R_31AdUplms9iaYiH","standard","2","15","LP","8.51632916846187","45.138","NaN","46.374","1.236","NaN","0","177",NA
"80","R_31AdUplms9iaYiH","standard","2","16","LP","1.25738905644119","47.378","NaN","48.429","1.051","NaN","0","177",NA
"81","R_31AdUplms9iaYiH","standard","2","17","LP","13.0392072382594","49.434","NaN","50.485","1.051","NaN","0","177",NA
"82","R_31AdUplms9iaYiH","standard","2","18","LP","3.49090909090909","51.491","NaN","52.462","0.971","NaN","0","177",NA
"83","R_31AdUplms9iaYiH","standard","2","19","LP","2.15079707022835","53.466","NaN","54.901","1.435","NaN","0","177",NA
"84","R_31AdUplms9iaYiH","standard","2","20","LP","30","55.906","NaN","57.365","1.459","NaN","0","177",NA
"85","R_31AdUplms9iaYiH","standard","2","21","LP","3.49090909090909","58.37","NaN","59.805","1.435","NaN","0","177",NA
"86","R_31AdUplms9iaYiH","standard","2","22","LP","19.8235243429556","60.81","NaN","62.229","1.419","NaN","0","177",NA
"87","R_31AdUplms9iaYiH","standard","2","23","LP","5.5010771219302","63.234","NaN","64.494","1.26","NaN","0","177",NA
"88","R_31AdUplms9iaYiH","standard","2","24","LP","19.8235243429556","65.498","NaN","67.189","1.691","NaN","0","177",NA
