"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_31Lgt2oKDvSa4VY","standard","1","1","LP","0.264713485566566","0.003","0.273","NA","1.28","NA","0","0",""
"2","R_31Lgt2oKDvSa4VY","standard","1","2","LP","5.5010771219302","2.288","7.807","8.444","6.156","0.637","3","3","540"
"3","R_31Lgt2oKDvSa4VY","standard","1","3","LP","0.661783713916415","9.449","10.11","10.935","1.486","0.825","3","6",""
"4","R_31Lgt2oKDvSa4VY","standard","1","4","LP","0.264713485566566","11.937","12.227","12.933","0.996","0.706","3","9",""
"5","R_31Lgt2oKDvSa4VY","standard","1","5","LP","3.49090909090909","13.937","17.448","18.115","4.178","0.667","3","12",""
"6","R_31Lgt2oKDvSa4VY","standard","1","6","LP","0.264713485566566","19.141","19.645","20.346","1.205","0.701","3","15",""
"7","R_31Lgt2oKDvSa4VY","standard","1","7","LP","19.8235243429556","21.358","41.186","41.974","20.616","0.788","3","18",""
"8","R_31Lgt2oKDvSa4VY","standard","1","8","LP","8.51632916846187","42.976","51.496","52.196","9.22","0.7","3","21",""
"9","R_31Lgt2oKDvSa4VY","standard","1","9","LP","0.264713485566566","53.239","53.52","54.244","1.005","0.724","3","24",""
"10","R_31Lgt2oKDvSa4VY","standard","1","10","LP","0.264713485566566","55.249","55.673","56.434","1.185","0.761","3","27",""
"11","R_31Lgt2oKDvSa4VY","standard","1","11","LP","19.8235243429556","57.441","77.27","77.899","20.458","0.629","3","21","c(""589"", ""9179"", ""9222"")"
"12","R_31Lgt2oKDvSa4VY","standard","1","12","LP","5.5010771219302","78.904","84.408","85.106","6.202","0.698","3","24",""
"13","R_31Lgt2oKDvSa4VY","standard","1","13","LP","2.15079707022835","86.113","88.264","89.113","3","0.849","3","27",""
"14","R_31Lgt2oKDvSa4VY","standard","1","14","LP","1.25738905644119","90.198","91.542","92.447","2.249","0.905","3","30",""
"15","R_31Lgt2oKDvSa4VY","standard","1","15","LP","0.661783713916415","93.449","94.112","94.876","1.427","0.764","3","33",""
"16","R_31Lgt2oKDvSa4VY","standard","1","16","LP","19.8235243429556","95.903","115.737","116.389","20.486","0.652","3","36",""
"17","R_31Lgt2oKDvSa4VY","standard","1","17","LP","3.49090909090909","117.392","120.893","121.608","4.216","0.715","3","39",""
"18","R_31Lgt2oKDvSa4VY","standard","1","18","LP","0.264713485566566","122.608","122.881","123.711","1.103","0.83","3","42",""
"19","R_31Lgt2oKDvSa4VY","standard","1","19","LP","5.5010771219302","124.713","130.243","131.013","6.3","0.77","3","45",""
"20","R_31Lgt2oKDvSa4VY","standard","1","20","LP","5.5010771219302","132.016","137.521","138.24","6.224","0.719","3","48",""
"21","R_31Lgt2oKDvSa4VY","standard","1","21","LP","19.8235243429556","139.246","159.075","159.738","20.492","0.663","3","51",""
"22","R_31Lgt2oKDvSa4VY","standard","1","22","LP","3.49090909090909","160.746","164.271","165.084","4.338","0.813","3","54",""
"23","R_31Lgt2oKDvSa4VY","standard","1","23","LP","8.51632916846187","166.101","174.651","175.495","9.394","0.844","3","57",""
"24","R_31Lgt2oKDvSa4VY","standard","1","24","LP","0.264713485566566","176.519","176.785","177.747","1.228","0.962","3","60",""
"25","R_31Lgt2oKDvSa4VY","standard","1","25","LP","2.15079707022835","178.754","180.905","181.621","2.867","0.716","3","63",""
"26","R_31Lgt2oKDvSa4VY","standard","1","26","LP","1.25738905644119","182.625","183.885","184.83","2.205","0.945","3","66",""
"27","R_31Lgt2oKDvSa4VY","standard","1","27","LP","5.5010771219302","185.835","191.358","192.019","6.184","0.661","3","69",""
"28","R_31Lgt2oKDvSa4VY","standard","1","28","LP","0.264713485566566","193.026","193.297","194.075","1.049","0.778","3","72",""
"29","R_31Lgt2oKDvSa4VY","standard","1","29","LP","2.15079707022835","195.095","197.25","197.992","2.897","0.742","3","75",""
"30","R_31Lgt2oKDvSa4VY","standard","1","30","LP","30","199.007","229.02","229.711","30.704","0.691","3","69","c(""20484"", ""25989"", ""25989"")"
"31","R_31Lgt2oKDvSa4VY","standard","1","31","LP","3.49090909090909","230.729","234.233","234.938","4.209","0.705","3","72",""
"32","R_31Lgt2oKDvSa4VY","standard","1","32","LP","8.51632916846187","235.94","244.457","245.089","9.149","0.632","3","75",""
"33","R_31Lgt2oKDvSa4VY","standard","1","33","LP","0.264713485566566","246.097","246.372","247.094","0.997","0.722","3","78",""
"34","R_31Lgt2oKDvSa4VY","standard","1","34","LP","0.661783713916415","248.096","248.793","NA","1.716","NA","0","78",""
"35","R_31Lgt2oKDvSa4VY","standard","1","35","LP","13.0392072382594","250.824","263.881","264.619","13.795","0.738","3","81",""
"36","R_31Lgt2oKDvSa4VY","standard","1","36","LP","19.8235243429556","265.629","285.456","286.166","20.537","0.71","3","84",""
"37","R_31Lgt2oKDvSa4VY","standard","1","37","LP","0.264713485566566","287.167","287.444","288.165","0.998","0.721","3","87",""
"38","R_31Lgt2oKDvSa4VY","standard","1","38","LP","0.264713485566566","289.175","289.516","290.297","1.122","0.781","3","90",""
"39","R_31Lgt2oKDvSa4VY","standard","1","39","LP","0.264713485566566","291.305","291.617","292.159","0.854","0.542","3","93",""
"40","R_31Lgt2oKDvSa4VY","standard","1","40","LP","8.51632916846187","293.161","301.688","302.502","9.341","0.814","3","96",""
"41","R_31Lgt2oKDvSa4VY","standard","1","41","LP","0.661783713916415","303.504","304.171","305.136","1.632","0.965","3","99",""
"42","R_31Lgt2oKDvSa4VY","standard","1","42","LP","19.8235243429556","306.136","325.982","326.739","20.603","0.757","3","96","c(""6524"", ""14232"")"
"43","R_31Lgt2oKDvSa4VY","standard","1","43","LP","0.661783713916415","327.751","328.416","329.077","1.326","0.661","3","99",""
"44","R_31Lgt2oKDvSa4VY","standard","1","44","LP","0.661783713916415","330.119","330.806","331.555","1.436","0.749","3","102",""
"45","R_31Lgt2oKDvSa4VY","standard","1","45","LP","13.0392072382594","332.561","345.601","346.295","13.734","0.694","3","99","c(""8394"", ""8416"")"
"46","R_31Lgt2oKDvSa4VY","standard","1","46","LP","5.5010771219302","347.299","352.809","353.468","6.169","0.659","3","102",""
"47","R_31Lgt2oKDvSa4VY","standard","1","47","LP","2.15079707022835","354.475","356.636","357.333","2.858","0.697","3","105",""
"48","R_31Lgt2oKDvSa4VY","standard","1","48","LP","5.5010771219302","358.337","363.841","364.604","6.267","0.763","3","108",""
