"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_33CgdCHaxJxQkfs","standard","1","1","HP","14","0.001","14.006","14.311","14.31","0.305","3","3",""
"2","R_33CgdCHaxJxQkfs","standard","1","2","HP","12","15.324","27.324","27.667","12.343","0.343","3","6",""
"3","R_33CgdCHaxJxQkfs","standard","1","3","HP","20","28.67","48.676","49.077","20.407","0.401","3","9",""
"4","R_33CgdCHaxJxQkfs","standard","1","4","HP","4","50.085","54.092","54.459","4.374","0.367","3","12",""
"5","R_33CgdCHaxJxQkfs","standard","1","5","HP","6","55.46","61.466","61.918","6.458","0.452","3","15",""
"6","R_33CgdCHaxJxQkfs","standard","1","6","HP","14","62.925","76.932","77.254","14.329","0.322","3","18",""
"7","R_33CgdCHaxJxQkfs","standard","1","7","HP","14","78.261","92.277","92.632","14.371","0.355","3","21",""
"8","R_33CgdCHaxJxQkfs","standard","1","8","HP","6","93.635","99.643","NA","7.013","NA","0","21",""
"9","R_33CgdCHaxJxQkfs","standard","1","9","HP","8","101.652","109.659","110.028","8.376","0.369","3","24",""
"10","R_33CgdCHaxJxQkfs","standard","1","10","HP","12","111.035","123.043","123.508","12.473","0.465","3","27",""
"11","R_33CgdCHaxJxQkfs","standard","1","11","HP","14","124.512","138.513","138.877","14.365","0.364","3","30",""
"12","R_33CgdCHaxJxQkfs","standard","1","12","HP","16","139.883","155.893","156.216","16.333","0.323","3","33",""
"13","R_33CgdCHaxJxQkfs","standard","1","13","HP","10","157.22","167.228","167.581","10.361","0.353","3","36",""
"14","R_33CgdCHaxJxQkfs","standard","1","14","HP","16","168.59","184.596","184.909","16.319","0.313","3","39",""
"15","R_33CgdCHaxJxQkfs","standard","1","15","HP","6","185.914","191.916","192.275","6.361","0.359","3","42",""
"16","R_33CgdCHaxJxQkfs","standard","1","16","HP","20","193.281","213.285","213.592","20.311","0.307","3","45",""
"17","R_33CgdCHaxJxQkfs","standard","1","17","HP","8","214.598","222.604","223","8.402","0.396","3","48",""
"18","R_33CgdCHaxJxQkfs","standard","1","18","HP","4","224.005","228.009","228.406","4.401","0.397","3","51",""
"19","R_33CgdCHaxJxQkfs","standard","1","19","HP","8","229.409","237.411","237.813","8.404","0.402","3","54",""
"20","R_33CgdCHaxJxQkfs","standard","1","20","HP","14","238.82","252.829","253.179","14.359","0.35","3","57",""
"21","R_33CgdCHaxJxQkfs","standard","1","21","HP","10","254.181","264.189","264.532","10.351","0.343","3","60",""
"22","R_33CgdCHaxJxQkfs","standard","1","22","HP","10","265.533","275.54","275.928","10.395","0.388","3","63",""
"23","R_33CgdCHaxJxQkfs","standard","1","23","HP","10","276.932","286.939","287.298","10.366","0.359","3","66",""
"24","R_33CgdCHaxJxQkfs","standard","1","24","HP","6","288.301","294.309","294.68","6.379","0.371","3","69",""
"25","R_33CgdCHaxJxQkfs","standard","1","25","HP","16","295.684","311.692","312.134","16.45","0.442","3","72",""
"26","R_33CgdCHaxJxQkfs","standard","1","26","HP","2","313.14","315.148","315.84","2.7","0.692","3","75",""
"27","R_33CgdCHaxJxQkfs","standard","1","27","HP","10","316.842","326.844","327.186","10.344","0.342","3","78",""
"28","R_33CgdCHaxJxQkfs","standard","1","28","HP","8","328.188","336.196","336.581","8.393","0.385","3","81",""
"29","R_33CgdCHaxJxQkfs","standard","1","29","HP","8","337.595","345.605","345.942","8.347","0.337","3","84",""
