"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3EuwMUdFh3gqeX0","standard","1","1","LP","0.661783713916415","0.004","0.68","NA","1.683","NA","0","0",""
"2","R_3EuwMUdFh3gqeX0","standard","1","2","LP","8.51632916846187","2.708","11.232","11.562","8.854","0.33","3","3",""
"3","R_3EuwMUdFh3gqeX0","standard","1","3","LP","5.5010771219302","12.566","18.074","18.381","5.815","0.307","3","6",""
"4","R_3EuwMUdFh3gqeX0","standard","1","4","LP","3.49090909090909","19.389","22.885","23.241","3.852","0.356","3","9",""
"5","R_3EuwMUdFh3gqeX0","standard","1","5","LP","0.264713485566566","24.255","24.521","25.041","0.786","0.52","3","12",""
"6","R_3EuwMUdFh3gqeX0","standard","1","6","LP","1.25738905644119","26.046","27.311","27.686","1.64","0.375","3","15",""
"7","R_3EuwMUdFh3gqeX0","standard","1","7","LP","8.51632916846187","28.698","37.227","37.507","8.809","0.28","3","18",""
"8","R_3EuwMUdFh3gqeX0","standard","1","8","LP","1.25738905644119","38.516","39.782","40.152","1.636","0.37","3","21",""
"9","R_3EuwMUdFh3gqeX0","standard","1","9","LP","2.15079707022835","41.171","43.327","43.696","2.525","0.369","3","24",""
"10","R_3EuwMUdFh3gqeX0","standard","1","10","LP","13.0392072382594","44.709","57.766","58.113","13.404","0.347","3","27",""
"11","R_3EuwMUdFh3gqeX0","standard","1","11","LP","0.264713485566566","59.122","59.403","59.887","0.765","0.484","3","30",""
"12","R_3EuwMUdFh3gqeX0","standard","1","12","LP","30","60.906","90.912","91.314","30.408","0.402","3","33",""
"13","R_3EuwMUdFh3gqeX0","standard","1","13","LP","30","92.317","122.324","122.688","30.371","0.364","3","36",""
"14","R_3EuwMUdFh3gqeX0","standard","1","14","LP","30","123.706","153.712","154.065","30.359","0.353","3","39",""
"15","R_3EuwMUdFh3gqeX0","standard","1","15","LP","19.8235243429556","155.083","174.919","175.561","20.478","0.642","3","39","8700"
"16","R_3EuwMUdFh3gqeX0","standard","1","16","LP","0.264713485566566","176.571","176.841","177.309","0.738","0.468","3","42",""
"17","R_3EuwMUdFh3gqeX0","standard","1","17","LP","30","178.313","208.318","208.776","30.463","0.458","3","45",""
"18","R_3EuwMUdFh3gqeX0","standard","1","18","LP","0.264713485566566","209.787","210.068","210.517","0.73","0.449","3","48",""
"19","R_3EuwMUdFh3gqeX0","standard","1","19","LP","3.49090909090909","211.521","215.013","215.43","3.909","0.417","3","51",""
"20","R_3EuwMUdFh3gqeX0","standard","1","20","LP","13.0392072382594","216.434","229.488","229.879","13.445","0.391","3","54",""
