"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3GjtpDxtb38rNPh","standard","1","1","LP","19.8235243429556","0.001","19.824","20.181","20.18","0.357","3","3",""
"2","R_3GjtpDxtb38rNPh","standard","1","2","LP","3.49090909090909","21.182","24.673","25.108","3.926","0.435","3","6",""
"3","R_3GjtpDxtb38rNPh","standard","1","3","LP","1.25738905644119","26.109","27.367","27.828","1.719","0.461","3","9",""
"4","R_3GjtpDxtb38rNPh","standard","1","4","LP","5.5010771219302","28.829","34.332","34.708","5.879","0.376","3","12",""
"5","R_3GjtpDxtb38rNPh","standard","1","5","LP","2.15079707022835","35.71","37.86","38.228","2.518","0.368","3","15",""
"6","R_3GjtpDxtb38rNPh","standard","1","6","LP","19.8235243429556","39.23","59.054","59.428","20.198","0.374","3","18",""
"7","R_3GjtpDxtb38rNPh","standard","1","7","LP","2.15079707022835","60.429","62.581","NA","3.153","NA","0","18",""
"8","R_3GjtpDxtb38rNPh","standard","1","8","LP","1.25738905644119","64.583","65.84","66.244","1.661","0.404","3","21",""
"9","R_3GjtpDxtb38rNPh","standard","1","9","LP","19.8235243429556","67.244","87.068","87.443","20.199","0.375","3","24",""
"10","R_3GjtpDxtb38rNPh","standard","1","10","LP","13.0392072382594","88.444","101.486","101.858","13.414","0.372","3","24","4023"
"11","R_3GjtpDxtb38rNPh","standard","1","11","LP","5.5010771219302","102.859","108.361","108.738","5.879","0.377","3","27",""
"12","R_3GjtpDxtb38rNPh","standard","1","12","LP","13.0392072382594","109.74","122.78","123.234","13.494","0.454","3","30",""
"13","R_3GjtpDxtb38rNPh","standard","1","13","LP","13.0392072382594","124.236","137.275","137.666","13.43","0.391","3","33",""
"14","R_3GjtpDxtb38rNPh","standard","1","14","LP","5.5010771219302","138.667","144.168","144.545","5.878","0.377","3","36",""
"15","R_3GjtpDxtb38rNPh","standard","1","15","LP","13.0392072382594","145.546","158.586","158.977","13.431","0.391","3","39",""
"16","R_3GjtpDxtb38rNPh","standard","1","16","LP","19.8235243429556","159.978","179.801","180.176","20.198","0.375","3","42",""
"17","R_3GjtpDxtb38rNPh","standard","1","17","LP","0.661783713916415","181.176","181.839","182.368","1.192","0.529","3","45",""
"18","R_3GjtpDxtb38rNPh","standard","1","18","LP","1.25738905644119","183.368","184.627","185.088","1.72","0.461","3","48",""
"19","R_3GjtpDxtb38rNPh","standard","1","19","LP","19.8235243429556","186.088","205.911","206.288","20.2","0.377","3","51",""
"20","R_3GjtpDxtb38rNPh","standard","1","20","LP","0.661783713916415","207.289","207.951","208.623","1.334","0.672","3","54",""
"21","R_3GjtpDxtb38rNPh","standard","1","21","LP","0.264713485566566","209.624","209.888","210.319","0.695","0.431","3","57",""
"22","R_3GjtpDxtb38rNPh","standard","1","22","LP","30","211.319","241.32","241.695","30.376","0.375","3","60",""
"23","R_3GjtpDxtb38rNPh","standard","1","23","LP","0.661783713916415","242.697","243.358","243.774","1.077","0.416","3","63",""
"24","R_3GjtpDxtb38rNPh","standard","1","24","LP","0.264713485566566","244.774","245.039","245.423","0.649","0.384","3","66",""
"25","R_3GjtpDxtb38rNPh","standard","1","25","LP","2.15079707022835","246.424","248.574","248.941","2.517","0.367","3","69",""
"26","R_3GjtpDxtb38rNPh","standard","1","26","LP","19.8235243429556","249.943","269.767","270.173","20.23","0.406","3","72",""
"27","R_3GjtpDxtb38rNPh","standard","1","27","LP","19.8235243429556","271.174","290.999","291.372","20.198","0.373","3","75",""
"28","R_3GjtpDxtb38rNPh","standard","1","28","LP","0.264713485566566","292.373","292.638","293.293","0.92","0.655","3","78",""
"29","R_3GjtpDxtb38rNPh","standard","1","29","LP","2.15079707022835","294.294","296.444","296.844","2.55","0.4","3","81",""
"30","R_3GjtpDxtb38rNPh","standard","1","30","LP","13.0392072382594","297.844","310.885","311.308","13.464","0.423","3","84",""
"31","R_3GjtpDxtb38rNPh","standard","1","31","LP","8.51632916846187","312.309","320.825","321.226","8.917","0.401","3","87",""
"32","R_3GjtpDxtb38rNPh","standard","1","32","LP","0.661783713916415","322.228","322.89","323.499","1.271","0.609","3","90",""
"33","R_3GjtpDxtb38rNPh","standard","1","33","LP","1.25738905644119","324.501","325.758","326.123","1.622","0.365","3","93",""
"34","R_3GjtpDxtb38rNPh","standard","1","34","LP","13.0392072382594","327.123","340.164","340.539","13.416","0.375","3","96",""
"35","R_3GjtpDxtb38rNPh","standard","1","35","LP","2.15079707022835","341.542","343.692","344.09","2.548","0.398","3","99",""
"36","R_3GjtpDxtb38rNPh","standard","1","36","LP","5.5010771219302","345.09","350.593","351.018","5.928","0.425","3","102",""
"37","R_3GjtpDxtb38rNPh","standard","1","37","LP","13.0392072382594","352.019","365.059","365.454","13.435","0.395","3","105",""
"38","R_3GjtpDxtb38rNPh","standard","1","38","LP","2.15079707022835","366.457","368.607","369.002","2.545","0.395","3","108",""
"39","R_3GjtpDxtb38rNPh","standard","1","39","LP","8.51632916846187","370.002","378.521","378.906","8.904","0.385","3","111",""
"40","R_3GjtpDxtb38rNPh","standard","1","40","LP","0.264713485566566","379.906","380.172","380.57","0.664","0.398","3","114",""
"41","R_3GjtpDxtb38rNPh","standard","1","41","LP","13.0392072382594","381.571","394.611","395.018","13.447","0.407","3","117",""
"42","R_3GjtpDxtb38rNPh","standard","1","42","LP","1.25738905644119","396.018","397.276","397.673","1.655","0.397","3","120",""
"43","R_3GjtpDxtb38rNPh","standard","1","43","LP","30","398.674","428.673","429.08","30.406","0.407","3","123",""
"44","R_3GjtpDxtb38rNPh","standard","1","44","LP","0.264713485566566","430.08","430.345","430.776","0.696","0.431","3","126",""
"45","R_3GjtpDxtb38rNPh","standard","1","45","LP","8.51632916846187","431.777","440.293","440.728","8.951","0.435","3","129",""
"46","R_3GjtpDxtb38rNPh","standard","1","46","LP","0.661783713916415","441.728","442.39","442.919","1.191","0.529","3","132",""
"47","R_3GjtpDxtb38rNPh","standard","1","47","LP","8.51632916846187","443.92","452.437","452.92","9","0.483","3","135",""
"48","R_3GjtpDxtb38rNPh","standard","1","48","LP","30","453.921","483.921","484.326","30.405","0.405","3","138",""
"49","R_3GjtpDxtb38rNPh","standard","1","49","LP","19.8235243429556","485.327","505.151","505.557","20.23","0.406","3","141",""
"50","R_3GjtpDxtb38rNPh","standard","1","50","LP","2.15079707022835","506.559","508.71","509.141","2.582","0.431","3","144",""
"51","R_3GjtpDxtb38rNPh","standard","1","51","LP","0.661783713916415","510.142","510.804","511.236","1.094","0.432","3","147",""
"52","R_3GjtpDxtb38rNPh","standard","1","52","LP","30","512.238","542.239","542.596","30.358","0.357","3","150",""
"53","R_3GjtpDxtb38rNPh","standard","1","53","LP","30","543.598","573.6","574.004","30.406","0.404","3","153",""
"54","R_3GjtpDxtb38rNPh","standard","1","54","LP","30","575.005","605.007","605.411","30.406","0.404","3","156",""
"55","R_3GjtpDxtb38rNPh","standard","1","55","LP","30","606.411","636.412","636.786","30.375","0.374","3","159",""
"56","R_3GjtpDxtb38rNPh","standard","1","56","LP","13.0392072382594","637.788","650.828","651.282","13.494","0.454","3","162",""
"57","R_3GjtpDxtb38rNPh","standard","1","57","LP","1.25738905644119","652.283","653.541","654.001","1.718","0.46","3","165",""
"58","R_3GjtpDxtb38rNPh","standard","1","58","LP","1.25738905644119","655.003","656.261","656.672","1.669","0.411","3","168",""
"59","R_3GjtpDxtb38rNPh","standard","1","59","LP","13.0392072382594","657.674","670.714","671.136","13.462","0.422","3","171",""
"60","R_3GjtpDxtb38rNPh","standard","1","60","LP","0.264713485566566","672.138","672.402","672.832","0.694","0.43","3","174",""
"61","R_3GjtpDxtb38rNPh","standard","1","61","LP","1.25738905644119","673.835","675.093","675.52","1.685","0.427","3","177",""
"62","R_3GjtpDxtb38rNPh","standard","1","62","LP","8.51632916846187","676.521","685.038","685.472","8.951","0.434","3","180",""
"63","R_3GjtpDxtb38rNPh","standard","1","63","LP","8.51632916846187","686.473","694.99","695.408","8.935","0.418","3","183",""
"64","R_3GjtpDxtb38rNPh","standard","1","64","LP","2.15079707022835","696.408","698.559","698.991","2.583","0.432","3","186",""
"65","R_3GjtpDxtb38rNPh","standard","1","65","LP","30","699.992","729.992","730.366","30.374","0.374","3","189",""
"66","R_3GjtpDxtb38rNPh","standard","1","66","LP","19.8235243429556","731.367","751.191","751.599","20.232","0.408","3","192",""
"67","R_3GjtpDxtb38rNPh","standard","1","67","LP","1.25738905644119","752.599","753.859","754.35","1.751","0.491","3","195",""
"68","R_3GjtpDxtb38rNPh","standard","1","68","LP","19.8235243429556","755.351","775.175","775.567","20.216","0.392","3","198",""
"69","R_3GjtpDxtb38rNPh","standard","1","69","LP","5.5010771219302","776.568","782.07","782.653","6.085","0.583","3","201",""
"70","R_3GjtpDxtb38rNPh","standard","1","70","LP","30","783.656","813.657","814.031","30.375","0.374","3","204",""
"71","R_3GjtpDxtb38rNPh","standard","1","71","LP","3.49090909090909","815.031","818.522","818.94","3.909","0.418","3","207",""
"72","R_3GjtpDxtb38rNPh","standard","1","72","LP","0.264713485566566","819.941","820.206","820.747","0.806","0.541","3","210",""
"73","R_3GjtpDxtb38rNPh","standard","1","73","LP","3.49090909090909","821.748","825.239","825.644","3.896","0.405","3","213",""
"74","R_3GjtpDxtb38rNPh","standard","1","74","LP","5.5010771219302","826.646","832.147","832.556","5.91","0.409","3","216",""
"75","R_3GjtpDxtb38rNPh","standard","1","75","LP","19.8235243429556","833.556","853.416","853.85","20.294","0.434","3","219",""
"76","R_3GjtpDxtb38rNPh","standard","1","76","LP","8.51632916846187","854.851","863.368","863.818","8.967","0.45","3","222",""
"77","R_3GjtpDxtb38rNPh","standard","1","77","LP","3.49090909090909","864.818","868.309","868.698","3.88","0.389","3","225",""
"78","R_3GjtpDxtb38rNPh","standard","1","78","LP","3.49090909090909","869.698","873.188","873.594","3.896","0.406","3","228",""
"79","R_3GjtpDxtb38rNPh","standard","1","79","LP","0.661783713916415","874.594","875.256","875.723","1.129","0.467","3","231",""
"80","R_3GjtpDxtb38rNPh","standard","1","80","LP","13.0392072382594","876.724","889.764","890.169","13.445","0.405","3","234",""
"81","R_3GjtpDxtb38rNPh","standard","1","81","LP","3.49090909090909","891.17","894.661","895.145","3.975","0.484","3","237",""
"82","R_3GjtpDxtb38rNPh","standard","1","82","LP","1.25738905644119","896.146","897.403","897.833","1.687","0.43","3","240",""
"83","R_3GjtpDxtb38rNPh","standard","2","1","LP","8.51632916846187","0.001","8.517","9.036","9.035","0.519","3","243",NA
"84","R_3GjtpDxtb38rNPh","standard","2","2","LP","5.5010771219302","10.037","15.541","15.98","5.943","0.439","3","246",NA
"85","R_3GjtpDxtb38rNPh","standard","2","3","LP","8.51632916846187","16.98","25.497","25.951","8.971","0.454","3","249",NA
"86","R_3GjtpDxtb38rNPh","standard","2","4","LP","1.25738905644119","26.952","28.21","28.635","1.683","0.425","3","252",NA
"87","R_3GjtpDxtb38rNPh","standard","2","5","LP","30","29.636","NaN","49.178","19.542","NaN","0","252",NA
"88","R_3GjtpDxtb38rNPh","standard","2","6","LP","8.51632916846187","50.179","58.696","59.146","8.967","0.45","3","255",NA
"89","R_3GjtpDxtb38rNPh","standard","2","7","LP","2.15079707022835","60.146","62.297","62.748","2.602","0.451","3","258",NA
"90","R_3GjtpDxtb38rNPh","standard","2","8","LP","19.8235243429556","63.749","NaN","78.619","14.87","NaN","0","258",NA
"91","R_3GjtpDxtb38rNPh","standard","2","9","LP","1.25738905644119","79.62","80.878","81.289","1.669","0.411","3","261",NA
"92","R_3GjtpDxtb38rNPh","standard","2","10","LP","0.264713485566566","82.29","82.554","82.969","0.679","0.415","3","264",NA
"93","R_3GjtpDxtb38rNPh","standard","2","11","LP","30","83.969","NaN","96.866","12.897","NaN","0","264",NA
"94","R_3GjtpDxtb38rNPh","standard","2","12","LP","19.8235243429556","97.867","NaN","108.505","10.638","NaN","0","264",NA
"95","R_3GjtpDxtb38rNPh","standard","2","13","LP","5.5010771219302","109.506","115.008","115.433","5.927","0.425","3","267",NA
"96","R_3GjtpDxtb38rNPh","standard","2","14","LP","2.15079707022835","116.433","118.584","119","2.567","0.416","3","270",NA
"97","R_3GjtpDxtb38rNPh","standard","2","15","LP","19.8235243429556","120.001","139.824","140.248","20.247","0.424","3","273",NA
"98","R_3GjtpDxtb38rNPh","standard","2","16","LP","2.15079707022835","141.248","143.399","143.832","2.584","0.433","3","276",NA
"99","R_3GjtpDxtb38rNPh","standard","2","17","LP","3.49090909090909","144.833","148.323","148.759","3.926","0.436","3","279",NA
"100","R_3GjtpDxtb38rNPh","standard","2","18","LP","19.8235243429556","149.76","169.586","170.023","20.263","0.437","3","282",NA
"101","R_3GjtpDxtb38rNPh","standard","2","19","LP","2.15079707022835","171.024","173.175","173.67","2.646","0.495","3","285",NA
"102","R_3GjtpDxtb38rNPh","standard","2","20","LP","1.25738905644119","174.671","175.93","176.358","1.687","0.428","3","288",NA
"103","R_3GjtpDxtb38rNPh","standard","2","21","LP","30","177.359","207.36","207.734","30.375","0.374","3","291",NA
"104","R_3GjtpDxtb38rNPh","standard","2","22","LP","0.264713485566566","208.735","209","209.51","0.775","0.51","3","294",NA
"105","R_3GjtpDxtb38rNPh","standard","2","23","LP","8.51632916846187","210.511","219.028","219.413","8.902","0.385","3","297",NA
"106","R_3GjtpDxtb38rNPh","standard","2","24","LP","1.25738905644119","220.413","221.671","222.245","1.832","0.574","3","300",NA
"107","R_3GjtpDxtb38rNPh","standard","2","25","LP","0.661783713916415","223.245","223.907","224.548","1.303","0.641","3","303",NA
"108","R_3GjtpDxtb38rNPh","standard","2","26","LP","8.51632916846187","225.55","234.067","234.453","8.903","0.386","3","306",NA
