"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3I0QmhSkdAYPjxP","standard","1","1","LP","2.15079707022835","0.005","2.161","NA","3.165","NA","0","0",""
"2","R_3I0QmhSkdAYPjxP","standard","1","2","LP","13.0392072382594","4.183","17.227","NA","14.046","NA","0","0",""
"3","R_3I0QmhSkdAYPjxP","standard","1","3","LP","3.49090909090909","19.232","22.727","23.385","4.153","0.658","3","3",""
"4","R_3I0QmhSkdAYPjxP","standard","1","4","LP","1.25738905644119","24.392","25.651","26.389","1.997","0.738","3","6",""
"5","R_3I0QmhSkdAYPjxP","standard","1","5","LP","8.51632916846187","27.393","35.91","36.613","9.22","0.703","3","9",""
"6","R_3I0QmhSkdAYPjxP","standard","1","6","LP","3.49090909090909","37.642","41.136","41.84","4.198","0.704","3","12",""
"7","R_3I0QmhSkdAYPjxP","standard","1","7","LP","0.661783713916415","42.841","43.508","44.362","1.521","0.854","3","15",""
"8","R_3I0QmhSkdAYPjxP","standard","1","8","LP","30","45.369","75.376","76.071","30.702","0.695","3","18",""
"9","R_3I0QmhSkdAYPjxP","standard","1","9","LP","0.264713485566566","77.072","77.344","78.169","1.097","0.825","3","21",""
"10","R_3I0QmhSkdAYPjxP","standard","1","10","LP","0.264713485566566","79.176","79.442","NA","1.305","NA","0","21",""
"11","R_3I0QmhSkdAYPjxP","standard","1","11","LP","0.264713485566566","81.492","81.775","82.691","1.199","0.916","3","24",""
"12","R_3I0QmhSkdAYPjxP","standard","1","12","LP","30","83.705","113.711","114.421","30.716","0.71","3","27",""
"13","R_3I0QmhSkdAYPjxP","standard","1","13","LP","2.15079707022835","115.432","117.591","118.387","2.955","0.796","3","30",""
"14","R_3I0QmhSkdAYPjxP","standard","1","14","LP","5.5010771219302","119.404","124.914","125.777","6.373","0.863","3","33",""
"15","R_3I0QmhSkdAYPjxP","standard","1","15","LP","5.5010771219302","126.793","132.298","NA","6.521","NA","0","33",""
"16","R_3I0QmhSkdAYPjxP","standard","1","16","LP","8.51632916846187","134.324","142.849","143.476","9.152","0.627","3","33","40"
"17","R_3I0QmhSkdAYPjxP","standard","1","17","LP","13.0392072382594","144.49","157.536","158.225","13.735","0.689","3","36",""
"18","R_3I0QmhSkdAYPjxP","standard","1","18","LP","13.0392072382594","159.241","172.29","NA","14.063","NA","0","36",""
"19","R_3I0QmhSkdAYPjxP","standard","1","19","LP","8.51632916846187","174.407","182.928","183.602","9.195","0.674","3","39",""
"20","R_3I0QmhSkdAYPjxP","standard","1","20","LP","13.0392072382594","184.621","197.663","198.342","13.721","0.679","3","42",""
"21","R_3I0QmhSkdAYPjxP","standard","1","21","LP","1.25738905644119","199.343","200.608","201.292","1.949","0.684","3","45",""
"22","R_3I0QmhSkdAYPjxP","standard","1","22","LP","5.5010771219302","202.303","207.817","208.454","6.151","0.637","3","48",""
"23","R_3I0QmhSkdAYPjxP","standard","1","23","LP","5.5010771219302","209.465","214.975","215.604","6.139","0.629","3","51",""
"24","R_3I0QmhSkdAYPjxP","standard","1","24","LP","19.8235243429556","216.607","236.432","237.231","20.624","0.799","3","54",""
"25","R_3I0QmhSkdAYPjxP","standard","1","25","LP","0.264713485566566","238.24","238.505","239.499","1.259","0.994","3","57",""
"26","R_3I0QmhSkdAYPjxP","standard","1","26","LP","13.0392072382594","240.504","253.555","254.318","13.814","0.763","3","60",""
"27","R_3I0QmhSkdAYPjxP","standard","1","27","LP","13.0392072382594","255.319","268.359","269.035","13.716","0.676","3","63",""
"28","R_3I0QmhSkdAYPjxP","standard","1","28","LP","1.25738905644119","270.04","271.304","271.995","1.955","0.691","3","66",""
"29","R_3I0QmhSkdAYPjxP","standard","1","29","LP","13.0392072382594","273.011","286.055","NA","14.055","NA","0","66",""
