"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3J7ZCgNERwiOf7e","standard","1","1","LP","0.661783713916415","0.004","0.675","NA","1.683","NA","0","0",""
"2","R_3J7ZCgNERwiOf7e","standard","1","2","LP","13.0392072382594","2.692","15.739","16.446","13.754","0.707","3","3",""
"3","R_3J7ZCgNERwiOf7e","standard","1","3","LP","13.0392072382594","17.452","30.499","31.14","13.688","0.641","3","6",""
"4","R_3J7ZCgNERwiOf7e","standard","1","4","LP","19.8235243429556","32.147","51.981","52.719","20.572","0.738","3","9",""
"5","R_3J7ZCgNERwiOf7e","standard","1","5","LP","30","53.725","83.733","84.357","30.632","0.624","3","12",""
"6","R_3J7ZCgNERwiOf7e","standard","1","6","LP","0.264713485566566","85.366","85.636","NA","1.28","NA","0","12",""
"7","R_3J7ZCgNERwiOf7e","standard","1","7","LP","3.49090909090909","87.653","91.148","91.834","4.181","0.686","3","15",""
"8","R_3J7ZCgNERwiOf7e","standard","1","8","LP","1.25738905644119","92.837","94.1","94.787","1.95","0.687","3","18",""
"9","R_3J7ZCgNERwiOf7e","standard","1","9","LP","0.264713485566566","95.796","96.069","96.803","1.007","0.734","3","21",""
"10","R_3J7ZCgNERwiOf7e","standard","1","10","LP","8.51632916846187","97.813","106.333","107.036","9.223","0.703","3","24",""
"11","R_3J7ZCgNERwiOf7e","standard","1","11","LP","2.15079707022835","108.039","110.198","110.949","2.91","0.751","3","27",""
"12","R_3J7ZCgNERwiOf7e","standard","1","12","LP","2.15079707022835","111.958","114.111","114.758","2.8","0.647","3","30",""
"13","R_3J7ZCgNERwiOf7e","standard","1","13","LP","19.8235243429556","115.766","135.598","136.284","20.518","0.686","3","33",""
"14","R_3J7ZCgNERwiOf7e","standard","1","14","LP","5.5010771219302","137.295","142.799","143.447","6.152","0.648","3","36",""
"15","R_3J7ZCgNERwiOf7e","standard","1","15","LP","8.51632916846187","144.454","152.974","153.671","9.217","0.697","3","39",""
"16","R_3J7ZCgNERwiOf7e","standard","1","16","LP","0.264713485566566","154.679","154.95","155.737","1.058","0.787","3","42",""
"17","R_3J7ZCgNERwiOf7e","standard","1","17","LP","0.264713485566566","156.743","157.014","157.821","1.078","0.807","3","45",""
"18","R_3J7ZCgNERwiOf7e","standard","1","18","LP","30","158.83","188.84","189.497","30.667","0.657","3","48",""
"19","R_3J7ZCgNERwiOf7e","standard","1","19","LP","30","190.505","220.511","221.143","30.638","0.632","3","51",""
"20","R_3J7ZCgNERwiOf7e","standard","1","20","LP","30","222.152","252.162","252.776","30.624","0.614","3","54",""
"21","R_3J7ZCgNERwiOf7e","standard","1","21","LP","1.25738905644119","253.786","255.05","255.673","1.887","0.623","3","57",""
"22","R_3J7ZCgNERwiOf7e","standard","1","22","LP","0.661783713916415","256.682","257.345","258.024","1.342","0.679","3","60",""
"23","R_3J7ZCgNERwiOf7e","standard","1","23","LP","2.15079707022835","259.034","261.195","261.848","2.814","0.653","3","63",""
"24","R_3J7ZCgNERwiOf7e","standard","1","24","LP","19.8235243429556","262.857","282.69","283.511","20.654","0.821","3","66",""
"25","R_3J7ZCgNERwiOf7e","standard","1","25","LP","30","284.515","314.517","315.146","30.631","0.629","3","69",""
"26","R_3J7ZCgNERwiOf7e","standard","1","26","LP","8.51632916846187","316.155","324.675","325.418","9.263","0.743","3","72",""
"27","R_3J7ZCgNERwiOf7e","standard","1","27","LP","1.25738905644119","326.421","327.682","328.428","2.007","0.746","3","75",""
"28","R_3J7ZCgNERwiOf7e","standard","1","28","LP","3.49090909090909","329.432","332.931","333.607","4.175","0.676","3","78",""
