"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3J9SrgEMmotPqfD","standard","1","1","LP","1.25738905644119","0.001","1.259","1.704","1.703","0.445","3","3",""
"2","R_3J9SrgEMmotPqfD","standard","1","2","LP","2.15079707022835","2.712","4.867","5.163","2.451","0.296","3","6",""
"3","R_3J9SrgEMmotPqfD","standard","1","3","LP","13.0392072382594","6.172","19.215","19.513","13.341","0.298","3","9",""
"4","R_3J9SrgEMmotPqfD","standard","1","4","LP","0.661783713916415","20.515","21.18","21.958","1.443","0.778","3","12",""
"5","R_3J9SrgEMmotPqfD","standard","1","5","LP","3.49090909090909","22.963","26.459","26.758","3.795","0.299","3","15",""
"6","R_3J9SrgEMmotPqfD","standard","1","6","LP","2.15079707022835","27.763","29.915","30.191","2.428","0.276","3","18",""
"7","R_3J9SrgEMmotPqfD","standard","1","7","LP","19.8235243429556","31.195","51.027","51.365","20.17","0.338","3","21",""
"8","R_3J9SrgEMmotPqfD","standard","1","8","LP","30","52.371","82.379","82.719","30.348","0.34","3","24",""
"9","R_3J9SrgEMmotPqfD","standard","1","9","LP","1.25738905644119","83.723","84.987","85.513","1.79","0.526","3","27",""
"10","R_3J9SrgEMmotPqfD","standard","1","10","LP","30","86.515","116.519","116.861","30.346","0.342","3","30",""
"11","R_3J9SrgEMmotPqfD","standard","1","11","LP","19.8235243429556","117.867","137.691","138.029","20.162","0.338","3","33",""
"12","R_3J9SrgEMmotPqfD","standard","1","12","LP","13.0392072382594","139.035","152.083","152.457","13.422","0.374","3","36",""
"13","R_3J9SrgEMmotPqfD","standard","1","13","LP","3.49090909090909","153.459","156.955","157.362","3.903","0.407","3","39",""
"14","R_3J9SrgEMmotPqfD","standard","1","14","LP","2.15079707022835","158.363","160.515","161.082","2.719","0.567","3","42",""
"15","R_3J9SrgEMmotPqfD","standard","1","15","LP","13.0392072382594","162.091","175.139","175.483","13.392","0.344","3","45",""
"16","R_3J9SrgEMmotPqfD","standard","1","16","LP","19.8235243429556","176.492","196.323","196.644","20.152","0.321","3","48",""
"17","R_3J9SrgEMmotPqfD","standard","1","17","LP","0.661783713916415","197.651","198.315","198.765","1.114","0.45","3","51",""
"18","R_3J9SrgEMmotPqfD","standard","1","18","LP","1.25738905644119","199.771","201.035","201.324","1.553","0.289","3","54",""
"19","R_3J9SrgEMmotPqfD","standard","1","19","LP","1.25738905644119","202.331","203.595","203.89","1.559","0.295","3","57",""
"20","R_3J9SrgEMmotPqfD","standard","1","20","LP","0.264713485566566","204.899","205.172","205.597","0.698","0.425","3","60",""
"21","R_3J9SrgEMmotPqfD","standard","1","21","LP","19.8235243429556","206.604","226.435","226.77","20.166","0.335","3","63",""
"22","R_3J9SrgEMmotPqfD","standard","1","22","LP","13.0392072382594","227.771","240.819","241.191","13.42","0.372","3","66",""
"23","R_3J9SrgEMmotPqfD","standard","1","23","LP","5.5010771219302","242.195","247.699","248.119","5.924","0.42","3","69",""
"24","R_3J9SrgEMmotPqfD","standard","1","24","LP","19.8235243429556","249.123","268.947","269.399","20.276","0.452","3","72",""
"25","R_3J9SrgEMmotPqfD","standard","1","25","LP","19.8235243429556","270.403","290.235","290.65","20.247","0.415","3","75",""
"26","R_3J9SrgEMmotPqfD","standard","1","26","LP","5.5010771219302","291.651","297.155","297.655","6.004","0.5","3","78",""
"27","R_3J9SrgEMmotPqfD","standard","1","27","LP","5.5010771219302","298.66","304.163","304.498","5.838","0.335","3","81",""
"28","R_3J9SrgEMmotPqfD","standard","1","28","LP","8.51632916846187","305.499","314.019","314.31","8.811","0.291","3","84",""
"29","R_3J9SrgEMmotPqfD","standard","1","29","LP","8.51632916846187","315.315","323.835","324.291","8.976","0.456","3","87",""
"30","R_3J9SrgEMmotPqfD","standard","1","30","LP","2.15079707022835","325.299","327.451","328.401","3.102","0.95","3","90",""
"31","R_3J9SrgEMmotPqfD","standard","1","31","LP","5.5010771219302","329.404","334.909","335.376","5.972","0.467","3","93",""
"32","R_3J9SrgEMmotPqfD","standard","1","32","LP","30","336.379","366.387","366.831","30.452","0.444","3","96",""
"33","R_3J9SrgEMmotPqfD","standard","1","33","LP","1.25738905644119","367.835","369.099","369.664","1.829","0.565","3","99",""
"34","R_3J9SrgEMmotPqfD","standard","1","34","LP","2.15079707022835","370.667","372.819","NA","3.153","NA","0","99",""
"35","R_3J9SrgEMmotPqfD","standard","1","35","LP","13.0392072382594","374.821","387.867","388.343","13.522","0.476","3","102",""
"36","R_3J9SrgEMmotPqfD","standard","1","36","LP","19.8235243429556","389.347","409.179","409.548","20.201","0.369","3","105",""
"37","R_3J9SrgEMmotPqfD","standard","1","37","LP","0.661783713916415","410.555","411.219","411.705","1.15","0.486","3","108",""
"38","R_3J9SrgEMmotPqfD","standard","1","38","LP","3.49090909090909","412.708","416.203","416.561","3.853","0.358","3","111",""
"39","R_3J9SrgEMmotPqfD","standard","1","39","LP","0.661783713916415","417.571","418.235","418.553","0.982","0.318","3","114",""
"40","R_3J9SrgEMmotPqfD","standard","1","40","LP","0.264713485566566","419.555","419.827","420.145","0.59","0.318","3","117",""
"41","R_3J9SrgEMmotPqfD","standard","1","41","LP","19.8235243429556","421.147","440.979","441.367","20.22","0.388","3","120",""
"42","R_3J9SrgEMmotPqfD","standard","1","42","LP","30","442.372","472.379","472.644","30.272","0.265","3","123",""
"43","R_3J9SrgEMmotPqfD","standard","1","43","LP","0.661783713916415","473.651","474.315","474.657","1.006","0.342","3","126",""
"44","R_3J9SrgEMmotPqfD","standard","1","44","LP","8.51632916846187","475.659","484.179","484.616","8.957","0.437","3","129",""
"45","R_3J9SrgEMmotPqfD","standard","1","45","LP","0.661783713916415","485.619","486.291","486.579","0.96","0.288","3","132",""
"46","R_3J9SrgEMmotPqfD","standard","1","46","LP","0.661783713916415","487.587","488.251","488.532","0.945","0.281","3","135",""
"47","R_3J9SrgEMmotPqfD","standard","1","47","LP","0.661783713916415","489.539","490.204","490.54","1.001","0.336","3","138",""
"48","R_3J9SrgEMmotPqfD","standard","1","48","LP","0.264713485566566","491.547","491.819","492.159","0.612","0.34","3","141",""
"49","R_3J9SrgEMmotPqfD","standard","1","49","LP","0.661783713916415","493.163","493.827","494.134","0.971","0.307","3","144",""
"50","R_3J9SrgEMmotPqfD","standard","1","50","LP","13.0392072382594","495.139","508.187","508.574","13.435","0.387","3","147",""
"51","R_3J9SrgEMmotPqfD","standard","1","51","LP","30","509.579","539.587","539.857","30.278","0.27","3","150",""
"52","R_3J9SrgEMmotPqfD","standard","1","52","LP","8.51632916846187","540.867","549.387","549.799","8.932","0.412","3","153",""
"53","R_3J9SrgEMmotPqfD","standard","1","53","LP","3.49090909090909","550.803","554.299","554.656","3.853","0.357","3","156",""
"54","R_3J9SrgEMmotPqfD","standard","1","54","LP","30","555.659","585.667","585.92","30.261","0.253","3","159",""
"55","R_3J9SrgEMmotPqfD","standard","1","55","LP","5.5010771219302","586.923","592.425","592.802","5.879","0.377","3","162",""
"56","R_3J9SrgEMmotPqfD","standard","1","56","LP","2.15079707022835","593.804","595.955","596.295","2.491","0.34","3","165",""
"57","R_3J9SrgEMmotPqfD","standard","1","57","LP","0.264713485566566","597.299","597.571","597.913","0.614","0.342","3","168",""
"58","R_3J9SrgEMmotPqfD","standard","1","58","LP","8.51632916846187","598.923","607.444","607.858","8.935","0.414","3","171",""
"59","R_3J9SrgEMmotPqfD","standard","1","59","LP","0.661783713916415","608.867","609.531","609.827","0.96","0.296","3","174",""
"60","R_3J9SrgEMmotPqfD","standard","1","60","LP","1.25738905644119","610.835","612.099","612.443","1.608","0.344","3","177",""
"61","R_3J9SrgEMmotPqfD","standard","1","61","LP","19.8235243429556","613.451","633.283","633.649","20.198","0.366","3","180",""
