"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3MxQOie0e8eFzRJ","standard","1","1","LP","0.661783713916415","0.001","0.663","1.272","1.271","0.609","3","3",""
"2","R_3MxQOie0e8eFzRJ","standard","1","2","LP","2.15079707022835","2.286","4.445","4.803","2.517","0.358","3","6",""
"3","R_3MxQOie0e8eFzRJ","standard","1","3","LP","19.8235243429556","5.818","25.645","25.896","20.078","0.251","3","9",""
"4","R_3MxQOie0e8eFzRJ","standard","1","4","LP","1.25738905644119","26.916","28.192","28.487","1.571","0.295","3","12",""
"5","R_3MxQOie0e8eFzRJ","standard","1","5","LP","2.15079707022835","29.493","31.646","31.995","2.502","0.349","3","15",""
"6","R_3MxQOie0e8eFzRJ","standard","1","6","LP","8.51632916846187","33.006","41.536","41.773","8.767","0.237","3","18",""
"7","R_3MxQOie0e8eFzRJ","standard","1","7","LP","0.661783713916415","42.787","43.455","43.798","1.011","0.343","3","21",""
"8","R_3MxQOie0e8eFzRJ","standard","1","8","LP","2.15079707022835","44.817","46.97","47.281","2.464","0.311","3","24",""
"9","R_3MxQOie0e8eFzRJ","standard","1","9","LP","5.5010771219302","48.286","53.8","54.027","5.741","0.227","3","27",""
"10","R_3MxQOie0e8eFzRJ","standard","1","10","LP","3.49090909090909","55.032","58.535","58.846","3.814","0.311","3","30",""
"11","R_3MxQOie0e8eFzRJ","standard","1","11","LP","19.8235243429556","59.865","79.708","79.967","20.102","0.259","3","33",""
"12","R_3MxQOie0e8eFzRJ","standard","1","12","LP","1.25738905644119","80.976","82.243","82.532","1.556","0.289","3","36",""
"13","R_3MxQOie0e8eFzRJ","standard","1","13","LP","2.15079707022835","83.541","85.706","86.012","2.471","0.306","3","39",""
"14","R_3MxQOie0e8eFzRJ","standard","1","14","LP","8.51632916846187","87.026","95.552","95.883","8.857","0.331","3","42",""
"15","R_3MxQOie0e8eFzRJ","standard","1","15","LP","3.49090909090909","96.887","100.385","100.706","3.819","0.321","3","42","364"
"16","R_3MxQOie0e8eFzRJ","standard","1","16","LP","1.25738905644119","101.717","102.983","103.471","1.754","0.488","3","45",""
"17","R_3MxQOie0e8eFzRJ","standard","1","17","LP","5.5010771219302","104.485","109.999","110.325","5.84","0.326","3","48",""
"18","R_3MxQOie0e8eFzRJ","standard","1","18","LP","0.661783713916415","111.334","112.015","112.391","1.057","0.376","3","51",""
"19","R_3MxQOie0e8eFzRJ","standard","1","19","LP","1.25738905644119","113.413","114.682","115.012","1.599","0.33","3","54",""
"20","R_3MxQOie0e8eFzRJ","standard","1","20","LP","5.5010771219302","116.014","121.53","121.845","5.831","0.315","3","57",""
"21","R_3MxQOie0e8eFzRJ","standard","1","21","LP","8.51632916846187","122.853","131.393","131.693","8.84","0.3","3","60",""
"22","R_3MxQOie0e8eFzRJ","standard","1","22","LP","1.25738905644119","132.709","133.982","134.348","1.639","0.366","3","63",""
"23","R_3MxQOie0e8eFzRJ","standard","1","23","LP","8.51632916846187","135.35","143.872","144.137","8.787","0.265","3","66",""
"24","R_3MxQOie0e8eFzRJ","standard","1","24","LP","0.661783713916415","145.139","145.807","146.404","1.265","0.597","3","69",""
"25","R_3MxQOie0e8eFzRJ","standard","1","25","LP","2.15079707022835","147.42","149.586","149.942","2.522","0.356","3","72",""
"26","R_3MxQOie0e8eFzRJ","standard","1","26","LP","0.264713485566566","150.955","151.222","152.098","1.143","0.876","3","75",""
"27","R_3MxQOie0e8eFzRJ","standard","1","27","LP","2.15079707022835","153.102","155.284","155.557","2.455","0.273","3","78",""
"28","R_3MxQOie0e8eFzRJ","standard","1","28","LP","0.661783713916415","156.566","157.23","157.874","1.308","0.644","3","81",""
"29","R_3MxQOie0e8eFzRJ","standard","1","29","LP","5.5010771219302","158.883","164.396","164.773","5.89","0.377","3","84",""
"30","R_3MxQOie0e8eFzRJ","standard","1","30","LP","30","165.794","195.786","196.061","30.267","0.275","3","87",""
"31","R_3MxQOie0e8eFzRJ","standard","1","31","LP","8.51632916846187","197.07","205.599","205.865","8.795","0.266","3","90",""
"32","R_3MxQOie0e8eFzRJ","standard","1","32","LP","0.661783713916415","206.885","207.551","208.495","1.61","0.944","3","93",""
"33","R_3MxQOie0e8eFzRJ","standard","1","33","LP","2.15079707022835","209.504","211.665","212.001","2.497","0.336","3","96",""
"34","R_3MxQOie0e8eFzRJ","standard","1","34","LP","8.51632916846187","213.016","221.545","221.843","8.827","0.298","3","99",""
"35","R_3MxQOie0e8eFzRJ","standard","1","35","LP","1.25738905644119","222.846","224.114","224.438","1.592","0.324","3","102",""
"36","R_3MxQOie0e8eFzRJ","standard","1","36","LP","3.49090909090909","225.462","228.96","229.3","3.838","0.34","3","105",""
"37","R_3MxQOie0e8eFzRJ","standard","1","37","LP","2.15079707022835","230.316","232.475","232.76","2.444","0.285","3","108",""
"38","R_3MxQOie0e8eFzRJ","standard","1","38","LP","5.5010771219302","233.773","239.288","239.55","5.777","0.262","3","111",""
"39","R_3MxQOie0e8eFzRJ","standard","1","39","LP","3.49090909090909","240.555","244.07","244.349","3.794","0.279","3","114",""
"40","R_3MxQOie0e8eFzRJ","standard","1","40","LP","0.661783713916415","245.35","246.018","246.355","1.005","0.337","3","117",""
"41","R_3MxQOie0e8eFzRJ","standard","1","41","LP","13.0392072382594","247.369","260.414","260.762","13.393","0.348","3","120",""
"42","R_3MxQOie0e8eFzRJ","standard","1","42","LP","13.0392072382594","261.78","274.828","275.199","13.419","0.371","3","123",""
"43","R_3MxQOie0e8eFzRJ","standard","1","43","LP","3.49090909090909","276.21","279.707","280.034","3.824","0.327","3","126",""
"44","R_3MxQOie0e8eFzRJ","standard","1","44","LP","2.15079707022835","281.041","283.205","283.541","2.5","0.336","3","129",""
"45","R_3MxQOie0e8eFzRJ","standard","1","45","LP","30","284.574","314.585","314.898","30.324","0.313","3","132",""
"46","R_3MxQOie0e8eFzRJ","standard","1","46","LP","1.25738905644119","315.911","317.19","317.505","1.594","0.315","3","135",""
"47","R_3MxQOie0e8eFzRJ","standard","1","47","LP","0.661783713916415","318.511","319.176","319.503","0.992","0.327","3","138",""
"48","R_3MxQOie0e8eFzRJ","standard","1","48","LP","2.15079707022835","320.508","322.676","323.022","2.514","0.346","3","141",""
"49","R_3MxQOie0e8eFzRJ","standard","1","49","LP","5.5010771219302","324.042","329.555","330.089","6.047","0.534","3","144",""
"50","R_3MxQOie0e8eFzRJ","standard","1","50","LP","19.8235243429556","331.106","350.934","351.475","20.369","0.541","3","147",""
"51","R_3MxQOie0e8eFzRJ","standard","1","51","LP","3.49090909090909","352.483","355.982","356.264","3.781","0.282","3","150",""
"52","R_3MxQOie0e8eFzRJ","standard","1","52","LP","19.8235243429556","357.266","377.106","377.455","20.189","0.349","3","153",""
"53","R_3MxQOie0e8eFzRJ","standard","1","53","LP","0.661783713916415","378.475","379.142","379.442","0.967","0.3","3","156",""
"54","R_3MxQOie0e8eFzRJ","standard","1","54","LP","2.15079707022835","380.446","382.621","382.932","2.486","0.311","3","159",""
"55","R_3MxQOie0e8eFzRJ","standard","1","55","LP","3.49090909090909","383.941","387.439","387.77","3.829","0.331","3","162",""
"56","R_3MxQOie0e8eFzRJ","standard","1","56","LP","13.0392072382594","388.772","401.831","402.126","13.354","0.295","3","165",""
"57","R_3MxQOie0e8eFzRJ","standard","1","57","LP","5.5010771219302","403.148","408.654","408.981","5.833","0.327","3","168",""
"58","R_3MxQOie0e8eFzRJ","standard","1","58","LP","5.5010771219302","409.996","415.51","415.824","5.828","0.314","3","171",""
"59","R_3MxQOie0e8eFzRJ","standard","1","59","LP","19.8235243429556","416.845","436.688","437.029","20.184","0.341","3","174",""
"60","R_3MxQOie0e8eFzRJ","standard","1","60","LP","30","438.039","468.045","468.377","30.338","0.332","3","177",""
"61","R_3MxQOie0e8eFzRJ","standard","1","61","LP","5.5010771219302","469.392","474.907","475.485","6.093","0.578","3","180",""
"62","R_3MxQOie0e8eFzRJ","standard","1","62","LP","0.264713485566566","476.509","476.79","477.22","0.711","0.43","3","183",""
"63","R_3MxQOie0e8eFzRJ","standard","1","63","LP","30","478.224","508.245","508.605","30.381","0.36","3","186",""
"64","R_3MxQOie0e8eFzRJ","standard","1","64","LP","19.8235243429556","509.613","529.44","529.725","20.112","0.285","3","189",""
"65","R_3MxQOie0e8eFzRJ","standard","1","65","LP","30","530.738","560.739","561.07","30.332","0.331","3","192",""
"66","R_3MxQOie0e8eFzRJ","standard","1","66","LP","19.8235243429556","562.073","581.908","582.294","20.221","0.386","3","192","11969"
"67","R_3MxQOie0e8eFzRJ","standard","1","67","LP","2.15079707022835","583.297","585.465","585.969","2.672","0.504","3","195",""
"68","R_3MxQOie0e8eFzRJ","standard","1","68","LP","30","586.976","616.994","617.481","30.505","0.487","3","198",""
"69","R_3MxQOie0e8eFzRJ","standard","1","69","LP","30","618.492","648.498","648.933","30.441","0.435","3","201",""
"70","R_3MxQOie0e8eFzRJ","standard","1","70","LP","19.8235243429556","649.944","669.775","670.183","20.239","0.408","3","204",""
"71","R_3MxQOie0e8eFzRJ","standard","1","71","LP","2.15079707022835","671.192","673.358","673.672","2.48","0.314","3","207",""
"72","R_3MxQOie0e8eFzRJ","standard","1","72","LP","0.264713485566566","674.69","674.971","675.413","0.723","0.442","3","210",""
"73","R_3MxQOie0e8eFzRJ","standard","1","73","LP","3.49090909090909","676.425","679.93","680.63","4.205","0.7","3","213",""
"74","R_3MxQOie0e8eFzRJ","standard","1","74","LP","5.5010771219302","681.642","687.171","687.593","5.951","0.422","3","216",""
"75","R_3MxQOie0e8eFzRJ","standard","1","75","LP","8.51632916846187","688.604","697.136","697.467","8.863","0.331","3","219",""
"76","R_3MxQOie0e8eFzRJ","standard","1","76","LP","30","698.483","728.49","728.813","30.33","0.323","3","222",""
"77","R_3MxQOie0e8eFzRJ","standard","1","77","LP","13.0392072382594","729.822","742.868","743.244","13.422","0.376","3","225",""
"78","R_3MxQOie0e8eFzRJ","standard","1","78","LP","3.49090909090909","744.247","747.748","748.2","3.953","0.452","3","228",""
"79","R_3MxQOie0e8eFzRJ","standard","1","79","LP","2.15079707022835","749.214","751.366","751.697","2.483","0.331","3","231",""
"80","R_3MxQOie0e8eFzRJ","standard","1","80","LP","8.51632916846187","752.717","761.238","761.525","8.808","0.287","3","234",""
"81","R_3MxQOie0e8eFzRJ","standard","1","81","LP","19.8235243429556","762.546","782.388","782.73","20.184","0.342","3","237",""
"82","R_3MxQOie0e8eFzRJ","standard","1","82","LP","1.25738905644119","783.737","785.002","785.462","1.725","0.46","3","240",""
"83","R_3MxQOie0e8eFzRJ","standard","1","83","LP","19.8235243429556","786.488","806.315","806.716","20.228","0.401","3","243",""
"84","R_3MxQOie0e8eFzRJ","standard","1","84","LP","5.5010771219302","807.727","813.23","813.624","5.897","0.394","3","246",""
"85","R_3MxQOie0e8eFzRJ","standard","1","85","LP","0.661783713916415","814.646","815.31","815.649","1.003","0.339","3","249",""
"86","R_3MxQOie0e8eFzRJ","standard","1","86","LP","30","816.66","846.665","846.96","30.3","0.295","3","252",""
"87","R_3MxQOie0e8eFzRJ","standard","1","87","LP","0.264713485566566","847.98","848.25","848.703","0.723","0.453","3","255",""
"88","R_3MxQOie0e8eFzRJ","standard","1","88","LP","19.8235243429556","849.714","869.542","869.933","20.219","0.391","3","258",""
"89","R_3MxQOie0e8eFzRJ","standard","1","89","LP","13.0392072382594","870.934","883.987","884.344","13.41","0.357","3","261",""
"90","R_3MxQOie0e8eFzRJ","standard","1","90","LP","0.661783713916415","885.355","886.022","886.425","1.07","0.403","3","264",""
"91","R_3MxQOie0e8eFzRJ","standard","2","1","LP","3.49090909090909","0","3.502","3.984","3.984","0.482","3","267",NA
"92","R_3MxQOie0e8eFzRJ","standard","2","2","LP","19.8235243429556","4.99","NaN","20.202","15.212","NaN","0","267",NA
"93","R_3MxQOie0e8eFzRJ","standard","2","3","LP","0.264713485566566","21.209","21.495","21.835","0.626","0.34","3","270",NA
