"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3O7xmq5KkbW5Bcr","standard","1","1","HP","18","0.001","18.006","18.395","18.394","0.389","3","3",""
"2","R_3O7xmq5KkbW5Bcr","standard","1","2","HP","8","19.403","27.405","27.855","8.452","0.45","3","6",""
"3","R_3O7xmq5KkbW5Bcr","standard","1","3","HP","14","28.86","42.866","43.401","14.541","0.535","3","9",""
"4","R_3O7xmq5KkbW5Bcr","standard","1","4","HP","6","44.402","50.407","51.177","6.775","0.77","3","12",""
"5","R_3O7xmq5KkbW5Bcr","standard","1","5","HP","18","52.19","70.194","70.615","18.425","0.421","3","15",""
"6","R_3O7xmq5KkbW5Bcr","standard","1","6","HP","18","71.616","89.624","89.999","18.383","0.375","3","18",""
"7","R_3O7xmq5KkbW5Bcr","standard","1","7","HP","20","91","111.001","111.483","20.483","0.482","3","21",""
"8","R_3O7xmq5KkbW5Bcr","standard","1","8","HP","20","112.488","132.493","133.023","20.535","0.53","3","24",""
"9","R_3O7xmq5KkbW5Bcr","standard","1","9","HP","10","134.031","144.038","144.456","10.425","0.418","3","27",""
"10","R_3O7xmq5KkbW5Bcr","standard","1","10","HP","10","145.461","155.468","156.024","10.563","0.556","3","30",""
"11","R_3O7xmq5KkbW5Bcr","standard","1","11","HP","2","157.032","159.037","159.932","2.9","0.895","3","33",""
"12","R_3O7xmq5KkbW5Bcr","standard","1","12","HP","20","160.944","180.947","181.36","20.416","0.413","3","36",""
"13","R_3O7xmq5KkbW5Bcr","standard","1","13","HP","16","182.363","198.377","198.856","16.493","0.479","3","39",""
"14","R_3O7xmq5KkbW5Bcr","standard","1","14","HP","16","199.873","215.882","216.5","16.627","0.618","3","42",""
"15","R_3O7xmq5KkbW5Bcr","standard","1","15","HP","12","217.502","229.502","229.99","12.488","0.488","3","45",""
"16","R_3O7xmq5KkbW5Bcr","standard","1","16","HP","6","230.996","236.998","237.577","6.581","0.579","3","48",""
"17","R_3O7xmq5KkbW5Bcr","standard","1","17","HP","2","238.585","240.593","241.156","2.571","0.563","3","51",""
"18","R_3O7xmq5KkbW5Bcr","standard","1","18","HP","18","242.161","260.174","260.801","18.64","0.627","3","54",""
"19","R_3O7xmq5KkbW5Bcr","standard","1","19","HP","12","261.804","273.806","274.466","12.662","0.66","3","57",""
"20","R_3O7xmq5KkbW5Bcr","standard","1","20","HP","2","275.473","277.485","278.053","2.58","0.568","3","60",""
"21","R_3O7xmq5KkbW5Bcr","standard","1","21","HP","16","279.06","295.065","295.579","16.519","0.514","3","63",""
"22","R_3O7xmq5KkbW5Bcr","standard","1","22","HP","14","296.581","310.595","311.05","14.469","0.455","3","66",""
"23","R_3O7xmq5KkbW5Bcr","standard","1","23","HP","10","312.056","322.067","322.473","10.417","0.406","3","69",""
"24","R_3O7xmq5KkbW5Bcr","standard","1","24","HP","8","323.482","331.49","331.831","8.349","0.341","3","72",""
"25","R_3O7xmq5KkbW5Bcr","standard","1","25","HP","10","332.838","342.849","343.374","10.536","0.525","3","75",""
"26","R_3O7xmq5KkbW5Bcr","standard","1","26","HP","10","344.382","354.388","355.167","10.785","0.779","3","78",""
"27","R_3O7xmq5KkbW5Bcr","standard","1","27","HP","6","356.174","362.177","362.839","6.665","0.662","3","81",""
