"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3RjDO4bIMIBqze9","standard","1","1","LP","5.5010771219302","0.002","5.505","5.96","5.958","0.455","3","3",""
"2","R_3RjDO4bIMIBqze9","standard","1","2","LP","13.0392072382594","6.969","20.017","20.318","13.349","0.301","3","6",""
"3","R_3RjDO4bIMIBqze9","standard","1","3","LP","13.0392072382594","21.321","34.36","34.667","13.346","0.307","3","9",""
"4","R_3RjDO4bIMIBqze9","standard","1","4","LP","13.0392072382594","35.675","48.724","49.113","13.438","0.389","3","12",""
"5","R_3RjDO4bIMIBqze9","standard","1","5","LP","13.0392072382594","50.115","63.175","63.566","13.451","0.391","3","12","1170"
"6","R_3RjDO4bIMIBqze9","standard","1","6","LP","2.15079707022835","64.576","66.743","67.247","2.671","0.504","3","15",""
"7","R_3RjDO4bIMIBqze9","standard","1","7","LP","19.8235243429556","68.25","88.084","88.366","20.116","0.282","3","18",""
"8","R_3RjDO4bIMIBqze9","standard","1","8","LP","3.49090909090909","89.369","92.865","93.688","4.319","0.823","3","21",""
"9","R_3RjDO4bIMIBqze9","standard","1","9","LP","0.661783713916415","94.712","95.376","96.348","1.636","0.972","3","24",""
"10","R_3RjDO4bIMIBqze9","standard","1","10","LP","1.25738905644119","97.356","98.614","99.214","1.858","0.6","3","27",""
"11","R_3RjDO4bIMIBqze9","standard","1","11","LP","13.0392072382594","100.225","113.276","113.576","13.351","0.3","3","30",""
"12","R_3RjDO4bIMIBqze9","standard","1","12","LP","5.5010771219302","114.598","120.107","120.504","5.906","0.397","3","33",""
"13","R_3RjDO4bIMIBqze9","standard","1","13","LP","1.25738905644119","121.506","122.771","123.282","1.776","0.511","3","36",""
"14","R_3RjDO4bIMIBqze9","standard","1","14","LP","3.49090909090909","124.294","127.802","128.233","3.939","0.431","3","39",""
"15","R_3RjDO4bIMIBqze9","standard","1","15","LP","0.661783713916415","129.241","129.911","130.267","1.026","0.356","3","42",""
"16","R_3RjDO4bIMIBqze9","standard","1","16","LP","0.264713485566566","131.275","131.543","131.878","0.603","0.335","3","45",""
"17","R_3RjDO4bIMIBqze9","standard","1","17","LP","0.264713485566566","132.892","133.17","133.476","0.584","0.306","3","48",""
"18","R_3RjDO4bIMIBqze9","standard","1","18","LP","0.264713485566566","134.482","134.758","135.04","0.558","0.282","3","51",""
"19","R_3RjDO4bIMIBqze9","standard","1","19","LP","19.8235243429556","136.042","155.874","156.198","20.156","0.324","3","54",""
"20","R_3RjDO4bIMIBqze9","standard","1","20","LP","2.15079707022835","157.214","159.38","159.841","2.627","0.461","3","57",""
"21","R_3RjDO4bIMIBqze9","standard","1","21","LP","0.264713485566566","160.848","161.128","161.457","0.609","0.329","3","60",""
"22","R_3RjDO4bIMIBqze9","standard","1","22","LP","0.264713485566566","162.465","162.74","163.151","0.686","0.411","3","63",""
"23","R_3RjDO4bIMIBqze9","standard","1","23","LP","0.661783713916415","164.159","164.824","165.163","1.004","0.339","3","66",""
"24","R_3RjDO4bIMIBqze9","standard","1","24","LP","8.51632916846187","166.18","174.712","175.096","8.916","0.384","3","69",""
"25","R_3RjDO4bIMIBqze9","standard","1","25","LP","19.8235243429556","176.105","195.937","196.269","20.164","0.332","3","72",""
"26","R_3RjDO4bIMIBqze9","standard","1","26","LP","19.8235243429556","197.28","217.116","217.457","20.177","0.341","3","75",""
"27","R_3RjDO4bIMIBqze9","standard","1","27","LP","3.49090909090909","218.469","221.968","222.386","3.917","0.418","3","78",""
"28","R_3RjDO4bIMIBqze9","standard","1","28","LP","8.51632916846187","223.404","231.922","232.705","9.301","0.783","3","81",""
"29","R_3RjDO4bIMIBqze9","standard","1","29","LP","8.51632916846187","233.708","242.226","242.67","8.962","0.444","3","84",""
"30","R_3RjDO4bIMIBqze9","standard","1","30","LP","1.25738905644119","243.673","244.939","245.397","1.724","0.458","3","87",""
"31","R_3RjDO4bIMIBqze9","standard","1","31","LP","3.49090909090909","246.407","249.914","250.601","4.194","0.687","3","90",""
"32","R_3RjDO4bIMIBqze9","standard","1","32","LP","0.661783713916415","251.613","252.283","252.897","1.284","0.614","3","93",""
"33","R_3RjDO4bIMIBqze9","standard","1","33","LP","3.49090909090909","253.916","257.42","257.794","3.878","0.374","3","96",""
"34","R_3RjDO4bIMIBqze9","standard","1","34","LP","2.15079707022835","258.804","260.962","261.419","2.615","0.457","3","99",""
"35","R_3RjDO4bIMIBqze9","standard","1","35","LP","3.49090909090909","262.429","265.924","266.337","3.908","0.413","3","102",""
"36","R_3RjDO4bIMIBqze9","standard","1","36","LP","0.661783713916415","267.344","268.023","268.467","1.123","0.444","3","105",""
"37","R_3RjDO4bIMIBqze9","standard","1","37","LP","13.0392072382594","269.476","282.519","282.89","13.414","0.371","3","108",""
"38","R_3RjDO4bIMIBqze9","standard","1","38","LP","2.15079707022835","283.903","286.054","286.539","2.636","0.485","3","111",""
"39","R_3RjDO4bIMIBqze9","standard","1","39","LP","0.661783713916415","287.547","288.21","288.7","1.153","0.49","3","114",""
