"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3RvJhcf0GInSph2","standard","1","1","HP","8","0.001","8.006","8.281","8.28","0.275","3","3",""
"2","R_3RvJhcf0GInSph2","standard","1","2","HP","12","9.284","21.288","21.537","12.253","0.249","3","6",""
"3","R_3RvJhcf0GInSph2","standard","1","3","HP","16","22.541","38.544","38.818","16.277","0.274","3","9",""
"4","R_3RvJhcf0GInSph2","standard","1","4","HP","6","39.82","45.824","46.199","6.379","0.375","3","12",""
"5","R_3RvJhcf0GInSph2","standard","1","5","HP","20","47.201","67.205","67.481","20.28","0.276","3","15",""
"6","R_3RvJhcf0GInSph2","standard","1","6","HP","6","68.484","74.488","74.775","6.291","0.287","3","18",""
"7","R_3RvJhcf0GInSph2","standard","1","7","HP","10","75.776","85.78","86.024","10.248","0.244","3","21",""
"8","R_3RvJhcf0GInSph2","standard","1","8","HP","2","87.029","89.031","89.422","2.393","0.391","3","24",""
"9","R_3RvJhcf0GInSph2","standard","1","9","HP","14","90.425","104.429","104.712","14.287","0.283","3","27",""
"10","R_3RvJhcf0GInSph2","standard","1","10","HP","12","105.713","117.715","117.992","12.279","0.277","3","30",""
"11","R_3RvJhcf0GInSph2","standard","1","11","HP","20","118.993","138.996","139.24","20.247","0.244","3","33",""
"12","R_3RvJhcf0GInSph2","standard","1","12","HP","14","140.24","154.243","154.776","14.536","0.533","3","36",""
"13","R_3RvJhcf0GInSph2","standard","1","13","HP","8","155.78","163.783","164.046","8.266","0.263","3","39",""
"14","R_3RvJhcf0GInSph2","standard","1","14","HP","18","165.048","183.048","183.287","18.239","0.239","3","42",""
"15","R_3RvJhcf0GInSph2","standard","1","15","HP","18","184.287","202.287","202.575","18.288","0.288","3","45",""
"16","R_3RvJhcf0GInSph2","standard","1","16","HP","8","203.579","211.584","211.973","8.394","0.389","3","48",""
"17","R_3RvJhcf0GInSph2","standard","1","17","HP","4","212.976","216.979","217.294","4.318","0.315","3","51",""
"18","R_3RvJhcf0GInSph2","standard","1","18","HP","14","218.296","232.299","232.709","14.413","0.41","3","54",""
"19","R_3RvJhcf0GInSph2","standard","1","19","HP","20","233.711","253.715","253.999","20.288","0.284","3","57",""
"20","R_3RvJhcf0GInSph2","standard","1","20","HP","12","255.004","267.012","267.326","12.322","0.314","3","60",""
"21","R_3RvJhcf0GInSph2","standard","1","21","HP","10","268.328","278.332","278.654","10.326","0.322","3","63",""
"22","R_3RvJhcf0GInSph2","standard","1","22","HP","12","279.656","291.66","291.941","12.285","0.281","3","66",""
"23","R_3RvJhcf0GInSph2","standard","1","23","HP","12","292.943","304.944","305.271","12.328","0.327","3","69",""
"24","R_3RvJhcf0GInSph2","standard","1","24","HP","14","306.272","320.275","320.575","14.303","0.3","3","72",""
"25","R_3RvJhcf0GInSph2","standard","1","25","HP","4","321.576","325.577","326.181","4.605","0.604","3","75",""
"26","R_3RvJhcf0GInSph2","standard","1","26","HP","18","327.185","345.189","345.478","18.293","0.289","3","78",""
"27","R_3RvJhcf0GInSph2","standard","1","27","HP","14","346.48","360.483","360.744","14.264","0.261","3","81",""
"28","R_3RvJhcf0GInSph2","standard","1","28","HP","18","361.748","379.751","380.061","18.313","0.31","3","84",""
"29","R_3RvJhcf0GInSph2","standard","1","29","HP","6","381.065","387.068","387.421","6.356","0.353","3","87",""
"30","R_3RvJhcf0GInSph2","standard","1","30","HP","4","388.424","392.428","392.806","4.382","0.378","3","90",""
"31","R_3RvJhcf0GInSph2","standard","1","31","HP","4","393.809","397.812","398.197","4.388","0.385","3","93",""
"32","R_3RvJhcf0GInSph2","standard","1","32","HP","10","399.2","409.204","409.517","10.317","0.313","3","96",""
"33","R_3RvJhcf0GInSph2","standard","1","33","HP","6","410.52","416.524","416.829","6.309","0.305","3","99",""
"34","R_3RvJhcf0GInSph2","standard","1","34","HP","2","417.832","419.835","420.141","2.309","0.306","3","102",""
"35","R_3RvJhcf0GInSph2","standard","1","35","HP","2","421.144","423.148","423.501","2.357","0.353","3","105",""
"36","R_3RvJhcf0GInSph2","standard","1","36","HP","4","424.504","428.511","428.844","4.34","0.333","3","108",""
"37","R_3RvJhcf0GInSph2","standard","1","37","HP","6","429.847","435.852","436.149","6.302","0.297","3","111",""
"38","R_3RvJhcf0GInSph2","standard","1","38","HP","2","437.151","439.155","439.436","2.285","0.281","3","114",""
"39","R_3RvJhcf0GInSph2","standard","1","39","HP","20","440.44","460.443","460.725","20.285","0.282","3","117",""
"40","R_3RvJhcf0GInSph2","standard","1","40","HP","14","461.728","475.73","476.084","14.356","0.354","3","120",""
"41","R_3RvJhcf0GInSph2","standard","1","41","HP","8","477.087","485.088","485.492","8.405","0.404","3","123",""
"42","R_3RvJhcf0GInSph2","standard","1","42","HP","18","486.495","504.499","504.781","18.286","0.282","3","126",""
"43","R_3RvJhcf0GInSph2","standard","1","43","HP","2","505.784","507.784","508.285","2.501","0.501","3","129",""
"44","R_3RvJhcf0GInSph2","standard","1","44","HP","2","509.287","511.292","511.539","2.252","0.247","3","132",""
"45","R_3RvJhcf0GInSph2","standard","1","45","HP","2","512.544","514.547","515.061","2.517","0.514","3","135",""
"46","R_3RvJhcf0GInSph2","standard","1","46","HP","8","516.064","524.067","524.355","8.291","0.288","3","138",""
"47","R_3RvJhcf0GInSph2","standard","1","47","HP","18","525.356","543.359","543.669","18.313","0.31","3","141",""
"48","R_3RvJhcf0GInSph2","standard","1","48","HP","8","544.672","552.675","552.98","8.308","0.305","3","144",""
"49","R_3RvJhcf0GInSph2","standard","1","49","HP","8","553.983","561.988","562.268","8.285","0.28","3","147",""
"50","R_3RvJhcf0GInSph2","standard","1","50","HP","12","563.271","575.273","575.541","12.27","0.268","3","150",""
"51","R_3RvJhcf0GInSph2","standard","1","51","HP","16","576.544","592.548","592.828","16.284","0.28","3","153",""
"52","R_3RvJhcf0GInSph2","standard","1","52","HP","20","593.829","613.833","614.092","20.263","0.259","3","156",""
"53","R_3RvJhcf0GInSph2","standard","1","53","HP","2","615.096","617.099","617.443","2.347","0.344","3","159",""
"54","R_3RvJhcf0GInSph2","standard","1","54","HP","6","618.448","624.451","624.756","6.308","0.305","3","162",""
"55","R_3RvJhcf0GInSph2","standard","1","55","HP","4","625.759","629.763","630.083","4.324","0.32","3","165",""
"56","R_3RvJhcf0GInSph2","standard","1","56","HP","14","631.089","645.092","645.348","14.259","0.256","3","168",""
"57","R_3RvJhcf0GInSph2","standard","1","57","HP","16","646.351","662.352","662.612","16.261","0.26","3","171",""
"58","R_3RvJhcf0GInSph2","standard","1","58","HP","12","663.617","675.619","675.893","12.276","0.274","3","174",""
"59","R_3RvJhcf0GInSph2","standard","1","59","HP","6","676.896","682.899","683.186","6.29","0.287","3","177",""
"60","R_3RvJhcf0GInSph2","standard","1","60","HP","10","684.188","694.192","694.58","10.392","0.388","3","180",""
"61","R_3RvJhcf0GInSph2","standard","1","61","HP","4","695.584","699.587","699.915","4.331","0.328","3","183",""
"62","R_3RvJhcf0GInSph2","standard","1","62","HP","4","700.92","704.924","705.268","4.348","0.344","3","186",""
"63","R_3RvJhcf0GInSph2","standard","1","63","HP","16","706.271","722.272","722.692","16.421","0.42","3","189",""
"64","R_3RvJhcf0GInSph2","standard","1","64","HP","10","723.696","733.7","734.082","10.386","0.382","3","192",""
"65","R_3RvJhcf0GInSph2","standard","1","65","HP","14","735.084","749.087","749.362","14.278","0.275","3","195",""
"66","R_3RvJhcf0GInSph2","standard","1","66","HP","18","750.363","768.367","768.651","18.288","0.284","3","198",""
"67","R_3RvJhcf0GInSph2","standard","1","67","HP","18","769.656","787.66","787.939","18.283","0.279","3","201",""
"68","R_3RvJhcf0GInSph2","standard","1","68","HP","16","788.94","804.943","805.235","16.295","0.292","3","204",""
"69","R_3RvJhcf0GInSph2","standard","1","69","HP","2","806.24","808.244","808.986","2.746","0.742","3","207",""
"70","R_3RvJhcf0GInSph2","standard","1","70","HP","16","809.989","825.992","826.323","16.334","0.331","3","210",""
"71","R_3RvJhcf0GInSph2","standard","1","71","HP","12","827.324","839.328","839.581","12.257","0.253","3","213",""
"72","R_3RvJhcf0GInSph2","standard","1","72","HP","4","840.583","844.588","844.866","4.283","0.278","3","216",""
"73","R_3RvJhcf0GInSph2","standard","1","73","HP","8","845.868","853.868","854.131","8.263","0.263","3","219",""
"74","R_3RvJhcf0GInSph2","standard","1","74","HP","18","855.132","873.135","873.386","18.254","0.251","3","222",""
"75","R_3RvJhcf0GInSph2","standard","1","75","HP","12","874.387","886.389","886.682","12.295","0.293","3","225",""
"76","R_3RvJhcf0GInSph2","standard","1","76","HP","2","887.685","889.688","890.274","2.589","0.586","3","228",""
"77","R_3RvJhcf0GInSph2","standard","2","1","LP","0.264713485566566","0","0.265","0.723","0.723","0.458","3","231",NA
"78","R_3RvJhcf0GInSph2","standard","2","2","LP","0.661783713916415","1.725","NaN","1.986","0.261","NaN","0","231",NA
"79","R_3RvJhcf0GInSph2","standard","2","3","LP","0.264713485566566","2.989","3.256","3.571","0.582","0.315","3","234",NA
"80","R_3RvJhcf0GInSph2","standard","2","4","LP","0.661783713916415","4.572","NaN","4.801","0.229","NaN","0","234",NA
"81","R_3RvJhcf0GInSph2","standard","2","5","LP","19.8235243429556","5.805","NaN","6.162","0.357","NaN","0","234",NA
"82","R_3RvJhcf0GInSph2","standard","2","6","LP","0.661783713916415","7.165","7.829","8.121","0.956","0.292","3","237",NA
"83","R_3RvJhcf0GInSph2","standard","2","7","LP","0.264713485566566","9.125","9.392","9.571","0.446","0.179","3","240",NA
"84","R_3RvJhcf0GInSph2","standard","2","8","LP","2.15079707022835","10.573","NaN","10.795","0.222","NaN","0","240",NA
"85","R_3RvJhcf0GInSph2","standard","2","9","LP","8.51632916846187","11.797","NaN","14.162","2.365","NaN","0","240",NA
"86","R_3RvJhcf0GInSph2","standard","2","10","LP","0.264713485566566","15.164","15.429","15.754","0.59","0.325","3","243",NA
"87","R_3RvJhcf0GInSph2","standard","2","11","LP","8.51632916846187","16.757","NaN","16.994","0.237","NaN","0","243",NA
"88","R_3RvJhcf0GInSph2","standard","2","12","LP","0.661783713916415","17.996","NaN","18.621","0.625","NaN","0","243",NA
"89","R_3RvJhcf0GInSph2","standard","2","13","LP","2.15079707022835","19.625","21.776","22.027","2.402","0.251","3","246",NA
"90","R_3RvJhcf0GInSph2","standard","2","14","LP","0.264713485566566","23.03","23.297","23.626","0.596","0.329","3","249",NA
"91","R_3RvJhcf0GInSph2","standard","2","15","LP","1.25738905644119","24.63","NaN","25.61","0.98","NaN","0","249",NA
"92","R_3RvJhcf0GInSph2","standard","2","16","LP","0.661783713916415","26.614","NaN","27.17","0.556","NaN","0","249",NA
"93","R_3RvJhcf0GInSph2","standard","2","17","LP","13.0392072382594","28.174","NaN","30.682","2.508","NaN","0","249",NA
"94","R_3RvJhcf0GInSph2","standard","2","18","LP","1.25738905644119","31.685","NaN","32.787","1.102","NaN","0","249",NA
"95","R_3RvJhcf0GInSph2","standard","2","19","LP","19.8235243429556","33.79","NaN","34.658","0.868","NaN","0","249",NA
"96","R_3RvJhcf0GInSph2","standard","2","20","LP","0.264713485566566","35.661","35.93","36.274","0.613","0.344","3","252",NA
"97","R_3RvJhcf0GInSph2","standard","2","21","LP","30","37.276","NaN","37.513","0.237","NaN","0","252",NA
"98","R_3RvJhcf0GInSph2","standard","2","22","LP","3.49090909090909","38.517","NaN","41.474","2.957","NaN","0","252",NA
"99","R_3RvJhcf0GInSph2","standard","2","23","LP","30","42.477","NaN","45.226","2.749","NaN","0","252",NA
"100","R_3RvJhcf0GInSph2","standard","2","24","LP","0.264713485566566","46.229","46.498","46.841","0.612","0.343","3","255",NA
"101","R_3RvJhcf0GInSph2","standard","2","25","LP","2.15079707022835","47.845","NaN","49.849","2.004","NaN","0","255",NA
"102","R_3RvJhcf0GInSph2","standard","2","26","LP","0.264713485566566","50.852","51.118","51.419","0.567","0.301","3","258",NA
"103","R_3RvJhcf0GInSph2","standard","2","27","LP","1.25738905644119","52.421","NaN","53.217","0.796","NaN","0","258",NA
"104","R_3RvJhcf0GInSph2","standard","2","28","LP","30","54.218","NaN","57.373","3.155","NaN","0","258",NA
"105","R_3RvJhcf0GInSph2","standard","2","29","LP","3.49090909090909","58.373","NaN","61.37","2.997","NaN","0","258",NA
"106","R_3RvJhcf0GInSph2","standard","2","30","LP","1.25738905644119","62.373","63.634","63.953","1.58","0.319","3","261",NA
"107","R_3RvJhcf0GInSph2","standard","2","31","LP","0.264713485566566","64.958","65.225","65.57","0.612","0.345","3","264",NA
"108","R_3RvJhcf0GInSph2","standard","2","32","LP","13.0392072382594","66.574","NaN","67.065","0.491","NaN","0","264",NA
"109","R_3RvJhcf0GInSph2","standard","2","33","LP","0.661783713916415","68.069","68.732","69.066","0.997","0.334","3","267",NA
"110","R_3RvJhcf0GInSph2","standard","2","34","LP","5.5010771219302","70.069","NaN","70.898","0.829","NaN","0","267",NA
"111","R_3RvJhcf0GInSph2","standard","2","35","LP","19.8235243429556","71.901","NaN","74.25","2.349","NaN","0","267",NA
"112","R_3RvJhcf0GInSph2","standard","2","36","LP","5.5010771219302","75.253","NaN","77.13","1.877","NaN","0","267",NA
"113","R_3RvJhcf0GInSph2","standard","2","37","LP","5.5010771219302","78.134","NaN","81.035","2.901","NaN","0","267",NA
"114","R_3RvJhcf0GInSph2","standard","2","38","LP","0.661783713916415","82.038","82.701","82.954","0.916","0.253","3","270",NA
"115","R_3RvJhcf0GInSph2","standard","2","39","LP","8.51632916846187","83.957","NaN","86.721","2.764","NaN","0","270",NA
"116","R_3RvJhcf0GInSph2","standard","2","40","LP","2.15079707022835","87.725","NaN","88.209","0.484","NaN","0","270",NA
"117","R_3RvJhcf0GInSph2","standard","2","41","LP","2.15079707022835","89.213","91.365","91.667","2.454","0.302","3","273",NA
"118","R_3RvJhcf0GInSph2","standard","2","42","LP","30","92.669","NaN","96.386","3.717","NaN","0","273",NA
"119","R_3RvJhcf0GInSph2","standard","2","43","LP","19.8235243429556","97.389","NaN","100.69","3.301","NaN","0","273",NA
"120","R_3RvJhcf0GInSph2","standard","2","44","LP","1.25738905644119","101.693","102.953","103.299","1.606","0.346","3","276",NA
