"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3fCxGH0pr2b1C1N","standard","1","1","LP","0.264713485566566","0.001","0.267","NA","1.285","NA","0","0",""
"2","R_3fCxGH0pr2b1C1N","standard","1","2","LP","0.661783713916415","2.303","2.98","3.862","1.559","0.882","3","3",""
"3","R_3fCxGH0pr2b1C1N","standard","1","3","LP","2.15079707022835","4.881","7.036","7.74","2.859","0.704","3","3","692"
"4","R_3fCxGH0pr2b1C1N","standard","1","4","LP","8.51632916846187","8.747","17.281","17.955","9.208","0.674","3","3","5414"
"5","R_3fCxGH0pr2b1C1N","standard","1","5","LP","8.51632916846187","18.956","27.484","NA","9.546","NA","0","0","c(""6808"", ""7687"")"
"6","R_3fCxGH0pr2b1C1N","standard","1","6","LP","0.264713485566566","29.537","29.812","NA","1.275","NA","0","0",""
"7","R_3fCxGH0pr2b1C1N","standard","1","7","LP","0.264713485566566","31.814","32.085","32.822","1.008","0.737","3","3",""
"8","R_3fCxGH0pr2b1C1N","standard","1","8","LP","5.5010771219302","33.828","39.345","40.063","6.235","0.718","3","6",""
"9","R_3fCxGH0pr2b1C1N","standard","1","9","LP","3.49090909090909","41.085","44.593","45.471","4.386","0.878","3","9",""
"10","R_3fCxGH0pr2b1C1N","standard","1","10","LP","30","46.476","76.479","NA","31.026","NA","0","0","c(""13385"", ""21781"", ""23647"", ""26175"")"
"11","R_3fCxGH0pr2b1C1N","standard","1","11","LP","0.661783713916415","78.51","79.181","NA","1.686","NA","0","0",""
"12","R_3fCxGH0pr2b1C1N","standard","1","12","LP","19.8235243429556","81.225","101.061","NA","20.854","NA","0","0",""
"13","R_3fCxGH0pr2b1C1N","standard","1","13","LP","0.661783713916415","103.092","103.757","NA","1.673","NA","0","0",""
"14","R_3fCxGH0pr2b1C1N","standard","1","14","LP","0.264713485566566","105.777","106.045","NA","1.289","NA","0","0",""
