"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3fIF4uqIFKHR9VF","standard","1","1","LP","3.49090909090909","0.001","3.507","3.869","3.868","0.362","3","3",""
"2","R_3fIF4uqIFKHR9VF","standard","1","2","LP","3.49090909090909","4.874","8.371","8.741","3.867","0.37","3","6",""
"3","R_3fIF4uqIFKHR9VF","standard","1","3","LP","0.661783713916415","9.746","10.415","10.902","1.156","0.487","3","9",""
"4","R_3fIF4uqIFKHR9VF","standard","1","4","LP","13.0392072382594","11.911","24.954","25.248","13.337","0.294","3","12",""
"5","R_3fIF4uqIFKHR9VF","standard","1","5","LP","1.25738905644119","26.25","27.519","27.928","1.678","0.409","3","15",""
"6","R_3fIF4uqIFKHR9VF","standard","1","6","LP","30","28.94","58.946","59.276","30.336","0.33","3","18",""
"7","R_3fIF4uqIFKHR9VF","standard","1","7","LP","13.0392072382594","60.282","73.322","73.662","13.38","0.34","3","21",""
"8","R_3fIF4uqIFKHR9VF","standard","1","8","LP","30","74.666","104.685","104.961","30.295","0.276","3","24",""
"9","R_3fIF4uqIFKHR9VF","standard","1","9","LP","5.5010771219302","105.97","111.475","111.794","5.824","0.319","3","27",""
"10","R_3fIF4uqIFKHR9VF","standard","1","10","LP","5.5010771219302","112.802","118.307","118.707","5.905","0.4","3","30",""
"11","R_3fIF4uqIFKHR9VF","standard","1","11","LP","5.5010771219302","119.721","125.226","125.572","5.851","0.346","3","33",""
"12","R_3fIF4uqIFKHR9VF","standard","1","12","LP","1.25738905644119","126.578","127.842","128.252","1.674","0.41","3","36",""
"13","R_3fIF4uqIFKHR9VF","standard","1","13","LP","2.15079707022835","129.258","131.412","131.861","2.603","0.449","3","39",""
"14","R_3fIF4uqIFKHR9VF","standard","1","14","LP","0.661783713916415","132.866","133.53","133.925","1.059","0.395","3","42",""
"15","R_3fIF4uqIFKHR9VF","standard","1","15","LP","2.15079707022835","134.926","137.082","137.421","2.495","0.339","3","45",""
"16","R_3fIF4uqIFKHR9VF","standard","1","16","LP","13.0392072382594","138.438","151.482","151.831","13.393","0.349","3","48",""
"17","R_3fIF4uqIFKHR9VF","standard","1","17","LP","1.25738905644119","152.835","154.108","154.463","1.628","0.355","3","51",""
"18","R_3fIF4uqIFKHR9VF","standard","1","18","LP","3.49090909090909","155.466","158.97","159.344","3.878","0.374","3","54",""
"19","R_3fIF4uqIFKHR9VF","standard","1","19","LP","0.264713485566566","160.346","160.613","161.016","0.67","0.403","3","57",""
"20","R_3fIF4uqIFKHR9VF","standard","1","20","LP","5.5010771219302","162.018","167.523","167.865","5.847","0.342","3","60",""
"21","R_3fIF4uqIFKHR9VF","standard","1","21","LP","3.49090909090909","168.888","172.386","172.77","3.882","0.384","3","63",""
"22","R_3fIF4uqIFKHR9VF","standard","1","22","LP","3.49090909090909","173.778","177.274","177.562","3.784","0.288","3","66",""
"23","R_3fIF4uqIFKHR9VF","standard","1","23","LP","2.15079707022835","178.57","180.723","181.099","2.529","0.376","3","69",""
"24","R_3fIF4uqIFKHR9VF","standard","1","24","LP","5.5010771219302","182.122","187.625","187.988","5.866","0.363","3","72",""
"25","R_3fIF4uqIFKHR9VF","standard","1","25","LP","13.0392072382594","189.005","202.064","202.437","13.432","0.373","3","75",""
"26","R_3fIF4uqIFKHR9VF","standard","1","26","LP","0.661783713916415","203.442","204.11","204.509","1.067","0.399","3","78",""
"27","R_3fIF4uqIFKHR9VF","standard","1","27","LP","0.264713485566566","205.515","205.796","206.222","0.707","0.426","3","81",""
"28","R_3fIF4uqIFKHR9VF","standard","1","28","LP","2.15079707022835","207.226","209.378","209.75","2.524","0.372","3","84",""
"29","R_3fIF4uqIFKHR9VF","standard","1","29","LP","5.5010771219302","210.754","216.258","216.599","5.845","0.341","3","87",""
"30","R_3fIF4uqIFKHR9VF","standard","1","30","LP","5.5010771219302","217.601","223.113","223.472","5.871","0.359","3","90",""
