"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3fkhimIQX2X0U1n","standard","1","1","HP","8","0.001","8.009","8.295","8.294","0.286","3","3",""
"2","R_3fkhimIQX2X0U1n","standard","1","2","HP","2","9.298","11.306","11.665","2.367","0.359","3","6",""
"3","R_3fkhimIQX2X0U1n","standard","1","3","HP","8","12.679","20.686","21.045","8.366","0.359","3","9",""
"4","R_3fkhimIQX2X0U1n","standard","1","4","HP","2","22.054","24.07","24.448","2.394","0.378","3","12",""
"5","R_3fkhimIQX2X0U1n","standard","1","5","HP","12","25.455","37.464","37.771","12.316","0.307","3","15",""
"6","R_3fkhimIQX2X0U1n","standard","1","6","HP","18","38.781","56.781","57.192","18.411","0.411","3","18",""
"7","R_3fkhimIQX2X0U1n","standard","1","7","HP","18","58.194","76.199","76.573","18.379","0.374","3","21",""
"8","R_3fkhimIQX2X0U1n","standard","1","8","HP","10","77.588","87.601","87.93","10.342","0.329","3","24",""
"9","R_3fkhimIQX2X0U1n","standard","1","9","HP","8","88.944","96.948","97.41","8.466","0.462","3","27",""
"10","R_3fkhimIQX2X0U1n","standard","1","10","HP","2","98.421","100.432","100.87","2.449","0.438","3","30",""
"11","R_3fkhimIQX2X0U1n","standard","1","11","HP","18","101.884","119.897","120.267","18.383","0.37","3","33",""
"12","R_3fkhimIQX2X0U1n","standard","1","12","HP","4","121.271","125.273","125.617","4.346","0.344","3","36",""
"13","R_3fkhimIQX2X0U1n","standard","1","13","HP","20","126.628","146.639","147.047","20.419","0.408","3","39",""
"14","R_3fkhimIQX2X0U1n","standard","1","14","HP","10","148.058","158.07","158.456","10.398","0.386","3","42",""
"15","R_3fkhimIQX2X0U1n","standard","1","15","HP","16","159.458","175.464","175.759","16.301","0.295","3","45",""
"16","R_3fkhimIQX2X0U1n","standard","1","16","HP","14","176.772","190.786","191.14","14.368","0.354","3","48",""
"17","R_3fkhimIQX2X0U1n","standard","1","17","HP","20","192.145","212.16","212.59","20.445","0.43","3","51",""
"18","R_3fkhimIQX2X0U1n","standard","1","18","HP","8","213.605","221.606","221.944","8.339","0.338","3","54",""
"19","R_3fkhimIQX2X0U1n","standard","1","19","HP","2","222.956","224.963","225.352","2.396","0.389","3","57",""
"20","R_3fkhimIQX2X0U1n","standard","1","20","HP","16","226.362","242.372","242.658","16.296","0.286","3","60",""
"21","R_3fkhimIQX2X0U1n","standard","1","21","HP","8","243.666","251.672","252.028","8.362","0.356","3","63",""
"22","R_3fkhimIQX2X0U1n","standard","1","22","HP","6","253.039","259.047","259.368","6.329","0.321","3","66",""
"23","R_3fkhimIQX2X0U1n","standard","1","23","HP","10","260.375","270.381","270.74","10.365","0.359","3","69",""
"24","R_3fkhimIQX2X0U1n","standard","1","24","HP","2","271.755","273.759","274.239","2.484","0.48","3","72",""
"25","R_3fkhimIQX2X0U1n","standard","1","25","HP","14","275.24","289.255","289.583","14.343","0.328","3","75",""
"26","R_3fkhimIQX2X0U1n","standard","1","26","HP","20","290.595","310.597","310.896","20.301","0.299","3","78",""
"27","R_3fkhimIQX2X0U1n","standard","1","27","HP","4","311.902","315.91","316.338","4.436","0.428","3","81",""
"28","R_3fkhimIQX2X0U1n","standard","1","28","HP","16","317.347","333.359","333.676","16.329","0.317","3","84",""
"29","R_3fkhimIQX2X0U1n","standard","1","29","HP","18","334.684","352.685","353.048","18.364","0.363","3","87",""
"30","R_3fkhimIQX2X0U1n","standard","1","30","HP","20","354.056","374.072","374.413","20.357","0.341","3","90",""
"31","R_3fkhimIQX2X0U1n","standard","1","31","HP","18","375.428","393.431","393.805","18.377","0.374","3","93",""
"32","R_3fkhimIQX2X0U1n","standard","1","32","HP","4","394.808","398.822","399.239","4.431","0.417","3","96",""
"33","R_3fkhimIQX2X0U1n","standard","1","33","HP","12","400.243","412.244","412.637","12.394","0.393","3","99",""
"34","R_3fkhimIQX2X0U1n","standard","1","34","HP","6","413.652","419.665","420.066","6.414","0.401","3","102",""
"35","R_3fkhimIQX2X0U1n","standard","1","35","HP","14","421.077","435.079","435.383","14.306","0.304","3","105",""
"36","R_3fkhimIQX2X0U1n","standard","1","36","HP","8","436.39","444.405","444.757","8.367","0.352","3","108",""
"37","R_3fkhimIQX2X0U1n","standard","1","37","HP","20","445.76","465.774","466.233","20.473","0.459","3","111",""
"38","R_3fkhimIQX2X0U1n","standard","1","38","HP","12","467.241","479.255","479.648","12.407","0.393","3","114",""
"39","R_3fkhimIQX2X0U1n","standard","1","39","HP","14","480.656","494.667","495.025","14.369","0.358","3","117",""
"40","R_3fkhimIQX2X0U1n","standard","1","40","HP","2","496.031","498.032","498.505","2.474","0.473","3","120",""
"41","R_3fkhimIQX2X0U1n","standard","1","41","HP","18","499.516","517.529","517.867","18.351","0.338","3","123",""
"42","R_3fkhimIQX2X0U1n","standard","1","42","HP","6","518.874","524.887","525.322","6.448","0.435","3","126",""
"43","R_3fkhimIQX2X0U1n","standard","1","43","HP","16","526.327","542.329","542.686","16.359","0.357","3","129",""
"44","R_3fkhimIQX2X0U1n","standard","1","44","HP","18","543.697","561.705","562.07","18.373","0.365","3","132",""
"45","R_3fkhimIQX2X0U1n","standard","1","45","HP","8","563.074","571.088","571.496","8.422","0.408","3","135",""
"46","R_3fkhimIQX2X0U1n","standard","1","46","HP","8","572.506","580.51","580.902","8.396","0.392","3","138",""
"47","R_3fkhimIQX2X0U1n","standard","1","47","HP","4","581.909","585.92","586.325","4.416","0.405","3","141",""
"48","R_3fkhimIQX2X0U1n","standard","1","48","HP","6","587.328","593.333","593.719","6.391","0.386","3","144",""
"49","R_3fkhimIQX2X0U1n","standard","1","49","HP","16","594.73","610.744","611.088","16.358","0.344","3","147",""
"50","R_3fkhimIQX2X0U1n","standard","1","50","HP","4","612.101","616.108","616.49","4.389","0.382","3","150",""
"51","R_3fkhimIQX2X0U1n","standard","1","51","HP","6","617.498","623.509","624.073","6.575","0.564","3","153",""
"52","R_3fkhimIQX2X0U1n","standard","1","52","HP","14","625.078","639.082","639.417","14.339","0.335","3","156",""
"53","R_3fkhimIQX2X0U1n","standard","1","53","HP","10","640.424","650.427","650.787","10.363","0.36","3","159",""
"54","R_3fkhimIQX2X0U1n","standard","1","54","HP","10","651.798","661.807","662.154","10.356","0.347","3","162",""
"55","R_3fkhimIQX2X0U1n","standard","1","55","HP","16","663.166","679.17","679.524","16.358","0.354","3","165",""
"56","R_3fkhimIQX2X0U1n","standard","1","56","HP","16","680.525","696.533","696.867","16.342","0.334","3","168",""
"57","R_3fkhimIQX2X0U1n","standard","1","57","HP","18","697.876","715.888","716.263","18.387","0.375","3","171",""
