"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3flXln4bGWdeP9h","standard","1","1","LP","8.51632916846187","0.005","8.524","8.87","8.865","0.346","3","3",""
"2","R_3flXln4bGWdeP9h","standard","1","2","LP","30","9.887","39.897","40.223","30.336","0.326","3","6",""
"3","R_3flXln4bGWdeP9h","standard","1","3","LP","1.25738905644119","41.228","42.488","42.886","1.658","0.398","3","9",""
"4","R_3flXln4bGWdeP9h","standard","1","4","LP","1.25738905644119","43.896","45.16","45.533","1.637","0.373","3","12",""
"5","R_3flXln4bGWdeP9h","standard","1","5","LP","30","46.536","76.54","76.853","30.317","0.313","3","15",""
"6","R_3flXln4bGWdeP9h","standard","1","6","LP","19.8235243429556","77.854","97.691","98.107","20.253","0.416","3","18",""
"7","R_3flXln4bGWdeP9h","standard","1","7","LP","1.25738905644119","99.12","100.385","100.762","1.642","0.377","3","21",""
"8","R_3flXln4bGWdeP9h","standard","1","8","LP","2.15079707022835","101.767","103.918","104.269","2.502","0.351","3","24",""
"9","R_3flXln4bGWdeP9h","standard","1","9","LP","5.5010771219302","105.284","110.796","111.184","5.9","0.388","3","27",""
"10","R_3flXln4bGWdeP9h","standard","1","10","LP","0.661783713916415","112.196","112.862","113.192","0.996","0.33","3","30",""
"11","R_3flXln4bGWdeP9h","standard","1","11","LP","2.15079707022835","114.21","116.375","116.722","2.512","0.347","3","33",""
"12","R_3flXln4bGWdeP9h","standard","1","12","LP","0.264713485566566","117.726","118.008","118.481","0.755","0.473","3","36",""
"13","R_3flXln4bGWdeP9h","standard","1","13","LP","30","119.492","149.498","149.83","30.338","0.332","3","39",""
"14","R_3flXln4bGWdeP9h","standard","1","14","LP","2.15079707022835","150.834","152.997","153.399","2.565","0.402","3","42",""
"15","R_3flXln4bGWdeP9h","standard","1","15","LP","19.8235243429556","154.412","174.239","174.614","20.202","0.375","3","42","1527"
"16","R_3flXln4bGWdeP9h","standard","1","16","LP","1.25738905644119","175.615","176.88","177.261","1.646","0.381","3","45",""
