"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3g65q0VJjXmjC7R","standard","1","1","HP","20","0.001","20.007","20.373","20.372","0.366","3","3",""
"2","R_3g65q0VJjXmjC7R","standard","1","2","HP","14","21.375","35.381","35.734","14.359","0.353","3","6",""
"3","R_3g65q0VJjXmjC7R","standard","1","3","HP","10","36.738","46.741","47.142","10.404","0.401","3","9",""
"4","R_3g65q0VJjXmjC7R","standard","1","4","HP","4","48.144","52.148","52.599","4.455","0.451","3","12",""
"5","R_3g65q0VJjXmjC7R","standard","1","5","HP","20","53.6","73.606","73.989","20.389","0.383","3","15",""
"6","R_3g65q0VJjXmjC7R","standard","1","6","HP","8","74.991","82.996","83.388","8.397","0.392","3","18",""
"7","R_3g65q0VJjXmjC7R","standard","1","7","HP","4","84.39","88.394","88.801","4.411","0.407","3","21",""
"8","R_3g65q0VJjXmjC7R","standard","1","8","HP","14","89.804","103.808","104.23","14.426","0.422","3","24",""
"9","R_3g65q0VJjXmjC7R","standard","1","9","HP","2","105.232","107.237","107.675","2.443","0.438","3","27",""
"10","R_3g65q0VJjXmjC7R","standard","1","10","HP","6","108.677","114.682","115.069","6.392","0.387","3","30",""
"11","R_3g65q0VJjXmjC7R","standard","1","11","HP","12","116.072","128.075","128.486","12.414","0.411","3","33",""
"12","R_3g65q0VJjXmjC7R","standard","1","12","HP","12","129.488","141.493","141.932","12.444","0.439","3","36",""
"13","R_3g65q0VJjXmjC7R","standard","1","13","HP","2","142.936","144.939","145.413","2.477","0.474","3","39",""
"14","R_3g65q0VJjXmjC7R","standard","1","14","HP","18","146.414","164.415","164.773","18.359","0.358","3","42",""
"15","R_3g65q0VJjXmjC7R","standard","1","15","HP","12","165.777","177.782","178.122","12.345","0.34","3","45",""
"16","R_3g65q0VJjXmjC7R","standard","1","16","HP","12","179.123","191.125","191.552","12.429","0.427","3","48",""
"17","R_3g65q0VJjXmjC7R","standard","1","17","HP","14","192.556","206.56","206.949","14.393","0.389","3","51",""
"18","R_3g65q0VJjXmjC7R","standard","1","18","HP","10","207.951","217.957","218.323","10.372","0.366","3","54",""
"19","R_3g65q0VJjXmjC7R","standard","1","19","HP","16","219.326","235.328","235.703","16.377","0.375","3","57",""
"20","R_3g65q0VJjXmjC7R","standard","1","20","HP","20","236.704","256.71","257.08","20.376","0.37","3","60",""
"21","R_3g65q0VJjXmjC7R","standard","1","21","HP","6","258.082","264.087","264.526","6.444","0.439","3","63",""
"22","R_3g65q0VJjXmjC7R","standard","1","22","HP","20","265.53","285.535","285.947","20.417","0.412","3","66",""
"23","R_3g65q0VJjXmjC7R","standard","1","23","HP","12","286.951","298.957","299.394","12.443","0.437","3","69",""
"24","R_3g65q0VJjXmjC7R","standard","1","24","HP","8","300.396","308.397","308.818","8.422","0.421","3","72",""
"25","R_3g65q0VJjXmjC7R","standard","1","25","HP","20","309.819","329.821","330.225","20.406","0.404","3","75",""
