"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3hAzYkkNrXKDlN1","standard","1","1","LP","3.49090909090909","0.001","3.496","3.917","3.916","0.421","3","3",""
"2","R_3hAzYkkNrXKDlN1","standard","1","2","LP","8.51632916846187","4.934","13.461","13.794","8.86","0.333","3","6",""
"3","R_3hAzYkkNrXKDlN1","standard","1","3","LP","8.51632916846187","14.809","23.344","23.686","8.877","0.342","3","9",""
"4","R_3hAzYkkNrXKDlN1","standard","1","4","LP","19.8235243429556","24.693","44.525","44.868","20.175","0.343","3","12",""
"5","R_3hAzYkkNrXKDlN1","standard","1","5","LP","30","45.88","75.888","76.253","30.373","0.365","3","15",""
"6","R_3hAzYkkNrXKDlN1","standard","1","6","LP","1.25738905644119","77.259","78.529","78.927","1.668","0.398","3","18",""
"7","R_3hAzYkkNrXKDlN1","standard","1","7","LP","5.5010771219302","79.932","85.44","85.918","5.986","0.478","3","21",""
"8","R_3hAzYkkNrXKDlN1","standard","1","8","LP","8.51632916846187","86.921","95.44","95.848","8.927","0.408","3","24",""
"9","R_3hAzYkkNrXKDlN1","standard","1","9","LP","1.25738905644119","96.852","98.12","98.595","1.743","0.475","3","27",""
"10","R_3hAzYkkNrXKDlN1","standard","1","10","LP","13.0392072382594","99.612","112.652","113.042","13.43","0.39","3","30",""
"11","R_3hAzYkkNrXKDlN1","standard","1","11","LP","13.0392072382594","114.048","127.097","127.534","13.486","0.437","3","33",""
"12","R_3hAzYkkNrXKDlN1","standard","1","12","LP","13.0392072382594","128.547","141.596","142.133","13.586","0.537","3","36",""
"13","R_3hAzYkkNrXKDlN1","standard","1","13","LP","1.25738905644119","143.147","144.416","144.943","1.796","0.527","3","39",""
"14","R_3hAzYkkNrXKDlN1","standard","1","14","LP","5.5010771219302","145.949","151.457","151.935","5.986","0.478","3","42",""
"15","R_3hAzYkkNrXKDlN1","standard","1","15","LP","19.8235243429556","152.936","172.765","173.193","20.257","0.428","3","45",""
"16","R_3hAzYkkNrXKDlN1","standard","1","16","LP","2.15079707022835","174.199","176.356","176.84","2.641","0.484","3","48",""
"17","R_3hAzYkkNrXKDlN1","standard","1","17","LP","30","177.844","207.849","208.331","30.487","0.482","3","51",""
"18","R_3hAzYkkNrXKDlN1","standard","1","18","LP","0.264713485566566","209.336","209.605","210.165","0.829","0.56","3","54",""
"19","R_3hAzYkkNrXKDlN1","standard","1","19","LP","8.51632916846187","211.17","219.696","220.058","8.888","0.362","3","57",""
"20","R_3hAzYkkNrXKDlN1","standard","1","20","LP","2.15079707022835","221.064","223.224","223.746","2.682","0.522","3","60",""
"21","R_3hAzYkkNrXKDlN1","standard","1","21","LP","5.5010771219302","224.748","230.251","230.653","5.905","0.402","3","63",""
"22","R_3hAzYkkNrXKDlN1","standard","1","22","LP","2.15079707022835","231.668","233.827","234.214","2.546","0.387","3","66",""
"23","R_3hAzYkkNrXKDlN1","standard","1","23","LP","0.661783713916415","235.216","235.888","236.447","1.231","0.559","3","69",""
"24","R_3hAzYkkNrXKDlN1","standard","1","24","LP","8.51632916846187","237.452","245.972","246.509","9.057","0.537","3","72",""
"25","R_3hAzYkkNrXKDlN1","standard","1","25","LP","3.49090909090909","247.512","251.006","251.419","3.907","0.413","3","75",""
"26","R_3hAzYkkNrXKDlN1","standard","1","26","LP","2.15079707022835","252.426","254.581","255.031","2.605","0.45","3","78",""
"27","R_3hAzYkkNrXKDlN1","standard","1","27","LP","0.264713485566566","256.051","256.33","257.15","1.099","0.82","3","81",""
"28","R_3hAzYkkNrXKDlN1","standard","1","28","LP","8.51632916846187","258.156","266.687","267.07","8.914","0.383","3","84",""
"29","R_3hAzYkkNrXKDlN1","standard","1","29","LP","0.661783713916415","268.077","268.761","269.184","1.107","0.423","3","87",""
"30","R_3hAzYkkNrXKDlN1","standard","1","30","LP","2.15079707022835","270.194","272.361","272.754","2.56","0.393","3","90",""
"31","R_3hAzYkkNrXKDlN1","standard","1","31","LP","1.25738905644119","273.769","275.033","275.431","1.662","0.398","3","93",""
"32","R_3hAzYkkNrXKDlN1","standard","1","32","LP","8.51632916846187","276.436","284.961","285.333","8.897","0.372","3","96",""
"33","R_3hAzYkkNrXKDlN1","standard","1","33","LP","3.49090909090909","286.348","289.851","290.222","3.874","0.371","3","99",""
"34","R_3hAzYkkNrXKDlN1","standard","1","34","LP","8.51632916846187","291.224","299.742","300.119","8.895","0.377","3","102",""
"35","R_3hAzYkkNrXKDlN1","standard","1","35","LP","30","301.13","331.138","331.513","30.383","0.375","3","105",""
"36","R_3hAzYkkNrXKDlN1","standard","1","36","LP","3.49090909090909","332.514","336.01","336.582","4.068","0.572","3","108",""
"37","R_3hAzYkkNrXKDlN1","standard","1","37","LP","2.15079707022835","337.586","339.742","340.239","2.653","0.497","3","111",""
"38","R_3hAzYkkNrXKDlN1","standard","1","38","LP","5.5010771219302","341.25","346.766","347.258","6.008","0.492","3","114",""
"39","R_3hAzYkkNrXKDlN1","standard","1","39","LP","5.5010771219302","348.267","353.778","354.13","5.863","0.352","3","117",""
"40","R_3hAzYkkNrXKDlN1","standard","1","40","LP","19.8235243429556","355.134","374.981","375.403","20.269","0.422","3","120",""
"41","R_3hAzYkkNrXKDlN1","standard","1","41","LP","13.0392072382594","376.418","389.471","389.854","13.436","0.383","3","123",""
"42","R_3hAzYkkNrXKDlN1","standard","1","42","LP","0.661783713916415","390.858","391.527","NA","1.676","NA","0","123",""
"43","R_3hAzYkkNrXKDlN1","standard","1","43","LP","1.25738905644119","393.548","394.817","395.335","1.787","0.518","3","126",""
"44","R_3hAzYkkNrXKDlN1","standard","1","44","LP","30","396.35","426.36","426.726","30.376","0.366","3","129",""
"45","R_3hAzYkkNrXKDlN1","standard","1","45","LP","0.264713485566566","427.746","428.024","428.389","0.643","0.365","3","132",""
"46","R_3hAzYkkNrXKDlN1","standard","1","46","LP","5.5010771219302","429.394","434.904","435.318","5.924","0.414","3","135",""
"47","R_3hAzYkkNrXKDlN1","standard","1","47","LP","0.661783713916415","436.32","436.99","437.405","1.085","0.415","3","138",""
"48","R_3hAzYkkNrXKDlN1","standard","1","48","LP","19.8235243429556","438.408","458.239","458.685","20.277","0.446","3","141",""
"49","R_3hAzYkkNrXKDlN1","standard","1","49","LP","30","459.701","489.717","490.097","30.396","0.38","3","144",""
"50","R_3hAzYkkNrXKDlN1","standard","1","50","LP","0.264713485566566","491.111","491.389","491.756","0.645","0.367","3","147",""
"51","R_3hAzYkkNrXKDlN1","standard","1","51","LP","8.51632916846187","492.762","501.294","501.647","8.885","0.353","3","150",""
"52","R_3hAzYkkNrXKDlN1","standard","1","52","LP","2.15079707022835","502.657","504.829","505.269","2.612","0.44","3","153",""
"53","R_3hAzYkkNrXKDlN1","standard","1","53","LP","30","506.279","536.291","536.717","30.438","0.426","3","156",""
"54","R_3hAzYkkNrXKDlN1","standard","1","54","LP","30","537.725","567.729","568.126","30.401","0.397","3","159",""
"55","R_3hAzYkkNrXKDlN1","standard","1","55","LP","8.51632916846187","569.131","577.658","578.037","8.906","0.379","3","162",""
"56","R_3hAzYkkNrXKDlN1","standard","1","56","LP","0.661783713916415","579.048","579.72","580.038","0.99","0.318","3","165",""
"57","R_3hAzYkkNrXKDlN1","standard","1","57","LP","0.264713485566566","581.048","581.332","581.713","0.665","0.381","3","168",""
"58","R_3hAzYkkNrXKDlN1","standard","1","58","LP","8.51632916846187","582.722","591.241","591.654","8.932","0.413","3","171",""
"59","R_3hAzYkkNrXKDlN1","standard","1","59","LP","19.8235243429556","592.666","612.504","612.887","20.221","0.383","3","174",""
"60","R_3hAzYkkNrXKDlN1","standard","1","60","LP","5.5010771219302","613.89","619.403","619.813","5.923","0.41","3","177",""
"61","R_3hAzYkkNrXKDlN1","standard","1","61","LP","19.8235243429556","620.823","640.652","641.207","20.384","0.555","3","180",""
"62","R_3hAzYkkNrXKDlN1","standard","1","62","LP","5.5010771219302","642.21","647.716","648.072","5.862","0.356","3","183",""
"63","R_3hAzYkkNrXKDlN1","standard","1","63","LP","0.661783713916415","649.081","649.75","650.096","1.015","0.346","3","186",""
"64","R_3hAzYkkNrXKDlN1","standard","1","64","LP","13.0392072382594","651.099","664.15","664.56","13.461","0.41","3","189",""
"65","R_3hAzYkkNrXKDlN1","standard","1","65","LP","5.5010771219302","665.569","671.078","671.498","5.929","0.42","3","192",""
"66","R_3hAzYkkNrXKDlN1","standard","1","66","LP","19.8235243429556","672.511","692.342","692.765","20.254","0.423","3","195",""
"67","R_3hAzYkkNrXKDlN1","standard","1","67","LP","3.49090909090909","693.781","697.285","697.674","3.893","0.389","3","198",""
"68","R_3hAzYkkNrXKDlN1","standard","1","68","LP","1.25738905644119","698.685","699.95","700.374","1.689","0.424","3","201",""
"69","R_3hAzYkkNrXKDlN1","standard","1","69","LP","8.51632916846187","701.392","709.917","710.326","8.934","0.409","3","204",""
"70","R_3hAzYkkNrXKDlN1","standard","1","70","LP","0.264713485566566","711.339","711.613","712.076","0.737","0.463","3","207",""
"71","R_3hAzYkkNrXKDlN1","standard","1","71","LP","5.5010771219302","713.078","718.585","718.95","5.872","0.365","3","210",""
"72","R_3hAzYkkNrXKDlN1","standard","1","72","LP","0.264713485566566","719.962","720.23","720.629","0.667","0.399","3","213",""
"73","R_3hAzYkkNrXKDlN1","standard","1","73","LP","0.264713485566566","721.634","721.909","722.299","0.665","0.39","3","216",""
"74","R_3hAzYkkNrXKDlN1","standard","1","74","LP","0.661783713916415","723.314","723.99","724.337","1.023","0.347","3","219",""
"75","R_3hAzYkkNrXKDlN1","standard","1","75","LP","2.15079707022835","725.341","727.494","727.922","2.581","0.428","3","222",""
"76","R_3hAzYkkNrXKDlN1","standard","1","76","LP","0.264713485566566","728.938","729.206","729.646","0.708","0.44","3","225",""
"77","R_3hAzYkkNrXKDlN1","standard","1","77","LP","19.8235243429556","730.657","750.49","751.014","20.357","0.524","3","225","12902"
"78","R_3hAzYkkNrXKDlN1","standard","1","78","LP","0.264713485566566","752.034","752.31","752.696","0.662","0.386","3","228",""
"79","R_3hAzYkkNrXKDlN1","standard","1","79","LP","19.8235243429556","753.697","773.535","774.02","20.323","0.485","3","231",""
"80","R_3hAzYkkNrXKDlN1","standard","1","80","LP","8.51632916846187","775.035","783.562","784.097","9.062","0.535","3","234",""
"81","R_3hAzYkkNrXKDlN1","standard","1","81","LP","8.51632916846187","785.122","793.64","794.026","8.904","0.386","3","237",""
"82","R_3hAzYkkNrXKDlN1","standard","1","82","LP","1.25738905644119","795.042","796.31","796.745","1.703","0.435","3","240",""
"83","R_3hAzYkkNrXKDlN1","standard","1","83","LP","0.264713485566566","797.758","798.028","798.413","0.655","0.385","3","243",""
"84","R_3hAzYkkNrXKDlN1","standard","1","84","LP","3.49090909090909","799.42","802.918","803.338","3.918","0.42","3","246",""
"85","R_3hAzYkkNrXKDlN1","standard","1","85","LP","0.264713485566566","804.35","804.619","805.072","0.722","0.453","3","249",""
"86","R_3hAzYkkNrXKDlN1","standard","1","86","LP","0.661783713916415","806.09","806.759","807.145","1.055","0.386","3","252",""
"87","R_3hAzYkkNrXKDlN1","standard","1","87","LP","0.661783713916415","808.152","808.823","809.177","1.025","0.354","3","255",""
"88","R_3hAzYkkNrXKDlN1","standard","1","88","LP","13.0392072382594","810.182","823.234","823.652","13.47","0.418","3","258",""
"89","R_3hAzYkkNrXKDlN1","standard","1","89","LP","13.0392072382594","824.673","837.718","838.237","13.564","0.519","3","261",""
"90","R_3hAzYkkNrXKDlN1","standard","1","90","LP","0.661783713916415","839.247","839.918","840.242","0.995","0.324","3","264",""
"91","R_3hAzYkkNrXKDlN1","standard","1","91","LP","19.8235243429556","841.251","861.077","861.52","20.269","0.443","3","267",""
"92","R_3hAzYkkNrXKDlN1","standard","1","92","LP","2.15079707022835","862.532","864.697","865.168","2.636","0.471","3","270",""
"93","R_3hAzYkkNrXKDlN1","standard","1","93","LP","1.25738905644119","866.184","867.452","867.832","1.648","0.38","3","273",""
"94","R_3hAzYkkNrXKDlN1","standard","1","94","LP","1.25738905644119","868.838","870.103","870.492","1.654","0.389","3","276",""
"95","R_3hAzYkkNrXKDlN1","standard","1","95","LP","19.8235243429556","871.506","891.344","891.79","20.284","0.446","3","279",""
"96","R_3hAzYkkNrXKDlN1","standard","2","1","LP","3.49090909090909","0","3.501","4.027","4.027","0.526","3","282",NA
"97","R_3hAzYkkNrXKDlN1","standard","2","2","LP","0.264713485566566","5.033","5.312","5.714","0.681","0.402","3","285",NA
"98","R_3hAzYkkNrXKDlN1","standard","2","3","LP","13.0392072382594","6.72","NaN","15.202","8.482","NaN","0","285",NA
"99","R_3hAzYkkNrXKDlN1","standard","2","4","LP","2.15079707022835","16.212","18.373","18.774","2.562","0.401","3","288",NA
"100","R_3hAzYkkNrXKDlN1","standard","2","5","LP","0.264713485566566","19.786","20.067","20.459","0.673","0.392","3","291",NA
"101","R_3hAzYkkNrXKDlN1","standard","2","6","LP","0.661783713916415","21.469","22.132","22.452","0.983","0.32","3","294",NA
"102","R_3hAzYkkNrXKDlN1","standard","2","7","LP","13.0392072382594","23.473","NaN","28.748","5.275","NaN","0","294",NA
"103","R_3hAzYkkNrXKDlN1","standard","2","8","LP","13.0392072382594","29.76","NaN","41.1","11.34","NaN","0","294",NA
"104","R_3hAzYkkNrXKDlN1","standard","2","9","LP","3.49090909090909","42.109","45.616","46.052","3.943","0.436","3","297",NA
"105","R_3hAzYkkNrXKDlN1","standard","2","10","LP","30","47.066","NaN","55.082","8.016","NaN","0","297",NA
"106","R_3hAzYkkNrXKDlN1","standard","2","11","LP","8.51632916846187","56.094","64.631","65.086","8.992","0.455","3","300",NA
"107","R_3hAzYkkNrXKDlN1","standard","2","12","LP","5.5010771219302","66.094","71.602","72.071","5.977","0.469","3","303",NA
"108","R_3hAzYkkNrXKDlN1","standard","2","13","LP","5.5010771219302","73.074","78.582","79.206","6.132","0.624","3","306",NA
"109","R_3hAzYkkNrXKDlN1","standard","2","14","LP","5.5010771219302","80.217","85.723","86.155","5.938","0.432","3","309",NA
"110","R_3hAzYkkNrXKDlN1","standard","2","15","LP","30","87.165","NaN","98.663","11.498","NaN","0","309",NA
"111","R_3hAzYkkNrXKDlN1","standard","2","16","LP","19.8235243429556","99.677","NaN","111.746","12.069","NaN","0","309",NA
"112","R_3hAzYkkNrXKDlN1","standard","2","17","LP","2.15079707022835","112.749","114.913","115.414","2.665","0.501","3","312",NA
"113","R_3hAzYkkNrXKDlN1","standard","2","18","LP","0.264713485566566","116.42","116.697","117.153","0.733","0.456","3","315",NA
"114","R_3hAzYkkNrXKDlN1","standard","2","19","LP","0.264713485566566","118.161","118.429","118.793","0.632","0.364","3","318",NA
"115","R_3hAzYkkNrXKDlN1","standard","2","20","LP","19.8235243429556","119.805","NaN","129.036","9.231","NaN","0","318",NA
"116","R_3hAzYkkNrXKDlN1","standard","2","21","LP","2.15079707022835","130.041","132.205","132.577","2.536","0.372","3","321",NA
"117","R_3hAzYkkNrXKDlN1","standard","2","22","LP","19.8235243429556","133.581","NaN","144.104","10.523","NaN","0","321",NA
"118","R_3hAzYkkNrXKDlN1","standard","2","23","LP","30","145.111","NaN","156.345","11.234","NaN","0","321",NA
"119","R_3hAzYkkNrXKDlN1","standard","2","24","LP","0.264713485566566","157.354","157.623","158.082","0.728","0.459","3","324",NA
"120","R_3hAzYkkNrXKDlN1","standard","2","25","LP","2.15079707022835","159.095","161.258","161.659","2.564","0.401","3","327",NA
"121","R_3hAzYkkNrXKDlN1","standard","2","26","LP","13.0392072382594","162.674","175.722","176.034","13.36","0.312","3","330",NA
"122","R_3hAzYkkNrXKDlN1","standard","2","27","LP","0.264713485566566","177.039","177.308","177.855","0.816","0.547","3","333",NA
"123","R_3hAzYkkNrXKDlN1","standard","2","28","LP","19.8235243429556","178.873","NaN","193.488","14.615","NaN","0","333",NA
"124","R_3hAzYkkNrXKDlN1","standard","2","29","LP","2.15079707022835","194.5","196.654","197.04","2.54","0.386","3","336",NA
"125","R_3hAzYkkNrXKDlN1","standard","2","30","LP","30","198.055","NaN","207.31","9.255","NaN","0","336",NA
"126","R_3hAzYkkNrXKDlN1","standard","2","31","LP","2.15079707022835","208.316","210.474","210.9","2.584","0.426","3","339",NA
"127","R_3hAzYkkNrXKDlN1","standard","2","32","LP","0.264713485566566","211.907","212.176","212.598","0.691","0.422","3","342",NA
"128","R_3hAzYkkNrXKDlN1","standard","2","33","LP","13.0392072382594","213.612","226.656","226.835","13.223","0.179","3","345",NA
"129","R_3hAzYkkNrXKDlN1","standard","2","34","LP","5.5010771219302","227.843","233.36","233.739","5.896","0.379","3","348",NA
"130","R_3hAzYkkNrXKDlN1","standard","2","35","LP","3.49090909090909","234.751","238.255","238.677","3.926","0.422","3","351",NA
"131","R_3hAzYkkNrXKDlN1","standard","2","36","LP","19.8235243429556","239.679","NaN","252.664","12.985","NaN","0","351",NA
"132","R_3hAzYkkNrXKDlN1","standard","2","37","LP","30","253.67","NaN","264.851","11.181","NaN","0","351",NA
"133","R_3hAzYkkNrXKDlN1","standard","2","38","LP","13.0392072382594","265.856","278.906","279.434","13.578","0.528","3","354",NA
"134","R_3hAzYkkNrXKDlN1","standard","2","39","LP","30","280.446","NaN","296.21","15.764","NaN","0","354",NA
"135","R_3hAzYkkNrXKDlN1","standard","2","40","LP","8.51632916846187","297.217","305.741","306.178","8.961","0.437","3","357",NA
"136","R_3hAzYkkNrXKDlN1","standard","2","41","LP","0.661783713916415","307.19","307.859","308.263","1.073","0.404","3","360",NA
"137","R_3hAzYkkNrXKDlN1","standard","2","42","LP","0.661783713916415","309.264","309.928","310.379","1.115","0.451","3","363",NA
"138","R_3hAzYkkNrXKDlN1","standard","2","43","LP","19.8235243429556","311.382","NaN","324.839","13.457","NaN","0","363",NA
"139","R_3hAzYkkNrXKDlN1","standard","2","44","LP","1.25738905644119","325.853","327.122","327.592","1.739","0.47","3","366",NA
"140","R_3hAzYkkNrXKDlN1","standard","2","45","LP","3.49090909090909","328.593","332.097","332.528","3.935","0.431","3","369",NA
"141","R_3hAzYkkNrXKDlN1","standard","2","46","LP","1.25738905644119","333.53","334.799","335.281","1.751","0.482","3","372",NA
"142","R_3hAzYkkNrXKDlN1","standard","2","47","LP","2.15079707022835","336.285","338.45","338.911","2.626","0.461","3","375",NA
"143","R_3hAzYkkNrXKDlN1","standard","2","48","LP","0.661783713916415","339.922","340.592","340.995","1.073","0.403","3","378",NA
"144","R_3hAzYkkNrXKDlN1","standard","2","49","LP","0.264713485566566","342.009","342.3","342.66","0.651","0.36","3","381",NA
"145","R_3hAzYkkNrXKDlN1","standard","2","50","LP","0.661783713916415","343.671","344.342","344.763","1.092","0.421","3","384",NA
"146","R_3hAzYkkNrXKDlN1","standard","2","51","LP","30","345.775","NaN","351.315","5.54","NaN","0","384",NA
"147","R_3hAzYkkNrXKDlN1","standard","2","52","LP","2.15079707022835","352.319","354.479","354.901","2.582","0.422","3","387",NA
"148","R_3hAzYkkNrXKDlN1","standard","2","53","LP","0.264713485566566","355.902","356.178","356.545","0.643","0.367","3","390",NA
"149","R_3hAzYkkNrXKDlN1","standard","2","54","LP","0.264713485566566","357.559","357.826","358.209","0.65","0.383","3","393",NA
"150","R_3hAzYkkNrXKDlN1","standard","2","55","LP","0.661783713916415","359.224","359.898","360.305","1.081","0.407","3","396",NA
"151","R_3hAzYkkNrXKDlN1","standard","2","56","LP","8.51632916846187","361.306","NaN","367.05","5.744","NaN","0","396",NA
"152","R_3hAzYkkNrXKDlN1","standard","2","57","LP","30","368.062","NaN","374.073","6.011","NaN","0","396",NA
"153","R_3hAzYkkNrXKDlN1","standard","2","58","LP","13.0392072382594","375.079","NaN","384.31","9.231","NaN","0","396",NA
"154","R_3hAzYkkNrXKDlN1","standard","2","59","LP","19.8235243429556","385.317","NaN","397.386","12.069","NaN","0","396",NA
"155","R_3hAzYkkNrXKDlN1","standard","2","60","LP","2.15079707022835","398.395","400.552","400.984","2.589","0.432","3","399",NA
"156","R_3hAzYkkNrXKDlN1","standard","2","61","LP","1.25738905644119","401.985","403.258","403.674","1.689","0.416","3","402",NA
"157","R_3hAzYkkNrXKDlN1","standard","2","62","LP","0.661783713916415","404.675","405.345","405.695","1.02","0.35","3","405",NA
"158","R_3hAzYkkNrXKDlN1","standard","2","63","LP","13.0392072382594","406.709","NaN","412.119","5.41","NaN","0","405",NA
"159","R_3hAzYkkNrXKDlN1","standard","2","64","LP","8.51632916846187","413.133","NaN","413.486","0.353","NaN","0","405",NA
"160","R_3hAzYkkNrXKDlN1","standard","2","65","LP","0.264713485566566","414.49","414.76","414.893","0.403","0.133","3","408",NA
"161","R_3hAzYkkNrXKDlN1","standard","2","66","LP","0.661783713916415","415.894","416.562","417.095","1.201","0.533","3","411",NA
"162","R_3hAzYkkNrXKDlN1","standard","2","67","LP","8.51632916846187","418.11","NaN","422.608","4.498","NaN","0","411",NA
"163","R_3hAzYkkNrXKDlN1","standard","2","68","LP","5.5010771219302","423.615","NaN","428.012","4.397","NaN","0","411",NA
"164","R_3hAzYkkNrXKDlN1","standard","2","69","LP","30","429.02","NaN","435.077","6.057","NaN","0","411",NA
"165","R_3hAzYkkNrXKDlN1","standard","2","70","LP","13.0392072382594","436.084","NaN","444.18","8.096","NaN","0","411",NA
"166","R_3hAzYkkNrXKDlN1","standard","2","71","LP","5.5010771219302","445.2","450.705","451.339","6.139","0.634","3","414",NA
"167","R_3hAzYkkNrXKDlN1","standard","2","72","LP","2.15079707022835","452.343","454.512","454.904","2.561","0.392","3","417",NA
"168","R_3hAzYkkNrXKDlN1","standard","2","73","LP","3.49090909090909","455.915","459.42","459.863","3.948","0.443","3","420",NA
"169","R_3hAzYkkNrXKDlN1","standard","2","74","LP","1.25738905644119","460.877","462.141","462.504","1.627","0.363","3","423",NA
"170","R_3hAzYkkNrXKDlN1","standard","2","75","LP","19.8235243429556","463.506","NaN","470.901","7.395","NaN","0","423",NA
"171","R_3hAzYkkNrXKDlN1","standard","2","76","LP","30","471.914","NaN","477.641","5.727","NaN","0","423",NA
"172","R_3hAzYkkNrXKDlN1","standard","2","77","LP","0.661783713916415","478.651","479.319","479.769","1.118","0.45","3","426",NA
"173","R_3hAzYkkNrXKDlN1","standard","2","78","LP","3.49090909090909","480.783","484.287","484.733","3.95","0.446","3","429",NA
"174","R_3hAzYkkNrXKDlN1","standard","2","79","LP","0.264713485566566","485.736","486.002","486.47","0.734","0.468","3","432",NA
"175","R_3hAzYkkNrXKDlN1","standard","2","80","LP","30","487.474","NaN","494.066","6.592","NaN","0","432",NA
"176","R_3hAzYkkNrXKDlN1","standard","2","81","LP","30","495.08","NaN","498.254","3.174","NaN","0","432",NA
"177","R_3hAzYkkNrXKDlN1","standard","2","82","LP","8.51632916846187","499.262","NaN","503.244","3.982","NaN","0","432",NA
"178","R_3hAzYkkNrXKDlN1","standard","2","83","LP","5.5010771219302","504.266","509.775","510.229","5.963","0.454","3","435",NA
"179","R_3hAzYkkNrXKDlN1","standard","2","84","LP","2.15079707022835","511.238","513.394","514.038","2.8","0.644","3","438",NA
"180","R_3hAzYkkNrXKDlN1","standard","2","85","LP","3.49090909090909","515.044","518.544","518.921","3.877","0.377","3","441",NA
"181","R_3hAzYkkNrXKDlN1","standard","2","86","LP","0.264713485566566","519.93","520.199","520.894","0.964","0.695","3","444",NA
"182","R_3hAzYkkNrXKDlN1","standard","2","87","LP","5.5010771219302","521.903","527.41","527.875","5.972","0.465","3","447",NA
"183","R_3hAzYkkNrXKDlN1","standard","2","88","LP","30","528.876","NaN","534.054","5.178","NaN","0","447",NA
"184","R_3hAzYkkNrXKDlN1","standard","2","89","LP","0.661783713916415","535.068","535.741","536.146","1.078","0.405","3","450",NA
"185","R_3hAzYkkNrXKDlN1","standard","2","90","LP","30","537.162","NaN","543.692","6.53","NaN","0","450",NA
"186","R_3hAzYkkNrXKDlN1","standard","2","91","LP","19.8235243429556","544.693","NaN","549.04","4.347","NaN","0","450",NA
"187","R_3hAzYkkNrXKDlN1","standard","2","92","LP","13.0392072382594","550.044","NaN","555.501","5.457","NaN","0","450",NA
"188","R_3hAzYkkNrXKDlN1","standard","2","93","LP","0.661783713916415","556.513","557.178","557.609","1.096","0.431","3","453",NA
"189","R_3hAzYkkNrXKDlN1","standard","2","94","LP","1.25738905644119","558.618","559.881","560.244","1.626","0.363","3","456",NA
"190","R_3hAzYkkNrXKDlN1","standard","2","95","LP","5.5010771219302","561.25","566.766","567.31","6.06","0.544","3","459",NA
"191","R_3hAzYkkNrXKDlN1","standard","2","96","LP","3.49090909090909","568.325","571.83","572.242","3.917","0.412","3","462",NA
"192","R_3hAzYkkNrXKDlN1","standard","2","97","LP","0.661783713916415","573.246","573.922","574.405","1.159","0.483","3","465",NA
"193","R_3hAzYkkNrXKDlN1","standard","2","98","LP","2.15079707022835","575.414","577.569","578.073","2.659","0.504","3","468",NA
