"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3lGETAXFPpsEeUS","standard","1","1","HP","16","0.003","16.009","16.353","16.35","0.344","3","3",""
"2","R_3lGETAXFPpsEeUS","standard","1","2","HP","6","17.365","23.387","23.818","6.453","0.431","3","6",""
"3","R_3lGETAXFPpsEeUS","standard","1","3","HP","4","24.821","28.823","29.488","4.667","0.665","3","9",""
"4","R_3lGETAXFPpsEeUS","standard","1","4","HP","10","30.506","40.522","40.897","10.391","0.375","3","12",""
"5","R_3lGETAXFPpsEeUS","standard","1","5","HP","18","41.903","59.921","60.208","18.305","0.287","3","15",""
"6","R_3lGETAXFPpsEeUS","standard","1","6","HP","12","61.214","73.22","73.889","12.675","0.669","3","18",""
"7","R_3lGETAXFPpsEeUS","standard","1","7","HP","16","74.907","90.922","91.146","16.239","0.224","3","21",""
"8","R_3lGETAXFPpsEeUS","standard","1","8","HP","6","92.149","98.156","98.752","6.603","0.596","3","24",""
"9","R_3lGETAXFPpsEeUS","standard","1","9","HP","20","99.755","119.762","120.098","20.343","0.336","3","27",""
"10","R_3lGETAXFPpsEeUS","standard","1","10","HP","2","121.116","123.131","123.544","2.428","0.413","3","30",""
"11","R_3lGETAXFPpsEeUS","standard","1","11","HP","6","124.56","130.564","131.03","6.47","0.466","3","33",""
"12","R_3lGETAXFPpsEeUS","standard","1","12","HP","20","132.038","152.054","152.434","20.396","0.38","3","36",""
"13","R_3lGETAXFPpsEeUS","standard","1","13","HP","20","153.44","173.445","173.84","20.4","0.395","3","39",""
"14","R_3lGETAXFPpsEeUS","standard","1","14","HP","18","174.842","192.844","193.224","18.382","0.38","3","42",""
"15","R_3lGETAXFPpsEeUS","standard","1","15","HP","4","194.229","198.24","198.84","4.611","0.6","3","45",""
"16","R_3lGETAXFPpsEeUS","standard","1","16","HP","12","199.847","211.853","212.224","12.377","0.371","3","48",""
"17","R_3lGETAXFPpsEeUS","standard","1","17","HP","18","213.238","231.239","231.529","18.291","0.29","3","51",""
"18","R_3lGETAXFPpsEeUS","standard","1","18","HP","12","232.532","244.555","244.929","12.397","0.374","3","54",""
"19","R_3lGETAXFPpsEeUS","standard","1","19","HP","18","245.935","263.943","264.303","18.368","0.36","3","57",""
"20","R_3lGETAXFPpsEeUS","standard","1","20","HP","4","265.314","269.316","270.051","4.737","0.735","3","60",""
"21","R_3lGETAXFPpsEeUS","standard","1","21","HP","8","271.066","279.081","279.56","8.494","0.479","3","63",""
"22","R_3lGETAXFPpsEeUS","standard","1","22","HP","10","280.581","290.589","291.077","10.496","0.488","3","66",""
"23","R_3lGETAXFPpsEeUS","standard","1","23","HP","12","292.085","304.102","304.516","12.431","0.414","3","69",""
"24","R_3lGETAXFPpsEeUS","standard","1","24","HP","8","305.527","313.537","313.962","8.435","0.425","3","72",""
"25","R_3lGETAXFPpsEeUS","standard","1","25","HP","12","314.97","326.98","327.349","12.379","0.369","3","75",""
"26","R_3lGETAXFPpsEeUS","standard","1","26","HP","12","328.357","340.365","340.712","12.355","0.347","3","78",""
"27","R_3lGETAXFPpsEeUS","standard","1","27","HP","20","341.719","361.722","362.074","20.355","0.352","3","81",""
"28","R_3lGETAXFPpsEeUS","standard","1","28","HP","20","363.083","383.102","383.466","20.383","0.364","3","84",""
"29","R_3lGETAXFPpsEeUS","standard","1","29","HP","2","384.484","386.501","NA","3.041","NA","0","84",""
"30","R_3lGETAXFPpsEeUS","standard","1","30","HP","4","388.529","392.538","393.054","4.525","0.516","3","87",""
"31","R_3lGETAXFPpsEeUS","standard","1","31","HP","8","394.07","402.073","402.511","8.441","0.438","3","90",""
"32","R_3lGETAXFPpsEeUS","standard","1","32","HP","12","403.522","415.535","415.999","12.477","0.464","3","93",""
"33","R_3lGETAXFPpsEeUS","standard","1","33","HP","8","417.004","425.006","425.677","8.673","0.671","3","96",""
"34","R_3lGETAXFPpsEeUS","standard","1","34","HP","2","426.684","428.701","NA","3.037","NA","0","96",""
"35","R_3lGETAXFPpsEeUS","standard","1","35","HP","8","430.723","438.736","439.217","8.494","0.481","3","99",""
"36","R_3lGETAXFPpsEeUS","standard","1","36","HP","20","440.226","460.227","460.606","20.38","0.379","3","102",""
"37","R_3lGETAXFPpsEeUS","standard","1","37","HP","8","461.62","469.625","470.189","8.569","0.564","3","105",""
"38","R_3lGETAXFPpsEeUS","standard","1","38","HP","16","471.204","487.207","487.644","16.44","0.437","3","108",""
"39","R_3lGETAXFPpsEeUS","standard","1","39","HP","6","488.653","494.661","495.3","6.647","0.639","3","111",""
"40","R_3lGETAXFPpsEeUS","standard","1","40","HP","6","496.34","502.349","502.89","6.55","0.541","3","114",""
"41","R_3lGETAXFPpsEeUS","standard","1","41","HP","14","503.905","517.921","518.286","14.381","0.365","3","117",""
"42","R_3lGETAXFPpsEeUS","standard","1","42","HP","16","519.304","535.331","535.748","16.444","0.417","3","120",""
"43","R_3lGETAXFPpsEeUS","standard","1","43","HP","2","536.755","538.764","539.389","2.634","0.625","3","123",""
"44","R_3lGETAXFPpsEeUS","standard","1","44","HP","4","540.404","544.434","544.858","4.454","0.424","3","126",""
"45","R_3lGETAXFPpsEeUS","standard","1","45","HP","2","545.87","547.876","548.297","2.427","0.421","3","129",""
"46","R_3lGETAXFPpsEeUS","standard","1","46","HP","20","549.303","569.321","569.75","20.447","0.429","3","132",""
"47","R_3lGETAXFPpsEeUS","standard","1","47","HP","14","570.754","584.757","585.193","14.439","0.436","3","135",""
"48","R_3lGETAXFPpsEeUS","standard","1","48","HP","4","586.204","590.219","590.966","4.762","0.747","3","138",""
"49","R_3lGETAXFPpsEeUS","standard","1","49","HP","6","591.972","597.988","598.419","6.447","0.431","3","141",""
"50","R_3lGETAXFPpsEeUS","standard","1","50","HP","14","599.425","613.429","613.817","14.392","0.388","3","144",""
"51","R_3lGETAXFPpsEeUS","standard","1","51","HP","12","614.82","626.837","627.16","12.34","0.323","3","147",""
"52","R_3lGETAXFPpsEeUS","standard","1","52","HP","10","628.165","638.188","638.655","10.49","0.467","3","150",""
"53","R_3lGETAXFPpsEeUS","standard","1","53","HP","12","639.66","651.672","652.006","12.346","0.334","3","153",""
"54","R_3lGETAXFPpsEeUS","standard","1","54","HP","20","653.02","673.027","673.506","20.486","0.479","3","156",""
"55","R_3lGETAXFPpsEeUS","standard","1","55","HP","20","674.518","694.525","694.851","20.333","0.326","3","159",""
"56","R_3lGETAXFPpsEeUS","standard","1","56","HP","6","695.87","701.883","702.278","6.408","0.395","3","162",""
"57","R_3lGETAXFPpsEeUS","standard","1","57","HP","20","703.285","723.287","723.695","20.41","0.408","3","165",""
"58","R_3lGETAXFPpsEeUS","standard","1","58","HP","12","724.703","736.72","737.091","12.388","0.371","3","168",""
"59","R_3lGETAXFPpsEeUS","standard","1","59","HP","6","738.101","744.12","744.508","6.407","0.388","3","171",""
"60","R_3lGETAXFPpsEeUS","standard","1","60","HP","6","745.522","751.525","751.933","6.411","0.408","3","174",""
"61","R_3lGETAXFPpsEeUS","standard","1","61","HP","20","752.941","772.952","773.345","20.404","0.393","3","177",""
"62","R_3lGETAXFPpsEeUS","standard","1","62","HP","2","774.358","776.364","NA","3.03","NA","0","177",""
"63","R_3lGETAXFPpsEeUS","standard","1","63","HP","18","778.403","796.42","796.775","18.372","0.355","3","180",""
"64","R_3lGETAXFPpsEeUS","standard","1","64","HP","8","797.788","805.797","806.312","8.524","0.515","3","183",""
"65","R_3lGETAXFPpsEeUS","standard","1","65","HP","18","807.321","825.324","826.255","18.934","0.931","3","186",""
"66","R_3lGETAXFPpsEeUS","standard","1","66","HP","18","827.27","845.286","845.717","18.447","0.431","3","189",""
"67","R_3lGETAXFPpsEeUS","standard","1","67","HP","10","846.72","856.734","857.18","10.46","0.446","3","192",""
"68","R_3lGETAXFPpsEeUS","standard","1","68","HP","20","858.203","878.218","878.811","20.608","0.593","3","195",""
"69","R_3lGETAXFPpsEeUS","standard","1","69","HP","10","879.821","889.826","890.241","10.42","0.415","3","198",""
"70","R_3lGETAXFPpsEeUS","standard","2","1","LP","8.51632916846187","0","NaN","2.1","2.1","NaN","0","198",NA
"71","R_3lGETAXFPpsEeUS","standard","2","2","LP","3.49090909090909","3.123","NaN","4.238","1.115","NaN","0","198",NA
"72","R_3lGETAXFPpsEeUS","standard","2","3","LP","13.0392072382594","5.251","NaN","6.523","1.272","NaN","0","198",NA
"73","R_3lGETAXFPpsEeUS","standard","2","4","LP","5.5010771219302","7.529","NaN","9.295","1.766","NaN","0","198",NA
"74","R_3lGETAXFPpsEeUS","standard","2","5","LP","1.25738905644119","10.312","11.581","12.362","2.05","0.781","3","201",NA
"75","R_3lGETAXFPpsEeUS","standard","2","6","LP","30","13.367","NaN","15.306","1.939","NaN","0","201",NA
"76","R_3lGETAXFPpsEeUS","standard","2","7","LP","13.0392072382594","16.322","NaN","18.625","2.303","NaN","0","201",NA
"77","R_3lGETAXFPpsEeUS","standard","2","8","LP","0.264713485566566","19.635","19.905","20.83","1.195","0.925","3","204",NA
"78","R_3lGETAXFPpsEeUS","standard","2","9","LP","3.49090909090909","21.863","25.361","25.704","3.841","0.343","3","207",NA
"79","R_3lGETAXFPpsEeUS","standard","2","10","LP","8.51632916846187","26.712","NaN","32.237","5.525","NaN","0","207",NA
"80","R_3lGETAXFPpsEeUS","standard","2","11","LP","5.5010771219302","33.247","38.752","39.226","5.979","0.474","3","210",NA
"81","R_3lGETAXFPpsEeUS","standard","2","12","LP","3.49090909090909","40.233","43.73","44.133","3.9","0.403","3","213",NA
"82","R_3lGETAXFPpsEeUS","standard","2","13","LP","2.15079707022835","45.136","47.299","47.747","2.611","0.448","3","216",NA
"83","R_3lGETAXFPpsEeUS","standard","2","14","LP","2.15079707022835","48.755","50.92","51.357","2.602","0.437","3","219",NA
"84","R_3lGETAXFPpsEeUS","standard","2","15","LP","30","52.361","82.364","82.696","30.335","0.332","3","222",NA
"85","R_3lGETAXFPpsEeUS","standard","2","16","LP","13.0392072382594","83.713","96.772","97.26","13.547","0.488","3","225",NA
"86","R_3lGETAXFPpsEeUS","standard","2","17","LP","13.0392072382594","98.273","111.327","111.718","13.445","0.391","3","228",NA
"87","R_3lGETAXFPpsEeUS","standard","2","18","LP","30","112.721","142.736","143.075","30.354","0.339","3","231",NA
"88","R_3lGETAXFPpsEeUS","standard","2","19","LP","5.5010771219302","144.081","149.592","150","5.919","0.408","3","234",NA
"89","R_3lGETAXFPpsEeUS","standard","2","20","LP","1.25738905644119","151.015","152.285","152.732","1.717","0.447","3","237",NA
"90","R_3lGETAXFPpsEeUS","standard","2","21","LP","3.49090909090909","153.737","157.235","157.739","4.002","0.504","3","240",NA
"91","R_3lGETAXFPpsEeUS","standard","2","22","LP","0.264713485566566","158.745","159.051","159.682","0.937","0.631","3","243",NA
"92","R_3lGETAXFPpsEeUS","standard","2","23","LP","30","160.696","190.704","190.983","30.287","0.279","3","246",NA
"93","R_3lGETAXFPpsEeUS","standard","2","24","LP","3.49090909090909","191.996","195.5","195.898","3.902","0.398","3","249",NA
"94","R_3lGETAXFPpsEeUS","standard","2","25","LP","13.0392072382594","196.913","209.96","210.461","13.548","0.501","3","252",NA
"95","R_3lGETAXFPpsEeUS","standard","2","26","LP","3.49090909090909","211.465","214.964","215.423","3.958","0.459","3","255",NA
"96","R_3lGETAXFPpsEeUS","standard","2","27","LP","30","216.433","NaN","243.044","26.611","NaN","0","255",NA
"97","R_3lGETAXFPpsEeUS","standard","2","28","LP","30","244.051","274.055","274.751","30.7","0.696","3","258",NA
"98","R_3lGETAXFPpsEeUS","standard","2","29","LP","13.0392072382594","275.761","288.823","289.238","13.477","0.415","3","261",NA
"99","R_3lGETAXFPpsEeUS","standard","2","30","LP","19.8235243429556","290.249","310.094","310.502","20.253","0.408","3","264",NA
"100","R_3lGETAXFPpsEeUS","standard","2","31","LP","30","311.513","341.517","341.954","30.441","0.437","3","267",NA
"101","R_3lGETAXFPpsEeUS","standard","2","32","LP","30","342.961","372.966","373.421","30.46","0.455","3","270",NA
"102","R_3lGETAXFPpsEeUS","standard","2","33","LP","1.25738905644119","374.431","375.697",NA,"2.283",NA,"0","270",NA
"103","R_3lGETAXFPpsEeUS","standard","2","34","LP","13.0392072382594","377.718","390.76","391.274","13.556","0.514","3","273",NA
"104","R_3lGETAXFPpsEeUS","standard","2","35","LP","3.49090909090909","392.281","395.776","396.209","3.928","0.433","3","276",NA
"105","R_3lGETAXFPpsEeUS","standard","2","36","LP","3.49090909090909","397.212","400.714","401.224","4.012","0.51","3","279",NA
"106","R_3lGETAXFPpsEeUS","standard","2","37","LP","1.25738905644119","402.231","403.508","404.285","2.054","0.777","3","282",NA
"107","R_3lGETAXFPpsEeUS","standard","2","38","LP","13.0392072382594","405.296","418.338","418.885","13.589","0.547","3","285",NA
"108","R_3lGETAXFPpsEeUS","standard","2","39","LP","0.661783713916415","419.895","420.563","421.189","1.294","0.626","3","288",NA
"109","R_3lGETAXFPpsEeUS","standard","2","40","LP","19.8235243429556","422.198","442.029","442.429","20.231","0.4","3","291",NA
"110","R_3lGETAXFPpsEeUS","standard","2","41","LP","0.264713485566566","443.432","443.711",NA,"1.285",NA,"0","291",NA
"111","R_3lGETAXFPpsEeUS","standard","2","42","LP","19.8235243429556","445.723","465.566","466.048","20.325","0.482","3","294",NA
"112","R_3lGETAXFPpsEeUS","standard","2","43","LP","1.25738905644119","467.083","468.35","468.864","1.781","0.514","3","297",NA
"113","R_3lGETAXFPpsEeUS","standard","2","44","LP","30","469.881","499.897","500.561","30.68","0.664","3","300",NA
"114","R_3lGETAXFPpsEeUS","standard","2","45","LP","0.264713485566566","501.577","501.872","502.837","1.26","0.965","3","303",NA
"115","R_3lGETAXFPpsEeUS","standard","2","46","LP","5.5010771219302","503.841","509.345","509.822","5.981","0.477","3","306",NA
"116","R_3lGETAXFPpsEeUS","standard","2","47","LP","8.51632916846187","510.824","519.349","519.849","9.025","0.5","3","309",NA
"117","R_3lGETAXFPpsEeUS","standard","2","48","LP","19.8235243429556","520.856","540.695","541.138","20.282","0.443","3","312",NA
"118","R_3lGETAXFPpsEeUS","standard","2","49","LP","0.661783713916415","542.144","542.829","543.462","1.318","0.633","3","315",NA
"119","R_3lGETAXFPpsEeUS","standard","2","50","LP","0.264713485566566","544.464","544.734",NA,"1.287",NA,"0","315",NA
"120","R_3lGETAXFPpsEeUS","standard","2","51","LP","0.661783713916415","546.753","547.42","547.959","1.206","0.539","3","318",NA
"121","R_3lGETAXFPpsEeUS","standard","2","52","LP","19.8235243429556","548.96","568.797","569.315","20.355","0.518","3","321",NA
"122","R_3lGETAXFPpsEeUS","standard","2","53","LP","1.25738905644119","570.317","571.576",NA,"2.28",NA,"0","321",NA
"123","R_3lGETAXFPpsEeUS","standard","2","54","LP","5.5010771219302","573.613","579.116","579.819","6.206","0.703","3","324",NA
"124","R_3lGETAXFPpsEeUS","standard","2","55","LP","5.5010771219302","580.821","586.332","586.882","6.061","0.55","3","327",NA
"125","R_3lGETAXFPpsEeUS","standard","2","56","LP","0.661783713916415","587.898","588.564",NA,"1.684",NA,"0","327",NA
