"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3n8zGZFGH1LbSAg","standard","1","1","HP","20","0.002","20.014","20.697","20.695","0.683","3","3",""
"2","R_3n8zGZFGH1LbSAg","standard","1","2","HP","2","21.713","23.719","24.396","2.683","0.677","3","6",""
"3","R_3n8zGZFGH1LbSAg","standard","1","3","HP","8","25.414","33.421","34.165","8.751","0.744","3","9",""
"4","R_3n8zGZFGH1LbSAg","standard","1","4","HP","6","35.197","41.215","41.884","6.687","0.669","3","12",""
"5","R_3n8zGZFGH1LbSAg","standard","1","5","HP","10","42.896","52.903","53.592","10.696","0.689","3","15",""
"6","R_3n8zGZFGH1LbSAg","standard","1","6","HP","14","54.606","68.608","69.284","14.678","0.676","3","18",""
"7","R_3n8zGZFGH1LbSAg","standard","1","7","HP","4","70.287","74.295","75.077","4.79","0.782","3","21",""
"8","R_3n8zGZFGH1LbSAg","standard","1","8","HP","8","76.08","84.091","84.793","8.713","0.702","3","24",""
"9","R_3n8zGZFGH1LbSAg","standard","1","9","HP","8","85.811","93.812","94.419","8.608","0.607","3","27",""
"10","R_3n8zGZFGH1LbSAg","standard","1","10","HP","12","95.424","107.428","108.2","12.776","0.772","3","30",""
"11","R_3n8zGZFGH1LbSAg","standard","1","11","HP","4","109.211","113.214","113.974","4.763","0.76","3","33",""
"12","R_3n8zGZFGH1LbSAg","standard","1","12","HP","2","114.982","117.011","117.93","2.948","0.919","3","36",""
"13","R_3n8zGZFGH1LbSAg","standard","1","13","HP","16","118.935","134.943","135.682","16.747","0.739","3","39",""
"14","R_3n8zGZFGH1LbSAg","standard","1","14","HP","14","136.691","150.707","151.494","14.803","0.787","3","42",""
"15","R_3n8zGZFGH1LbSAg","standard","1","15","HP","20","152.498","172.51","173.147","20.649","0.637","3","45",""
"16","R_3n8zGZFGH1LbSAg","standard","1","16","HP","4","174.151","178.159","NA","5.018","NA","0","45",""
"17","R_3n8zGZFGH1LbSAg","standard","1","17","HP","4","180.177","184.185","184.831","4.654","0.646","3","48",""
"18","R_3n8zGZFGH1LbSAg","standard","1","18","HP","16","185.839","201.85","202.472","16.633","0.622","3","51",""
"19","R_3n8zGZFGH1LbSAg","standard","1","19","HP","10","203.479","213.491","214.158","10.679","0.667","3","54",""
"20","R_3n8zGZFGH1LbSAg","standard","1","20","HP","6","215.175","221.183","221.806","6.631","0.623","3","57",""
"21","R_3n8zGZFGH1LbSAg","standard","1","21","HP","18","222.813","240.821","241.448","18.635","0.627","3","60",""
"22","R_3n8zGZFGH1LbSAg","standard","1","22","HP","8","242.456","250.463","251.137","8.681","0.674","3","63",""
"23","R_3n8zGZFGH1LbSAg","standard","1","23","HP","16","252.143","268.151","268.825","16.682","0.674","3","66",""
"24","R_3n8zGZFGH1LbSAg","standard","1","24","HP","6","269.831","275.84","276.479","6.648","0.639","3","69",""
"25","R_3n8zGZFGH1LbSAg","standard","1","25","HP","18","277.48","295.503","296.179","18.699","0.676","3","72",""
"26","R_3n8zGZFGH1LbSAg","standard","1","26","HP","18","297.188","315.191","315.867","18.679","0.676","3","75",""
"27","R_3n8zGZFGH1LbSAg","standard","1","27","HP","14","316.871","330.879","331.559","14.688","0.68","3","78",""
"28","R_3n8zGZFGH1LbSAg","standard","1","28","HP","12","332.56","344.577","345.177","12.617","0.6","3","81",""
