"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3nNobjpXnR1J5Ku","standard","1","1","LP","0.661783713916415","0.002","0.669","1.286","1.284","0.617","3","3",""
"2","R_3nNobjpXnR1J5Ku","standard","1","2","LP","0.264713485566566","2.302","2.586","3.029","0.727","0.443","3","6",""
"3","R_3nNobjpXnR1J5Ku","standard","1","3","LP","2.15079707022835","4.039","6.198","6.613","2.574","0.415","3","9",""
"4","R_3nNobjpXnR1J5Ku","standard","1","4","LP","30","7.615","37.623","38.086","30.471","0.463","3","12",""
"5","R_3nNobjpXnR1J5Ku","standard","1","5","LP","13.0392072382594","39.099","52.144","52.566","13.467","0.422","3","15",""
"6","R_3nNobjpXnR1J5Ku","standard","1","6","LP","5.5010771219302","53.574","59.091","59.669","6.095","0.578","3","18",""
"7","R_3nNobjpXnR1J5Ku","standard","1","7","LP","19.8235243429556","60.683","80.519","80.918","20.235","0.399","3","21",""
"8","R_3nNobjpXnR1J5Ku","standard","1","8","LP","13.0392072382594","81.929","94.981","95.445","13.516","0.464","3","24",""
"9","R_3nNobjpXnR1J5Ku","standard","1","9","LP","0.661783713916415","96.448","97.124","NA","1.679","NA","0","24",""
"10","R_3nNobjpXnR1J5Ku","standard","1","10","LP","0.661783713916415","99.139","99.81","100.357","1.218","0.547","3","27",""
"11","R_3nNobjpXnR1J5Ku","standard","1","11","LP","5.5010771219302","101.38","106.899","107.302","5.922","0.403","3","30",""
"12","R_3nNobjpXnR1J5Ku","standard","1","12","LP","1.25738905644119","108.316","109.582","110.005","1.689","0.423","3","33",""
"13","R_3nNobjpXnR1J5Ku","standard","1","13","LP","19.8235243429556","111.011","130.838","131.285","20.274","0.447","3","36",""
"14","R_3nNobjpXnR1J5Ku","standard","1","14","LP","30","132.299","162.301","162.693","30.394","0.392","3","39",""
"15","R_3nNobjpXnR1J5Ku","standard","1","15","LP","3.49090909090909","163.702","167.197","167.604","3.902","0.407","3","42",""
"16","R_3nNobjpXnR1J5Ku","standard","1","16","LP","0.661783713916415","168.606","169.276","169.861","1.255","0.585","3","45",""
"17","R_3nNobjpXnR1J5Ku","standard","1","17","LP","0.661783713916415","170.87","171.534","171.925","1.055","0.391","3","48",""
"18","R_3nNobjpXnR1J5Ku","standard","1","18","LP","1.25738905644119","172.934","174.198","174.581","1.647","0.383","3","51",""
"19","R_3nNobjpXnR1J5Ku","standard","1","19","LP","2.15079707022835","175.596","177.746","178.325","2.729","0.579","3","54",""
"20","R_3nNobjpXnR1J5Ku","standard","1","20","LP","0.264713485566566","179.336","179.619","180.053","0.717","0.434","3","57",""
"21","R_3nNobjpXnR1J5Ku","standard","1","21","LP","13.0392072382594","181.062","194.114","194.565","13.503","0.451","3","60",""
"22","R_3nNobjpXnR1J5Ku","standard","1","22","LP","5.5010771219302","195.584","201.099","201.525","5.941","0.426","3","63",""
"23","R_3nNobjpXnR1J5Ku","standard","1","23","LP","8.51632916846187","202.538","211.062","211.477","8.939","0.415","3","66",""
"24","R_3nNobjpXnR1J5Ku","standard","1","24","LP","5.5010771219302","212.482","218.002","218.341","5.859","0.339","3","69",""
"25","R_3nNobjpXnR1J5Ku","standard","1","25","LP","0.661783713916415","219.353","220.028","220.485","1.132","0.457","3","72",""
"26","R_3nNobjpXnR1J5Ku","standard","1","26","LP","2.15079707022835","221.499","223.655","224.085","2.586","0.43","3","75",""
"27","R_3nNobjpXnR1J5Ku","standard","1","27","LP","2.15079707022835","225.107","227.276","227.685","2.578","0.409","3","78",""
"28","R_3nNobjpXnR1J5Ku","standard","1","28","LP","13.0392072382594","228.694","241.744","242.213","13.519","0.469","3","81",""
"29","R_3nNobjpXnR1J5Ku","standard","1","29","LP","0.661783713916415","243.216","243.889","244.581","1.365","0.692","3","84",""
