"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3ncThFMh4DwBCrl","standard","1","1","LP","2.15079707022835","0.001","2.153","2.724","2.723","0.571","3","3",""
"2","R_3ncThFMh4DwBCrl","standard","1","2","LP","19.8235243429556","3.73","23.561","23.996","20.266","0.435","3","6",""
"3","R_3ncThFMh4DwBCrl","standard","1","3","LP","30","25.001","55.019","55.646","30.645","0.627","3","9",""
"4","R_3ncThFMh4DwBCrl","standard","1","4","LP","2.15079707022835","56.649","58.814","59.51","2.861","0.696","3","12",""
"5","R_3ncThFMh4DwBCrl","standard","1","5","LP","1.25738905644119","60.514","61.779","NA","2.275","NA","0","9","51"
"6","R_3ncThFMh4DwBCrl","standard","1","6","LP","1.25738905644119","63.803","65.066","65.628","1.825","0.562","3","12",""
"7","R_3ncThFMh4DwBCrl","standard","1","7","LP","5.5010771219302","66.634","72.138","72.701","6.067","0.563","3","15",""
"8","R_3ncThFMh4DwBCrl","standard","1","8","LP","30","73.706","103.715","104.177","30.471","0.462","3","18",""
"9","R_3ncThFMh4DwBCrl","standard","1","9","LP","3.49090909090909","105.18","108.675","109.353","4.173","0.678","3","21",""
"10","R_3ncThFMh4DwBCrl","standard","1","10","LP","19.8235243429556","110.357","130.192","130.937","20.58","0.745","3","24",""
"11","R_3ncThFMh4DwBCrl","standard","1","11","LP","5.5010771219302","131.94","137.444","138.186","6.246","0.742","3","27",""
"12","R_3ncThFMh4DwBCrl","standard","1","12","LP","8.51632916846187","139.192","147.712","NA","9.523","NA","0","27",""
"13","R_3ncThFMh4DwBCrl","standard","1","13","LP","1.25738905644119","149.718","150.979","151.838","2.12","0.859","3","30",""
"14","R_3ncThFMh4DwBCrl","standard","1","14","LP","5.5010771219302","152.844","158.347","159.107","6.263","0.76","3","33",""
"15","R_3ncThFMh4DwBCrl","standard","1","15","LP","30","160.11","190.113","190.944","30.834","0.831","3","33","5561"
"16","R_3ncThFMh4DwBCrl","standard","1","16","LP","30","191.949","221.953","222.502","30.553","0.549","3","36",""
"17","R_3ncThFMh4DwBCrl","standard","1","17","LP","0.661783713916415","223.525","224.192","NA","1.676","NA","0","36",""
"18","R_3ncThFMh4DwBCrl","standard","1","18","LP","3.49090909090909","226.213","229.71","230.47","4.257","0.76","3","39",""
"19","R_3ncThFMh4DwBCrl","standard","1","19","LP","8.51632916846187","231.477","239.999","240.621","9.144","0.622","3","42",""
"20","R_3ncThFMh4DwBCrl","standard","1","20","LP","3.49090909090909","241.623","245.119","245.976","4.353","0.857","3","45",""
"21","R_3ncThFMh4DwBCrl","standard","1","21","LP","3.49090909090909","246.991","250.499","251.155","4.164","0.656","3","48",""
"22","R_3ncThFMh4DwBCrl","standard","1","22","LP","3.49090909090909","252.159","255.655","256.314","4.155","0.659","3","51",""
"23","R_3ncThFMh4DwBCrl","standard","1","23","LP","0.661783713916415","257.318","257.983","258.799","1.481","0.816","3","54",""
"24","R_3ncThFMh4DwBCrl","standard","1","24","LP","8.51632916846187","259.806","268.326","268.902","9.096","0.576","3","57",""
"25","R_3ncThFMh4DwBCrl","standard","1","25","LP","3.49090909090909","269.911","273.407","273.971","4.06","0.564","3","60",""
"26","R_3ncThFMh4DwBCrl","standard","1","26","LP","1.25738905644119","274.976","276.241","276.787","1.811","0.546","3","63",""
"27","R_3ncThFMh4DwBCrl","standard","1","27","LP","30","277.793","307.811","308.413","30.62","0.602","3","66",""
"28","R_3ncThFMh4DwBCrl","standard","1","28","LP","3.49090909090909","309.422","312.917","NA","4.506","NA","0","66",""
"29","R_3ncThFMh4DwBCrl","standard","1","29","LP","2.15079707022835","314.93","317.088","317.675","2.745","0.587","3","69",""
"30","R_3ncThFMh4DwBCrl","standard","1","30","LP","30","318.68","348.69","349.155","30.475","0.465","3","72",""
"31","R_3ncThFMh4DwBCrl","standard","1","31","LP","2.15079707022835","350.157","352.314","352.979","2.822","0.665","3","75",""
"32","R_3ncThFMh4DwBCrl","standard","1","32","LP","0.661783713916415","353.986","354.65","355.349","1.363","0.699","3","78",""
"33","R_3ncThFMh4DwBCrl","standard","1","33","LP","3.49090909090909","356.355","359.852","360.38","4.025","0.528","3","81",""
"34","R_3ncThFMh4DwBCrl","standard","1","34","LP","13.0392072382594","361.386","374.432","374.997","13.611","0.565","3","84",""
"35","R_3ncThFMh4DwBCrl","standard","1","35","LP","0.661783713916415","376.011","376.674","377.435","1.424","0.761","3","87",""
"36","R_3ncThFMh4DwBCrl","standard","1","36","LP","0.264713485566566","378.443","378.72","379.401","0.958","0.681","3","90",""
"37","R_3ncThFMh4DwBCrl","standard","1","37","LP","3.49090909090909","380.429","383.922","384.497","4.068","0.575","3","93",""
"38","R_3ncThFMh4DwBCrl","standard","1","38","LP","1.25738905644119","385.498","386.761","NA","2.275","NA","0","93",""
"39","R_3ncThFMh4DwBCrl","standard","1","39","LP","30","388.781","418.789","419.292","30.511","0.503","3","96",""
"40","R_3ncThFMh4DwBCrl","standard","1","40","LP","0.264713485566566","420.301","420.574","421.232","0.931","0.658","3","99",""
"41","R_3ncThFMh4DwBCrl","standard","1","41","LP","1.25738905644119","422.234","423.494","423.912","1.678","0.418","3","102",""
"42","R_3ncThFMh4DwBCrl","standard","1","42","LP","30","424.917","454.929","455.384","30.467","0.455","3","105",""
"43","R_3ncThFMh4DwBCrl","standard","1","43","LP","3.49090909090909","456.391","459.887","460.413","4.022","0.526","3","108",""
"44","R_3ncThFMh4DwBCrl","standard","1","44","LP","13.0392072382594","461.415","474.46","474.934","13.519","0.474","3","111",""
"45","R_3ncThFMh4DwBCrl","standard","1","45","LP","5.5010771219302","475.943","481.447","482.284","6.341","0.837","3","114",""
"46","R_3ncThFMh4DwBCrl","standard","1","46","LP","8.51632916846187","483.308","491.828","492.619","9.311","0.791","3","117",""
"47","R_3ncThFMh4DwBCrl","standard","1","47","LP","5.5010771219302","493.639","499.143","499.664","6.025","0.521","3","120",""
"48","R_3ncThFMh4DwBCrl","standard","1","48","LP","1.25738905644119","500.671","501.933","502.692","2.021","0.759","3","123",""
"49","R_3ncThFMh4DwBCrl","standard","1","49","LP","30","503.695","533.705","534.236","30.541","0.531","3","126",""
"50","R_3ncThFMh4DwBCrl","standard","1","50","LP","3.49090909090909","535.242","538.739","539.255","4.013","0.516","3","129",""
"51","R_3ncThFMh4DwBCrl","standard","1","51","LP","1.25738905644119","540.255","541.523","542.089","1.834","0.566","3","132",""
"52","R_3ncThFMh4DwBCrl","standard","1","52","LP","0.661783713916415","543.101","543.77","544.378","1.277","0.608","3","135",""
"53","R_3ncThFMh4DwBCrl","standard","1","53","LP","19.8235243429556","545.386","565.226","566.011","20.625","0.785","3","138",""
"54","R_3ncThFMh4DwBCrl","standard","1","54","LP","0.264713485566566","567.017","567.289","567.95","0.933","0.661","3","141",""
"55","R_3ncThFMh4DwBCrl","standard","1","55","LP","13.0392072382594","568.954","582.013","582.681","13.727","0.668","3","144",""
