"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3oBZMnXqYIiyt7a","standard","1","1","HP","10","0.001","10.014","10.326","10.325","0.312","3","3",""
"2","R_3oBZMnXqYIiyt7a","standard","1","2","HP","18","11.328","29.337","29.684","18.356","0.347","3","6",""
"3","R_3oBZMnXqYIiyt7a","standard","1","3","HP","6","30.689","36.696","37.096","6.407","0.4","3","9",""
"4","R_3oBZMnXqYIiyt7a","standard","1","4","HP","12","38.104","50.109","50.549","12.445","0.44","3","12",""
"5","R_3oBZMnXqYIiyt7a","standard","1","5","HP","8","51.566","59.588","60.064","8.498","0.476","3","15",""
"6","R_3oBZMnXqYIiyt7a","standard","1","6","HP","6","61.076","67.08","67.601","6.525","0.521","3","18",""
"7","R_3oBZMnXqYIiyt7a","standard","1","7","HP","4","68.608","72.613","73.068","4.46","0.455","3","21",""
"8","R_3oBZMnXqYIiyt7a","standard","1","8","HP","12","74.076","86.079","86.454","12.378","0.375","3","24",""
"9","R_3oBZMnXqYIiyt7a","standard","1","9","HP","14","87.455","101.47","101.807","14.352","0.337","3","27",""
"10","R_3oBZMnXqYIiyt7a","standard","1","10","HP","8","102.809","110.82","111.438","8.629","0.618","3","30",""
"11","R_3oBZMnXqYIiyt7a","standard","1","11","HP","4","112.447","116.455","116.874","4.427","0.419","3","33",""
"12","R_3oBZMnXqYIiyt7a","standard","1","12","HP","16","117.879","133.889","134.338","16.459","0.449","3","36",""
"13","R_3oBZMnXqYIiyt7a","standard","1","13","HP","18","135.344","153.354","153.761","18.417","0.407","3","39",""
"14","R_3oBZMnXqYIiyt7a","standard","1","14","HP","16","154.782","170.784","171.132","16.35","0.348","3","42",""
"15","R_3oBZMnXqYIiyt7a","standard","1","15","HP","18","172.149","190.153","190.541","18.392","0.388","3","45",""
"16","R_3oBZMnXqYIiyt7a","standard","1","16","HP","6","191.553","197.562","198.032","6.479","0.47","3","48",""
"17","R_3oBZMnXqYIiyt7a","standard","1","17","HP","18","199.04","217.048","217.382","18.342","0.334","3","51",""
"18","R_3oBZMnXqYIiyt7a","standard","1","18","HP","14","218.384","232.397","232.75","14.366","0.353","3","54",""
"19","R_3oBZMnXqYIiyt7a","standard","1","19","HP","8","233.758","241.761","242.297","8.539","0.536","3","57",""
"20","R_3oBZMnXqYIiyt7a","standard","1","20","HP","12","243.306","255.316","255.764","12.458","0.448","3","60",""
"21","R_3oBZMnXqYIiyt7a","standard","1","21","HP","4","256.768","260.778","261.383","4.615","0.605","3","63",""
"22","R_3oBZMnXqYIiyt7a","standard","1","22","HP","18","262.384","280.405","280.769","18.385","0.364","3","66",""
"23","R_3oBZMnXqYIiyt7a","standard","1","23","HP","20","281.791","301.802","302.225","20.434","0.423","3","69",""
"24","R_3oBZMnXqYIiyt7a","standard","1","24","HP","14","303.241","317.258","317.674","14.433","0.416","3","72",""
"25","R_3oBZMnXqYIiyt7a","standard","1","25","HP","16","318.68","334.688","335.138","16.458","0.45","3","75",""
"26","R_3oBZMnXqYIiyt7a","standard","1","26","HP","2","336.152","338.161","338.632","2.48","0.471","3","78",""
