"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3qBW8KPehBxkqMn","standard","1","1","HP","8","0.001","8.002","8.359","8.358","0.357","3","3",""
"2","R_3qBW8KPehBxkqMn","standard","1","2","HP","4","9.363","13.366","13.739","4.376","0.373","3","6",""
"3","R_3qBW8KPehBxkqMn","standard","1","3","HP","18","14.74","32.742","33.085","18.345","0.343","3","9",""
"4","R_3qBW8KPehBxkqMn","standard","1","4","HP","12","34.089","46.093","46.472","12.383","0.379","3","12",""
"5","R_3qBW8KPehBxkqMn","standard","1","5","HP","12","47.476","59.48","59.846","12.37","0.366","3","15",""
"6","R_3qBW8KPehBxkqMn","standard","1","6","HP","18","60.847","78.849","79.228","18.381","0.379","3","18",""
"7","R_3qBW8KPehBxkqMn","standard","1","7","HP","18","80.231","98.235","98.703","18.472","0.468","3","21",""
"8","R_3qBW8KPehBxkqMn","standard","1","8","HP","10","99.704","109.705","110.203","10.499","0.498","3","24",""
"9","R_3qBW8KPehBxkqMn","standard","1","9","HP","10","111.204","121.205","121.612","10.408","0.407","3","27",""
"10","R_3qBW8KPehBxkqMn","standard","1","10","HP","20","122.615","142.617","142.974","20.359","0.357","3","30",""
"11","R_3qBW8KPehBxkqMn","standard","1","11","HP","6","143.975","149.977","150.361","6.386","0.384","3","33",""
"12","R_3qBW8KPehBxkqMn","standard","1","12","HP","6","151.363","157.368","157.768","6.405","0.4","3","36",""
"13","R_3qBW8KPehBxkqMn","standard","1","13","HP","18","158.773","176.777","177.168","18.395","0.391","3","39",""
"14","R_3qBW8KPehBxkqMn","standard","1","14","HP","12","178.174","190.176","190.657","12.483","0.481","3","42",""
"15","R_3qBW8KPehBxkqMn","standard","1","15","HP","18","191.661","209.666","210.062","18.401","0.396","3","45",""
"16","R_3qBW8KPehBxkqMn","standard","1","16","HP","6","211.067","217.07","217.631","6.564","0.561","3","48",""
"17","R_3qBW8KPehBxkqMn","standard","1","17","HP","6","218.632","224.636","225.039","6.407","0.403","3","51",""
"18","R_3qBW8KPehBxkqMn","standard","1","18","HP","8","226.043","234.046","234.433","8.39","0.387","3","54",""
