"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_3s1tRhSYosbpNIh","standard","1","1","HP","4","0.001","4.013","4.346","4.345","0.333","3","3",""
"2","R_3s1tRhSYosbpNIh","standard","1","2","HP","20","5.356","25.367","25.682","20.326","0.315","3","6",""
"3","R_3s1tRhSYosbpNIh","standard","1","3","HP","10","26.692","36.698","36.992","10.3","0.294","3","9",""
"4","R_3s1tRhSYosbpNIh","standard","1","4","HP","14","37.999","52.006","52.27","14.271","0.264","3","12",""
"5","R_3s1tRhSYosbpNIh","standard","1","5","HP","2","53.278","55.286","55.657","2.379","0.371","3","15",""
"6","R_3s1tRhSYosbpNIh","standard","1","6","HP","8","56.662","64.667","64.938","8.276","0.271","3","18",""
"7","R_3s1tRhSYosbpNIh","standard","1","7","HP","4","65.944","69.95","70.272","4.328","0.322","3","21",""
"8","R_3s1tRhSYosbpNIh","standard","1","8","HP","8","71.279","79.285","79.551","8.272","0.266","3","21","6730"
"9","R_3s1tRhSYosbpNIh","standard","1","9","HP","16","80.556","96.566","96.855","16.299","0.289","3","24",""
"10","R_3s1tRhSYosbpNIh","standard","1","10","HP","6","97.861","103.869","104.199","6.338","0.33","3","27",""
"11","R_3s1tRhSYosbpNIh","standard","1","11","HP","14","105.205","119.215","119.525","14.32","0.31","3","30",""
"12","R_3s1tRhSYosbpNIh","standard","1","12","HP","14","120.534","134.544","134.824","14.29","0.28","3","33",""
"13","R_3s1tRhSYosbpNIh","standard","1","13","HP","12","135.828","147.832","148.114","12.286","0.282","3","36",""
"14","R_3s1tRhSYosbpNIh","standard","1","14","HP","16","149.116","165.118","165.381","16.265","0.263","3","39",""
"15","R_3s1tRhSYosbpNIh","standard","1","15","HP","4","166.391","170.402","170.778","4.387","0.376","3","42",""
"16","R_3s1tRhSYosbpNIh","standard","1","16","HP","4","171.783","175.791","176.101","4.318","0.31","3","45",""
"17","R_3s1tRhSYosbpNIh","standard","1","17","HP","8","177.113","185.118","185.423","8.31","0.305","3","48",""
"18","R_3s1tRhSYosbpNIh","standard","1","18","HP","16","186.43","202.435","202.696","16.266","0.261","3","51",""
"19","R_3s1tRhSYosbpNIh","standard","1","19","HP","2","203.706","205.714","206.185","2.479","0.471","3","54",""
"20","R_3s1tRhSYosbpNIh","standard","1","20","HP","12","207.195","219.2","219.484","12.289","0.284","3","57",""
"21","R_3s1tRhSYosbpNIh","standard","1","21","HP","10","220.489","230.497","230.791","10.302","0.294","3","60",""
"22","R_3s1tRhSYosbpNIh","standard","1","22","HP","14","231.803","245.811","246.084","14.281","0.273","3","63",""
"23","R_3s1tRhSYosbpNIh","standard","1","23","HP","14","247.088","261.099","261.395","14.307","0.296","3","66",""
"24","R_3s1tRhSYosbpNIh","standard","1","24","HP","10","262.402","272.41","272.679","10.277","0.269","3","69",""
"25","R_3s1tRhSYosbpNIh","standard","1","25","HP","4","273.681","277.692","278.045","4.364","0.353","3","72",""
"26","R_3s1tRhSYosbpNIh","standard","1","26","HP","8","279.05","287.056","287.351","8.301","0.295","3","75",""
"27","R_3s1tRhSYosbpNIh","standard","1","27","HP","18","288.357","306.364","306.639","18.282","0.275","3","78",""
"28","R_3s1tRhSYosbpNIh","standard","1","28","HP","20","307.641","327.651","327.958","20.317","0.307","3","81",""
"29","R_3s1tRhSYosbpNIh","standard","1","29","HP","20","328.963","348.974","349.234","20.271","0.26","3","84",""
"30","R_3s1tRhSYosbpNIh","standard","1","30","HP","6","350.238","356.243","356.595","6.357","0.352","3","87",""
"31","R_3s1tRhSYosbpNIh","standard","1","31","HP","10","357.606","367.613","367.937","10.331","0.324","3","90",""
"32","R_3s1tRhSYosbpNIh","standard","1","32","HP","6","368.94","374.947","375.26","6.32","0.313","3","93",""
"33","R_3s1tRhSYosbpNIh","standard","1","33","HP","2","376.27","378.278","378.62","2.35","0.342","3","96",""
"34","R_3s1tRhSYosbpNIh","standard","1","34","HP","4","379.622","383.628","383.986","4.364","0.358","3","99",""
"35","R_3s1tRhSYosbpNIh","standard","1","35","HP","16","384.989","400.999","401.302","16.313","0.303","3","102",""
"36","R_3s1tRhSYosbpNIh","standard","1","36","HP","12","402.311","414.317","414.607","12.296","0.29","3","105",""
"37","R_3s1tRhSYosbpNIh","standard","1","37","HP","2","415.617","417.623","417.941","2.324","0.318","3","108",""
"38","R_3s1tRhSYosbpNIh","standard","1","38","HP","18","418.949","436.956","437.293","18.344","0.337","3","111",""
"39","R_3s1tRhSYosbpNIh","standard","1","39","HP","16","438.303","454.31","454.655","16.352","0.345","3","114",""
"40","R_3s1tRhSYosbpNIh","standard","1","40","HP","18","455.661","473.674","473.991","18.33","0.317","3","117",""
"41","R_3s1tRhSYosbpNIh","standard","1","41","HP","16","474.997","491.002","491.295","16.298","0.293","3","120",""
"42","R_3s1tRhSYosbpNIh","standard","1","42","HP","14","492.303","506.31","506.6","14.297","0.29","3","123",""
"43","R_3s1tRhSYosbpNIh","standard","1","43","HP","20","507.611","527.615","528.115","20.504","0.5","3","126",""
"44","R_3s1tRhSYosbpNIh","standard","1","44","HP","16","529.119","545.123","545.409","16.29","0.286","3","129",""
"45","R_3s1tRhSYosbpNIh","standard","1","45","HP","10","546.417","556.427","556.875","10.458","0.448","3","132",""
"46","R_3s1tRhSYosbpNIh","standard","1","46","HP","6","557.883","563.891","564.176","6.293","0.285","3","135",""
"47","R_3s1tRhSYosbpNIh","standard","1","47","HP","8","565.185","573.195","573.567","8.382","0.372","3","138",""
"48","R_3s1tRhSYosbpNIh","standard","1","48","HP","14","574.579","588.586","588.878","14.299","0.292","3","141",""
"49","R_3s1tRhSYosbpNIh","standard","1","49","HP","14","589.881","603.889","604.241","14.36","0.352","3","141","8947"
"50","R_3s1tRhSYosbpNIh","standard","1","50","HP","6","605.253","611.261","611.659","6.406","0.398","3","144",""
"51","R_3s1tRhSYosbpNIh","standard","1","51","HP","16","612.666","628.677","629.011","16.345","0.334","3","147",""
"52","R_3s1tRhSYosbpNIh","standard","1","52","HP","18","630.022","648.029","648.363","18.341","0.334","3","150",""
"53","R_3s1tRhSYosbpNIh","standard","1","53","HP","18","649.371","667.379","667.699","18.328","0.32","3","153",""
"54","R_3s1tRhSYosbpNIh","standard","1","54","HP","18","668.708","686.716","687.236","18.528","0.52","3","156",""
"55","R_3s1tRhSYosbpNIh","standard","1","55","HP","18","688.244","706.251","706.578","18.334","0.327","3","159",""
"56","R_3s1tRhSYosbpNIh","standard","1","56","HP","4","707.58","711.591","712.049","4.469","0.458","3","162",""
"57","R_3s1tRhSYosbpNIh","standard","1","57","HP","20","713.054","733.062","733.39","20.336","0.328","3","165",""
"58","R_3s1tRhSYosbpNIh","standard","1","58","HP","10","734.4","744.408","744.743","10.343","0.335","3","168",""
"59","R_3s1tRhSYosbpNIh","standard","1","59","HP","2","745.749","747.757","748.131","2.382","0.374","3","171",""
"60","R_3s1tRhSYosbpNIh","standard","1","60","HP","10","749.132","759.133","759.666","10.534","0.533","3","174",""
"61","R_3s1tRhSYosbpNIh","standard","1","61","HP","14","760.67","774.681","774.986","14.316","0.305","3","177",""
"62","R_3s1tRhSYosbpNIh","standard","1","62","HP","4","775.994","779.998","780.421","4.427","0.423","3","180",""
"63","R_3s1tRhSYosbpNIh","standard","1","63","HP","16","781.433","797.438","797.726","16.293","0.288","3","183",""
"64","R_3s1tRhSYosbpNIh","standard","1","64","HP","8","798.727","806.727","807.058","8.331","0.331","3","186",""
"65","R_3s1tRhSYosbpNIh","standard","1","65","HP","8","808.064","816.071","816.396","8.332","0.325","3","189",""
"66","R_3s1tRhSYosbpNIh","standard","1","66","HP","14","817.401","831.409","831.739","14.338","0.33","3","192",""
"67","R_3s1tRhSYosbpNIh","standard","1","67","HP","6","832.744","838.748","839.237","6.493","0.489","3","195",""
"68","R_3s1tRhSYosbpNIh","standard","1","68","HP","14","840.239","854.25","854.582","14.343","0.332","3","198",""
"69","R_3s1tRhSYosbpNIh","standard","1","69","HP","8","855.592","863.603","863.937","8.345","0.334","3","201",""
"70","R_3s1tRhSYosbpNIh","standard","1","70","HP","8","864.939","872.943","873.289","8.35","0.346","3","204",""
"71","R_3s1tRhSYosbpNIh","standard","1","71","HP","10","874.294","884.304","884.624","10.33","0.32","3","207",""
