"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_4GdBsgUbrSyRpSh","standard","1","1","HP","10","0.001","10.011","10.378","10.377","0.367","3","3",""
"2","R_4GdBsgUbrSyRpSh","standard","1","2","HP","14","11.386","25.393","25.746","14.36","0.353","3","6",""
"3","R_4GdBsgUbrSyRpSh","standard","1","3","HP","20","26.755","46.763","47.087","20.332","0.324","3","9",""
"4","R_4GdBsgUbrSyRpSh","standard","1","4","HP","6","48.1","54.107","54.621","6.521","0.514","3","12",""
"5","R_4GdBsgUbrSyRpSh","standard","1","5","HP","18","55.625","73.625","73.984","18.359","0.359","3","15",""
"6","R_4GdBsgUbrSyRpSh","standard","1","6","HP","4","74.99","78.998","79.457","4.467","0.459","3","18",""
"7","R_4GdBsgUbrSyRpSh","standard","1","7","HP","12","80.466","92.473","92.771","12.305","0.298","3","21",""
"8","R_4GdBsgUbrSyRpSh","standard","1","8","HP","2","93.776","95.784","96.072","2.296","0.288","3","24",""
"9","R_4GdBsgUbrSyRpSh","standard","1","9","HP","2","97.079","99.089","99.451","2.372","0.362","3","27",""
"10","R_4GdBsgUbrSyRpSh","standard","1","10","HP","20","100.457","120.459","120.852","20.395","0.393","3","30",""
"11","R_4GdBsgUbrSyRpSh","standard","1","11","HP","10","121.861","131.87","132.3","10.439","0.43","3","33",""
"12","R_4GdBsgUbrSyRpSh","standard","1","12","HP","4","133.302","137.307","137.689","4.387","0.382","3","36",""
"13","R_4GdBsgUbrSyRpSh","standard","1","13","HP","16","138.695","154.698","155.066","16.371","0.368","3","39",""
"14","R_4GdBsgUbrSyRpSh","standard","1","14","HP","8","156.075","164.084","164.455","8.38","0.371","3","42",""
"15","R_4GdBsgUbrSyRpSh","standard","1","15","HP","14","165.462","179.469","179.868","14.406","0.399","3","45",""
"16","R_4GdBsgUbrSyRpSh","standard","1","16","HP","6","180.876","186.881","187.409","6.533","0.528","3","48",""
"17","R_4GdBsgUbrSyRpSh","standard","1","17","HP","8","188.418","196.423","196.804","8.386","0.381","3","51",""
"18","R_4GdBsgUbrSyRpSh","standard","1","18","HP","14","197.805","211.808","212.202","14.397","0.394","3","54",""
"19","R_4GdBsgUbrSyRpSh","standard","1","19","HP","6","213.204","219.207","219.698","6.494","0.491","3","57",""
"20","R_4GdBsgUbrSyRpSh","standard","1","20","HP","12","220.704","232.704","233.065","12.361","0.361","3","60",""
"21","R_4GdBsgUbrSyRpSh","standard","1","21","HP","2","234.071","236.083","236.984","2.913","0.901","3","63",""
"22","R_4GdBsgUbrSyRpSh","standard","1","22","HP","18","237.995","255.998","256.383","18.388","0.385","3","66",""
"23","R_4GdBsgUbrSyRpSh","standard","1","23","HP","10","257.384","267.39","267.761","10.377","0.371","3","69",""
"24","R_4GdBsgUbrSyRpSh","standard","1","24","HP","12","268.767","280.773","281.157","12.39","0.384","3","72",""
"25","R_4GdBsgUbrSyRpSh","standard","1","25","HP","16","282.169","298.176","298.555","16.386","0.379","3","75",""
"26","R_4GdBsgUbrSyRpSh","standard","1","26","HP","14","299.568","313.573","313.936","14.368","0.363","3","78",""
"27","R_4GdBsgUbrSyRpSh","standard","1","27","HP","12","314.94","326.947","327.395","12.455","0.448","3","81",""
"28","R_4GdBsgUbrSyRpSh","standard","1","28","HP","8","328.404","336.41","336.798","8.394","0.388","3","84",""
"29","R_4GdBsgUbrSyRpSh","standard","1","29","HP","12","337.802","349.81","350.235","12.433","0.425","3","87",""
"30","R_4GdBsgUbrSyRpSh","standard","1","30","HP","12","351.244","363.314","363.779","12.535","0.465","3","90",""
"31","R_4GdBsgUbrSyRpSh","standard","1","31","HP","18","364.783","382.791","383.212","18.429","0.421","3","93",""
"32","R_4GdBsgUbrSyRpSh","standard","1","32","HP","8","384.219","392.222","392.805","8.586","0.583","3","96",""
"33","R_4GdBsgUbrSyRpSh","standard","1","33","HP","20","393.807","413.814","414.242","20.435","0.428","3","99",""
"34","R_4GdBsgUbrSyRpSh","standard","1","34","HP","4","415.248","419.254","419.677","4.429","0.423","3","102",""
"35","R_4GdBsgUbrSyRpSh","standard","1","35","HP","14","420.689","434.697","435.151","14.462","0.454","3","105",""
"36","R_4GdBsgUbrSyRpSh","standard","1","36","HP","12","436.151","448.153","448.562","12.411","0.409","3","108",""
"37","R_4GdBsgUbrSyRpSh","standard","1","37","HP","18","449.564","467.564","468.027","18.463","0.463","3","111",""
"38","R_4GdBsgUbrSyRpSh","standard","1","38","HP","10","469.031","479.036","479.46","10.429","0.424","3","114",""
