"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_4VddvNyYLDq9h8l","standard","1","1","HP","18","0.001","18.006","18.839","18.838","0.833","3","3",""
"2","R_4VddvNyYLDq9h8l","standard","1","2","HP","10","19.845","29.846","NA","11.011","NA","0","0","9130"
"3","R_4VddvNyYLDq9h8l","standard","1","3","HP","16","31.862","47.884","48.626","16.764","0.742","3","3",""
"4","R_4VddvNyYLDq9h8l","standard","1","4","HP","12","49.626","61.629","62.489","12.863","0.86","3","6",""
"5","R_4VddvNyYLDq9h8l","standard","1","5","HP","6","63.493","69.509","70.429","6.936","0.92","3","9",""
"6","R_4VddvNyYLDq9h8l","standard","1","6","HP","16","71.43","87.438","88.159","16.729","0.721","3","12",""
"7","R_4VddvNyYLDq9h8l","standard","1","7","HP","14","89.165","103.173","103.925","14.76","0.752","3","15",""
"8","R_4VddvNyYLDq9h8l","standard","1","8","HP","10","104.93","114.934","115.79","10.86","0.856","3","18",""
"9","R_4VddvNyYLDq9h8l","standard","1","9","HP","12","116.802","128.804","129.663","12.861","0.859","3","21",""
"10","R_4VddvNyYLDq9h8l","standard","1","10","HP","6","130.669","136.685","NA","7.026","NA","0","21",""
"11","R_4VddvNyYLDq9h8l","standard","1","11","HP","14","138.701","152.703","153.519","14.818","0.816","3","24",""
"12","R_4VddvNyYLDq9h8l","standard","1","12","HP","12","154.52","166.524","167.291","12.771","0.767","3","27",""
"13","R_4VddvNyYLDq9h8l","standard","1","13","HP","4","168.304","172.308","NA","5.006","NA","0","27",""
"14","R_4VddvNyYLDq9h8l","standard","1","14","HP","4","174.317","178.32","179.168","4.851","0.848","3","27","658"
"15","R_4VddvNyYLDq9h8l","standard","1","15","HP","8","180.186","188.195","188.987","8.801","0.792","3","30",""
"16","R_4VddvNyYLDq9h8l","standard","1","16","HP","10","189.999","200.006","200.884","10.885","0.878","3","33",""
"17","R_4VddvNyYLDq9h8l","standard","1","17","HP","10","201.9","211.915","212.746","10.846","0.831","3","36",""
"18","R_4VddvNyYLDq9h8l","standard","1","18","HP","8","213.748","221.748","NA","9.001","NA","0","36",""
"19","R_4VddvNyYLDq9h8l","standard","1","19","HP","20","223.756","243.766","244.73","20.974","0.964","3","39",""
"20","R_4VddvNyYLDq9h8l","standard","1","20","HP","4","245.734","249.745","NA","5.016","NA","0","39",""
"21","R_4VddvNyYLDq9h8l","standard","1","21","HP","12","251.758","263.766","264.521","12.763","0.755","3","42",""
"22","R_4VddvNyYLDq9h8l","standard","1","22","HP","4","265.525","269.526","270.458","4.933","0.932","3","45",""
"23","R_4VddvNyYLDq9h8l","standard","1","23","HP","2","271.461","273.461","274.427","2.966","0.966","3","48",""
"24","R_4VddvNyYLDq9h8l","standard","1","24","HP","6","275.43","281.431","282.306","6.876","0.875","3","48","3758"
"25","R_4VddvNyYLDq9h8l","standard","1","25","HP","4","283.31","287.31","288.143","4.833","0.833","3","51",""
"26","R_4VddvNyYLDq9h8l","standard","1","26","HP","4","289.15","293.159","294.012","4.862","0.853","3","54",""
"27","R_4VddvNyYLDq9h8l","standard","1","27","HP","2","295.014","297.016","NA","3.003","NA","0","54",""
"28","R_4VddvNyYLDq9h8l","standard","1","28","HP","20","299.022","319.03","319.754","20.732","0.724","3","57",""
"29","R_4VddvNyYLDq9h8l","standard","1","29","HP","10","320.765","330.774","NA","11.032","NA","0","57",""
"30","R_4VddvNyYLDq9h8l","standard","1","30","HP","20","332.806","352.821","NA","21.015","NA","0","57",""
