"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_5BAIPSeUiy8crbb","standard","1","1","LP","3.49090909090909","0.002","3.494","3.883","3.881","0.389","3","3",""
"2","R_5BAIPSeUiy8crbb","standard","1","2","LP","13.0392072382594","4.885","17.925","18.288","13.403","0.363","3","6",""
"3","R_5BAIPSeUiy8crbb","standard","1","3","LP","0.661783713916415","19.293","19.96","20.398","1.105","0.438","3","9",""
"4","R_5BAIPSeUiy8crbb","standard","1","4","LP","3.49090909090909","21.411","24.906","25.302","3.891","0.396","3","12",""
"5","R_5BAIPSeUiy8crbb","standard","1","5","LP","2.15079707022835","26.314","28.474","28.876","2.562","0.402","3","15",""
"6","R_5BAIPSeUiy8crbb","standard","1","6","LP","8.51632916846187","29.878","38.4","38.779","8.901","0.379","3","18",""
"7","R_5BAIPSeUiy8crbb","standard","1","7","LP","0.661783713916415","39.783","40.446","40.789","1.006","0.343","3","21",""
"8","R_5BAIPSeUiy8crbb","standard","1","8","LP","0.661783713916415","41.79","42.454","42.884","1.094","0.43","3","24",""
"9","R_5BAIPSeUiy8crbb","standard","1","9","LP","1.25738905644119","43.887","45.15","45.524","1.637","0.374","3","27",""
"10","R_5BAIPSeUiy8crbb","standard","1","10","LP","3.49090909090909","46.526","50.024","50.38","3.854","0.356","3","30",""
"11","R_5BAIPSeUiy8crbb","standard","1","11","LP","0.661783713916415","51.385","52.055","52.467","1.082","0.412","3","33",""
"12","R_5BAIPSeUiy8crbb","standard","1","12","LP","1.25738905644119","53.47","54.736","55.092","1.622","0.356","3","36",""
"13","R_5BAIPSeUiy8crbb","standard","1","13","LP","1.25738905644119","56.099","57.362","57.691","1.592","0.329","3","39",""
"14","R_5BAIPSeUiy8crbb","standard","1","14","LP","5.5010771219302","58.694","64.199","64.571","5.877","0.372","3","42",""
"15","R_5BAIPSeUiy8crbb","standard","1","15","LP","2.15079707022835","65.575","67.729","68.128","2.553","0.399","3","45",""
"16","R_5BAIPSeUiy8crbb","standard","1","16","LP","5.5010771219302","69.131","74.643","74.997","5.866","0.354","3","48",""
"17","R_5BAIPSeUiy8crbb","standard","1","17","LP","0.661783713916415","75.999","76.666","77.116","1.117","0.45","3","51",""
"18","R_5BAIPSeUiy8crbb","standard","1","18","LP","3.49090909090909","78.117","81.613","82.026","3.909","0.413","3","54",""
"19","R_5BAIPSeUiy8crbb","standard","1","19","LP","0.661783713916415","83.032","83.695","84.13","1.098","0.435","3","57",""
