"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_5BGWCyZLZJb5ra1","standard","1","1","HP","12","0.001","12.021","12.689","12.688","0.668","3","3",""
"2","R_5BGWCyZLZJb5ra1","standard","1","2","HP","4","13.708","17.709","18.433","4.725","0.724","3","6",""
"3","R_5BGWCyZLZJb5ra1","standard","1","3","HP","8","19.439","27.446","28.288","8.849","0.842","3","9",""
"4","R_5BGWCyZLZJb5ra1","standard","1","4","HP","8","29.306","37.32","38.001","8.695","0.681","3","12",""
"5","R_5BGWCyZLZJb5ra1","standard","1","5","HP","18","39.007","57.02","57.641","18.634","0.621","3","15",""
"6","R_5BGWCyZLZJb5ra1","standard","1","6","HP","10","58.646","68.646","69.305","10.659","0.659","3","18",""
"7","R_5BGWCyZLZJb5ra1","standard","1","7","HP","6","70.315","76.323","77.193","6.878","0.87","3","21",""
"8","R_5BGWCyZLZJb5ra1","standard","1","8","HP","2","78.204","80.211","NA","3.013","NA","0","21",""
"9","R_5BGWCyZLZJb5ra1","standard","1","9","HP","2","82.222","84.223","84.873","2.651","0.65","3","24",""
"10","R_5BGWCyZLZJb5ra1","standard","1","10","HP","6","85.886","91.897","92.459","6.573","0.562","3","27",""
"11","R_5BGWCyZLZJb5ra1","standard","1","11","HP","18","93.472","111.492","112.09","18.618","0.598","3","30",""
"12","R_5BGWCyZLZJb5ra1","standard","1","12","HP","10","113.107","123.118","123.787","10.68","0.669","3","33",""
"13","R_5BGWCyZLZJb5ra1","standard","1","13","HP","20","124.802","144.818","145.668","20.866","0.85","3","36",""
"14","R_5BGWCyZLZJb5ra1","standard","1","14","HP","20","146.671","166.759","167.409","20.738","0.65","3","36","11360"
"15","R_5BGWCyZLZJb5ra1","standard","1","15","HP","14","168.413","182.415","183.065","14.652","0.65","3","36","5838"
"16","R_5BGWCyZLZJb5ra1","standard","1","16","HP","10","184.083","194.099","194.706","10.623","0.607","3","39",""
"17","R_5BGWCyZLZJb5ra1","standard","1","17","HP","2","195.714","197.717","NA","3.015","NA","0","39",""
"18","R_5BGWCyZLZJb5ra1","standard","1","18","HP","16","199.733","215.742","216.315","16.582","0.573","3","42",""
"19","R_5BGWCyZLZJb5ra1","standard","1","19","HP","12","217.317","229.345","229.948","12.631","0.603","3","45",""
"20","R_5BGWCyZLZJb5ra1","standard","1","20","HP","12","230.964","242.98","243.634","12.67","0.654","3","48",""
"21","R_5BGWCyZLZJb5ra1","standard","1","21","HP","12","244.638","256.646","257.31","12.672","0.664","3","51",""
"22","R_5BGWCyZLZJb5ra1","standard","1","22","HP","16","258.311","274.314","274.93","16.619","0.616","3","54",""
"23","R_5BGWCyZLZJb5ra1","standard","1","23","HP","14","275.934","289.936","290.651","14.717","0.715","3","57",""
"24","R_5BGWCyZLZJb5ra1","standard","1","24","HP","6","291.664","297.68","298.355","6.691","0.675","3","60",""
"25","R_5BGWCyZLZJb5ra1","standard","1","25","HP","12","299.358","311.363","311.959","12.601","0.596","3","63",""
"26","R_5BGWCyZLZJb5ra1","standard","1","26","HP","18","312.979","330.995","331.695","18.716","0.7","3","66",""
"27","R_5BGWCyZLZJb5ra1","standard","1","27","HP","20","332.709","352.744","353.437","20.728","0.693","3","69",""
"28","R_5BGWCyZLZJb5ra1","standard","1","28","HP","18","354.439","372.444","373.182","18.743","0.738","3","72",""
"29","R_5BGWCyZLZJb5ra1","standard","1","29","HP","14","374.195","388.207","389.167","14.972","0.96","3","75",""
"30","R_5BGWCyZLZJb5ra1","standard","1","30","HP","10","390.175","400.191","400.862","10.687","0.671","3","78",""
"31","R_5BGWCyZLZJb5ra1","standard","1","31","HP","18","401.863","419.871","420.517","18.654","0.646","3","81",""
"32","R_5BGWCyZLZJb5ra1","standard","1","32","HP","6","421.519","427.526","428.268","6.749","0.742","3","84",""
"33","R_5BGWCyZLZJb5ra1","standard","1","33","HP","4","429.27","433.271","434.028","4.758","0.757","3","87",""
"34","R_5BGWCyZLZJb5ra1","standard","1","34","HP","4","435.03","439.031","439.877","4.847","0.846","3","90",""
"35","R_5BGWCyZLZJb5ra1","standard","1","35","HP","10","440.879","450.888","451.491","10.612","0.603","3","93",""
"36","R_5BGWCyZLZJb5ra1","standard","1","36","HP","4","452.509","456.525","NA","5.021","NA","0","93",""
"37","R_5BGWCyZLZJb5ra1","standard","1","37","HP","18","458.535","476.542","477.269","18.734","0.727","3","96",""
"38","R_5BGWCyZLZJb5ra1","standard","1","38","HP","2","478.27","480.271","480.957","2.687","0.686","3","99",""
"39","R_5BGWCyZLZJb5ra1","standard","1","39","HP","4","481.958","485.972","486.605","4.647","0.633","3","102",""
"40","R_5BGWCyZLZJb5ra1","standard","1","40","HP","12","487.61","499.621","500.278","12.668","0.657","3","105",""
"41","R_5BGWCyZLZJb5ra1","standard","1","41","HP","4","501.288","505.304","506.037","4.749","0.733","3","108",""
"42","R_5BGWCyZLZJb5ra1","standard","1","42","HP","14","507.059","521.062","521.75","14.691","0.688","3","111",""
"43","R_5BGWCyZLZJb5ra1","standard","1","43","HP","20","522.765","542.77","543.406","20.641","0.636","3","114",""
"44","R_5BGWCyZLZJb5ra1","standard","1","44","HP","8","544.408","552.428","553.069","8.661","0.641","3","117",""
"45","R_5BGWCyZLZJb5ra1","standard","1","45","HP","4","554.086","558.101","558.903","4.817","0.802","3","120",""
"46","R_5BGWCyZLZJb5ra1","standard","1","46","HP","18","559.913","577.935","578.574","18.661","0.639","3","123",""
"47","R_5BGWCyZLZJb5ra1","standard","1","47","HP","14","579.575","593.583","594.296","14.721","0.713","3","126",""
"48","R_5BGWCyZLZJb5ra1","standard","1","48","HP","12","595.314","607.316","608.015","12.701","0.699","3","129",""
"49","R_5BGWCyZLZJb5ra1","standard","1","49","HP","2","609.019","611.023","611.79","2.771","0.767","3","132",""
"50","R_5BGWCyZLZJb5ra1","standard","1","50","HP","18","612.797","630.798","631.472","18.675","0.674","3","135",""
"51","R_5BGWCyZLZJb5ra1","standard","1","51","HP","12","632.482","644.495","645.103","12.621","0.608","3","138",""
"52","R_5BGWCyZLZJb5ra1","standard","1","52","HP","18","646.113","664.114","664.766","18.653","0.652","3","141",""
"53","R_5BGWCyZLZJb5ra1","standard","1","53","HP","2","665.781","667.79","668.526","2.745","0.736","3","144",""
"54","R_5BGWCyZLZJb5ra1","standard","1","54","HP","16","669.534","685.542","686.205","16.671","0.663","3","147",""
"55","R_5BGWCyZLZJb5ra1","standard","1","55","HP","6","687.213","693.214","693.838","6.625","0.624","3","150",""
"56","R_5BGWCyZLZJb5ra1","standard","1","56","HP","8","694.846","702.853","703.49","8.644","0.637","3","153",""
"57","R_5BGWCyZLZJb5ra1","standard","1","57","HP","6","704.496","710.507","711.162","6.666","0.655","3","156",""
"58","R_5BGWCyZLZJb5ra1","standard","1","58","HP","10","712.194","722.212","722.965","10.771","0.753","3","159",""
"59","R_5BGWCyZLZJb5ra1","standard","1","59","HP","4","723.983","727.995","728.647","4.664","0.652","3","162",""
"60","R_5BGWCyZLZJb5ra1","standard","1","60","HP","20","729.655","749.663","750.257","20.602","0.594","3","165",""
"61","R_5BGWCyZLZJb5ra1","standard","1","61","HP","4","751.262","755.277","755.888","4.626","0.611","3","168",""
"62","R_5BGWCyZLZJb5ra1","standard","1","62","HP","6","756.894","762.914","763.713","6.819","0.799","3","171",""
"63","R_5BGWCyZLZJb5ra1","standard","1","63","HP","16","764.713","780.718","781.36","16.647","0.642","3","174",""
"64","R_5BGWCyZLZJb5ra1","standard","1","64","HP","14","782.375","796.392","797.048","14.673","0.656","3","177",""
"65","R_5BGWCyZLZJb5ra1","standard","1","65","HP","20","798.054","818.074","818.714","20.66","0.64","3","180",""
"66","R_5BGWCyZLZJb5ra1","standard","1","66","HP","20","819.723","839.726","840.401","20.678","0.675","3","183",""
"67","R_5BGWCyZLZJb5ra1","standard","1","67","HP","8","841.412","849.423","850.074","8.662","0.651","3","186",""
"68","R_5BGWCyZLZJb5ra1","standard","1","68","HP","18","851.091","869.107","869.714","18.623","0.607","3","189",""
"69","R_5BGWCyZLZJb5ra1","standard","1","69","HP","10","870.719","880.724","881.372","10.653","0.648","3","192",""
"70","R_5BGWCyZLZJb5ra1","standard","2","1","LP","0.661783713916415","0","0.663","1.441","1.441","0.778","3","195",NA
"71","R_5BGWCyZLZJb5ra1","standard","2","2","LP","8.51632916846187","2.45","10.984","11.656","9.206","0.672","3","198",NA
"72","R_5BGWCyZLZJb5ra1","standard","2","3","LP","0.661783713916415","12.663","13.326","13.987","1.324","0.661","3","201",NA
"73","R_5BGWCyZLZJb5ra1","standard","2","4","LP","30","15.056","45.068","45.653","30.597","0.585","3","204",NA
"74","R_5BGWCyZLZJb5ra1","standard","2","5","LP","19.8235243429556","46.653","66.483","67.125","20.472","0.642","3","207",NA
"75","R_5BGWCyZLZJb5ra1","standard","2","6","LP","3.49090909090909","68.126","71.618","72.315","4.189","0.697","3","210",NA
"76","R_5BGWCyZLZJb5ra1","standard","2","7","LP","3.49090909090909","73.319","76.819","77.529","4.21","0.71","3","213",NA
"77","R_5BGWCyZLZJb5ra1","standard","2","8","LP","5.5010771219302","78.538","84.047","84.677","6.139","0.63","3","216",NA
"78","R_5BGWCyZLZJb5ra1","standard","2","9","LP","3.49090909090909","85.685","89.182","89.933","4.248","0.751","3","219",NA
"79","R_5BGWCyZLZJb5ra1","standard","2","10","LP","3.49090909090909","90.934","94.431","95.189","4.255","0.758","3","222",NA
"80","R_5BGWCyZLZJb5ra1","standard","2","11","LP","1.25738905644119","96.203","97.462","98.292","2.089","0.83","3","225",NA
"81","R_5BGWCyZLZJb5ra1","standard","2","12","LP","8.51632916846187","99.295","107.813","108.481","9.186","0.668","3","228",NA
"82","R_5BGWCyZLZJb5ra1","standard","2","13","LP","1.25738905644119","109.486","110.75","111.54","2.054","0.79","3","231",NA
"83","R_5BGWCyZLZJb5ra1","standard","2","14","LP","0.264713485566566","112.543","112.809","113.59","1.047","0.781","3","234",NA
"84","R_5BGWCyZLZJb5ra1","standard","2","15","LP","3.49090909090909","114.59","118.094","118.75","4.16","0.656","3","237",NA
"85","R_5BGWCyZLZJb5ra1","standard","2","16","LP","3.49090909090909","119.75","123.246","123.885","4.135","0.639","3","240",NA
"86","R_5BGWCyZLZJb5ra1","standard","2","17","LP","13.0392072382594","124.896","137.942","138.636","13.74","0.694","3","243",NA
"87","R_5BGWCyZLZJb5ra1","standard","2","18","LP","8.51632916846187","139.639","148.166","148.908","9.269","0.742","3","246",NA
"88","R_5BGWCyZLZJb5ra1","standard","2","19","LP","0.264713485566566","149.915","150.183","151.005","1.09","0.822","3","249",NA
"89","R_5BGWCyZLZJb5ra1","standard","2","20","LP","30","152.018","182.023","182.657","30.639","0.634","3","252",NA
"90","R_5BGWCyZLZJb5ra1","standard","2","21","LP","0.661783713916415","183.664","184.327","185.09","1.426","0.763","3","255",NA
"91","R_5BGWCyZLZJb5ra1","standard","2","22","LP","3.49090909090909","186.097","189.59","190.276","4.179","0.686","3","258",NA
"92","R_5BGWCyZLZJb5ra1","standard","2","23","LP","5.5010771219302","191.278","196.782","197.518","6.24","0.736","3","261",NA
"93","R_5BGWCyZLZJb5ra1","standard","2","24","LP","0.264713485566566","198.521","198.794","199.533","1.012","0.739","3","264",NA
"94","R_5BGWCyZLZJb5ra1","standard","2","25","LP","0.264713485566566","200.546","200.812","201.557","1.011","0.745","3","267",NA
"95","R_5BGWCyZLZJb5ra1","standard","2","26","LP","5.5010771219302","202.559","208.063","208.734","6.175","0.671","3","270",NA
"96","R_5BGWCyZLZJb5ra1","standard","2","27","LP","30","209.762","239.766","240.35","30.588","0.584","3","273",NA
"97","R_5BGWCyZLZJb5ra1","standard","2","28","LP","1.25738905644119","241.357","242.622","243.405","2.048","0.783","3","276",NA
"98","R_5BGWCyZLZJb5ra1","standard","2","29","LP","19.8235243429556","244.42","264.244","264.944","20.524","0.7","3","279",NA
"99","R_5BGWCyZLZJb5ra1","standard","2","30","LP","0.264713485566566","265.959","266.26","267.137","1.178","0.877","3","282",NA
"100","R_5BGWCyZLZJb5ra1","standard","2","31","LP","8.51632916846187","268.141","276.676","277.361","9.22","0.685","3","285",NA
"101","R_5BGWCyZLZJb5ra1","standard","2","32","LP","13.0392072382594","278.365","291.406",NA,"14.043",NA,"0","285",NA
"102","R_5BGWCyZLZJb5ra1","standard","2","33","LP","30","293.411","323.415","324.035","30.624","0.62","3","288",NA
"103","R_5BGWCyZLZJb5ra1","standard","2","34","LP","0.264713485566566","325.039","325.311","326.07","1.031","0.759","3","291",NA
"104","R_5BGWCyZLZJb5ra1","standard","2","35","LP","3.49090909090909","327.076","330.575","331.215","4.139","0.64","3","294",NA
"105","R_5BGWCyZLZJb5ra1","standard","2","36","LP","0.264713485566566","332.222","332.501","333.494","1.272","0.993","3","297",NA
"106","R_5BGWCyZLZJb5ra1","standard","2","37","LP","5.5010771219302","334.509","340.014","340.932","6.423","0.918","3","300",NA
"107","R_5BGWCyZLZJb5ra1","standard","2","38","LP","8.51632916846187","341.934","350.454","351.159","9.225","0.705","3","303",NA
