"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_5jtMSjVphNMWfip","standard","1","1","LP","1.25738905644119","0.002","1.267","1.675","1.673","0.408","3","3",""
"2","R_5jtMSjVphNMWfip","standard","1","2","LP","5.5010771219302","2.68","8.197","8.533","5.853","0.336","3","6",""
"3","R_5jtMSjVphNMWfip","standard","1","3","LP","2.15079707022835","9.534","11.697","12.071","2.537","0.374","3","9",""
"4","R_5jtMSjVphNMWfip","standard","1","4","LP","0.264713485566566","13.081","13.348","13.845","0.764","0.497","3","12",""
"5","R_5jtMSjVphNMWfip","standard","1","5","LP","19.8235243429556","14.86","34.693","35.061","20.201","0.368","3","15",""
"6","R_5jtMSjVphNMWfip","standard","1","6","LP","0.264713485566566","36.079","36.348","36.788","0.709","0.44","3","18",""
"7","R_5jtMSjVphNMWfip","standard","1","7","LP","19.8235243429556","37.81","57.642","57.952","20.142","0.31","3","21",""
"8","R_5jtMSjVphNMWfip","standard","1","8","LP","8.51632916846187","58.962","67.492","67.842","8.88","0.35","3","24",""
"9","R_5jtMSjVphNMWfip","standard","1","9","LP","30","68.845","98.857","99.281","30.436","0.424","3","27",""
"10","R_5jtMSjVphNMWfip","standard","1","10","LP","0.661783713916415","100.291","100.977","101.325","1.034","0.348","3","30",""
"11","R_5jtMSjVphNMWfip","standard","1","11","LP","0.661783713916415","102.341","103.013","103.378","1.037","0.365","3","33",""
"12","R_5jtMSjVphNMWfip","standard","1","12","LP","0.661783713916415","104.399","105.069","105.476","1.077","0.407","3","36",""
"13","R_5jtMSjVphNMWfip","standard","1","13","LP","8.51632916846187","106.49","115.021","115.487","8.997","0.466","3","39",""
"14","R_5jtMSjVphNMWfip","standard","1","14","LP","5.5010771219302","116.49","122.003","122.328","5.838","0.325","3","42",""
"15","R_5jtMSjVphNMWfip","standard","1","15","LP","0.264713485566566","123.337","123.618","124.204","0.867","0.586","3","45",""
"16","R_5jtMSjVphNMWfip","standard","1","16","LP","0.661783713916415","125.218","125.889","NA","1.688","NA","0","45",""
"17","R_5jtMSjVphNMWfip","standard","1","17","LP","19.8235243429556","127.921","147.753","148.282","20.361","0.529","3","48",""
"18","R_5jtMSjVphNMWfip","standard","1","18","LP","5.5010771219302","149.303","154.818","155.27","5.967","0.452","3","51",""
"19","R_5jtMSjVphNMWfip","standard","1","19","LP","8.51632916846187","156.275","164.805","165.159","8.884","0.354","3","54",""
"20","R_5jtMSjVphNMWfip","standard","1","20","LP","1.25738905644119","166.168","167.439","167.924","1.756","0.485","3","57",""
"21","R_5jtMSjVphNMWfip","standard","1","21","LP","0.661783713916415","168.926","169.609","170.127","1.201","0.518","3","60",""
"22","R_5jtMSjVphNMWfip","standard","1","22","LP","1.25738905644119","171.144","172.416","172.754","1.61","0.338","3","63",""
"23","R_5jtMSjVphNMWfip","standard","1","23","LP","2.15079707022835","173.761","175.919","176.295","2.534","0.376","3","66",""
"24","R_5jtMSjVphNMWfip","standard","1","24","LP","13.0392072382594","177.316","190.36","190.695","13.379","0.335","3","69",""
"25","R_5jtMSjVphNMWfip","standard","1","25","LP","1.25738905644119","191.723","192.998","193.367","1.644","0.369","3","72",""
"26","R_5jtMSjVphNMWfip","standard","1","26","LP","0.264713485566566","194.38","194.65","195.046","0.666","0.396","3","75",""
"27","R_5jtMSjVphNMWfip","standard","1","27","LP","0.661783713916415","196.049","196.714","197.079","1.03","0.365","3","78",""
"28","R_5jtMSjVphNMWfip","standard","1","28","LP","5.5010771219302","198.096","203.605","203.994","5.898","0.389","3","81",""
"29","R_5jtMSjVphNMWfip","standard","1","29","LP","3.49090909090909","205.008","208.51","208.895","3.887","0.385","3","84",""
"30","R_5jtMSjVphNMWfip","standard","1","30","LP","2.15079707022835","209.913","212.08","212.455","2.542","0.375","3","87",""
"31","R_5jtMSjVphNMWfip","standard","1","31","LP","3.49090909090909","213.465","216.964","217.29","3.825","0.326","3","90",""
"32","R_5jtMSjVphNMWfip","standard","1","32","LP","0.661783713916415","218.296","218.963","219.344","1.048","0.381","3","93",""
"33","R_5jtMSjVphNMWfip","standard","1","33","LP","8.51632916846187","220.347","228.863","229.224","8.877","0.361","3","96",""
"34","R_5jtMSjVphNMWfip","standard","1","34","LP","1.25738905644119","230.24","231.512","231.937","1.697","0.425","3","99",""
"35","R_5jtMSjVphNMWfip","standard","1","35","LP","8.51632916846187","232.946","241.478","241.852","8.906","0.374","3","102",""
"36","R_5jtMSjVphNMWfip","standard","1","36","LP","8.51632916846187","242.871","251.393","251.831","8.96","0.438","3","105",""
"37","R_5jtMSjVphNMWfip","standard","1","37","LP","19.8235243429556","252.845","272.676","273.125","20.28","0.449","3","108",""
"38","R_5jtMSjVphNMWfip","standard","1","38","LP","13.0392072382594","274.141","287.192","287.589","13.448","0.397","3","111",""
"39","R_5jtMSjVphNMWfip","standard","1","39","LP","3.49090909090909","288.593","292.09","292.46","3.867","0.37","3","114",""
"40","R_5jtMSjVphNMWfip","standard","1","40","LP","2.15079707022835","293.466","295.621","295.968","2.502","0.347","3","117",""
"41","R_5jtMSjVphNMWfip","standard","1","41","LP","1.25738905644119","296.988","298.248","298.639","1.651","0.391","3","120",""
"42","R_5jtMSjVphNMWfip","standard","1","42","LP","0.661783713916415","299.644","300.316","300.755","1.111","0.439","3","123",""
"43","R_5jtMSjVphNMWfip","standard","1","43","LP","30","301.758","331.764","332.113","30.355","0.349","3","126",""
"44","R_5jtMSjVphNMWfip","standard","1","44","LP","8.51632916846187","333.121","341.652","342.016","8.895","0.364","3","129",""
"45","R_5jtMSjVphNMWfip","standard","1","45","LP","13.0392072382594","343.02","356.066","356.442","13.422","0.376","3","132",""
"46","R_5jtMSjVphNMWfip","standard","1","46","LP","0.264713485566566","357.452","357.724","358.16","0.708","0.436","3","135",""
"47","R_5jtMSjVphNMWfip","standard","1","47","LP","19.8235243429556","359.169","379.015","379.468","20.299","0.453","3","138",""
"48","R_5jtMSjVphNMWfip","standard","1","48","LP","2.15079707022835","380.484","382.647","383.039","2.555","0.392","3","141",""
"49","R_5jtMSjVphNMWfip","standard","1","49","LP","3.49090909090909","384.051","387.544","387.98","3.929","0.436","3","144",""
"50","R_5jtMSjVphNMWfip","standard","1","50","LP","8.51632916846187","388.998","397.524","397.846","8.848","0.322","3","147",""
"51","R_5jtMSjVphNMWfip","standard","1","51","LP","13.0392072382594","398.848","411.895","412.352","13.504","0.457","3","150",""
"52","R_5jtMSjVphNMWfip","standard","1","52","LP","5.5010771219302","413.38","418.896","419.328","5.948","0.432","3","153",""
"53","R_5jtMSjVphNMWfip","standard","1","53","LP","3.49090909090909","420.348","423.847","424.185","3.837","0.338","3","156",""
"54","R_5jtMSjVphNMWfip","standard","1","54","LP","30","425.193","455.215","455.493","30.3","0.278","3","159",""
"55","R_5jtMSjVphNMWfip","standard","1","55","LP","2.15079707022835","456.504","458.673","459.014","2.51","0.341","3","162",""
"56","R_5jtMSjVphNMWfip","standard","1","56","LP","1.25738905644119","460.023","461.288","461.766","1.743","0.478","3","165",""
"57","R_5jtMSjVphNMWfip","standard","1","57","LP","8.51632916846187","462.786","471.311","471.581","8.795","0.27","3","168",""
"58","R_5jtMSjVphNMWfip","standard","1","58","LP","2.15079707022835","472.599","474.755","475.159","2.56","0.404","3","171",""
"59","R_5jtMSjVphNMWfip","standard","1","59","LP","13.0392072382594","476.171","489.217","489.549","13.378","0.332","3","174",""
"60","R_5jtMSjVphNMWfip","standard","1","60","LP","2.15079707022835","490.57","492.735","493.051","2.481","0.316","3","177",""
"61","R_5jtMSjVphNMWfip","standard","1","61","LP","30","494.053","524.065","524.38","30.327","0.315","3","180",""
"62","R_5jtMSjVphNMWfip","standard","1","62","LP","8.51632916846187","525.385","533.918","534.267","8.882","0.349","3","183",""
"63","R_5jtMSjVphNMWfip","standard","1","63","LP","13.0392072382594","535.287","548.334","548.698","13.411","0.364","3","186",""
"64","R_5jtMSjVphNMWfip","standard","1","64","LP","8.51632916846187","549.717","558.247","558.568","8.851","0.321","3","189",""
"65","R_5jtMSjVphNMWfip","standard","1","65","LP","1.25738905644119","559.584","560.851","561.263","1.679","0.412","3","192",""
"66","R_5jtMSjVphNMWfip","standard","1","66","LP","30","562.283","592.296","592.609","30.326","0.313","3","195",""
"67","R_5jtMSjVphNMWfip","standard","1","67","LP","2.15079707022835","593.616","595.781","596.35","2.734","0.569","3","198",""
"68","R_5jtMSjVphNMWfip","standard","1","68","LP","0.661783713916415","597.352","598.015","598.502","1.15","0.487","3","201",""
"69","R_5jtMSjVphNMWfip","standard","1","69","LP","5.5010771219302","599.518","605.026","605.424","5.906","0.398","3","204",""
"70","R_5jtMSjVphNMWfip","standard","1","70","LP","0.661783713916415","606.434","607.111","607.495","1.061","0.384","3","207",""
"71","R_5jtMSjVphNMWfip","standard","1","71","LP","1.25738905644119","608.512","609.776","610.183","1.671","0.407","3","210",""
"72","R_5jtMSjVphNMWfip","standard","1","72","LP","0.264713485566566","611.196","611.464","611.781","0.585","0.317","3","213",""
"73","R_5jtMSjVphNMWfip","standard","1","73","LP","0.264713485566566","612.796","613.064","613.396","0.6","0.332","3","216",""
"74","R_5jtMSjVphNMWfip","standard","1","74","LP","19.8235243429556","614.412","634.236","634.635","20.223","0.399","3","219",""
"75","R_5jtMSjVphNMWfip","standard","1","75","LP","30","635.638","665.641","665.983","30.345","0.342","3","222",""
"76","R_5jtMSjVphNMWfip","standard","1","76","LP","2.15079707022835","666.993","669.151","669.49","2.497","0.339","3","225",""
"77","R_5jtMSjVphNMWfip","standard","1","77","LP","5.5010771219302","670.513","676.023","676.373","5.86","0.35","3","228",""
"78","R_5jtMSjVphNMWfip","standard","1","78","LP","2.15079707022835","677.383","679.548","679.914","2.531","0.366","3","231",""
"79","R_5jtMSjVphNMWfip","standard","1","79","LP","5.5010771219302","680.915","686.441","686.793","5.878","0.352","3","234",""
"80","R_5jtMSjVphNMWfip","standard","1","80","LP","13.0392072382594","687.805","700.854","701.218","13.413","0.364","3","237",""
"81","R_5jtMSjVphNMWfip","standard","1","81","LP","19.8235243429556","702.225","722.06","722.404","20.179","0.344","3","240",""
"82","R_5jtMSjVphNMWfip","standard","1","82","LP","8.51632916846187","723.42","731.954","732.262","8.842","0.308","3","243",""
"83","R_5jtMSjVphNMWfip","standard","1","83","LP","0.661783713916415","733.269","733.94","734.309","1.04","0.369","3","246",""
"84","R_5jtMSjVphNMWfip","standard","1","84","LP","8.51632916846187","735.324","743.848","744.178","8.854","0.33","3","249",""
"85","R_5jtMSjVphNMWfip","standard","1","85","LP","1.25738905644119","745.184","746.452","746.818","1.634","0.366","3","252",""
"86","R_5jtMSjVphNMWfip","standard","1","86","LP","0.264713485566566","747.826","748.107","748.424","0.598","0.317","3","255",""
"87","R_5jtMSjVphNMWfip","standard","1","87","LP","1.25738905644119","749.446","750.713","751.053","1.607","0.34","3","258",""
"88","R_5jtMSjVphNMWfip","standard","1","88","LP","8.51632916846187","752.067","760.587","761.052","8.985","0.465","3","261",""
"89","R_5jtMSjVphNMWfip","standard","1","89","LP","19.8235243429556","762.075","781.914","782.289","20.214","0.375","3","264",""
"90","R_5jtMSjVphNMWfip","standard","1","90","LP","2.15079707022835","783.296","785.449","785.811","2.515","0.362","3","267",""
"91","R_5jtMSjVphNMWfip","standard","1","91","LP","30","786.816","816.819","817.134","30.318","0.315","3","270",""
"92","R_5jtMSjVphNMWfip","standard","1","92","LP","0.264713485566566","818.139","818.419","818.849","0.71","0.43","3","273",""
"93","R_5jtMSjVphNMWfip","standard","1","93","LP","1.25738905644119","819.86","821.121","821.457","1.597","0.336","3","276",""
"94","R_5jtMSjVphNMWfip","standard","1","94","LP","19.8235243429556","822.478","842.312","842.676","20.198","0.364","3","279",""
"95","R_5jtMSjVphNMWfip","standard","1","95","LP","3.49090909090909","843.693","847.206","847.538","3.845","0.332","3","282",""
"96","R_5jtMSjVphNMWfip","standard","1","96","LP","1.25738905644119","848.545","849.809","850.238","1.693","0.429","3","285",""
"97","R_5jtMSjVphNMWfip","standard","1","97","LP","13.0392072382594","851.245","864.302","864.654","13.409","0.352","3","288",""
"98","R_5jtMSjVphNMWfip","standard","1","98","LP","1.25738905644119","865.659","866.921","867.309","1.65","0.388","3","291",""
"99","R_5jtMSjVphNMWfip","standard","1","99","LP","2.15079707022835","868.311","870.474","870.799","2.488","0.325","3","294",""
"100","R_5jtMSjVphNMWfip","standard","1","100","LP","0.264713485566566","871.816","872.089","872.446","0.63","0.357","3","297",""
"101","R_5jtMSjVphNMWfip","standard","1","101","LP","3.49090909090909","873.449","876.943","877.296","3.847","0.353","3","300",""
"102","R_5jtMSjVphNMWfip","standard","2","1","LP","0.264713485566566","0","0.266","0.644","0.644","0.378","3","303",NA
"103","R_5jtMSjVphNMWfip","standard","2","2","LP","1.25738905644119","1.653","2.92","3.528","1.875","0.608","3","306",NA
"104","R_5jtMSjVphNMWfip","standard","2","3","LP","0.661783713916415","4.536","5.215","5.607","1.071","0.392","3","309",NA
"105","R_5jtMSjVphNMWfip","standard","2","4","LP","5.5010771219302","6.617","NaN","10.965","4.348","NaN","0","309",NA
"106","R_5jtMSjVphNMWfip","standard","2","5","LP","0.661783713916415","11.985","12.655","13.016","1.031","0.361","3","312",NA
"107","R_5jtMSjVphNMWfip","standard","2","6","LP","3.49090909090909","14.02","17.517","17.877","3.857","0.36","3","315",NA
"108","R_5jtMSjVphNMWfip","standard","2","7","LP","1.25738905644119","18.893","20.164","20.512","1.619","0.348","3","318",NA
"109","R_5jtMSjVphNMWfip","standard","2","8","LP","30","21.52","NaN","28.823","7.303","NaN","0","318",NA
"110","R_5jtMSjVphNMWfip","standard","2","9","LP","3.49090909090909","29.83","33.322","33.655","3.825","0.333","3","321",NA
"111","R_5jtMSjVphNMWfip","standard","2","10","LP","1.25738905644119","34.666","35.933","36.32","1.654","0.387","3","324",NA
"112","R_5jtMSjVphNMWfip","standard","2","11","LP","3.49090909090909","37.33","40.836","41.129","3.799","0.293","3","327",NA
"113","R_5jtMSjVphNMWfip","standard","2","12","LP","8.51632916846187","42.139","50.664","51.108","8.969","0.444","3","330",NA
"114","R_5jtMSjVphNMWfip","standard","2","13","LP","2.15079707022835","52.114","54.265","54.719","2.605","0.454","3","333",NA
"115","R_5jtMSjVphNMWfip","standard","2","14","LP","5.5010771219302","55.731","61.249","61.696","5.965","0.447","3","336",NA
"116","R_5jtMSjVphNMWfip","standard","2","15","LP","30","62.712","NaN","73.032","10.32","NaN","0","336",NA
"117","R_5jtMSjVphNMWfip","standard","2","16","LP","3.49090909090909","74.047","77.542","77.908","3.861","0.366","3","339",NA
"118","R_5jtMSjVphNMWfip","standard","2","17","LP","0.264713485566566","78.91","79.179","79.578","0.668","0.399","3","342",NA
"119","R_5jtMSjVphNMWfip","standard","2","18","LP","13.0392072382594","80.606","NaN","91.524","10.918","NaN","0","342",NA
"120","R_5jtMSjVphNMWfip","standard","2","19","LP","3.49090909090909","92.531","96.035","96.346","3.815","0.311","3","345",NA
"121","R_5jtMSjVphNMWfip","standard","2","20","LP","0.264713485566566","97.355","97.624","98.049","0.694","0.425","3","348",NA
"122","R_5jtMSjVphNMWfip","standard","2","21","LP","1.25738905644119","99.055","100.327","100.722","1.667","0.395","3","351",NA
"123","R_5jtMSjVphNMWfip","standard","2","22","LP","0.264713485566566","101.731","102.009","102.423","0.692","0.414","3","354",NA
"124","R_5jtMSjVphNMWfip","standard","2","23","LP","30","103.431","NaN","115.226","11.795","NaN","0","354",NA
"125","R_5jtMSjVphNMWfip","standard","2","24","LP","2.15079707022835","116.238","118.404","118.757","2.519","0.353","3","357",NA
"126","R_5jtMSjVphNMWfip","standard","2","25","LP","30","119.774","NaN","131.064","11.29","NaN","0","357",NA
"127","R_5jtMSjVphNMWfip","standard","2","26","LP","30","132.068","NaN","144.435","12.367","NaN","0","357",NA
"128","R_5jtMSjVphNMWfip","standard","2","27","LP","30","145.442","NaN","154.967","9.525","NaN","0","357",NA
"129","R_5jtMSjVphNMWfip","standard","2","28","LP","30","155.976","NaN","167.758","11.782","NaN","0","357",NA
"130","R_5jtMSjVphNMWfip","standard","2","29","LP","19.8235243429556","168.764","NaN","180.483","11.719","NaN","0","357",NA
"131","R_5jtMSjVphNMWfip","standard","2","30","LP","2.15079707022835","181.495","183.651","184.023","2.528","0.372","3","360",NA
"132","R_5jtMSjVphNMWfip","standard","2","31","LP","1.25738905644119","185.039","186.318","186.761","1.722","0.443","3","363",NA
"133","R_5jtMSjVphNMWfip","standard","2","32","LP","0.661783713916415","187.771","188.438","188.847","1.076","0.409","3","366",NA
"134","R_5jtMSjVphNMWfip","standard","2","33","LP","30","189.85","NaN","203.651","13.801","NaN","0","366",NA
"135","R_5jtMSjVphNMWfip","standard","2","34","LP","30","204.653","NaN","215.225","10.572","NaN","0","366",NA
"136","R_5jtMSjVphNMWfip","standard","2","35","LP","3.49090909090909","216.238","219.735","220.094","3.856","0.359","3","369",NA
"137","R_5jtMSjVphNMWfip","standard","2","36","LP","1.25738905644119","221.101","222.384","222.732","1.631","0.348","3","372",NA
"138","R_5jtMSjVphNMWfip","standard","2","37","LP","0.264713485566566","223.75","224.022","224.393","0.643","0.371","3","375",NA
"139","R_5jtMSjVphNMWfip","standard","2","38","LP","3.49090909090909","225.406","228.912","229.302","3.896","0.39","3","378",NA
"140","R_5jtMSjVphNMWfip","standard","2","39","LP","1.25738905644119","230.314","231.583","231.965","1.651","0.382","3","381",NA
