"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_6yw6cMtA8V2kXG9","standard","1","1","HP","18","0","18.01","18.388","18.388","0.378","3","3",""
"2","R_6yw6cMtA8V2kXG9","standard","1","2","HP","2","19.4","21.405","21.86","2.46","0.455","3","6",""
"3","R_6yw6cMtA8V2kXG9","standard","1","3","HP","10","22.865","32.875","33.324","10.459","0.449","3","9",""
"4","R_6yw6cMtA8V2kXG9","standard","1","4","HP","16","34.337","50.343","50.686","16.349","0.343","3","12",""
"5","R_6yw6cMtA8V2kXG9","standard","1","5","HP","16","51.7","67.708","68.085","16.385","0.377","3","15",""
"6","R_6yw6cMtA8V2kXG9","standard","1","6","HP","14","69.088","83.091","83.453","14.365","0.362","3","18",""
"7","R_6yw6cMtA8V2kXG9","standard","1","7","HP","18","84.468","102.471","102.853","18.385","0.382","3","21",""
"8","R_6yw6cMtA8V2kXG9","standard","1","8","HP","6","103.858","109.871","110.364","6.506","0.493","3","24",""
"9","R_6yw6cMtA8V2kXG9","standard","1","9","HP","4","111.374","115.382","115.813","4.439","0.431","3","27",""
"10","R_6yw6cMtA8V2kXG9","standard","1","10","HP","10","116.818","126.821","127.181","10.363","0.36","3","30",""
"11","R_6yw6cMtA8V2kXG9","standard","1","11","HP","16","128.191","144.198","144.572","16.381","0.374","3","33",""
"12","R_6yw6cMtA8V2kXG9","standard","1","12","HP","14","145.579","159.581","159.956","14.377","0.375","3","36",""
"13","R_6yw6cMtA8V2kXG9","standard","1","13","HP","14","160.961","174.971","175.3","14.339","0.329","3","39",""
"14","R_6yw6cMtA8V2kXG9","standard","1","14","HP","16","176.305","192.309","192.636","16.331","0.327","3","42",""
"15","R_6yw6cMtA8V2kXG9","standard","1","15","HP","8","193.643","201.656","202.188","8.545","0.532","3","45",""
"16","R_6yw6cMtA8V2kXG9","standard","1","16","HP","10","203.202","213.205","213.517","10.315","0.312","3","48",""
"17","R_6yw6cMtA8V2kXG9","standard","1","17","HP","20","214.528","234.536","234.851","20.323","0.315","3","51",""
"18","R_6yw6cMtA8V2kXG9","standard","1","18","HP","6","235.871","241.898","242.276","6.405","0.378","3","54",""
"19","R_6yw6cMtA8V2kXG9","standard","1","19","HP","10","243.292","253.315","253.629","10.337","0.314","3","57",""
"20","R_6yw6cMtA8V2kXG9","standard","1","20","HP","16","254.633","270.643","270.965","16.332","0.322","3","60",""
"21","R_6yw6cMtA8V2kXG9","standard","1","21","HP","8","271.979","279.994","280.396","8.417","0.402","3","63",""
