"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_BzCythOum0hYPct","standard","1","1","LP","13.0392072382594","0.002","13.046","13.611","13.609","0.565","3","3",""
"2","R_BzCythOum0hYPct","standard","1","2","LP","2.15079707022835","14.612","16.772","17.409","2.797","0.637","3","6",""
"3","R_BzCythOum0hYPct","standard","1","3","LP","13.0392072382594","18.413","31.459","32.086","13.673","0.627","3","9",""
"4","R_BzCythOum0hYPct","standard","1","4","LP","3.49090909090909","33.092","36.587","37.172","4.08","0.585","3","12",""
"5","R_BzCythOum0hYPct","standard","1","5","LP","3.49090909090909","38.179","41.675","42.33","4.151","0.655","3","15",""
"6","R_BzCythOum0hYPct","standard","1","6","LP","0.264713485566566","43.332","43.604","44.265","0.933","0.661","3","18",""
"7","R_BzCythOum0hYPct","standard","1","7","LP","2.15079707022835","45.267","47.42","48.074","2.807","0.654","3","21",""
"8","R_BzCythOum0hYPct","standard","1","8","LP","5.5010771219302","49.075","54.579","55.185","6.11","0.606","3","24",""
"9","R_BzCythOum0hYPct","standard","1","9","LP","8.51632916846187","56.187","64.71","65.331","9.144","0.621","3","27",""
"10","R_BzCythOum0hYPct","standard","1","10","LP","3.49090909090909","66.339","69.836","70.454","4.115","0.618","3","30",""
"11","R_BzCythOum0hYPct","standard","1","11","LP","19.8235243429556","71.46","91.292","91.941","20.481","0.649","3","33",""
"12","R_BzCythOum0hYPct","standard","1","12","LP","2.15079707022835","92.947","95.099","95.762","2.815","0.663","3","36",""
"13","R_BzCythOum0hYPct","standard","1","13","LP","0.264713485566566","96.763","97.035","97.621","0.858","0.586","3","39",""
"14","R_BzCythOum0hYPct","standard","1","14","LP","0.264713485566566","98.627","98.9","99.44","0.813","0.54","3","42",""
"15","R_BzCythOum0hYPct","standard","1","15","LP","3.49090909090909","100.443","103.939","104.506","4.063","0.567","3","45",""
"16","R_BzCythOum0hYPct","standard","1","16","LP","2.15079707022835","105.509","107.668","108.201","2.692","0.533","3","48",""
"17","R_BzCythOum0hYPct","standard","1","17","LP","19.8235243429556","109.204","129.035","129.619","20.415","0.584","3","51",""
"18","R_BzCythOum0hYPct","standard","1","18","LP","1.25738905644119","130.62","131.883","132.536","1.916","0.653","3","54",""
"19","R_BzCythOum0hYPct","standard","1","19","LP","3.49090909090909","133.54","137.035","137.853","4.313","0.818","3","57",""
"20","R_BzCythOum0hYPct","standard","1","20","LP","19.8235243429556","138.859","158.684","159.386","20.527","0.702","3","60",""
"21","R_BzCythOum0hYPct","standard","1","21","LP","0.661783713916415","160.387","161.051","161.801","1.414","0.75","3","63",""
"22","R_BzCythOum0hYPct","standard","1","22","LP","13.0392072382594","162.803","175.844","176.451","13.648","0.607","3","66",""
"23","R_BzCythOum0hYPct","standard","1","23","LP","13.0392072382594","177.459","190.508","191.114","13.655","0.606","3","69",""
"24","R_BzCythOum0hYPct","standard","1","24","LP","0.661783713916415","192.133","192.796","193.785","1.652","0.989","3","72",""
"25","R_BzCythOum0hYPct","standard","1","25","LP","0.661783713916415","194.787","195.458","196.106","1.319","0.648","3","75",""
"26","R_BzCythOum0hYPct","standard","1","26","LP","30","197.11","227.115","227.736","30.626","0.621","3","78",""
"27","R_BzCythOum0hYPct","standard","1","27","LP","2.15079707022835","228.74","230.892","231.481","2.741","0.589","3","81",""
"28","R_BzCythOum0hYPct","standard","1","28","LP","3.49090909090909","232.483","235.98","236.577","4.094","0.597","3","84",""
"29","R_BzCythOum0hYPct","standard","1","29","LP","13.0392072382594","237.587","250.628","NA","14.049","NA","0","84",""
"30","R_BzCythOum0hYPct","standard","1","30","LP","2.15079707022835","252.646","254.803","255.386","2.74","0.583","3","87",""
"31","R_BzCythOum0hYPct","standard","1","31","LP","30","256.388","286.396","286.972","30.584","0.576","3","90",""
"32","R_BzCythOum0hYPct","standard","1","32","LP","13.0392072382594","287.98","301.084","301.675","13.695","0.591","3","93",""
"33","R_BzCythOum0hYPct","standard","1","33","LP","19.8235243429556","302.676","322.508","323.252","20.576","0.744","3","96",""
"34","R_BzCythOum0hYPct","standard","1","34","LP","5.5010771219302","324.26","329.763","330.336","6.076","0.573","3","99",""
"35","R_BzCythOum0hYPct","standard","1","35","LP","5.5010771219302","331.34","336.843","337.475","6.135","0.632","3","102",""
"36","R_BzCythOum0hYPct","standard","1","36","LP","5.5010771219302","338.476","343.987","344.792","6.316","0.805","3","105",""
"37","R_BzCythOum0hYPct","standard","1","37","LP","19.8235243429556","345.796","365.622","366.257","20.461","0.635","3","108",""
"38","R_BzCythOum0hYPct","standard","1","38","LP","8.51632916846187","367.26","375.78","376.434","9.174","0.654","3","111",""
"39","R_BzCythOum0hYPct","standard","1","39","LP","19.8235243429556","377.436","397.259","397.97","20.534","0.711","3","114",""
"40","R_BzCythOum0hYPct","standard","1","40","LP","30","398.972","428.98","429.57","30.598","0.59","3","117",""
"41","R_BzCythOum0hYPct","standard","1","41","LP","13.0392072382594","430.572","443.611","444.241","13.669","0.63","3","120",""
"42","R_BzCythOum0hYPct","standard","1","42","LP","0.264713485566566","445.262","445.531","446.199","0.937","0.668","3","123",""
"43","R_BzCythOum0hYPct","standard","1","43","LP","19.8235243429556","447.204","467.038","467.729","20.525","0.691","3","126",""
"44","R_BzCythOum0hYPct","standard","1","44","LP","8.51632916846187","468.732","477.251","477.928","9.196","0.677","3","129",""
"45","R_BzCythOum0hYPct","standard","1","45","LP","2.15079707022835","478.931","481.084","481.775","2.844","0.691","3","132",""
"46","R_BzCythOum0hYPct","standard","1","46","LP","1.25738905644119","482.779","484.044","484.831","2.052","0.787","3","135",""
"47","R_BzCythOum0hYPct","standard","1","47","LP","0.264713485566566","485.836","486.107","486.743","0.907","0.636","3","138",""
"48","R_BzCythOum0hYPct","standard","1","48","LP","3.49090909090909","487.748","491.244","491.929","4.181","0.685","3","141",""
"49","R_BzCythOum0hYPct","standard","1","49","LP","30","492.938","522.939","523.515","30.577","0.576","3","144",""
"50","R_BzCythOum0hYPct","standard","1","50","LP","19.8235243429556","524.526","544.355","NA","20.833","NA","0","144",""
"51","R_BzCythOum0hYPct","standard","1","51","LP","30","546.364","576.372","NA","31.009","NA","0","144",""
"52","R_BzCythOum0hYPct","standard","1","52","LP","0.661783713916415","578.381","579.044","579.72","1.339","0.676","3","147",""
"53","R_BzCythOum0hYPct","standard","1","53","LP","0.264713485566566","580.724","581.014","581.656","0.932","0.642","3","150",""
"54","R_BzCythOum0hYPct","standard","1","54","LP","3.49090909090909","582.66","586.157","586.808","4.148","0.651","3","153",""
"55","R_BzCythOum0hYPct","standard","1","55","LP","13.0392072382594","587.811","600.852","601.483","13.672","0.631","3","156",""
"56","R_BzCythOum0hYPct","standard","1","56","LP","8.51632916846187","602.485","611.004","611.669","9.184","0.665","3","159",""
"57","R_BzCythOum0hYPct","standard","1","57","LP","5.5010771219302","612.677","618.181","NA","6.513","NA","0","159",""
"58","R_BzCythOum0hYPct","standard","1","58","LP","8.51632916846187","620.197","628.717","629.481","9.284","0.764","3","162",""
"59","R_BzCythOum0hYPct","standard","1","59","LP","5.5010771219302","630.484","636.073","NA","6.597","NA","0","162",""
"60","R_BzCythOum0hYPct","standard","1","60","LP","1.25738905644119","638.085","639.354","640.077","1.992","0.723","3","165",""
"61","R_BzCythOum0hYPct","standard","1","61","LP","30","641.084","671.085","671.736","30.652","0.651","3","165","26277"
"62","R_BzCythOum0hYPct","standard","1","62","LP","0.264713485566566","672.74","673.004","673.625","0.885","0.621","3","168",""
"63","R_BzCythOum0hYPct","standard","1","63","LP","8.51632916846187","674.629","683.149","683.826","9.197","0.677","3","171",""
"64","R_BzCythOum0hYPct","standard","1","64","LP","13.0392072382594","684.828","697.869","698.441","13.613","0.572","3","174",""
"65","R_BzCythOum0hYPct","standard","1","65","LP","1.25738905644119","699.445","700.71","701.287","1.842","0.577","3","177",""
"66","R_BzCythOum0hYPct","standard","1","66","LP","5.5010771219302","702.293","707.796","708.54","6.247","0.744","3","180",""
"67","R_BzCythOum0hYPct","standard","1","67","LP","0.264713485566566","709.549","709.865","710.512","0.963","0.647","3","183",""
"68","R_BzCythOum0hYPct","standard","1","68","LP","5.5010771219302","711.516","717.021","717.744","6.228","0.723","3","186",""
"69","R_BzCythOum0hYPct","standard","1","69","LP","0.661783713916415","718.748","719.413","720.031","1.283","0.618","3","189",""
"70","R_BzCythOum0hYPct","standard","1","70","LP","19.8235243429556","721.036","740.86","741.488","20.452","0.628","3","192",""
"71","R_BzCythOum0hYPct","standard","1","71","LP","1.25738905644119","742.493","743.758","744.479","1.986","0.721","3","195",""
"72","R_BzCythOum0hYPct","standard","1","72","LP","1.25738905644119","745.484","746.748","747.616","2.132","0.868","3","198",""
"73","R_BzCythOum0hYPct","standard","1","73","LP","1.25738905644119","748.621","749.884","750.599","1.978","0.715","3","201",""
"74","R_BzCythOum0hYPct","standard","1","74","LP","0.661783713916415","751.605","752.268","752.904","1.299","0.636","3","204",""
"75","R_BzCythOum0hYPct","standard","1","75","LP","3.49090909090909","753.911","757.404","758.142","4.231","0.738","3","207",""
"76","R_BzCythOum0hYPct","standard","1","76","LP","0.661783713916415","759.148","759.814","760.446","1.298","0.632","3","210",""
"77","R_BzCythOum0hYPct","standard","1","77","LP","30","761.453","791.461","792.04","30.587","0.579","3","213",""
"78","R_BzCythOum0hYPct","standard","1","78","LP","3.49090909090909","793.046","796.54","797.483","4.437","0.943","3","216",""
"79","R_BzCythOum0hYPct","standard","1","79","LP","13.0392072382594","798.492","811.539","NA","14.049","NA","0","216",""
"80","R_BzCythOum0hYPct","standard","1","80","LP","5.5010771219302","813.548","819.052","819.75","6.202","0.698","3","219",""
"81","R_BzCythOum0hYPct","standard","1","81","LP","19.8235243429556","820.756","840.613","841.258","20.502","0.645","3","222",""
"82","R_BzCythOum0hYPct","standard","1","82","LP","0.264713485566566","842.26","842.532","NA","1.28","NA","0","222",""
"83","R_BzCythOum0hYPct","standard","1","83","LP","2.15079707022835","844.548","846.699","847.28","2.732","0.581","3","225",""
"84","R_BzCythOum0hYPct","standard","1","84","LP","2.15079707022835","848.284","850.435","851.248","2.964","0.813","3","228",""
"85","R_BzCythOum0hYPct","standard","1","85","LP","0.661783713916415","852.251","852.915","853.535","1.284","0.62","3","231",""
"86","R_BzCythOum0hYPct","standard","1","86","LP","3.49090909090909","854.54","858.035","NA","4.593","NA","0","231",""
"87","R_BzCythOum0hYPct","standard","1","87","LP","13.0392072382594","860.146","873.187","873.92","13.774","0.733","3","234",""
"88","R_BzCythOum0hYPct","standard","1","88","LP","3.49090909090909","874.924","878.415","879.072","4.148","0.657","3","237",""
"89","R_BzCythOum0hYPct","standard","1","89","LP","8.51632916846187","880.077","888.595","889.327","9.25","0.732","3","240",""
"90","R_BzCythOum0hYPct","standard","2","1","LP","0.264713485566566","0.001","0.27","1.021","1.02","0.751","3","243",NA
"91","R_BzCythOum0hYPct","standard","2","2","LP","8.51632916846187","2.022","10.542","11.142","9.12","0.6","3","246",NA
"92","R_BzCythOum0hYPct","standard","2","3","LP","2.15079707022835","12.142","14.294","14.824","2.682","0.53","3","249",NA
"93","R_BzCythOum0hYPct","standard","2","4","LP","8.51632916846187","15.826","24.342","24.941","9.115","0.599","3","252",NA
"94","R_BzCythOum0hYPct","standard","2","5","LP","0.661783713916415","25.943","26.606","27.296","1.353","0.69","3","255",NA
"95","R_BzCythOum0hYPct","standard","2","6","LP","13.0392072382594","28.302","NaN","39.361","11.059","NaN","0","255",NA
"96","R_BzCythOum0hYPct","standard","2","7","LP","19.8235243429556","40.367","60.199",NA,"20.842",NA,"0","255",NA
"97","R_BzCythOum0hYPct","standard","2","8","LP","0.264713485566566","62.216","62.487","63.12","0.904","0.633","3","258",NA
"98","R_BzCythOum0hYPct","standard","2","9","LP","5.5010771219302","64.126","69.629","70.368","6.242","0.739","3","261",NA
"99","R_BzCythOum0hYPct","standard","2","10","LP","1.25738905644119","71.375","72.639","73.264","1.889","0.625","3","264",NA
"100","R_BzCythOum0hYPct","standard","2","11","LP","0.264713485566566","74.27","74.534","75.177","0.907","0.643","3","267",NA
"101","R_BzCythOum0hYPct","standard","2","12","LP","19.8235243429556","76.183","NaN","85.786","9.603","NaN","0","267",NA
"102","R_BzCythOum0hYPct","standard","2","13","LP","2.15079707022835","86.791","88.942","89.804","3.013","0.862","3","270",NA
"103","R_BzCythOum0hYPct","standard","2","14","LP","13.0392072382594","90.809","103.854",NA,"14.045",NA,"0","270",NA
"104","R_BzCythOum0hYPct","standard","2","15","LP","30","105.854","NaN","115.217","9.363","NaN","0","270",NA
"105","R_BzCythOum0hYPct","standard","2","16","LP","2.15079707022835","116.23","118.382","118.991","2.761","0.609","3","273",NA
"106","R_BzCythOum0hYPct","standard","2","17","LP","8.51632916846187","119.998","128.517","128.799","8.801","0.282","3","276",NA
"107","R_BzCythOum0hYPct","standard","2","18","LP","1.25738905644119","129.805","131.069","131.614","1.809","0.545","3","279",NA
"108","R_BzCythOum0hYPct","standard","2","19","LP","3.49090909090909","132.619","136.109","136.711","4.092","0.602","3","282",NA
"109","R_BzCythOum0hYPct","standard","2","20","LP","0.264713485566566","137.718","137.99","138.567","0.849","0.577","3","285",NA
"110","R_BzCythOum0hYPct","standard","2","21","LP","13.0392072382594","139.573","NaN","147.002","7.429","NaN","0","285",NA
"111","R_BzCythOum0hYPct","standard","2","22","LP","30","148.007","NaN","158.616","10.609","NaN","0","285",NA
"112","R_BzCythOum0hYPct","standard","2","23","LP","1.25738905644119","159.619","160.878","161.565","1.946","0.687","3","288",NA
"113","R_BzCythOum0hYPct","standard","2","24","LP","0.264713485566566","162.566","162.837","163.395","0.829","0.558","3","291",NA
"114","R_BzCythOum0hYPct","standard","2","25","LP","1.25738905644119","164.396","NaN","165.025","0.629","NaN","0","291",NA
"115","R_BzCythOum0hYPct","standard","2","26","LP","13.0392072382594","166.029","NaN","170.657","4.628","NaN","0","291",NA
"116","R_BzCythOum0hYPct","standard","2","27","LP","5.5010771219302","171.662","177.165","177.794","6.132","0.629","3","294",NA
"117","R_BzCythOum0hYPct","standard","2","28","LP","0.264713485566566","178.8","179.081","179.996","1.196","0.915","3","297",NA
"118","R_BzCythOum0hYPct","standard","2","29","LP","0.661783713916415","180.997","181.662","182.255","1.258","0.593","3","300",NA
"119","R_BzCythOum0hYPct","standard","2","30","LP","0.264713485566566","183.262","183.536","184.159","0.897","0.623","3","303",NA
"120","R_BzCythOum0hYPct","standard","2","31","LP","2.15079707022835","185.165","187.318","188.023","2.858","0.705","3","306",NA
"121","R_BzCythOum0hYPct","standard","2","32","LP","1.25738905644119","189.03","190.293","190.942","1.912","0.649","3","309",NA
"122","R_BzCythOum0hYPct","standard","2","33","LP","30","191.95","NaN","201.888","9.938","NaN","0","309",NA
"123","R_BzCythOum0hYPct","standard","2","34","LP","19.8235243429556","202.893","NaN","211.994","9.101","NaN","0","309",NA
"124","R_BzCythOum0hYPct","standard","2","35","LP","3.49090909090909","213.028","216.525","217.21","4.182","0.685","3","312",NA
"125","R_BzCythOum0hYPct","standard","2","36","LP","5.5010771219302","218.213","223.716","224.528","6.315","0.812","3","315",NA
"126","R_BzCythOum0hYPct","standard","2","37","LP","19.8235243429556","225.533","NaN","235.223","9.69","NaN","0","315",NA
"127","R_BzCythOum0hYPct","standard","2","38","LP","30","236.276","NaN","247.451","11.175","NaN","0","315",NA
"128","R_BzCythOum0hYPct","standard","2","39","LP","5.5010771219302","248.453","253.957",NA,"6.506",NA,"0","315",NA
"129","R_BzCythOum0hYPct","standard","2","40","LP","8.51632916846187","255.965","264.494",NA,"9.54",NA,"0","315",NA
"130","R_BzCythOum0hYPct","standard","2","41","LP","8.51632916846187","266.505","275.022","275.643","9.138","0.621","3","318",NA
"131","R_BzCythOum0hYPct","standard","2","42","LP","13.0392072382594","276.645","NaN","287.412","10.767","NaN","0","318",NA
"132","R_BzCythOum0hYPct","standard","2","43","LP","3.49090909090909","288.414","291.909","292.585","4.171","0.676","3","321",NA
"133","R_BzCythOum0hYPct","standard","2","44","LP","19.8235243429556","293.59","NaN","305.169","11.579","NaN","0","321",NA
"134","R_BzCythOum0hYPct","standard","2","45","LP","8.51632916846187","306.174","314.694","315.457","9.283","0.763","3","324",NA
"135","R_BzCythOum0hYPct","standard","2","46","LP","8.51632916846187","316.462","325.14","325.759","9.297","0.619","3","327",NA
"136","R_BzCythOum0hYPct","standard","2","47","LP","0.264713485566566","326.766","327.038","327.872","1.106","0.834","3","330",NA
"137","R_BzCythOum0hYPct","standard","2","48","LP","0.661783713916415","328.878","329.542","330.182","1.304","0.64","3","333",NA
"138","R_BzCythOum0hYPct","standard","2","49","LP","30","331.186","NaN","337.159","5.973","NaN","0","333",NA
"139","R_BzCythOum0hYPct","standard","2","50","LP","19.8235243429556","338.165","NaN","344.136","5.971","NaN","0","333",NA
"140","R_BzCythOum0hYPct","standard","2","51","LP","19.8235243429556","345.141","NaN","351.424","6.283","NaN","0","333",NA
"141","R_BzCythOum0hYPct","standard","2","52","LP","8.51632916846187","352.43","360.95","361.15","8.72","0.2","3","336",NA
"142","R_BzCythOum0hYPct","standard","2","53","LP","5.5010771219302","362.157","367.662","368.245","6.088","0.583","3","339",NA
"143","R_BzCythOum0hYPct","standard","2","54","LP","0.661783713916415","369.253","369.918","370.591","1.338","0.673","3","342",NA
"144","R_BzCythOum0hYPct","standard","2","55","LP","19.8235243429556","371.599","NaN","381.687","10.088","NaN","0","342",NA
"145","R_BzCythOum0hYPct","standard","2","56","LP","5.5010771219302","382.717","388.222","388.774","6.057","0.552","3","345",NA
"146","R_BzCythOum0hYPct","standard","2","57","LP","5.5010771219302","389.782","395.285","395.944","6.162","0.659","3","348",NA
"147","R_BzCythOum0hYPct","standard","2","58","LP","0.264713485566566","396.949","397.213","397.949","1","0.736","3","351",NA
"148","R_BzCythOum0hYPct","standard","2","59","LP","8.51632916846187","398.958","407.478","408.239","9.281","0.761","3","354",NA
"149","R_BzCythOum0hYPct","standard","2","60","LP","5.5010771219302","409.245","414.749",NA,"6.505",NA,"0","354",NA
"150","R_BzCythOum0hYPct","standard","2","61","LP","3.49090909090909","416.758","420.254","420.942","4.184","0.688","3","357",NA
"151","R_BzCythOum0hYPct","standard","2","62","LP","3.49090909090909","421.95","425.446","426.11","4.16","0.664","3","360",NA
"152","R_BzCythOum0hYPct","standard","2","63","LP","0.661783713916415","427.149","427.813","428.413","1.264","0.6","3","363",NA
"153","R_BzCythOum0hYPct","standard","2","64","LP","3.49090909090909","429.414","432.909","433.638","4.224","0.729","3","366",NA
"154","R_BzCythOum0hYPct","standard","2","65","LP","0.264713485566566","434.646","434.917","435.638","0.992","0.721","3","369",NA
"155","R_BzCythOum0hYPct","standard","2","66","LP","8.51632916846187","436.646","445.165","445.856","9.21","0.691","3","372",NA
"156","R_BzCythOum0hYPct","standard","2","67","LP","8.51632916846187","446.861","455.382","456.086","9.225","0.704","3","375",NA
"157","R_BzCythOum0hYPct","standard","2","68","LP","0.661783713916415","457.161","457.822","458.486","1.325","0.664","3","378",NA
"158","R_BzCythOum0hYPct","standard","2","69","LP","2.15079707022835","459.494","461.646","462.191","2.697","0.545","3","381",NA
"159","R_BzCythOum0hYPct","standard","2","70","LP","19.8235243429556","463.198","NaN","472.246","9.048","NaN","0","381",NA
"160","R_BzCythOum0hYPct","standard","2","71","LP","3.49090909090909","473.254","476.77","477.526","4.272","0.756","3","384",NA
"161","R_BzCythOum0hYPct","standard","2","72","LP","13.0392072382594","478.546","NaN","488.152","9.606","NaN","0","384",NA
"162","R_BzCythOum0hYPct","standard","2","73","LP","30","489.158","NaN","496.99","7.832","NaN","0","384",NA
"163","R_BzCythOum0hYPct","standard","2","74","LP","0.264713485566566","497.997","498.262","498.958","0.961","0.696","3","387",NA
"164","R_BzCythOum0hYPct","standard","2","75","LP","8.51632916846187","499.966","508.486","509.065","9.099","0.579","3","390",NA
"165","R_BzCythOum0hYPct","standard","2","76","LP","8.51632916846187","510.07","518.589","519.149","9.079","0.56","3","393",NA
"166","R_BzCythOum0hYPct","standard","2","77","LP","1.25738905644119","520.15","521.407","522.084","1.934","0.677","3","396",NA
"167","R_BzCythOum0hYPct","standard","2","78","LP","1.25738905644119","523.085","524.35","524.94","1.855","0.59","3","399",NA
"168","R_BzCythOum0hYPct","standard","2","79","LP","0.264713485566566","525.941","526.205","526.82","0.879","0.615","3","402",NA
"169","R_BzCythOum0hYPct","standard","2","80","LP","2.15079707022835","527.821","529.973","530.732","2.911","0.759","3","405",NA
"170","R_BzCythOum0hYPct","standard","2","81","LP","1.25738905644119","531.734","533.006","533.725","1.991","0.719","3","408",NA
"171","R_BzCythOum0hYPct","standard","2","82","LP","3.49090909090909","534.725","538.222","538.862","4.137","0.64","3","411",NA
"172","R_BzCythOum0hYPct","standard","2","83","LP","8.51632916846187","539.863","NaN","548.274","8.411","NaN","0","411",NA
"173","R_BzCythOum0hYPct","standard","2","84","LP","0.661783713916415","549.279","549.942","550.519","1.24","0.577","3","414",NA
"174","R_BzCythOum0hYPct","standard","2","85","LP","0.264713485566566","551.521","551.791","552.39","0.869","0.599","3","417",NA
"175","R_BzCythOum0hYPct","standard","2","86","LP","8.51632916846187","553.391","561.91","562.504","9.113","0.594","3","420",NA
"176","R_BzCythOum0hYPct","standard","2","87","LP","2.15079707022835","563.536","565.695","566.31","2.774","0.615","3","423",NA
"177","R_BzCythOum0hYPct","standard","2","88","LP","30","567.311","NaN","571.612","4.301","NaN","0","423",NA
"178","R_BzCythOum0hYPct","standard","2","89","LP","0.264713485566566","572.692","572.959","573.714","1.022","0.755","3","426",NA
"179","R_BzCythOum0hYPct","standard","2","90","LP","3.49090909090909","574.719","578.211","578.873","4.154","0.662","3","429",NA
"180","R_BzCythOum0hYPct","standard","2","91","LP","2.15079707022835","579.879","582.031","582.718","2.839","0.687","3","432",NA
"181","R_BzCythOum0hYPct","standard","2","92","LP","3.49090909090909","583.719","587.218","587.91","4.191","0.692","3","435",NA
"182","R_BzCythOum0hYPct","standard","2","93","LP","0.661783713916415","588.911","589.575","590.2","1.289","0.625","3","438",NA
"183","R_BzCythOum0hYPct","standard","2","94","LP","0.264713485566566","591.207","591.478","592.087","0.88","0.609","3","441",NA
"184","R_BzCythOum0hYPct","standard","2","95","LP","2.15079707022835","593.095","595.246","595.856","2.761","0.61","3","444",NA
