"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_Dk4PjNEEaiPRli9","standard","1","1","LP","30","0.002","30.022","30.579","30.577","0.557","3","3",""
"2","R_Dk4PjNEEaiPRli9","standard","1","2","LP","0.264713485566566","31.587","31.867","32.603","1.016","0.736","3","6",""
"3","R_Dk4PjNEEaiPRli9","standard","1","3","LP","0.661783713916415","33.618","34.3","34.922","1.304","0.622","3","9",""
"4","R_Dk4PjNEEaiPRli9","standard","1","4","LP","8.51632916846187","35.933","44.462","45.107","9.174","0.645","3","12",""
"5","R_Dk4PjNEEaiPRli9","standard","1","5","LP","0.661783713916415","46.114","46.783","47.37","1.256","0.587","3","15",""
"6","R_Dk4PjNEEaiPRli9","standard","1","6","LP","0.661783713916415","48.379","49.045","49.586","1.207","0.541","3","18",""
"7","R_Dk4PjNEEaiPRli9","standard","1","7","LP","3.49090909090909","50.595","54.093","54.611","4.016","0.518","3","21",""
"8","R_Dk4PjNEEaiPRli9","standard","1","8","LP","30","55.626","85.634","86.139","30.513","0.505","3","24",""
"9","R_Dk4PjNEEaiPRli9","standard","1","9","LP","0.264713485566566","87.147","87.418","87.994","0.847","0.576","3","27",""
"10","R_Dk4PjNEEaiPRli9","standard","1","10","LP","0.264713485566566","89.015","89.298","89.786","0.771","0.488","3","30",""
"11","R_Dk4PjNEEaiPRli9","standard","1","11","LP","19.8235243429556","90.798","110.626","111.147","20.349","0.521","3","33",""
"12","R_Dk4PjNEEaiPRli9","standard","1","12","LP","8.51632916846187","112.155","120.687","121.235","9.08","0.548","3","36",""
"13","R_Dk4PjNEEaiPRli9","standard","1","13","LP","0.661783713916415","122.238","122.903","123.434","1.196","0.531","3","39",""
"14","R_Dk4PjNEEaiPRli9","standard","1","14","LP","2.15079707022835","124.451","126.621","127.122","2.671","0.501","3","42",""
"15","R_Dk4PjNEEaiPRli9","standard","1","15","LP","19.8235243429556","128.128","147.96","148.467","20.339","0.507","3","45",""
"16","R_Dk4PjNEEaiPRli9","standard","1","16","LP","30","149.478","179.487","179.947","30.469","0.46","3","48",""
"17","R_Dk4PjNEEaiPRli9","standard","1","17","LP","0.661783713916415","180.95","181.617","182.114","1.164","0.497","3","51",""
"18","R_Dk4PjNEEaiPRli9","standard","1","18","LP","19.8235243429556","183.117","202.942","203.475","20.358","0.533","3","54",""
"19","R_Dk4PjNEEaiPRli9","standard","1","19","LP","5.5010771219302","204.493","210.007","210.546","6.053","0.539","3","57",""
"20","R_Dk4PjNEEaiPRli9","standard","1","20","LP","30","211.565","241.58","242.082","30.517","0.502","3","60",""
"21","R_Dk4PjNEEaiPRli9","standard","1","21","LP","3.49090909090909","243.096","246.595","247.146","4.05","0.551","3","63",""
"22","R_Dk4PjNEEaiPRli9","standard","1","22","LP","0.264713485566566","248.153","248.428","249.01","0.857","0.582","3","66",""
"23","R_Dk4PjNEEaiPRli9","standard","1","23","LP","30","250.012","280.018","280.483","30.471","0.465","3","69",""
"24","R_Dk4PjNEEaiPRli9","standard","1","24","LP","1.25738905644119","281.501","282.76","283.362","1.861","0.602","3","72",""
"25","R_Dk4PjNEEaiPRli9","standard","1","25","LP","13.0392072382594","284.382","297.426","297.922","13.54","0.496","3","75",""
"26","R_Dk4PjNEEaiPRli9","standard","1","26","LP","3.49090909090909","298.926","302.426","302.954","4.028","0.528","3","78",""
