"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_O2Q4CZUKVAi9tXH","standard","1","1","LP","8.51632916846187","0.002","8.533","8.818","8.816","0.285","3","3",""
"2","R_O2Q4CZUKVAi9tXH","standard","1","2","LP","0.264713485566566","9.824","10.109","NA","1.295","NA","0","3",""
"3","R_O2Q4CZUKVAi9tXH","standard","1","3","LP","19.8235243429556","12.121","31.967","32.279","20.158","0.312","3","6",""
"4","R_O2Q4CZUKVAi9tXH","standard","1","4","LP","2.15079707022835","33.281","35.431","35.734","2.453","0.303","3","9",""
"5","R_O2Q4CZUKVAi9tXH","standard","1","5","LP","2.15079707022835","36.737","38.889","39.171","2.434","0.282","3","12",""
"6","R_O2Q4CZUKVAi9tXH","standard","1","6","LP","0.661783713916415","40.192","40.867","41.177","0.985","0.31","3","15",""
"7","R_O2Q4CZUKVAi9tXH","standard","1","7","LP","3.49090909090909","42.186","45.681","45.993","3.807","0.312","3","18",""
"8","R_O2Q4CZUKVAi9tXH","standard","1","8","LP","19.8235243429556","47.001","66.826","67.129","20.128","0.303","3","18","13027"
"9","R_O2Q4CZUKVAi9tXH","standard","1","9","LP","3.49090909090909","68.131","71.633","71.92","3.789","0.287","3","21",""
"10","R_O2Q4CZUKVAi9tXH","standard","1","10","LP","8.51632916846187","72.924","81.45","81.758","8.834","0.308","3","24",""
"11","R_O2Q4CZUKVAi9tXH","standard","1","11","LP","5.5010771219302","82.764","88.273","88.554","5.79","0.281","3","27",""
"12","R_O2Q4CZUKVAi9tXH","standard","1","12","LP","19.8235243429556","89.573","109.414","109.716","20.143","0.302","3","30",""
"13","R_O2Q4CZUKVAi9tXH","standard","1","13","LP","1.25738905644119","110.72","111.986","112.285","1.565","0.299","3","33",""
"14","R_O2Q4CZUKVAi9tXH","standard","1","14","LP","0.264713485566566","113.289","113.558","113.885","0.596","0.327","3","36",""
"15","R_O2Q4CZUKVAi9tXH","standard","1","15","LP","30","114.892","144.896","145.233","30.341","0.337","3","39",""
"16","R_O2Q4CZUKVAi9tXH","standard","1","16","LP","5.5010771219302","146.241","151.756","152.113","5.872","0.357","3","42",""
"17","R_O2Q4CZUKVAi9tXH","standard","1","17","LP","2.15079707022835","153.125","155.28","NA","3.165","NA","0","42",""
"18","R_O2Q4CZUKVAi9tXH","standard","1","18","LP","8.51632916846187","157.307","165.827","166.135","8.828","0.308","3","45",""
"19","R_O2Q4CZUKVAi9tXH","standard","1","19","LP","0.264713485566566","167.139","167.409","167.728","0.589","0.319","3","48",""
"20","R_O2Q4CZUKVAi9tXH","standard","1","20","LP","1.25738905644119","168.741","170.001","170.344","1.603","0.343","3","51",""
"21","R_O2Q4CZUKVAi9tXH","standard","1","21","LP","1.25738905644119","171.353","172.613","172.927","1.574","0.314","3","54",""
"22","R_O2Q4CZUKVAi9tXH","standard","1","22","LP","2.15079707022835","173.929","176.088","176.415","2.486","0.327","3","57",""
"23","R_O2Q4CZUKVAi9tXH","standard","1","23","LP","1.25738905644119","177.428","178.701","178.949","1.521","0.248","3","60",""
"24","R_O2Q4CZUKVAi9tXH","standard","1","24","LP","19.8235243429556","179.954","199.785","200.102","20.148","0.317","3","63",""
"25","R_O2Q4CZUKVAi9tXH","standard","1","25","LP","1.25738905644119","201.106","202.369","202.755","1.649","0.386","3","66",""
"26","R_O2Q4CZUKVAi9tXH","standard","1","26","LP","1.25738905644119","203.761","205.029","205.439","1.678","0.41","3","69",""
"27","R_O2Q4CZUKVAi9tXH","standard","1","27","LP","1.25738905644119","206.452","207.71","208.155","1.703","0.445","3","72",""
"28","R_O2Q4CZUKVAi9tXH","standard","1","28","LP","3.49090909090909","209.161","212.666","213.008","3.847","0.342","3","75",""
"29","R_O2Q4CZUKVAi9tXH","standard","1","29","LP","13.0392072382594","214.02","227.102","227.442","13.422","0.34","3","78",""
"30","R_O2Q4CZUKVAi9tXH","standard","1","30","LP","13.0392072382594","228.447","241.493","241.8","13.353","0.307","3","81",""
"31","R_O2Q4CZUKVAi9tXH","standard","1","31","LP","30","242.807","272.823","273.138","30.331","0.315","3","84",""
"32","R_O2Q4CZUKVAi9tXH","standard","1","32","LP","0.264713485566566","274.141","274.422","274.683","0.542","0.261","3","87",""
"33","R_O2Q4CZUKVAi9tXH","standard","1","33","LP","5.5010771219302","275.685","281.189","281.496","5.811","0.307","3","90",""
"34","R_O2Q4CZUKVAi9tXH","standard","1","34","LP","19.8235243429556","282.512","302.365","302.67","20.158","0.305","3","93",""
"35","R_O2Q4CZUKVAi9tXH","standard","1","35","LP","3.49090909090909","303.672","307.168","307.561","3.889","0.393","3","96",""
"36","R_O2Q4CZUKVAi9tXH","standard","1","36","LP","5.5010771219302","308.567","314.073","314.484","5.917","0.411","3","99",""
"37","R_O2Q4CZUKVAi9tXH","standard","1","37","LP","5.5010771219302","315.489","320.998","321.345","5.856","0.347","3","102",""
"38","R_O2Q4CZUKVAi9tXH","standard","1","38","LP","0.264713485566566","322.354","322.625","323.012","0.658","0.387","3","105",""
"39","R_O2Q4CZUKVAi9tXH","standard","1","39","LP","5.5010771219302","324.03","329.54","329.882","5.852","0.342","3","108",""
"40","R_O2Q4CZUKVAi9tXH","standard","1","40","LP","1.25738905644119","330.89","332.162","332.514","1.624","0.352","3","111",""
"41","R_O2Q4CZUKVAi9tXH","standard","1","41","LP","13.0392072382594","333.533","346.594","346.894","13.361","0.3","3","114",""
"42","R_O2Q4CZUKVAi9tXH","standard","1","42","LP","5.5010771219302","347.901","353.406","353.748","5.847","0.342","3","117",""
"43","R_O2Q4CZUKVAi9tXH","standard","1","43","LP","19.8235243429556","354.75","374.585","374.967","20.217","0.382","3","120",""
"44","R_O2Q4CZUKVAi9tXH","standard","1","44","LP","0.661783713916415","375.975","376.646","376.943","0.968","0.297","3","123",""
"45","R_O2Q4CZUKVAi9tXH","standard","1","45","LP","3.49090909090909","377.945","381.438","381.728","3.783","0.29","3","126",""
"46","R_O2Q4CZUKVAi9tXH","standard","1","46","LP","5.5010771219302","382.742","388.246","388.625","5.883","0.379","3","129",""
"47","R_O2Q4CZUKVAi9tXH","standard","1","47","LP","1.25738905644119","389.63","390.898","391.22","1.59","0.322","3","132",""
