"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_OOkhWwLBEeAms7f","standard","1","1","LP","19.8235243429556","0.004","19.83","20.469","20.465","0.639","3","3",""
"2","R_OOkhWwLBEeAms7f","standard","1","2","LP","0.661783713916415","21.477","22.141","NA","1.673","NA","0","3",""
"3","R_OOkhWwLBEeAms7f","standard","1","3","LP","2.15079707022835","24.158","26.311","26.999","2.841","0.688","3","3","149"
"4","R_OOkhWwLBEeAms7f","standard","1","4","LP","2.15079707022835","28.021","30.174","30.794","2.773","0.62","3","6",""
"5","R_OOkhWwLBEeAms7f","standard","1","5","LP","2.15079707022835","31.797","33.949","NA","3.153","NA","0","6",""
"6","R_OOkhWwLBEeAms7f","standard","1","6","LP","2.15079707022835","35.958","38.112","38.707","2.749","0.595","3","9",""
"7","R_OOkhWwLBEeAms7f","standard","1","7","LP","1.25738905644119","39.711","40.974","41.655","1.944","0.681","3","12",""
"8","R_OOkhWwLBEeAms7f","standard","1","8","LP","3.49090909090909","42.662","46.159","46.749","4.087","0.59","3","15",""
"9","R_OOkhWwLBEeAms7f","standard","1","9","LP","0.661783713916415","47.758","48.421","49.182","1.424","0.761","3","18",""
"10","R_OOkhWwLBEeAms7f","standard","1","10","LP","19.8235243429556","50.19","70.015","70.635","20.445","0.62","3","15","c(""18040"", ""18072"")"
"11","R_OOkhWwLBEeAms7f","standard","1","11","LP","3.49090909090909","71.638","75.133","75.786","4.148","0.653","3","18",""
"12","R_OOkhWwLBEeAms7f","standard","1","12","LP","8.51632916846187","76.797","85.316","85.928","9.131","0.612","3","21",""
"13","R_OOkhWwLBEeAms7f","standard","1","13","LP","8.51632916846187","86.932","95.454","NA","9.531","NA","0","21",""
"14","R_OOkhWwLBEeAms7f","standard","1","14","LP","30","97.47","127.487","128.065","30.595","0.578","3","24",""
"15","R_OOkhWwLBEeAms7f","standard","1","15","LP","2.15079707022835","129.08","131.238","132.153","3.073","0.915","3","27",""
"16","R_OOkhWwLBEeAms7f","standard","1","16","LP","19.8235243429556","133.157","152.99","NA","20.845","NA","0","27",""
"17","R_OOkhWwLBEeAms7f","standard","1","17","LP","8.51632916846187","155.007","163.526","164.064","9.057","0.538","3","30",""
"18","R_OOkhWwLBEeAms7f","standard","1","18","LP","13.0392072382594","165.078","178.126","178.705","13.627","0.579","3","33",""
"19","R_OOkhWwLBEeAms7f","standard","1","19","LP","3.49090909090909","179.714","183.206","183.926","4.212","0.72","3","36",""
"20","R_OOkhWwLBEeAms7f","standard","1","20","LP","19.8235243429556","184.927","204.751","205.348","20.421","0.597","3","39",""
"21","R_OOkhWwLBEeAms7f","standard","1","21","LP","30","206.35","236.443","237.38","31.03","0.937","3","39","22871"
"22","R_OOkhWwLBEeAms7f","standard","1","22","LP","0.264713485566566","238.382","238.654","239.492","1.11","0.838","3","42",""
"23","R_OOkhWwLBEeAms7f","standard","1","23","LP","13.0392072382594","240.493","253.533","NA","14.05","NA","0","42",""
"24","R_OOkhWwLBEeAms7f","standard","1","24","LP","19.8235243429556","255.55","275.391","275.955","20.405","0.564","3","45",""
"25","R_OOkhWwLBEeAms7f","standard","1","25","LP","2.15079707022835","276.958","279.112","279.788","2.83","0.676","3","48",""
"26","R_OOkhWwLBEeAms7f","standard","1","26","LP","3.49090909090909","280.794","284.293","284.948","4.154","0.655","3","51",""
"27","R_OOkhWwLBEeAms7f","standard","1","27","LP","1.25738905644119","285.955","287.221","287.898","1.943","0.677","3","54",""
"28","R_OOkhWwLBEeAms7f","standard","1","28","LP","3.49090909090909","288.905","292.405","NA","4.502","NA","0","54",""
"29","R_OOkhWwLBEeAms7f","standard","1","29","LP","3.49090909090909","294.409","297.908","298.459","4.05","0.551","3","54","2283"
"30","R_OOkhWwLBEeAms7f","standard","1","30","LP","8.51632916846187","299.461","307.982","308.625","9.164","0.643","3","54","564"
"31","R_OOkhWwLBEeAms7f","standard","1","31","LP","8.51632916846187","309.629","318.149","318.804","9.175","0.655","3","57",""
"32","R_OOkhWwLBEeAms7f","standard","1","32","LP","30","319.821","349.822","350.369","30.548","0.547","3","60",""
"33","R_OOkhWwLBEeAms7f","standard","1","33","LP","1.25738905644119","351.387","352.654","NA","2.278","NA","0","60",""
"34","R_OOkhWwLBEeAms7f","standard","1","34","LP","5.5010771219302","354.669","360.172","360.799","6.13","0.627","3","63",""
"35","R_OOkhWwLBEeAms7f","standard","1","35","LP","3.49090909090909","361.815","365.309","365.458","3.643","0.149","3","60","c(""179"", ""3270"")"
"36","R_OOkhWwLBEeAms7f","standard","1","36","LP","5.5010771219302","366.469","371.981","NA","6.527","NA","0","21","c(""284"", ""578"", ""969"", ""1225"", ""1525"", ""1773"", ""2024"", ""2260"", ""2487"", ""2756"", ""2990"", ""3221"", ""3460"")"
"37","R_OOkhWwLBEeAms7f","standard","1","37","LP","2.15079707022835","373.99","376.15","NA","3.169","NA","0","21",""
"38","R_OOkhWwLBEeAms7f","standard","1","38","LP","0.661783713916415","378.165","378.83","NA","1.683","NA","0","21",""
"39","R_OOkhWwLBEeAms7f","standard","1","39","LP","3.49090909090909","380.854","384.357","385.186","4.332","0.829","3","24",""
