"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_OoOJuXPrQjUA2gp","standard","1","1","HP","16","0.001","16.013","NA","17.016","NA","0","0",""
"2","R_OoOJuXPrQjUA2gp","standard","1","2","HP","16","18.018","34.018","NA","17.006","NA","0","0",""
"3","R_OoOJuXPrQjUA2gp","standard","1","3","HP","20","36.03","56.039","NA","21.031","NA","0","0",""
"4","R_OoOJuXPrQjUA2gp","standard","1","4","HP","18","58.062","76.078","NA","19.02","NA","0","0",""
"5","R_OoOJuXPrQjUA2gp","standard","1","5","HP","14","78.096","92.112","NA","15.024","NA","0","0",""
"6","R_OoOJuXPrQjUA2gp","standard","1","6","HP","12","94.128","106.131","NA","13.006","NA","0","0",""
"7","R_OoOJuXPrQjUA2gp","standard","1","7","HP","12","108.136","120.143","NA","13.016","NA","0","0",""
"8","R_OoOJuXPrQjUA2gp","standard","1","8","HP","16","122.161","138.178","138.878","16.717","0.7","3","3",""
"9","R_OoOJuXPrQjUA2gp","standard","1","9","HP","8","139.879","147.894","148.737","8.858","0.843","3","6",""
"10","R_OoOJuXPrQjUA2gp","standard","1","10","HP","14","149.744","163.745","164.417","14.673","0.672","3","9",""
"11","R_OoOJuXPrQjUA2gp","standard","1","11","HP","20","165.424","185.424","186.142","20.718","0.718","3","9","13004"
"12","R_OoOJuXPrQjUA2gp","standard","1","12","HP","6","187.144","193.152","NA","7.011","NA","0","9",""
"13","R_OoOJuXPrQjUA2gp","standard","1","13","HP","2","195.16","197.169","197.86","2.7","0.691","3","12",""
"14","R_OoOJuXPrQjUA2gp","standard","1","14","HP","10","198.877","208.88","209.599","10.722","0.719","3","15",""
"15","R_OoOJuXPrQjUA2gp","standard","1","15","HP","18","210.608","228.609","229.277","18.669","0.668","3","18",""
"16","R_OoOJuXPrQjUA2gp","standard","1","16","HP","4","230.31","234.312","NA","5.008","NA","0","18",""
"17","R_OoOJuXPrQjUA2gp","standard","1","17","HP","4","236.321","240.326","241.092","4.771","0.766","3","21",""
"18","R_OoOJuXPrQjUA2gp","standard","1","18","HP","18","242.107","260.109","260.717","18.61","0.608","3","21","2400"
"19","R_OoOJuXPrQjUA2gp","standard","1","19","HP","2","261.721","263.726","NA","3.006","NA","0","21",""
"20","R_OoOJuXPrQjUA2gp","standard","1","20","HP","18","265.758","283.77","284.479","18.721","0.709","3","24",""
"21","R_OoOJuXPrQjUA2gp","standard","1","21","HP","20","285.482","305.489","306.119","20.637","0.63","3","27",""
"22","R_OoOJuXPrQjUA2gp","standard","1","22","HP","16","307.121","323.127","323.752","16.631","0.625","3","30",""
"23","R_OoOJuXPrQjUA2gp","standard","1","23","HP","16","324.754","340.773","341.401","16.647","0.628","3","33",""
"24","R_OoOJuXPrQjUA2gp","standard","1","24","HP","12","342.407","354.42","355.26","12.853","0.84","3","12","c(""923"", ""1167"", ""1384"", ""1613"", ""1823"", ""2063"", ""2293"", ""2548"")"
"25","R_OoOJuXPrQjUA2gp","standard","1","25","HP","6","356.267","362.289","362.981","6.714","0.692","3","15",""
"26","R_OoOJuXPrQjUA2gp","standard","1","26","HP","4","364.001","368.004","368.771","4.77","0.767","3","18",""
"27","R_OoOJuXPrQjUA2gp","standard","1","27","HP","8","369.778","377.787","378.572","8.794","0.785","3","21",""
"28","R_OoOJuXPrQjUA2gp","standard","1","28","HP","2","379.587","381.604","NA","3.033","NA","0","21",""
