"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_RKYFzLUnTCzrshr","standard","1","1","HP","18","0.004","18.01","18.365","18.361","0.355","3","3",""
"2","R_RKYFzLUnTCzrshr","standard","1","2","HP","18","19.368","37.371","37.712","18.344","0.341","3","6",""
"3","R_RKYFzLUnTCzrshr","standard","1","3","HP","8","38.713","46.714","47.138","8.425","0.424","3","9",""
"4","R_RKYFzLUnTCzrshr","standard","1","4","HP","16","48.14","64.142","64.49","16.35","0.348","3","12",""
"5","R_RKYFzLUnTCzrshr","standard","1","5","HP","4","65.492","69.494","69.919","4.427","0.425","3","15",""
"6","R_RKYFzLUnTCzrshr","standard","1","6","HP","2","70.921","72.923","73.36","2.439","0.437","3","18",""
"7","R_RKYFzLUnTCzrshr","standard","1","7","HP","20","74.362","94.364","94.728","20.366","0.364","3","21",""
"8","R_RKYFzLUnTCzrshr","standard","1","8","HP","2","95.73","97.731","98.143","2.413","0.412","3","24",""
"9","R_RKYFzLUnTCzrshr","standard","1","9","HP","10","99.146","109.149","109.683","10.537","0.534","3","27",""
"10","R_RKYFzLUnTCzrshr","standard","1","10","HP","20","110.685","130.688","131.032","20.347","0.344","3","30",""
"11","R_RKYFzLUnTCzrshr","standard","1","11","HP","8","132.034","140.036","140.44","8.406","0.404","3","33",""
"12","R_RKYFzLUnTCzrshr","standard","1","12","HP","12","141.442","153.443","153.782","12.34","0.339","3","36",""
"13","R_RKYFzLUnTCzrshr","standard","1","13","HP","18","154.784","172.786","173.141","18.357","0.355","3","39",""
"14","R_RKYFzLUnTCzrshr","standard","1","14","HP","20","174.143","194.146","194.498","20.355","0.352","3","42",""
"15","R_RKYFzLUnTCzrshr","standard","1","15","HP","12","195.5","207.502","207.915","12.415","0.413","3","45",""
"16","R_RKYFzLUnTCzrshr","standard","1","16","HP","10","208.916","218.917","219.286","10.37","0.369","3","48",""
"17","R_RKYFzLUnTCzrshr","standard","1","17","HP","4","220.288","224.29","224.683","4.395","0.393","3","51",""
"18","R_RKYFzLUnTCzrshr","standard","1","18","HP","4","225.684","229.685","230.087","4.403","0.402","3","54",""
