"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_Rn9KkTk7YKRWn3H","standard","1","1","LP","13.0392072382594","0.004","13.049","13.679","13.675","0.63","3","3",""
"2","R_Rn9KkTk7YKRWn3H","standard","1","2","LP","8.51632916846187","14.693","23.233","23.886","9.193","0.653","3","6",""
"3","R_Rn9KkTk7YKRWn3H","standard","1","3","LP","0.264713485566566","24.892","25.159","25.899","1.007","0.74","3","9",""
"4","R_Rn9KkTk7YKRWn3H","standard","1","4","LP","1.25738905644119","26.905","28.215","NA","2.32","NA","0","9",""
"5","R_Rn9KkTk7YKRWn3H","standard","1","5","LP","0.661783713916415","30.227","30.895","30.907","0.68","0.012","3","12",""
"6","R_Rn9KkTk7YKRWn3H","standard","1","6","LP","8.51632916846187","31.912","40.432","41.102","9.19","0.67","3","15",""
"7","R_Rn9KkTk7YKRWn3H","standard","1","7","LP","5.5010771219302","42.113","47.624","48.235","6.122","0.611","3","18",""
"8","R_Rn9KkTk7YKRWn3H","standard","1","8","LP","19.8235243429556","49.24","69.066","69.886","20.646","0.82","3","21",""
"9","R_Rn9KkTk7YKRWn3H","standard","1","9","LP","13.0392072382594","70.887","83.929","84.549","13.662","0.62","3","24",""
"10","R_Rn9KkTk7YKRWn3H","standard","1","10","LP","13.0392072382594","85.553","98.605","99.224","13.671","0.619","3","27",""
"11","R_Rn9KkTk7YKRWn3H","standard","1","11","LP","19.8235243429556","100.232","120.064","120.675","20.443","0.611","3","30",""
"12","R_Rn9KkTk7YKRWn3H","standard","1","12","LP","2.15079707022835","121.69","123.847","124.46","2.77","0.613","3","33",""
"13","R_Rn9KkTk7YKRWn3H","standard","1","13","LP","2.15079707022835","125.465","127.622","128.222","2.757","0.6","3","36",""
"14","R_Rn9KkTk7YKRWn3H","standard","1","14","LP","1.25738905644119","129.225","130.488","131.054","1.829","0.566","3","39",""
"15","R_Rn9KkTk7YKRWn3H","standard","1","15","LP","13.0392072382594","132.056","145.115","145.759","13.703","0.644","3","42",""
"16","R_Rn9KkTk7YKRWn3H","standard","1","16","LP","1.25738905644119","146.759","148.025","148.653","1.894","0.628","3","45",""
"17","R_Rn9KkTk7YKRWn3H","standard","1","17","LP","30","149.661","179.663","180.27","30.609","0.607","3","48",""
"18","R_Rn9KkTk7YKRWn3H","standard","1","18","LP","5.5010771219302","181.38","186.901","187.568","6.188","0.667","3","51",""
"19","R_Rn9KkTk7YKRWn3H","standard","1","19","LP","2.15079707022835","188.575","190.735","191.37","2.795","0.635","3","54",""
"20","R_Rn9KkTk7YKRWn3H","standard","1","20","LP","0.661783713916415","192.385","193.128","193.709","1.324","0.581","3","57",""
"21","R_Rn9KkTk7YKRWn3H","standard","1","21","LP","30","194.711","224.723","225.329","30.618","0.606","3","60",""
"22","R_Rn9KkTk7YKRWn3H","standard","1","22","LP","19.8235243429556","226.334","246.159","246.817","20.483","0.658","3","63",""
"23","R_Rn9KkTk7YKRWn3H","standard","1","23","LP","8.51632916846187","247.822","256.342","256.982","9.16","0.64","3","66",""
