"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_T7nuPxs9KzqP2IF","standard","1","1","LP","13.0392072382594","0.002","13.049","13.393","13.391","0.344","3","3",""
"2","R_T7nuPxs9KzqP2IF","standard","1","2","LP","8.51632916846187","14.401","22.924","23.269","8.868","0.345","3","6",""
"3","R_T7nuPxs9KzqP2IF","standard","1","3","LP","2.15079707022835","24.282","26.439","26.937","2.655","0.498","3","9",""
"4","R_T7nuPxs9KzqP2IF","standard","1","4","LP","0.661783713916415","27.942","28.61","29.457","1.515","0.847","3","12",""
"5","R_T7nuPxs9KzqP2IF","standard","1","5","LP","3.49090909090909","30.466","33.962","34.385","3.919","0.423","3","15",""
"6","R_T7nuPxs9KzqP2IF","standard","1","6","LP","3.49090909090909","35.391","38.89","39.223","3.832","0.333","3","18",""
"7","R_T7nuPxs9KzqP2IF","standard","1","7","LP","1.25738905644119","40.231","41.497","42.147","1.916","0.65","3","21",""
"8","R_T7nuPxs9KzqP2IF","standard","1","8","LP","30","43.151","73.159","73.489","30.338","0.33","3","24",""
"9","R_T7nuPxs9KzqP2IF","standard","1","9","LP","8.51632916846187","74.498","83.021","83.434","8.936","0.413","3","27",""
"10","R_T7nuPxs9KzqP2IF","standard","1","10","LP","13.0392072382594","84.437","97.482","97.901","13.464","0.419","3","30",""
"11","R_T7nuPxs9KzqP2IF","standard","1","11","LP","30","98.904","128.911","129.29","30.386","0.379","3","33",""
"12","R_T7nuPxs9KzqP2IF","standard","1","12","LP","30","130.299","160.308","160.722","30.423","0.414","3","36",""
"13","R_T7nuPxs9KzqP2IF","standard","1","13","LP","8.51632916846187","161.728","170.251","170.757","9.029","0.506","3","39",""
"14","R_T7nuPxs9KzqP2IF","standard","1","14","LP","2.15079707022835","171.764","173.917","174.468","2.704","0.551","3","42",""
"15","R_T7nuPxs9KzqP2IF","standard","1","15","LP","5.5010771219302","175.475","180.989","181.444","5.969","0.455","3","45",""
"16","R_T7nuPxs9KzqP2IF","standard","1","16","LP","3.49090909090909","182.453","185.944","186.326","3.873","0.382","3","48",""
"17","R_T7nuPxs9KzqP2IF","standard","1","17","LP","3.49090909090909","187.33","190.823","191.141","3.811","0.318","3","51",""
"18","R_T7nuPxs9KzqP2IF","standard","1","18","LP","5.5010771219302","192.149","197.661","198.071","5.922","0.41","3","54",""
"19","R_T7nuPxs9KzqP2IF","standard","1","19","LP","5.5010771219302","199.077","204.586","204.979","5.902","0.393","3","57",""
"20","R_T7nuPxs9KzqP2IF","standard","1","20","LP","3.49090909090909","205.985","209.482","NA","4.509","NA","0","57",""
"21","R_T7nuPxs9KzqP2IF","standard","1","21","LP","3.49090909090909","211.499","214.995","215.373","3.874","0.378","3","60",""
"22","R_T7nuPxs9KzqP2IF","standard","1","22","LP","3.49090909090909","216.382","219.878","220.368","3.986","0.49","3","63",""
"23","R_T7nuPxs9KzqP2IF","standard","1","23","LP","0.661783713916415","221.372","222.046","222.528","1.156","0.482","3","66",""
"24","R_T7nuPxs9KzqP2IF","standard","1","24","LP","19.8235243429556","223.529","243.354","NA","20.838","NA","0","66",""
"25","R_T7nuPxs9KzqP2IF","standard","1","25","LP","5.5010771219302","245.375","250.887","NA","6.516","NA","0","66",""
"26","R_T7nuPxs9KzqP2IF","standard","1","26","LP","19.8235243429556","252.903","272.731","273.108","20.205","0.377","3","69",""
"27","R_T7nuPxs9KzqP2IF","standard","1","27","LP","0.661783713916415","274.115","274.781","275.47","1.355","0.689","3","72",""
"28","R_T7nuPxs9KzqP2IF","standard","1","28","LP","30","276.479","306.488","306.881","30.402","0.393","3","75",""
"29","R_T7nuPxs9KzqP2IF","standard","1","29","LP","0.264713485566566","307.888","308.16","308.658","0.77","0.498","3","78",""
"30","R_T7nuPxs9KzqP2IF","standard","1","30","LP","0.264713485566566","309.659","309.935","310.345","0.686","0.41","3","81",""
"31","R_T7nuPxs9KzqP2IF","standard","1","31","LP","19.8235243429556","311.352","331.183","331.654","20.302","0.471","3","84",""
"32","R_T7nuPxs9KzqP2IF","standard","1","32","LP","1.25738905644119","332.665","333.925","334.466","1.801","0.541","3","87",""
"33","R_T7nuPxs9KzqP2IF","standard","1","33","LP","30","335.473","365.482","365.808","30.335","0.326","3","90",""
"34","R_T7nuPxs9KzqP2IF","standard","1","34","LP","30","366.814","396.816","397.151","30.337","0.335","3","93",""
"35","R_T7nuPxs9KzqP2IF","standard","1","35","LP","8.51632916846187","398.16","406.683","407.097","8.937","0.414","3","96",""
"36","R_T7nuPxs9KzqP2IF","standard","1","36","LP","13.0392072382594","408.107","421.153","421.586","13.479","0.433","3","99",""
"37","R_T7nuPxs9KzqP2IF","standard","1","37","LP","5.5010771219302","422.596","428.108","428.607","6.011","0.499","3","102",""
"38","R_T7nuPxs9KzqP2IF","standard","1","38","LP","30","429.615","459.617","459.948","30.333","0.331","3","105",""
"39","R_T7nuPxs9KzqP2IF","standard","1","39","LP","3.49090909090909","460.957","464.452","464.921","3.964","0.469","3","108",""
"40","R_T7nuPxs9KzqP2IF","standard","1","40","LP","19.8235243429556","465.925","485.753","486.341","20.416","0.588","3","111",""
"41","R_T7nuPxs9KzqP2IF","standard","1","41","LP","0.264713485566566","487.349","487.622","488.096","0.747","0.474","3","114",""
"42","R_T7nuPxs9KzqP2IF","standard","1","42","LP","0.264713485566566","489.102","489.374","489.783","0.681","0.409","3","117",""
"43","R_T7nuPxs9KzqP2IF","standard","1","43","LP","0.661783713916415","490.786","491.449","491.809","1.023","0.36","3","120",""
"44","R_T7nuPxs9KzqP2IF","standard","1","44","LP","13.0392072382594","492.818","505.87","506.344","13.526","0.474","3","123",""
"45","R_T7nuPxs9KzqP2IF","standard","1","45","LP","30","507.345","537.359","537.754","30.409","0.395","3","123","485"
"46","R_T7nuPxs9KzqP2IF","standard","1","46","LP","5.5010771219302","538.767","544.275","544.796","6.029","0.521","3","126",""
"47","R_T7nuPxs9KzqP2IF","standard","1","47","LP","3.49090909090909","545.807","549.299","549.724","3.917","0.425","3","129",""
"48","R_T7nuPxs9KzqP2IF","standard","1","48","LP","30","550.731","580.74","581.135","30.404","0.395","3","129","4887"
"49","R_T7nuPxs9KzqP2IF","standard","1","49","LP","5.5010771219302","582.139","587.645","588.266","6.127","0.621","3","132",""
"50","R_T7nuPxs9KzqP2IF","standard","1","50","LP","2.15079707022835","589.272","591.423","591.956","2.684","0.533","3","135",""
"51","R_T7nuPxs9KzqP2IF","standard","1","51","LP","1.25738905644119","592.965","594.225","595.039","2.074","0.814","3","138",""
"52","R_T7nuPxs9KzqP2IF","standard","1","52","LP","0.264713485566566","596.046","596.321","596.839","0.793","0.518","3","141",""
"53","R_T7nuPxs9KzqP2IF","standard","1","53","LP","2.15079707022835","597.846","600.009","600.461","2.615","0.452","3","144",""
"54","R_T7nuPxs9KzqP2IF","standard","1","54","LP","5.5010771219302","601.473","606.981","607.661","6.188","0.68","3","147",""
"55","R_T7nuPxs9KzqP2IF","standard","1","55","LP","19.8235243429556","608.669","628.501","628.924","20.255","0.423","3","150",""
"56","R_T7nuPxs9KzqP2IF","standard","1","56","LP","0.264713485566566","629.927","630.202","630.791","0.864","0.589","3","153",""
"57","R_T7nuPxs9KzqP2IF","standard","1","57","LP","0.264713485566566","631.802","632.07","632.501","0.699","0.431","3","156",""
"58","R_T7nuPxs9KzqP2IF","standard","1","58","LP","1.25738905644119","633.514","634.774","635.291","1.777","0.517","3","159",""
"59","R_T7nuPxs9KzqP2IF","standard","1","59","LP","0.661783713916415","636.294","636.962","637.429","1.135","0.467","3","162",""
"60","R_T7nuPxs9KzqP2IF","standard","1","60","LP","5.5010771219302","638.438","643.941","644.427","5.989","0.486","3","165",""
"61","R_T7nuPxs9KzqP2IF","standard","1","61","LP","3.49090909090909","645.428","648.928","649.354","3.926","0.426","3","168",""
"62","R_T7nuPxs9KzqP2IF","standard","1","62","LP","1.25738905644119","650.362","651.622","652.278","1.916","0.656","3","171",""
"63","R_T7nuPxs9KzqP2IF","standard","1","63","LP","13.0392072382594","653.29","666.331","NA","14.042","NA","0","171",""
"64","R_T7nuPxs9KzqP2IF","standard","1","64","LP","13.0392072382594","668.334","681.385","681.845","13.511","0.46","3","174",""
"65","R_T7nuPxs9KzqP2IF","standard","1","65","LP","3.49090909090909","682.85","686.342","686.884","4.034","0.542","3","177",""
"66","R_T7nuPxs9KzqP2IF","standard","1","66","LP","0.264713485566566","687.889","688.159","688.661","0.772","0.502","3","180",""
"67","R_T7nuPxs9KzqP2IF","standard","1","67","LP","8.51632916846187","689.664","698.188","698.584","8.92","0.396","3","183",""
"68","R_T7nuPxs9KzqP2IF","standard","1","68","LP","8.51632916846187","699.593","708.111","708.686","9.093","0.575","3","186",""
"69","R_T7nuPxs9KzqP2IF","standard","1","69","LP","3.49090909090909","709.689","713.188","713.637","3.948","0.449","3","189",""
"70","R_T7nuPxs9KzqP2IF","standard","1","70","LP","0.661783713916415","714.642","715.313","716.021","1.379","0.708","3","192",""
"71","R_T7nuPxs9KzqP2IF","standard","1","71","LP","19.8235243429556","717.026","736.856","737.351","20.325","0.495","3","195",""
"72","R_T7nuPxs9KzqP2IF","standard","1","72","LP","8.51632916846187","738.357","746.885","747.365","9.008","0.48","3","198",""
"73","R_T7nuPxs9KzqP2IF","standard","1","73","LP","2.15079707022835","748.373","750.533","750.964","2.591","0.431","3","201",""
"74","R_T7nuPxs9KzqP2IF","standard","1","74","LP","1.25738905644119","751.973","753.234","753.642","1.669","0.408","3","204",""
"75","R_T7nuPxs9KzqP2IF","standard","1","75","LP","3.49090909090909","754.651","758.147","758.501","3.85","0.354","3","207",""
"76","R_T7nuPxs9KzqP2IF","standard","1","76","LP","19.8235243429556","759.51","779.339","779.854","20.344","0.515","3","210",""
"77","R_T7nuPxs9KzqP2IF","standard","1","77","LP","2.15079707022835","780.86","783.02","783.476","2.616","0.456","3","213",""
"78","R_T7nuPxs9KzqP2IF","standard","1","78","LP","0.264713485566566","784.482","784.758","785.321","0.839","0.563","3","216",""
"79","R_T7nuPxs9KzqP2IF","standard","1","79","LP","1.25738905644119","786.329","787.596","787.931","1.602","0.335","3","219",""
"80","R_T7nuPxs9KzqP2IF","standard","1","80","LP","5.5010771219302","788.932","794.434","794.884","5.952","0.45","3","222",""
"81","R_T7nuPxs9KzqP2IF","standard","1","81","LP","30","795.895","825.903","826.384","30.489","0.481","3","225",""
"82","R_T7nuPxs9KzqP2IF","standard","1","82","LP","19.8235243429556","827.388","847.222","NA","20.84","NA","0","225",""
"83","R_T7nuPxs9KzqP2IF","standard","1","83","LP","0.264713485566566","849.232","849.504","850.144","0.912","0.64","3","228",""
"84","R_T7nuPxs9KzqP2IF","standard","1","84","LP","3.49090909090909","851.151","854.641","855.161","4.01","0.52","3","231",""
"85","R_T7nuPxs9KzqP2IF","standard","1","85","LP","3.49090909090909","856.168","859.664","860.021","3.853","0.357","3","234",""
"86","R_T7nuPxs9KzqP2IF","standard","1","86","LP","3.49090909090909","861.032","864.529","864.994","3.962","0.465","3","237",""
"87","R_T7nuPxs9KzqP2IF","standard","1","87","LP","1.25738905644119","865.999","867.261","867.693","1.694","0.432","3","240",""
