"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_T8fTsBhME0MNGGR","standard","1","1","HP","6","0.001","6.007","6.331","6.33","0.324","3","3",""
"2","R_T8fTsBhME0MNGGR","standard","1","2","HP","18","7.349","25.363","25.706","18.357","0.343","3","6",""
"3","R_T8fTsBhME0MNGGR","standard","1","3","HP","18","26.716","44.729","45.068","18.352","0.339","3","9",""
"4","R_T8fTsBhME0MNGGR","standard","1","4","HP","18","46.07","64.079","64.562","18.492","0.483","3","12",""
"5","R_T8fTsBhME0MNGGR","standard","1","5","HP","14","65.571","79.574","79.923","14.352","0.349","3","15",""
"6","R_T8fTsBhME0MNGGR","standard","1","6","HP","2","80.928","82.935","83.669","2.741","0.734","3","18",""
"7","R_T8fTsBhME0MNGGR","standard","1","7","HP","16","84.68","100.688","101.048","16.368","0.36","3","21",""
"8","R_T8fTsBhME0MNGGR","standard","1","8","HP","8","102.058","110.066","110.433","8.375","0.367","3","24",""
"9","R_T8fTsBhME0MNGGR","standard","1","9","HP","6","111.451","117.464","117.817","6.366","0.353","3","27",""
"10","R_T8fTsBhME0MNGGR","standard","1","10","HP","8","118.817","126.823","127.15","8.333","0.327","3","30",""
"11","R_T8fTsBhME0MNGGR","standard","1","11","HP","10","128.16","138.167","138.512","10.352","0.345","3","30","8776"
"12","R_T8fTsBhME0MNGGR","standard","1","12","HP","2","139.522","141.528","141.965","2.443","0.437","3","33",""
"13","R_T8fTsBhME0MNGGR","standard","1","13","HP","10","142.969","152.988","153.349","10.38","0.361","3","36",""
"14","R_T8fTsBhME0MNGGR","standard","1","14","HP","14","154.356","168.359","168.786","14.43","0.427","3","39",""
"15","R_T8fTsBhME0MNGGR","standard","1","15","HP","16","169.805","185.812","186.096","16.291","0.284","3","42",""
"16","R_T8fTsBhME0MNGGR","standard","1","16","HP","20","187.115","207.125","207.443","20.328","0.318","3","45",""
"17","R_T8fTsBhME0MNGGR","standard","1","17","HP","12","208.447","220.449","220.841","12.394","0.392","3","48",""
"18","R_T8fTsBhME0MNGGR","standard","1","18","HP","14","221.854","235.877","236.245","14.391","0.368","3","51",""
"19","R_T8fTsBhME0MNGGR","standard","1","19","HP","10","237.247","247.25","247.679","10.432","0.429","3","54",""
"20","R_T8fTsBhME0MNGGR","standard","1","20","HP","8","248.687","256.706","257.079","8.392","0.373","3","57",""
"21","R_T8fTsBhME0MNGGR","standard","1","21","HP","12","258.086","270.094","270.465","12.379","0.371","3","60",""
"22","R_T8fTsBhME0MNGGR","standard","1","22","HP","20","271.473","291.479","291.805","20.332","0.326","3","63",""
"23","R_T8fTsBhME0MNGGR","standard","1","23","HP","16","292.821","308.832","309.175","16.354","0.343","3","66",""
"24","R_T8fTsBhME0MNGGR","standard","1","24","HP","16","310.183","326.199","326.512","16.329","0.313","3","69",""
"25","R_T8fTsBhME0MNGGR","standard","1","25","HP","4","327.517","331.526","331.924","4.407","0.398","3","72",""
"26","R_T8fTsBhME0MNGGR","standard","1","26","HP","10","332.936","342.937","343.259","10.323","0.322","3","75",""
"27","R_T8fTsBhME0MNGGR","standard","1","27","HP","8","344.263","352.284","352.675","8.412","0.391","3","78",""
"28","R_T8fTsBhME0MNGGR","standard","1","28","HP","12","353.682","365.701","366.044","12.362","0.343","3","81",""
"29","R_T8fTsBhME0MNGGR","standard","1","29","HP","12","367.046","379.055","379.419","12.373","0.364","3","84",""
"30","R_T8fTsBhME0MNGGR","standard","1","30","HP","16","380.422","396.43","396.821","16.399","0.391","3","87",""
"31","R_T8fTsBhME0MNGGR","standard","1","31","HP","4","397.828","401.84","402.274","4.446","0.434","3","90",""
"32","R_T8fTsBhME0MNGGR","standard","1","32","HP","6","403.28","409.287","409.709","6.429","0.422","3","93",""
"33","R_T8fTsBhME0MNGGR","standard","1","33","HP","18","410.714","428.728","429.099","18.385","0.371","3","96",""
"34","R_T8fTsBhME0MNGGR","standard","1","34","HP","20","430.111","450.121","450.462","20.351","0.341","3","99",""
"35","R_T8fTsBhME0MNGGR","standard","1","35","HP","4","451.471","455.487","455.982","4.511","0.495","3","102",""
"36","R_T8fTsBhME0MNGGR","standard","1","36","HP","20","456.998","477.01","477.334","20.336","0.324","3","105",""
"37","R_T8fTsBhME0MNGGR","standard","1","37","HP","16","478.343","494.343","494.698","16.355","0.355","3","108",""
"38","R_T8fTsBhME0MNGGR","standard","1","38","HP","12","495.716","507.729","508.092","12.376","0.363","3","111",""
"39","R_T8fTsBhME0MNGGR","standard","1","39","HP","10","509.095","519.112","519.631","10.536","0.519","3","114",""
"40","R_T8fTsBhME0MNGGR","standard","1","40","HP","20","520.643","540.644","541.011","20.368","0.367","3","117",""
"41","R_T8fTsBhME0MNGGR","standard","1","41","HP","16","542.02","558.024","558.529","16.509","0.505","3","120",""
"42","R_T8fTsBhME0MNGGR","standard","1","42","HP","8","559.541","567.563","568.056","8.515","0.493","3","123",""
"43","R_T8fTsBhME0MNGGR","standard","1","43","HP","12","569.062","581.085","581.504","12.442","0.419","3","126",""
"44","R_T8fTsBhME0MNGGR","standard","1","44","HP","20","582.509","602.514","603.032","20.523","0.518","3","129",""
"45","R_T8fTsBhME0MNGGR","standard","1","45","HP","6","604.047","610.056","610.695","6.648","0.639","3","132",""
"46","R_T8fTsBhME0MNGGR","standard","1","46","HP","4","611.711","615.722","616.05","4.339","0.328","3","135",""
