"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_UcOZWs8LlrGpyfv","standard","1","1","LP","19.8235243429556","0.002","19.828","20.537","20.535","0.709","3","3","c(""17553"", ""18910"")"
"2","R_UcOZWs8LlrGpyfv","standard","1","2","LP","5.5010771219302","21.538","27.042","27.858","6.32","0.816","3","6",""
"3","R_UcOZWs8LlrGpyfv","standard","1","3","LP","30","28.859","58.871","59.672","30.813","0.801","3","3","c(""18032"", ""21022"", ""22742"", ""25239"", ""29085"")"
"4","R_UcOZWs8LlrGpyfv","standard","1","4","LP","1.25738905644119","60.674","61.938","NA","2.274","NA","0","3",""
"5","R_UcOZWs8LlrGpyfv","standard","1","5","LP","13.0392072382594","63.955","77.003","77.722","13.767","0.719","3","6",""
"6","R_UcOZWs8LlrGpyfv","standard","1","6","LP","8.51632916846187","78.731","87.251","87.972","9.241","0.721","3","9",""
"7","R_UcOZWs8LlrGpyfv","standard","1","7","LP","13.0392072382594","88.979","102.026","102.719","13.74","0.693","3","12",""
"8","R_UcOZWs8LlrGpyfv","standard","1","8","LP","3.49090909090909","103.722","107.213","107.939","4.217","0.726","3","15",""
"9","R_UcOZWs8LlrGpyfv","standard","1","9","LP","0.661783713916415","108.947","109.611","110.434","1.487","0.823","3","18",""
"10","R_UcOZWs8LlrGpyfv","standard","1","10","LP","13.0392072382594","111.443","124.492","125.162","13.719","0.67","3","21",""
"11","R_UcOZWs8LlrGpyfv","standard","1","11","LP","13.0392072382594","126.17","139.212","139.908","13.738","0.696","3","24",""
"12","R_UcOZWs8LlrGpyfv","standard","1","12","LP","13.0392072382594","140.91","153.953","154.603","13.693","0.65","3","27",""
"13","R_UcOZWs8LlrGpyfv","standard","1","13","LP","5.5010771219302","155.605","161.107","161.971","6.366","0.864","3","30",""
"14","R_UcOZWs8LlrGpyfv","standard","1","14","LP","0.661783713916415","162.979","163.642","NA","1.668","NA","0","30",""
"15","R_UcOZWs8LlrGpyfv","standard","1","15","LP","8.51632916846187","165.648","174.171","174.867","9.219","0.696","3","33",""
"16","R_UcOZWs8LlrGpyfv","standard","1","16","LP","30","175.875","205.882","206.568","30.693","0.686","3","36",""
"17","R_UcOZWs8LlrGpyfv","standard","1","17","LP","19.8235243429556","207.571","227.402","228.067","20.496","0.665","3","39",""
"18","R_UcOZWs8LlrGpyfv","standard","1","18","LP","5.5010771219302","229.075","234.578","235.283","6.208","0.705","3","42",""
"19","R_UcOZWs8LlrGpyfv","standard","1","19","LP","13.0392072382594","236.291","249.334","249.995","13.704","0.661","3","45",""
"20","R_UcOZWs8LlrGpyfv","standard","1","20","LP","13.0392072382594","251.004","264.051","264.871","13.867","0.82","3","48",""
"21","R_UcOZWs8LlrGpyfv","standard","1","21","LP","3.49090909090909","265.874","269.37","270.164","4.29","0.794","3","51",""
"22","R_UcOZWs8LlrGpyfv","standard","1","22","LP","19.8235243429556","271.171","291.003","291.741","20.57","0.738","3","54",""
"23","R_UcOZWs8LlrGpyfv","standard","1","23","LP","30","292.746","322.756","323.428","30.682","0.672","3","57",""
"24","R_UcOZWs8LlrGpyfv","standard","1","24","LP","0.264713485566566","324.434","324.707","325.636","1.202","0.929","3","60",""
"25","R_UcOZWs8LlrGpyfv","standard","1","25","LP","13.0392072382594","326.643","339.69","340.373","13.73","0.683","3","63",""
"26","R_UcOZWs8LlrGpyfv","standard","1","26","LP","0.264713485566566","341.38","341.644","342.516","1.136","0.872","3","66",""
"27","R_UcOZWs8LlrGpyfv","standard","1","27","LP","13.0392072382594","343.524","356.57","357.348","13.824","0.778","3","69",""
"28","R_UcOZWs8LlrGpyfv","standard","1","28","LP","0.661783713916415","358.351","359.018","NA","1.679","NA","0","69",""
"29","R_UcOZWs8LlrGpyfv","standard","1","29","LP","0.264713485566566","361.033","361.299","362.02","0.987","0.721","3","72",""
"30","R_UcOZWs8LlrGpyfv","standard","1","30","LP","8.51632916846187","363.026","371.546","372.253","9.227","0.707","3","75",""
"31","R_UcOZWs8LlrGpyfv","standard","1","31","LP","13.0392072382594","373.259","386.307","386.981","13.722","0.674","3","78",""
"32","R_UcOZWs8LlrGpyfv","standard","1","32","LP","8.51632916846187","387.987","396.507","397.253","9.266","0.746","3","81",""
"33","R_UcOZWs8LlrGpyfv","standard","1","33","LP","3.49090909090909","398.259","401.755","402.484","4.225","0.729","3","84",""
"34","R_UcOZWs8LlrGpyfv","standard","1","34","LP","8.51632916846187","403.491","412.011","412.818","9.327","0.807","3","87",""
"35","R_UcOZWs8LlrGpyfv","standard","1","35","LP","2.15079707022835","413.827","415.978","416.733","2.906","0.755","3","90",""
"36","R_UcOZWs8LlrGpyfv","standard","1","36","LP","0.264713485566566","417.74","418.005","418.846","1.106","0.841","3","93",""
"37","R_UcOZWs8LlrGpyfv","standard","1","37","LP","0.264713485566566","419.848","420.114","420.765","0.917","0.651","3","96",""
"38","R_UcOZWs8LlrGpyfv","standard","1","38","LP","0.264713485566566","421.771","422.036","422.741","0.97","0.705","3","99",""
"39","R_UcOZWs8LlrGpyfv","standard","1","39","LP","8.51632916846187","423.743","432.266","432.908","9.165","0.642","3","102",""
"40","R_UcOZWs8LlrGpyfv","standard","1","40","LP","2.15079707022835","433.91","436.067","436.877","2.967","0.81","3","105",""
"41","R_UcOZWs8LlrGpyfv","standard","1","41","LP","2.15079707022835","437.883","440.035","440.725","2.842","0.69","3","108",""
"42","R_UcOZWs8LlrGpyfv","standard","1","42","LP","1.25738905644119","441.732","442.995","443.661","1.929","0.666","3","111",""
"43","R_UcOZWs8LlrGpyfv","standard","1","43","LP","1.25738905644119","444.668","445.93","446.557","1.889","0.627","3","114",""
"44","R_UcOZWs8LlrGpyfv","standard","1","44","LP","5.5010771219302","447.56","453.068","453.725","6.165","0.657","3","117",""
"45","R_UcOZWs8LlrGpyfv","standard","1","45","LP","13.0392072382594","454.731","467.778","468.47","13.739","0.692","3","120",""
"46","R_UcOZWs8LlrGpyfv","standard","1","46","LP","0.264713485566566","469.475","469.747","470.477","1.002","0.73","3","123",""
"47","R_UcOZWs8LlrGpyfv","standard","1","47","LP","13.0392072382594","471.483","484.523","485.247","13.764","0.724","3","126",""
