"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_WeMiJX6A2MLdq8x","standard","1","1","HP","12","0.003","12.012","13.005","13.002","0.993","3","3",""
"2","R_WeMiJX6A2MLdq8x","standard","1","2","HP","12","14.012","26.019","26.72","12.708","0.701","3","6",""
"3","R_WeMiJX6A2MLdq8x","standard","1","3","HP","8","27.724","35.732","36.44","8.716","0.708","3","9",""
"4","R_WeMiJX6A2MLdq8x","standard","1","4","HP","18","37.444","55.452","56.141","18.697","0.689","3","12",""
"5","R_WeMiJX6A2MLdq8x","standard","1","5","HP","4","57.147","61.156","61.899","4.752","0.743","3","15",""
"6","R_WeMiJX6A2MLdq8x","standard","1","6","HP","18","62.907","80.907","81.677","18.77","0.77","3","18",""
"7","R_WeMiJX6A2MLdq8x","standard","1","7","HP","4","82.684","86.69","87.493","4.809","0.803","3","21",""
"8","R_WeMiJX6A2MLdq8x","standard","1","8","HP","10","88.499","98.507","99.206","10.707","0.699","3","24",""
"9","R_WeMiJX6A2MLdq8x","standard","1","9","HP","14","100.212","114.212","114.896","14.684","0.684","3","27",""
"10","R_WeMiJX6A2MLdq8x","standard","1","10","HP","20","115.899","135.907","136.669","20.77","0.762","3","30",""
"11","R_WeMiJX6A2MLdq8x","standard","1","11","HP","14","137.675","151.683","152.447","14.772","0.764","3","33",""
"12","R_WeMiJX6A2MLdq8x","standard","1","12","HP","6","153.452","159.46","160.265","6.813","0.805","3","36",""
"13","R_WeMiJX6A2MLdq8x","standard","1","13","HP","6","161.267","167.275","167.991","6.724","0.716","3","39",""
"14","R_WeMiJX6A2MLdq8x","standard","1","14","HP","18","168.996","187.003","187.697","18.701","0.694","3","42",""
"15","R_WeMiJX6A2MLdq8x","standard","1","15","HP","12","188.699","200.707","201.554","12.855","0.847","3","45",""
"16","R_WeMiJX6A2MLdq8x","standard","1","16","HP","20","202.563","222.571","223.276","20.713","0.705","3","48",""
"17","R_WeMiJX6A2MLdq8x","standard","1","17","HP","16","224.283","240.29","241.062","16.779","0.772","3","51",""
"18","R_WeMiJX6A2MLdq8x","standard","1","18","HP","6","242.067","248.075","248.887","6.82","0.812","3","54",""
"19","R_WeMiJX6A2MLdq8x","standard","1","19","HP","6","249.891","255.899","256.636","6.745","0.737","3","57",""
"20","R_WeMiJX6A2MLdq8x","standard","1","20","HP","6","257.644","263.652","264.368","6.724","0.716","3","60",""
"21","R_WeMiJX6A2MLdq8x","standard","1","21","HP","18","265.372","283.379","284.123","18.751","0.744","3","63",""
"22","R_WeMiJX6A2MLdq8x","standard","1","22","HP","2","285.132","287.139","287.979","2.847","0.84","3","66",""
"23","R_WeMiJX6A2MLdq8x","standard","1","23","HP","16","288.987","304.995","305.783","16.796","0.788","3","69",""
"24","R_WeMiJX6A2MLdq8x","standard","1","24","HP","18","306.787","324.794","325.698","18.911","0.904","3","72",""
"25","R_WeMiJX6A2MLdq8x","standard","1","25","HP","8","326.707","334.708","335.481","8.774","0.773","3","75",""
"26","R_WeMiJX6A2MLdq8x","standard","1","26","HP","16","336.491","352.499","353.276","16.785","0.777","3","78",""
"27","R_WeMiJX6A2MLdq8x","standard","1","27","HP","18","354.283","372.291","373.06","18.777","0.769","3","81",""
"28","R_WeMiJX6A2MLdq8x","standard","1","28","HP","6","374.07","380.074","380.872","6.802","0.798","3","84",""
