"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_ZmzJp1ndHwEnB7P","standard","1","1","LP","2.15079707022835","0.001","2.162","2.597","2.596","0.435","3","3",""
"2","R_ZmzJp1ndHwEnB7P","standard","1","2","LP","13.0392072382594","3.61","16.65","16.961","13.351","0.311","3","6",""
"3","R_ZmzJp1ndHwEnB7P","standard","1","3","LP","30","17.975","47.984","48.322","30.347","0.338","3","9",""
"4","R_ZmzJp1ndHwEnB7P","standard","1","4","LP","13.0392072382594","49.324","62.369","62.687","13.363","0.318","3","12",""
"5","R_ZmzJp1ndHwEnB7P","standard","1","5","LP","1.25738905644119","63.694","64.953","65.124","1.43","0.171","3","15",""
"6","R_ZmzJp1ndHwEnB7P","standard","1","6","LP","8.51632916846187","66.134","74.655","75.006","8.872","0.351","3","18",""
"7","R_ZmzJp1ndHwEnB7P","standard","1","7","LP","30","76.011","106.016","106.347","30.336","0.331","3","21",""
"8","R_ZmzJp1ndHwEnB7P","standard","1","8","LP","13.0392072382594","107.356","120.401","120.771","13.415","0.37","3","24",""
"9","R_ZmzJp1ndHwEnB7P","standard","1","9","LP","30","121.771","151.783","152.125","30.354","0.342","3","27",""
"10","R_ZmzJp1ndHwEnB7P","standard","1","10","LP","19.8235243429556","153.127","172.96","173.314","20.187","0.354","3","27","1133"
"11","R_ZmzJp1ndHwEnB7P","standard","1","11","LP","0.264713485566566","174.33","174.598","175.103","0.773","0.505","3","30",""
"12","R_ZmzJp1ndHwEnB7P","standard","1","12","LP","0.264713485566566","176.114","176.381","176.711","0.597","0.33","3","33",""
"13","R_ZmzJp1ndHwEnB7P","standard","1","13","LP","0.661783713916415","177.72","178.395","178.722","1.002","0.327","3","36",""
"14","R_ZmzJp1ndHwEnB7P","standard","1","14","LP","0.661783713916415","179.732","180.409","180.698","0.966","0.289","3","39",""
"15","R_ZmzJp1ndHwEnB7P","standard","1","15","LP","0.264713485566566","181.701","181.976","182.255","0.554","0.279","3","42",""
"16","R_ZmzJp1ndHwEnB7P","standard","1","16","LP","13.0392072382594","183.268","196.308","196.655","13.387","0.347","3","45",""
"17","R_ZmzJp1ndHwEnB7P","standard","1","17","LP","1.25738905644119","197.663","198.926","199.264","1.601","0.338","3","48",""
"18","R_ZmzJp1ndHwEnB7P","standard","1","18","LP","5.5010771219302","200.266","205.775","206.132","5.866","0.357","3","51",""
"19","R_ZmzJp1ndHwEnB7P","standard","1","19","LP","0.264713485566566","207.146","207.413","207.72","0.574","0.307","3","54",""
"20","R_ZmzJp1ndHwEnB7P","standard","1","20","LP","0.661783713916415","208.721","209.383","209.711","0.99","0.328","3","57",""
"21","R_ZmzJp1ndHwEnB7P","standard","1","21","LP","8.51632916846187","210.722","219.246","219.79","9.068","0.544","3","60",""
"22","R_ZmzJp1ndHwEnB7P","standard","1","22","LP","19.8235243429556","220.792","240.625","240.98","20.188","0.355","3","63",""
"23","R_ZmzJp1ndHwEnB7P","standard","1","23","LP","19.8235243429556","241.996","261.829","262.19","20.194","0.361","3","66",""
"24","R_ZmzJp1ndHwEnB7P","standard","1","24","LP","0.264713485566566","263.2","263.467","263.747","0.547","0.28","3","69",""
"25","R_ZmzJp1ndHwEnB7P","standard","1","25","LP","0.264713485566566","264.759","265.028","265.321","0.562","0.293","3","72",""
"26","R_ZmzJp1ndHwEnB7P","standard","1","26","LP","19.8235243429556","266.336","286.168","286.48","20.144","0.312","3","75",""
"27","R_ZmzJp1ndHwEnB7P","standard","1","27","LP","8.51632916846187","287.49","296.011","296.33","8.84","0.319","3","78",""
"28","R_ZmzJp1ndHwEnB7P","standard","1","28","LP","8.51632916846187","297.333","305.851","306.241","8.908","0.39","3","81",""
"29","R_ZmzJp1ndHwEnB7P","standard","1","29","LP","19.8235243429556","307.253","327.083","327.43","20.177","0.347","3","84",""
"30","R_ZmzJp1ndHwEnB7P","standard","1","30","LP","0.264713485566566","328.438","328.705","328.984","0.546","0.279","3","87",""
"31","R_ZmzJp1ndHwEnB7P","standard","1","31","LP","13.0392072382594","329.998","343.042","343.377","13.379","0.335","3","90",""
"32","R_ZmzJp1ndHwEnB7P","standard","1","32","LP","13.0392072382594","344.389","357.444","357.761","13.372","0.317","3","93",""
"33","R_ZmzJp1ndHwEnB7P","standard","1","33","LP","30","358.769","388.77","389.101","30.332","0.331","3","96",""
"34","R_ZmzJp1ndHwEnB7P","standard","1","34","LP","3.49090909090909","390.111","393.609","394.134","4.023","0.525","3","99",""
