"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_b3CR3UgpXUP34tj","standard","1","1","LP","0.264713485566566","0.003","0.27","0.951","0.948","0.681","3","3",""
"2","R_b3CR3UgpXUP34tj","standard","1","2","LP","0.661783713916415","1.958","2.626","2.656","0.698","0.03","3","6",""
"3","R_b3CR3UgpXUP34tj","standard","1","3","LP","2.15079707022835","3.662","5.815","5.896","2.234","0.081","3","3","c(""16"", ""1389"")"
"4","R_b3CR3UgpXUP34tj","standard","1","4","LP","8.51632916846187","6.913","15.445","16.051","9.138","0.606","3","3","c(""487"", ""1014"", ""1612"", ""2224"", ""6433"", ""6889"", ""7881"")"
"5","R_b3CR3UgpXUP34tj","standard","1","5","LP","13.0392072382594","17.057","30.102","30.747","13.69","0.645","3","6",""
"6","R_b3CR3UgpXUP34tj","standard","1","6","LP","13.0392072382594","31.761","44.814","45.35","13.589","0.536","3","3","c(""3793"", ""4019"", ""4269"", ""4458"", ""4693"", ""4880"", ""7904"")"
"7","R_b3CR3UgpXUP34tj","standard","1","7","LP","13.0392072382594","46.358","59.49","59.994","13.636","0.504","3","3","984"
"8","R_b3CR3UgpXUP34tj","standard","1","8","LP","8.51632916846187","61.007","69.527","70.276","9.269","0.749","3","6",""
"9","R_b3CR3UgpXUP34tj","standard","1","9","LP","13.0392072382594","71.291","84.345","84.992","13.701","0.647","3","9",""
"10","R_b3CR3UgpXUP34tj","standard","1","10","LP","5.5010771219302","86.009","91.521","92.253","6.244","0.732","3","12",""
"11","R_b3CR3UgpXUP34tj","standard","1","11","LP","2.15079707022835","93.254","95.407","NA","3.158","NA","0","12",""
"12","R_b3CR3UgpXUP34tj","standard","1","12","LP","30","97.435","127.438","127.989","30.554","0.551","3","15",""
"13","R_b3CR3UgpXUP34tj","standard","1","13","LP","0.264713485566566","129.011","129.278","NA","1.27","NA","0","15",""
"14","R_b3CR3UgpXUP34tj","standard","1","14","LP","13.0392072382594","131.286","145.066","NA","15.652","NA","0","15",""
"15","R_b3CR3UgpXUP34tj","standard","1","15","LP","19.8235243429556","148.954","168.788","NA","20.852","NA","0","12","8080"
"16","R_b3CR3UgpXUP34tj","standard","1","16","LP","8.51632916846187","170.808","179.326","NA","9.526","NA","0","12",""
"17","R_b3CR3UgpXUP34tj","standard","1","17","LP","2.15079707022835","181.342","183.502","184.454","3.112","0.952","3","15",""
"18","R_b3CR3UgpXUP34tj","standard","1","18","LP","30","185.462","215.469","NA","31.027","NA","0","15",""
"19","R_b3CR3UgpXUP34tj","standard","1","19","LP","3.49090909090909","217.501","220.998","NA","4.506","NA","0","15",""
"20","R_b3CR3UgpXUP34tj","standard","1","20","LP","1.25738905644119","223.008","224.27","NA","2.271","NA","0","15",""
"21","R_b3CR3UgpXUP34tj","standard","1","21","LP","13.0392072382594","226.286","239.931","NA","14.663","NA","0","15",""
"22","R_b3CR3UgpXUP34tj","standard","1","22","LP","5.5010771219302","242.941","248.933","NA","6.993","NA","0","15",""
"23","R_b3CR3UgpXUP34tj","standard","1","23","LP","0.661783713916415","250.936","251.935","NA","2.992","NA","0","15",""
"24","R_b3CR3UgpXUP34tj","standard","1","24","LP","8.51632916846187","254.947","263.93","NA","9.997","NA","0","15",""
"25","R_b3CR3UgpXUP34tj","standard","1","25","LP","0.264713485566566","266.932","267.926","NA","1.995","NA","0","15",""
"26","R_b3CR3UgpXUP34tj","standard","1","26","LP","19.8235243429556","269.931","289.93","NA","22.028","NA","0","15",""
"27","R_b3CR3UgpXUP34tj","standard","1","27","LP","13.0392072382594","293.977","307.926","NA","14.959","NA","0","15",""
"28","R_b3CR3UgpXUP34tj","standard","1","28","LP","0.661783713916415","310.947","311.933","NA","2.981","NA","0","15",""
"29","R_b3CR3UgpXUP34tj","standard","1","29","LP","1.25738905644119","314.941","316.941","NA","3.994","NA","0","15",""
"30","R_b3CR3UgpXUP34tj","standard","1","30","LP","8.51632916846187","320.929","329.935","NA","10.014","NA","0","15",""
"31","R_b3CR3UgpXUP34tj","standard","1","31","LP","1.25738905644119","331.951","333.217","334.097","2.146","0.88","3","18",""
"32","R_b3CR3UgpXUP34tj","standard","1","32","LP","30","335.114","365.118","365.618","30.504","0.5","3","21",""
"33","R_b3CR3UgpXUP34tj","standard","1","33","LP","0.661783713916415","366.623","367.295","NA","1.762","NA","0","21",""
