"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_bC6Uvmmu6EES6pb","standard","1","1","HP","16","0.004","16.012","16.338","16.334","0.326","3","3",""
"2","R_bC6Uvmmu6EES6pb","standard","1","2","HP","18","17.339","35.341","35.714","18.375","0.373","3","6",""
"3","R_bC6Uvmmu6EES6pb","standard","1","3","HP","14","36.716","50.717","51.082","14.366","0.365","3","9",""
"4","R_bC6Uvmmu6EES6pb","standard","1","4","HP","8","52.084","60.086","60.434","8.35","0.348","3","12",""
"5","R_bC6Uvmmu6EES6pb","standard","1","5","HP","12","61.435","73.437","73.752","12.317","0.315","3","15",""
"6","R_bC6Uvmmu6EES6pb","standard","1","6","HP","2","74.755","76.757","77.152","2.397","0.395","3","18",""
"7","R_bC6Uvmmu6EES6pb","standard","1","7","HP","10","78.154","88.156","88.442","10.288","0.286","3","21",""
"8","R_bC6Uvmmu6EES6pb","standard","1","8","HP","2","89.444","91.446","91.746","2.302","0.3","3","24",""
"9","R_bC6Uvmmu6EES6pb","standard","1","9","HP","4","92.748","96.752","97.147","4.399","0.395","3","27",""
"10","R_bC6Uvmmu6EES6pb","standard","1","10","HP","10","98.149","108.151","108.477","10.328","0.326","3","30",""
"11","R_bC6Uvmmu6EES6pb","standard","1","11","HP","8","109.48","117.483","117.826","8.346","0.343","3","33",""
"12","R_bC6Uvmmu6EES6pb","standard","1","12","HP","12","118.828","130.829","131.154","12.326","0.325","3","36",""
"13","R_bC6Uvmmu6EES6pb","standard","1","13","HP","4","132.157","136.159","136.526","4.369","0.367","3","39",""
"14","R_bC6Uvmmu6EES6pb","standard","1","14","HP","12","137.528","149.529","149.852","12.324","0.323","3","42",""
"15","R_bC6Uvmmu6EES6pb","standard","1","15","HP","14","150.855","164.858","165.182","14.327","0.324","3","45",""
"16","R_bC6Uvmmu6EES6pb","standard","1","16","HP","16","166.185","182.187","182.517","16.332","0.33","3","48",""
"17","R_bC6Uvmmu6EES6pb","standard","1","17","HP","14","183.519","197.52","197.863","14.344","0.343","3","51",""
"18","R_bC6Uvmmu6EES6pb","standard","1","18","HP","6","198.865","204.867","205.241","6.376","0.374","3","54",""
"19","R_bC6Uvmmu6EES6pb","standard","1","19","HP","10","206.243","216.245","216.632","10.389","0.387","3","57",""
"20","R_bC6Uvmmu6EES6pb","standard","1","20","HP","10","217.634","227.635","227.939","10.305","0.304","3","60",""
"21","R_bC6Uvmmu6EES6pb","standard","1","21","HP","10","228.943","238.945","239.29","10.347","0.345","3","63",""
"22","R_bC6Uvmmu6EES6pb","standard","1","22","HP","10","240.292","250.294","250.627","10.335","0.333","3","66",""
"23","R_bC6Uvmmu6EES6pb","standard","1","23","HP","8","251.629","259.63","260.086","8.457","0.456","3","69",""
"24","R_bC6Uvmmu6EES6pb","standard","1","24","HP","14","261.089","275.091","275.422","14.333","0.331","3","72",""
"25","R_bC6Uvmmu6EES6pb","standard","1","25","HP","14","276.424","290.425","290.815","14.391","0.39","3","75",""
"26","R_bC6Uvmmu6EES6pb","standard","1","26","HP","8","291.817","299.818","300.254","8.437","0.436","3","78",""
"27","R_bC6Uvmmu6EES6pb","standard","1","27","HP","8","301.256","309.258","309.616","8.36","0.358","3","81",""
"28","R_bC6Uvmmu6EES6pb","standard","1","28","HP","18","310.618","328.62","328.963","18.345","0.343","3","84",""
"29","R_bC6Uvmmu6EES6pb","standard","1","29","HP","4","329.965","333.966","334.385","4.42","0.419","3","87",""
"30","R_bC6Uvmmu6EES6pb","standard","1","30","HP","10","335.387","345.389","345.733","10.346","0.344","3","90",""
"31","R_bC6Uvmmu6EES6pb","standard","1","31","HP","8","346.735","354.736","355.089","8.354","0.353","3","93",""
"32","R_bC6Uvmmu6EES6pb","standard","1","32","HP","10","356.092","366.094","366.438","10.346","0.344","3","96",""
"33","R_bC6Uvmmu6EES6pb","standard","1","33","HP","6","367.441","373.442","373.834","6.393","0.392","3","99",""
"34","R_bC6Uvmmu6EES6pb","standard","1","34","HP","12","374.836","386.838","387.157","12.321","0.319","3","102",""
"35","R_bC6Uvmmu6EES6pb","standard","1","35","HP","20","388.158","408.16","NA","21.005","NA","0","102",""
"36","R_bC6Uvmmu6EES6pb","standard","1","36","HP","12","410.165","422.167","422.49","12.325","0.323","3","105",""
"37","R_bC6Uvmmu6EES6pb","standard","1","37","HP","14","423.493","437.496","437.855","14.362","0.359","3","108",""
"38","R_bC6Uvmmu6EES6pb","standard","1","38","HP","14","438.857","452.862","453.222","14.365","0.36","3","111",""
"39","R_bC6Uvmmu6EES6pb","standard","1","39","HP","10","454.225","464.226","464.953","10.728","0.727","3","114",""
"40","R_bC6Uvmmu6EES6pb","standard","1","40","HP","16","465.955","481.957","482.293","16.338","0.336","3","117",""
"41","R_bC6Uvmmu6EES6pb","standard","1","41","HP","14","483.294","497.299","497.662","14.368","0.363","3","120",""
"42","R_bC6Uvmmu6EES6pb","standard","1","42","HP","4","498.666","502.668","503.252","4.586","0.584","3","123",""
"43","R_bC6Uvmmu6EES6pb","standard","1","43","HP","14","504.254","518.257","518.597","14.343","0.34","3","126",""
"44","R_bC6Uvmmu6EES6pb","standard","1","44","HP","14","519.599","533.601","534.049","14.45","0.448","3","129",""
"45","R_bC6Uvmmu6EES6pb","standard","1","45","HP","12","535.052","547.055","547.389","12.337","0.334","3","132",""
"46","R_bC6Uvmmu6EES6pb","standard","1","46","HP","16","548.391","564.393","564.744","16.353","0.351","3","135",""
"47","R_bC6Uvmmu6EES6pb","standard","1","47","HP","14","565.747","579.749","580.1","14.353","0.351","3","138",""
"48","R_bC6Uvmmu6EES6pb","standard","1","48","HP","18","581.103","599.105","599.445","18.342","0.34","3","141",""
"49","R_bC6Uvmmu6EES6pb","standard","1","49","HP","8","600.446","608.448","608.897","8.451","0.449","3","144",""
"50","R_bC6Uvmmu6EES6pb","standard","1","50","HP","18","609.9","627.904","628.488","18.588","0.584","3","147",""
"51","R_bC6Uvmmu6EES6pb","standard","1","51","HP","6","629.491","635.494","635.915","6.424","0.421","3","150",""
"52","R_bC6Uvmmu6EES6pb","standard","1","52","HP","10","636.917","646.918","NA","11.004","NA","0","150",""
"53","R_bC6Uvmmu6EES6pb","standard","1","53","HP","12","648.922","660.925","661.319","12.397","0.394","3","153",""
"54","R_bC6Uvmmu6EES6pb","standard","1","54","HP","12","662.32","674.322","674.767","12.447","0.445","3","156",""
"55","R_bC6Uvmmu6EES6pb","standard","1","55","HP","10","675.77","685.772","686.266","10.496","0.494","3","159",""
"56","R_bC6Uvmmu6EES6pb","standard","1","56","HP","8","687.268","695.269","695.777","8.509","0.508","3","162",""
"57","R_bC6Uvmmu6EES6pb","standard","1","57","HP","10","696.78","706.781","707.124","10.344","0.343","3","165",""
"58","R_bC6Uvmmu6EES6pb","standard","1","58","HP","8","708.126","716.127","NA","9.005","NA","0","165",""
"59","R_bC6Uvmmu6EES6pb","standard","1","59","HP","6","718.132","724.134","724.523","6.391","0.389","3","168",""
"60","R_bC6Uvmmu6EES6pb","standard","1","60","HP","16","725.525","741.527","741.912","16.387","0.385","3","171",""
"61","R_bC6Uvmmu6EES6pb","standard","1","61","HP","16","742.915","758.917","759.366","16.451","0.449","3","174",""
"62","R_bC6Uvmmu6EES6pb","standard","1","62","HP","14","760.369","774.371","774.803","14.434","0.432","3","177",""
"63","R_bC6Uvmmu6EES6pb","standard","1","63","HP","18","775.806","793.81","794.153","18.347","0.343","3","180",""
"64","R_bC6Uvmmu6EES6pb","standard","1","64","HP","14","795.155","809.157","809.505","14.35","0.348","3","183",""
"65","R_bC6Uvmmu6EES6pb","standard","1","65","HP","6","810.512","816.513","816.936","6.424","0.423","3","186",""
"66","R_bC6Uvmmu6EES6pb","standard","1","66","HP","12","817.939","829.94","830.356","12.417","0.416","3","189",""
"67","R_bC6Uvmmu6EES6pb","standard","1","67","HP","12","831.359","843.361","843.727","12.368","0.366","3","192",""
"68","R_bC6Uvmmu6EES6pb","standard","1","68","HP","16","844.729","860.73","861.087","16.358","0.357","3","195",""
"69","R_bC6Uvmmu6EES6pb","standard","1","69","HP","6","862.091","868.093","868.562","6.471","0.469","3","198",""
"70","R_bC6Uvmmu6EES6pb","standard","1","70","HP","18","869.565","887.566","887.92","18.355","0.354","3","201",""
"71","R_bC6Uvmmu6EES6pb","standard","2","1","LP","0.661783713916415","0","0.664","1.021","1.021","0.357","3","204",NA
"72","R_bC6Uvmmu6EES6pb","standard","2","2","LP","0.264713485566566","2.022","2.287","2.638","0.616","0.351","3","207",NA
"73","R_bC6Uvmmu6EES6pb","standard","2","3","LP","5.5010771219302","3.64","NaN","5.791","2.151","NaN","0","207",NA
"74","R_bC6Uvmmu6EES6pb","standard","2","4","LP","13.0392072382594","6.793","NaN","14.593","7.8","NaN","0","207",NA
"75","R_bC6Uvmmu6EES6pb","standard","2","5","LP","0.661783713916415","15.594","16.257","16.538","0.944","0.281","3","210",NA
"76","R_bC6Uvmmu6EES6pb","standard","2","6","LP","5.5010771219302","17.539","NaN","21.818","4.279","NaN","0","210",NA
"77","R_bC6Uvmmu6EES6pb","standard","2","7","LP","19.8235243429556","22.819","NaN","34.2","11.381","NaN","0","210",NA
"78","R_bC6Uvmmu6EES6pb","standard","2","8","LP","1.25738905644119","35.203","36.461","36.876","1.673","0.415","3","213",NA
"79","R_bC6Uvmmu6EES6pb","standard","2","9","LP","13.0392072382594","37.879","NaN","41.177","3.298","NaN","0","213",NA
"80","R_bC6Uvmmu6EES6pb","standard","2","10","LP","1.25738905644119","42.179","43.438","43.762","1.583","0.324","3","216",NA
"81","R_bC6Uvmmu6EES6pb","standard","2","11","LP","1.25738905644119","44.765","46.023","46.475","1.71","0.452","3","219",NA
"82","R_bC6Uvmmu6EES6pb","standard","2","12","LP","8.51632916846187","47.476","NaN","51.18","3.704","NaN","0","219",NA
"83","R_bC6Uvmmu6EES6pb","standard","2","13","LP","1.25738905644119","52.182","53.442","53.762","1.58","0.32","3","222",NA
"84","R_bC6Uvmmu6EES6pb","standard","2","14","LP","5.5010771219302","54.765","NaN","58.311","3.546","NaN","0","222",NA
"85","R_bC6Uvmmu6EES6pb","standard","2","15","LP","2.15079707022835","59.313","61.464","61.785","2.472","0.321","3","225",NA
"86","R_bC6Uvmmu6EES6pb","standard","2","16","LP","13.0392072382594","62.787","NaN","66.495","3.708","NaN","0","225",NA
"87","R_bC6Uvmmu6EES6pb","standard","2","17","LP","0.661783713916415","67.496","68.159","68.485","0.989","0.326","3","228",NA
"88","R_bC6Uvmmu6EES6pb","standard","2","18","LP","3.49090909090909","69.487","NaN","72.315","2.828","NaN","0","228",NA
"89","R_bC6Uvmmu6EES6pb","standard","2","19","LP","0.661783713916415","73.316","73.978","74.267","0.951","0.289","3","231",NA
"90","R_bC6Uvmmu6EES6pb","standard","2","20","LP","0.264713485566566","75.269","75.535","75.981","0.712","0.446","3","234",NA
"91","R_bC6Uvmmu6EES6pb","standard","2","21","LP","5.5010771219302","76.984","NaN","79.193","2.209","NaN","0","234",NA
"92","R_bC6Uvmmu6EES6pb","standard","2","22","LP","30","80.195","NaN","83.744","3.549","NaN","0","234",NA
"93","R_bC6Uvmmu6EES6pb","standard","2","23","LP","0.264713485566566","84.746","85.011","85.364","0.618","0.353","3","237",NA
"94","R_bC6Uvmmu6EES6pb","standard","2","24","LP","30","86.365","NaN","89.536","3.171","NaN","0","237",NA
"95","R_bC6Uvmmu6EES6pb","standard","2","25","LP","2.15079707022835","90.537","92.689","93.088","2.551","0.399","3","240",NA
"96","R_bC6Uvmmu6EES6pb","standard","2","26","LP","0.264713485566566","94.09","94.356","94.96","0.87","0.604","3","243",NA
"97","R_bC6Uvmmu6EES6pb","standard","2","27","LP","2.15079707022835","95.962","98.114","98.589","2.627","0.475","3","246",NA
"98","R_bC6Uvmmu6EES6pb","standard","2","28","LP","3.49090909090909","99.59","NaN","103.037","3.447","NaN","0","246",NA
"99","R_bC6Uvmmu6EES6pb","standard","2","29","LP","8.51632916846187","104.038","NaN","107.912","3.874","NaN","0","246",NA
"100","R_bC6Uvmmu6EES6pb","standard","2","30","LP","30","108.913","NaN","113.212","4.299","NaN","0","246",NA
"101","R_bC6Uvmmu6EES6pb","standard","2","31","LP","13.0392072382594","114.213","NaN","117.49","3.277","NaN","0","246",NA
"102","R_bC6Uvmmu6EES6pb","standard","2","32","LP","8.51632916846187","118.491","NaN","123.73","5.239","NaN","0","246",NA
"103","R_bC6Uvmmu6EES6pb","standard","2","33","LP","5.5010771219302","124.731","130.233","130.676","5.945","0.443","3","249",NA
"104","R_bC6Uvmmu6EES6pb","standard","2","34","LP","0.661783713916415","131.678","132.34","132.719","1.041","0.379","3","252",NA
"105","R_bC6Uvmmu6EES6pb","standard","2","35","LP","8.51632916846187","133.72","NaN","141.301","7.581","NaN","0","252",NA
"106","R_bC6Uvmmu6EES6pb","standard","2","36","LP","3.49090909090909","142.308","145.8","146.11","3.802","0.31","3","255",NA
"107","R_bC6Uvmmu6EES6pb","standard","2","37","LP","5.5010771219302","147.112","NaN","151.672","4.56","NaN","0","255",NA
"108","R_bC6Uvmmu6EES6pb","standard","2","38","LP","30","152.673","NaN","157.58","4.907","NaN","0","255",NA
"109","R_bC6Uvmmu6EES6pb","standard","2","39","LP","30","158.581","NaN","164.104","5.523","NaN","0","255",NA
"110","R_bC6Uvmmu6EES6pb","standard","2","40","LP","30","165.109","NaN","174.814","9.705","NaN","0","255",NA
