"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_cAcuMbA8KxJ1gcN","standard","1","1","HP","8","0.002","8.005","8.291","8.289","0.286","3","3",""
"2","R_cAcuMbA8KxJ1gcN","standard","1","2","HP","6","9.293","15.3","15.603","6.31","0.303","3","6",""
"3","R_cAcuMbA8KxJ1gcN","standard","1","3","HP","4","16.608","20.617","20.925","4.317","0.308","3","9",""
"4","R_cAcuMbA8KxJ1gcN","standard","1","4","HP","12","21.93","33.936","34.284","12.354","0.348","3","12",""
"5","R_cAcuMbA8KxJ1gcN","standard","1","5","HP","6","35.301","41.324","41.657","6.356","0.333","3","15",""
"6","R_cAcuMbA8KxJ1gcN","standard","1","6","HP","14","42.661","56.669","56.974","14.313","0.305","3","18",""
"7","R_cAcuMbA8KxJ1gcN","standard","1","7","HP","12","57.994","69.997","70.348","12.354","0.351","3","21",""
"8","R_cAcuMbA8KxJ1gcN","standard","1","8","HP","4","71.357","75.365","75.693","4.336","0.328","3","24",""
"9","R_cAcuMbA8KxJ1gcN","standard","1","9","HP","12","76.701","88.716","89.044","12.343","0.328","3","27",""
"10","R_cAcuMbA8KxJ1gcN","standard","1","10","HP","18","90.053","108.068","108.367","18.314","0.299","3","30",""
"11","R_cAcuMbA8KxJ1gcN","standard","1","11","HP","6","109.372","115.381","115.712","6.34","0.331","3","33",""
"12","R_cAcuMbA8KxJ1gcN","standard","1","12","HP","16","116.723","132.729","133.015","16.292","0.286","3","36",""
"13","R_cAcuMbA8KxJ1gcN","standard","1","13","HP","18","134.022","152.033","152.863","18.841","0.83","3","33","c(""4016"", ""4489"")"
"14","R_cAcuMbA8KxJ1gcN","standard","1","14","HP","18","153.868","171.877","172.141","18.273","0.264","3","36",""
"15","R_cAcuMbA8KxJ1gcN","standard","1","15","HP","14","173.149","187.159","187.547","14.398","0.388","3","39",""
"16","R_cAcuMbA8KxJ1gcN","standard","1","16","HP","8","188.559","196.565","196.848","8.289","0.283","3","42",""
"17","R_cAcuMbA8KxJ1gcN","standard","1","17","HP","18","197.853","215.867","216.383","18.53","0.516","3","45",""
"18","R_cAcuMbA8KxJ1gcN","standard","1","18","HP","6","217.389","223.397","224","6.611","0.603","3","48",""
"19","R_cAcuMbA8KxJ1gcN","standard","1","19","HP","12","225.005","237.005","237.344","12.339","0.339","3","51",""
"20","R_cAcuMbA8KxJ1gcN","standard","1","20","HP","16","238.349","254.358","254.622","16.273","0.264","3","54",""
"21","R_cAcuMbA8KxJ1gcN","standard","1","21","HP","8","255.631","263.636","263.992","8.361","0.356","3","57",""
"22","R_cAcuMbA8KxJ1gcN","standard","1","22","HP","18","264.997","283.005","283.367","18.37","0.362","3","60",""
"23","R_cAcuMbA8KxJ1gcN","standard","1","23","HP","14","284.373","298.38","298.679","14.306","0.299","3","63",""
"24","R_cAcuMbA8KxJ1gcN","standard","1","24","HP","16","299.689","315.706","316.173","16.484","0.467","3","66",""
"25","R_cAcuMbA8KxJ1gcN","standard","1","25","HP","2","317.182","319.191","319.709","2.527","0.518","3","69",""
"26","R_cAcuMbA8KxJ1gcN","standard","1","26","HP","4","320.71","324.71","325.102","4.392","0.392","3","72",""
"27","R_cAcuMbA8KxJ1gcN","standard","1","27","HP","8","326.109","334.118","334.467","8.358","0.349","3","75",""
"28","R_cAcuMbA8KxJ1gcN","standard","1","28","HP","2","335.484","337.493","338.36","2.876","0.867","3","78",""
"29","R_cAcuMbA8KxJ1gcN","standard","1","29","HP","20","339.365","359.376","359.698","20.333","0.322","3","81",""
"30","R_cAcuMbA8KxJ1gcN","standard","1","30","HP","10","360.707","370.721","371.059","10.352","0.338","3","84",""
"31","R_cAcuMbA8KxJ1gcN","standard","1","31","HP","14","372.061","386.068","386.396","14.335","0.328","3","87",""
"32","R_cAcuMbA8KxJ1gcN","standard","1","32","HP","4","387.404","391.406","391.802","4.398","0.396","3","90",""
"33","R_cAcuMbA8KxJ1gcN","standard","1","33","HP","6","392.807","398.808","399.104","6.297","0.296","3","93",""
"34","R_cAcuMbA8KxJ1gcN","standard","1","34","HP","16","400.111","416.112","416.437","16.326","0.325","3","96",""
"35","R_cAcuMbA8KxJ1gcN","standard","1","35","HP","20","417.445","437.452","437.735","20.29","0.283","3","99",""
"36","R_cAcuMbA8KxJ1gcN","standard","1","36","HP","8","438.74","446.749","447.148","8.408","0.399","3","102",""
"37","R_cAcuMbA8KxJ1gcN","standard","1","37","HP","4","448.152","452.156","452.526","4.374","0.37","3","105",""
"38","R_cAcuMbA8KxJ1gcN","standard","1","38","HP","6","453.529","459.546","459.88","6.351","0.334","3","108",""
"39","R_cAcuMbA8KxJ1gcN","standard","1","39","HP","8","460.884","468.898","469.208","8.324","0.31","3","111",""
"40","R_cAcuMbA8KxJ1gcN","standard","1","40","HP","16","470.227","486.229","486.602","16.375","0.373","3","114",""
"41","R_cAcuMbA8KxJ1gcN","standard","1","41","HP","18","487.604","505.605","505.938","18.334","0.333","3","117",""
"42","R_cAcuMbA8KxJ1gcN","standard","1","42","HP","8","506.94","514.955","515.4","8.46","0.445","3","120",""
"43","R_cAcuMbA8KxJ1gcN","standard","1","43","HP","4","516.405","520.405","520.862","4.457","0.457","3","123",""
"44","R_cAcuMbA8KxJ1gcN","standard","1","44","HP","2","521.868","523.877","524.275","2.407","0.398","3","126",""
"45","R_cAcuMbA8KxJ1gcN","standard","1","45","HP","14","525.29","539.293","539.669","14.379","0.376","3","129",""
"46","R_cAcuMbA8KxJ1gcN","standard","1","46","HP","20","540.683","560.685","560.947","20.264","0.262","3","132",""
"47","R_cAcuMbA8KxJ1gcN","standard","1","47","HP","10","561.948","571.956","572.35","10.402","0.394","3","135",""
"48","R_cAcuMbA8KxJ1gcN","standard","1","48","HP","12","573.356","585.366","585.672","12.316","0.306","3","138",""
"49","R_cAcuMbA8KxJ1gcN","standard","1","49","HP","8","586.68","594.684","595.354","8.674","0.67","3","141",""
"50","R_cAcuMbA8KxJ1gcN","standard","1","50","HP","18","596.356","614.375","614.677","18.321","0.302","3","144",""
"51","R_cAcuMbA8KxJ1gcN","standard","1","51","HP","6","615.685","621.692","622.025","6.34","0.333","3","147",""
"52","R_cAcuMbA8KxJ1gcN","standard","1","52","HP","18","623.029","641.04","641.328","18.299","0.288","3","150",""
"53","R_cAcuMbA8KxJ1gcN","standard","1","53","HP","2","642.334","644.339","644.724","2.39","0.385","3","153",""
"54","R_cAcuMbA8KxJ1gcN","standard","1","54","HP","8","645.729","653.734","654.433","8.704","0.699","3","156",""
"55","R_cAcuMbA8KxJ1gcN","standard","1","55","HP","4","655.443","659.444","659.922","4.479","0.478","3","159",""
"56","R_cAcuMbA8KxJ1gcN","standard","1","56","HP","12","660.925","672.939","673.303","12.378","0.364","3","162",""
"57","R_cAcuMbA8KxJ1gcN","standard","1","57","HP","20","674.309","694.309","694.653","20.344","0.344","3","165",""
"58","R_cAcuMbA8KxJ1gcN","standard","1","58","HP","12","695.661","707.668","708.21","12.549","0.542","3","168",""
"59","R_cAcuMbA8KxJ1gcN","standard","1","59","HP","12","709.212","721.225","721.543","12.331","0.318","3","171",""
"60","R_cAcuMbA8KxJ1gcN","standard","1","60","HP","14","722.561","736.565","736.926","14.365","0.361","3","174",""
"61","R_cAcuMbA8KxJ1gcN","standard","1","61","HP","6","737.94","743.948","744.338","6.398","0.39","3","177",""
"62","R_cAcuMbA8KxJ1gcN","standard","1","62","HP","4","745.34","749.349","749.847","4.507","0.498","3","180",""
"63","R_cAcuMbA8KxJ1gcN","standard","1","63","HP","20","750.852","770.863","771.212","20.36","0.349","3","183",""
"64","R_cAcuMbA8KxJ1gcN","standard","1","64","HP","18","772.22","790.228","790.639","18.419","0.411","3","186",""
"65","R_cAcuMbA8KxJ1gcN","standard","1","65","HP","10","791.646","801.653","802.031","10.385","0.378","3","189",""
"66","R_cAcuMbA8KxJ1gcN","standard","1","66","HP","8","803.042","811.044","811.587","8.545","0.543","3","192",""
"67","R_cAcuMbA8KxJ1gcN","standard","1","67","HP","10","812.589","822.599","823.061","10.472","0.462","3","195",""
"68","R_cAcuMbA8KxJ1gcN","standard","1","68","HP","12","824.079","836.084","836.402","12.323","0.318","3","198",""
"69","R_cAcuMbA8KxJ1gcN","standard","1","69","HP","14","837.405","851.406","851.83","14.425","0.424","3","201",""
"70","R_cAcuMbA8KxJ1gcN","standard","1","70","HP","14","852.835","866.842","867.455","14.62","0.613","3","204",""
"71","R_cAcuMbA8KxJ1gcN","standard","1","71","HP","14","868.471","882.476","882.87","14.399","0.394","3","207",""
"72","R_cAcuMbA8KxJ1gcN","standard","1","72","HP","10","883.886","893.897","894.325","10.439","0.428","3","210",""
"73","R_cAcuMbA8KxJ1gcN","standard","2","1","LP","1.25738905644119","0","1.265","1.601","1.601","0.336","3","213",NA
"74","R_cAcuMbA8KxJ1gcN","standard","2","2","LP","2.15079707022835","2.603","4.761","5.065","2.462","0.304","3","216",NA
"75","R_cAcuMbA8KxJ1gcN","standard","2","3","LP","3.49090909090909","6.075","9.571","9.957","3.882","0.386","3","219",NA
"76","R_cAcuMbA8KxJ1gcN","standard","2","4","LP","8.51632916846187","10.969","19.491","19.794","8.825","0.303","3","222",NA
"77","R_cAcuMbA8KxJ1gcN","standard","2","5","LP","0.661783713916415","20.802","21.465","21.799","0.997","0.334","3","225",NA
"78","R_cAcuMbA8KxJ1gcN","standard","2","6","LP","30","22.801","NaN","26.019","3.218","NaN","0","225",NA
"79","R_cAcuMbA8KxJ1gcN","standard","2","7","LP","3.49090909090909","27.029","30.528","30.875","3.846","0.347","3","228",NA
"80","R_cAcuMbA8KxJ1gcN","standard","2","8","LP","3.49090909090909","31.886","NaN","34.97","3.084","NaN","0","228",NA
"81","R_cAcuMbA8KxJ1gcN","standard","2","9","LP","1.25738905644119","35.977","37.242","37.667","1.69","0.425","3","231",NA
"82","R_cAcuMbA8KxJ1gcN","standard","2","10","LP","0.264713485566566","38.686","38.954","39.353","0.667","0.399","3","234",NA
"83","R_cAcuMbA8KxJ1gcN","standard","2","11","LP","0.661783713916415","40.363","41.025","41.447","1.084","0.422","3","237",NA
"84","R_cAcuMbA8KxJ1gcN","standard","2","12","LP","13.0392072382594","42.45","NaN","45.073","2.623","NaN","0","237",NA
"85","R_cAcuMbA8KxJ1gcN","standard","2","13","LP","0.264713485566566","46.081","46.354","46.842","0.761","0.488","3","240",NA
"86","R_cAcuMbA8KxJ1gcN","standard","2","14","LP","2.15079707022835","47.85","50.015","50.317","2.467","0.302","3","243",NA
"87","R_cAcuMbA8KxJ1gcN","standard","2","15","LP","3.49090909090909","51.322","NaN","53.824","2.502","NaN","0","243",NA
"88","R_cAcuMbA8KxJ1gcN","standard","2","16","LP","8.51632916846187","54.834","NaN","59.483","4.649","NaN","0","243",NA
"89","R_cAcuMbA8KxJ1gcN","standard","2","17","LP","1.25738905644119","60.489","61.766","62.162","1.673","0.396","3","246",NA
"90","R_cAcuMbA8KxJ1gcN","standard","2","18","LP","19.8235243429556","63.179","NaN","67.341","4.162","NaN","0","246",NA
"91","R_cAcuMbA8KxJ1gcN","standard","2","19","LP","30","68.346","NaN","73.174","4.828","NaN","0","246",NA
"92","R_cAcuMbA8KxJ1gcN","standard","2","20","LP","5.5010771219302","74.184","NaN","78.664","4.48","NaN","0","246",NA
"93","R_cAcuMbA8KxJ1gcN","standard","2","21","LP","8.51632916846187","79.684","NaN","86.993","7.309","NaN","0","246",NA
"94","R_cAcuMbA8KxJ1gcN","standard","2","22","LP","13.0392072382594","88.008","NaN","97.118","9.11","NaN","0","246",NA
"95","R_cAcuMbA8KxJ1gcN","standard","2","23","LP","0.264713485566566","98.121","98.393","98.923","0.802","0.53","3","249",NA
