"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_cH0RrAzupBntUyZ","standard","1","1","HP","12","0.001","12.004","12.253","12.252","0.249","3","3",""
"2","R_cH0RrAzupBntUyZ","standard","1","2","HP","8","13.262","21.268","21.51","8.248","0.242","3","6",""
"3","R_cH0RrAzupBntUyZ","standard","1","3","HP","20","22.521","42.526","42.899","20.378","0.373","3","9",""
"4","R_cH0RrAzupBntUyZ","standard","1","4","HP","16","43.906","59.921","60.214","16.308","0.293","3","12",""
"5","R_cH0RrAzupBntUyZ","standard","1","5","HP","2","61.216","63.225","63.733","2.517","0.508","3","15",""
"6","R_cH0RrAzupBntUyZ","standard","1","6","HP","20","64.737","84.74","85.094","20.357","0.354","3","18",""
"7","R_cH0RrAzupBntUyZ","standard","1","7","HP","2","86.108","88.12","88.997","2.889","0.877","3","21",""
"8","R_cH0RrAzupBntUyZ","standard","1","8","HP","2","90.016","92.028","92.397","2.381","0.369","3","24",""
"9","R_cH0RrAzupBntUyZ","standard","1","9","HP","4","93.406","97.408","97.742","4.336","0.334","3","27",""
"10","R_cH0RrAzupBntUyZ","standard","1","10","HP","12","98.752","110.768","111.046","12.294","0.278","3","30",""
"11","R_cH0RrAzupBntUyZ","standard","1","11","HP","16","112.059","128.066","128.542","16.483","0.476","3","33",""
"12","R_cH0RrAzupBntUyZ","standard","1","12","HP","20","129.546","149.569","149.87","20.324","0.301","3","36",""
"13","R_cH0RrAzupBntUyZ","standard","1","13","HP","4","150.879","154.882","155.3","4.421","0.418","3","39",""
"14","R_cH0RrAzupBntUyZ","standard","1","14","HP","2","156.308","158.321","158.701","2.393","0.38","3","42",""
"15","R_cH0RrAzupBntUyZ","standard","1","15","HP","10","159.714","169.725","170.086","10.372","0.361","3","45",""
"16","R_cH0RrAzupBntUyZ","standard","1","16","HP","4","171.105","175.108","175.549","4.444","0.441","3","48",""
"17","R_cH0RrAzupBntUyZ","standard","1","17","HP","20","176.56","196.562","196.95","20.39","0.388","3","51",""
"18","R_cH0RrAzupBntUyZ","standard","1","18","HP","18","197.96","215.973","216.286","18.326","0.313","3","54",""
"19","R_cH0RrAzupBntUyZ","standard","1","19","HP","20","217.29","237.298","237.59","20.3","0.292","3","57",""
"20","R_cH0RrAzupBntUyZ","standard","1","20","HP","8","238.594","247.129","NA","10.529","NA","0","57",""
"21","R_cH0RrAzupBntUyZ","standard","1","21","HP","12","250.133","262.14","262.494","12.361","0.354","3","60",""
"22","R_cH0RrAzupBntUyZ","standard","1","22","HP","2","263.511","265.518","266.229","2.718","0.711","3","63",""
"23","R_cH0RrAzupBntUyZ","standard","1","23","HP","6","267.234","273.243","273.567","6.333","0.324","3","66",""
"24","R_cH0RrAzupBntUyZ","standard","1","24","HP","18","274.576","292.578","292.855","18.279","0.277","3","69",""
"25","R_cH0RrAzupBntUyZ","standard","1","25","HP","16","293.858","309.867","310.215","16.357","0.348","3","72",""
"26","R_cH0RrAzupBntUyZ","standard","1","26","HP","10","311.217","321.232","321.606","10.389","0.374","3","75",""
"27","R_cH0RrAzupBntUyZ","standard","1","27","HP","12","322.616","334.621","335.038","12.422","0.417","3","78",""
"28","R_cH0RrAzupBntUyZ","standard","1","28","HP","16","336.042","352.05","352.399","16.357","0.349","3","81",""
"29","R_cH0RrAzupBntUyZ","standard","1","29","HP","18","353.411","371.422","371.743","18.332","0.321","3","84",""
"30","R_cH0RrAzupBntUyZ","standard","1","30","HP","10","372.751","382.763","383.071","10.32","0.308","3","69","c(""3351"", ""5542"", ""6143"", ""6439"", ""6647"", ""7478"")"
"31","R_cH0RrAzupBntUyZ","standard","1","31","HP","20","384.074","404.083","404.583","20.509","0.5","3","72",""
"32","R_cH0RrAzupBntUyZ","standard","1","32","HP","8","405.587","413.598","NA","9.017","NA","0","72",""
"33","R_cH0RrAzupBntUyZ","standard","1","33","HP","20","415.607","435.611","435.968","20.361","0.357","3","75",""
"34","R_cH0RrAzupBntUyZ","standard","1","34","HP","4","436.978","440.986","NA","5.009","NA","0","75",""
"35","R_cH0RrAzupBntUyZ","standard","1","35","HP","12","442.994","455.018","455.399","12.405","0.381","3","75","1906"
"36","R_cH0RrAzupBntUyZ","standard","1","36","HP","10","456.404","466.406","466.872","10.468","0.466","3","78",""
"37","R_cH0RrAzupBntUyZ","standard","1","37","HP","20","467.874","487.879","488.278","20.404","0.399","3","78","18044"
"38","R_cH0RrAzupBntUyZ","standard","1","38","HP","18","489.285","507.291","508.183","18.898","0.892","3","81",""
"39","R_cH0RrAzupBntUyZ","standard","1","39","HP","14","509.186","523.194","524.111","14.925","0.917","3","84",""
"40","R_cH0RrAzupBntUyZ","standard","1","40","HP","18","525.115","543.117","NA","19.013","NA","0","84",""
"41","R_cH0RrAzupBntUyZ","standard","1","41","HP","20","545.134","565.146","565.95","20.816","0.804","3","54","c(""98"", ""9000"", ""11537"", ""12423"", ""12960"", ""13616"", ""14312"", ""15304"", ""16288"", ""17881"", ""18506"")"
"42","R_cH0RrAzupBntUyZ","standard","1","42","HP","18","566.954","584.969","585.416","18.462","0.447","3","45","c(""7789"", ""9692"", ""11996"", ""14596"")"
"43","R_cH0RrAzupBntUyZ","standard","1","43","HP","10","586.418","596.427","597.287","10.869","0.86","3","45","3620"
"44","R_cH0RrAzupBntUyZ","standard","1","44","HP","8","598.306","606.317","607.198","8.892","0.881","3","48",""
"45","R_cH0RrAzupBntUyZ","standard","1","45","HP","6","608.202","614.213","614.966","6.764","0.753","3","45","c(""693"", ""2132"")"
"46","R_cH0RrAzupBntUyZ","standard","1","46","HP","8","615.97","623.98","NA","9.017","NA","0","45",""
"47","R_cH0RrAzupBntUyZ","standard","1","47","HP","20","625.994","646.002","646.376","20.382","0.374","3","48",""
"48","R_cH0RrAzupBntUyZ","standard","1","48","HP","10","647.389","657.404","NA","11.019","NA","0","48",""
"49","R_cH0RrAzupBntUyZ","standard","1","49","HP","16","659.417","675.418","676.087","16.67","0.669","3","51",""
"50","R_cH0RrAzupBntUyZ","standard","1","50","HP","12","677.096","689.1","NA","13.027","NA","0","48","9520"
"51","R_cH0RrAzupBntUyZ","standard","1","51","HP","12","691.126","703.135","703.519","12.393","0.384","3","51",""
"52","R_cH0RrAzupBntUyZ","standard","1","52","HP","10","704.523","714.534","715.367","10.844","0.833","3","54",""
"53","R_cH0RrAzupBntUyZ","standard","1","53","HP","10","716.385","726.399","NA","11.024","NA","0","54",""
"54","R_cH0RrAzupBntUyZ","standard","1","54","HP","6","728.41","734.432","NA","7.031","NA","0","54",""
"55","R_cH0RrAzupBntUyZ","standard","1","55","HP","12","736.444","748.464","748.799","12.355","0.335","3","57",""
"56","R_cH0RrAzupBntUyZ","standard","1","56","HP","10","749.804","759.812","760.176","10.372","0.364","3","60",""
"57","R_cH0RrAzupBntUyZ","standard","1","57","HP","14","761.186","775.196","775.629","14.443","0.433","3","60","6677"
