"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_d50xmK9WldueCwp","standard","1","1","HP","6","0.002","6.008","6.419","6.417","0.411","3","3",""
"2","R_d50xmK9WldueCwp","standard","1","2","HP","14","7.423","21.434","21.875","14.452","0.441","3","6",""
"3","R_d50xmK9WldueCwp","standard","1","3","HP","12","22.887","34.899","35.331","12.444","0.432","3","9",""
"4","R_d50xmK9WldueCwp","standard","1","4","HP","10","36.346","46.349","46.771","10.425","0.422","3","12",""
"5","R_d50xmK9WldueCwp","standard","1","5","HP","20","47.78","67.793","68.179","20.399","0.386","3","15",""
"6","R_d50xmK9WldueCwp","standard","1","6","HP","20","69.193","89.202","89.62","20.427","0.418","3","18",""
"7","R_d50xmK9WldueCwp","standard","1","7","HP","6","90.633","96.647","97.235","6.602","0.588","3","21",""
"8","R_d50xmK9WldueCwp","standard","1","8","HP","2","98.247","100.252","100.707","2.46","0.455","3","24",""
"9","R_d50xmK9WldueCwp","standard","1","9","HP","12","101.714","113.728","114.13","12.416","0.402","3","27",""
"10","R_d50xmK9WldueCwp","standard","1","10","HP","14","115.143","129.161","129.571","14.428","0.41","3","30",""
"11","R_d50xmK9WldueCwp","standard","1","11","HP","2","130.577","132.592","133.011","2.434","0.419","3","33",""
"12","R_d50xmK9WldueCwp","standard","1","12","HP","4","134.023","138.038","138.562","4.539","0.524","3","36",""
"13","R_d50xmK9WldueCwp","standard","1","13","HP","16","139.591","155.602","156.018","16.427","0.416","3","39",""
"14","R_d50xmK9WldueCwp","standard","1","14","HP","14","157.02","171.029","171.554","14.534","0.525","3","42",""
"15","R_d50xmK9WldueCwp","standard","1","15","HP","2","172.566","174.581","175.266","2.7","0.685","3","45",""
"16","R_d50xmK9WldueCwp","standard","1","16","HP","2","176.28","178.296","178.722","2.442","0.426","3","48",""
"17","R_d50xmK9WldueCwp","standard","1","17","HP","10","179.727","189.731","190.13","10.403","0.399","3","51",""
"18","R_d50xmK9WldueCwp","standard","1","18","HP","4","191.134","195.135","195.57","4.436","0.435","3","54",""
"19","R_d50xmK9WldueCwp","standard","1","19","HP","4","196.577","200.592","201.026","4.449","0.434","3","57",""
"20","R_d50xmK9WldueCwp","standard","1","20","HP","20","202.039","222.048","222.45","20.411","0.402","3","60",""
"21","R_d50xmK9WldueCwp","standard","1","21","HP","2","223.469","225.484","225.873","2.404","0.389","3","63",""
"22","R_d50xmK9WldueCwp","standard","1","22","HP","18","226.884","244.895","245.298","18.414","0.403","3","66",""
"23","R_d50xmK9WldueCwp","standard","1","23","HP","14","246.31","260.324","260.753","14.443","0.429","3","69",""
"24","R_d50xmK9WldueCwp","standard","1","24","HP","20","261.776","281.786","282.161","20.385","0.375","3","72",""
"25","R_d50xmK9WldueCwp","standard","1","25","HP","6","283.17","289.184","289.617","6.447","0.433","3","75",""
"26","R_d50xmK9WldueCwp","standard","1","26","HP","20","290.63","310.641","311.057","20.427","0.416","3","78",""
"27","R_d50xmK9WldueCwp","standard","1","27","HP","16","312.063","328.076","328.545","16.482","0.469","3","81",""
"28","R_d50xmK9WldueCwp","standard","1","28","HP","18","329.552","347.555","347.937","18.385","0.382","3","84",""
"29","R_d50xmK9WldueCwp","standard","1","29","HP","20","348.947","368.949","369.329","20.382","0.38","3","87",""
"30","R_d50xmK9WldueCwp","standard","1","30","HP","2","370.343","372.348","372.8","2.457","0.452","3","90",""
"31","R_d50xmK9WldueCwp","standard","1","31","HP","14","373.811","387.811","388.241","14.43","0.43","3","93",""
"32","R_d50xmK9WldueCwp","standard","1","32","HP","2","389.244","391.254","391.744","2.5","0.49","3","96",""
"33","R_d50xmK9WldueCwp","standard","1","33","HP","20","392.752","412.771","413.2","20.448","0.429","3","99",""
"34","R_d50xmK9WldueCwp","standard","1","34","HP","18","414.217","432.227","432.752","18.535","0.525","3","102",""
"35","R_d50xmK9WldueCwp","standard","1","35","HP","16","433.764","449.794","450.192","16.428","0.398","3","105",""
"36","R_d50xmK9WldueCwp","standard","1","36","HP","12","451.209","463.221","463.632","12.423","0.411","3","108",""
"37","R_d50xmK9WldueCwp","standard","1","37","HP","12","464.634","476.648","477.12","12.486","0.472","3","111",""
"38","R_d50xmK9WldueCwp","standard","1","38","HP","20","478.132","498.143","498.48","20.348","0.337","3","114",""
"39","R_d50xmK9WldueCwp","standard","1","39","HP","14","499.495","513.509","513.952","14.457","0.443","3","117",""
"40","R_d50xmK9WldueCwp","standard","1","40","HP","4","514.976","518.992","519.487","4.511","0.495","3","120",""
"41","R_d50xmK9WldueCwp","standard","1","41","HP","4","520.507","524.536","524.96","4.453","0.424","3","123",""
"42","R_d50xmK9WldueCwp","standard","1","42","HP","10","525.966","535.987","536.592","10.626","0.605","3","126",""
"43","R_d50xmK9WldueCwp","standard","1","43","HP","16","537.602","553.614","554.047","16.445","0.433","3","126","7038"
"44","R_d50xmK9WldueCwp","standard","1","44","HP","14","555.051","569.055","569.536","14.485","0.481","3","129",""
"45","R_d50xmK9WldueCwp","standard","1","45","HP","18","570.536","588.553","589.023","18.487","0.47","3","132",""
"46","R_d50xmK9WldueCwp","standard","1","46","HP","18","590.036","608.047","608.511","18.475","0.464","3","135",""
"47","R_d50xmK9WldueCwp","standard","1","47","HP","12","609.516","621.527","622.126","12.61","0.599","3","138",""
"48","R_d50xmK9WldueCwp","standard","1","48","HP","2","623.134","625.142","625.694","2.56","0.552","3","141",""
"49","R_d50xmK9WldueCwp","standard","1","49","HP","16","626.711","642.737","643.247","16.536","0.51","3","144",""
"50","R_d50xmK9WldueCwp","standard","1","50","HP","4","644.255","648.275","648.718","4.463","0.443","3","147",""
"51","R_d50xmK9WldueCwp","standard","1","51","HP","4","649.722","653.723","654.224","4.502","0.501","3","150",""
"52","R_d50xmK9WldueCwp","standard","1","52","HP","2","655.236","657.251","657.646","2.41","0.395","3","153",""
"53","R_d50xmK9WldueCwp","standard","1","53","HP","10","658.657","668.67","669.342","10.685","0.672","3","156",""
"54","R_d50xmK9WldueCwp","standard","1","54","HP","4","670.369","674.385","674.894","4.525","0.509","3","159",""
"55","R_d50xmK9WldueCwp","standard","1","55","HP","18","675.917","693.927","694.398","18.481","0.471","3","162",""
"56","R_d50xmK9WldueCwp","standard","1","56","HP","4","695.41","699.412","699.87","4.46","0.458","3","165",""
"57","R_d50xmK9WldueCwp","standard","1","57","HP","6","700.878","706.892","707.294","6.416","0.402","3","168",""
"58","R_d50xmK9WldueCwp","standard","1","58","HP","10","708.306","718.321","718.798","10.492","0.477","3","171",""
"59","R_d50xmK9WldueCwp","standard","1","59","HP","8","719.82","727.821","728.43","8.61","0.609","3","174",""
"60","R_d50xmK9WldueCwp","standard","1","60","HP","8","729.448","737.449","738.078","8.63","0.629","3","177",""
"61","R_d50xmK9WldueCwp","standard","1","61","HP","8","739.1","747.113","747.71","8.61","0.597","3","180",""
"62","R_d50xmK9WldueCwp","standard","1","62","HP","10","748.713","758.715","759.23","10.517","0.515","3","183",""
"63","R_d50xmK9WldueCwp","standard","1","63","HP","10","760.244","770.245","770.83","10.586","0.585","3","186",""
"64","R_d50xmK9WldueCwp","standard","1","64","HP","18","771.838","789.85","790.318","18.48","0.468","3","189",""
"65","R_d50xmK9WldueCwp","standard","1","65","HP","14","791.319","805.332","805.822","14.503","0.49","3","192",""
"66","R_d50xmK9WldueCwp","standard","1","66","HP","6","806.831","812.838","813.229","6.398","0.391","3","195",""
"67","R_d50xmK9WldueCwp","standard","1","67","HP","14","814.243","828.247","828.701","14.458","0.454","3","198",""
"68","R_d50xmK9WldueCwp","standard","1","68","HP","4","829.725","833.725","834.301","4.576","0.576","3","201",""
"69","R_d50xmK9WldueCwp","standard","1","69","HP","20","835.31","855.319","855.757","20.447","0.438","3","204",""
"70","R_d50xmK9WldueCwp","standard","1","70","HP","4","856.771","860.786","861.453","4.682","0.667","3","207",""
"71","R_d50xmK9WldueCwp","standard","1","71","HP","20","862.454","882.481","882.877","20.423","0.396","3","210",""
"72","R_d50xmK9WldueCwp","standard","1","72","HP","2","883.88","885.895","886.444","2.564","0.549","3","213",""
"73","R_d50xmK9WldueCwp","standard","2","1","LP","0.264713485566566","0","0.267","1.221","1.221","0.954","3","216",NA
"74","R_d50xmK9WldueCwp","standard","2","2","LP","13.0392072382594","2.24","NaN","9.172","6.932","NaN","0","216",NA
"75","R_d50xmK9WldueCwp","standard","2","3","LP","19.8235243429556","10.181","NaN","15.925","5.744","NaN","0","216",NA
"76","R_d50xmK9WldueCwp","standard","2","4","LP","19.8235243429556","16.937","NaN","27.093","10.156","NaN","0","216",NA
"77","R_d50xmK9WldueCwp","standard","2","5","LP","1.25738905644119","28.106","29.376","29.813","1.707","0.437","3","219",NA
"78","R_d50xmK9WldueCwp","standard","2","6","LP","8.51632916846187","30.822","39.34","39.765","8.943","0.425","3","222",NA
"79","R_d50xmK9WldueCwp","standard","2","7","LP","0.264713485566566","40.779","41.044","41.62","0.841","0.576","3","225",NA
"80","R_d50xmK9WldueCwp","standard","2","8","LP","5.5010771219302","42.628","48.132","48.533","5.905","0.401","3","228",NA
"81","R_d50xmK9WldueCwp","standard","2","9","LP","0.264713485566566","49.546","49.82","50.309","0.763","0.489","3","231",NA
"82","R_d50xmK9WldueCwp","standard","2","10","LP","0.661783713916415","51.32","52.004","52.436","1.116","0.432","3","234",NA
"83","R_d50xmK9WldueCwp","standard","2","11","LP","5.5010771219302","53.446","58.951","59.348","5.902","0.397","3","237",NA
"84","R_d50xmK9WldueCwp","standard","2","12","LP","3.49090909090909","60.376","63.875","64.308","3.932","0.433","3","240",NA
"85","R_d50xmK9WldueCwp","standard","2","13","LP","5.5010771219302","65.31","70.815","71.22","5.91","0.405","3","243",NA
