"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_egpsFGB7NnHARWN","standard","1","1","HP","16","0.003","16.011","16.683","16.68","0.672","3","3",""
"2","R_egpsFGB7NnHARWN","standard","1","2","HP","12","17.691","29.71","30.32","12.629","0.61","3","6",""
"3","R_egpsFGB7NnHARWN","standard","1","3","HP","6","31.322","37.33","38.109","6.787","0.779","3","9",""
"4","R_egpsFGB7NnHARWN","standard","1","4","HP","14","39.109","53.112","53.87","14.761","0.758","3","12",""
"5","R_egpsFGB7NnHARWN","standard","1","5","HP","18","54.874","72.891","73.556","18.682","0.665","3","15",""
"6","R_egpsFGB7NnHARWN","standard","1","6","HP","12","74.576","86.591","87.241","12.665","0.65","3","18",""
"7","R_egpsFGB7NnHARWN","standard","1","7","HP","8","88.276","96.29","96.922","8.646","0.632","3","21",""
"8","R_egpsFGB7NnHARWN","standard","1","8","HP","20","97.925","117.926","118.558","20.633","0.632","3","24",""
"9","R_egpsFGB7NnHARWN","standard","1","9","HP","8","119.574","127.579","128.332","8.758","0.753","3","27",""
"10","R_egpsFGB7NnHARWN","standard","1","10","HP","8","129.339","137.339","137.922","8.583","0.583","3","30",""
"11","R_egpsFGB7NnHARWN","standard","1","11","HP","16","138.935","154.937","155.55","16.615","0.613","3","33",""
"12","R_egpsFGB7NnHARWN","standard","1","12","HP","20","156.554","176.572","177.155","20.601","0.583","3","36",""
"13","R_egpsFGB7NnHARWN","standard","1","13","HP","14","178.169","192.17","192.782","14.613","0.612","3","39",""
"14","R_egpsFGB7NnHARWN","standard","1","14","HP","2","193.817","195.841","NA","3.025","NA","0","39",""
"15","R_egpsFGB7NnHARWN","standard","1","15","HP","20","197.85","217.902","218.554","20.704","0.652","3","42",""
"16","R_egpsFGB7NnHARWN","standard","1","16","HP","16","219.562","235.585","236.241","16.679","0.656","3","45",""
"17","R_egpsFGB7NnHARWN","standard","1","17","HP","8","237.242","245.25","245.875","8.633","0.625","3","48",""
"18","R_egpsFGB7NnHARWN","standard","1","18","HP","16","246.891","262.9","263.551","16.66","0.651","3","51",""
"19","R_egpsFGB7NnHARWN","standard","1","19","HP","14","264.554","278.562","279.165","14.611","0.603","3","54",""
"20","R_egpsFGB7NnHARWN","standard","1","20","HP","16","280.171","296.184","296.798","16.627","0.614","3","57",""
"21","R_egpsFGB7NnHARWN","standard","1","21","HP","16","297.87","313.874","314.466","16.596","0.592","3","60",""
"22","R_egpsFGB7NnHARWN","standard","1","22","HP","2","315.482","317.497","318.168","2.686","0.671","3","63",""
"23","R_egpsFGB7NnHARWN","standard","1","23","HP","8","319.182","327.186","327.804","8.622","0.618","3","66",""
"24","R_egpsFGB7NnHARWN","standard","1","24","HP","6","328.816","334.816","335.477","6.661","0.661","3","69",""
"25","R_egpsFGB7NnHARWN","standard","1","25","HP","12","336.488","348.511","349.15","12.662","0.639","3","72",""
"26","R_egpsFGB7NnHARWN","standard","1","26","HP","4","350.154","354.161","354.839","4.685","0.678","3","75",""
"27","R_egpsFGB7NnHARWN","standard","1","27","HP","16","355.841","371.841","372.447","16.606","0.606","3","78",""
"28","R_egpsFGB7NnHARWN","standard","1","28","HP","4","373.45","377.458","378.159","4.709","0.701","3","81",""
"29","R_egpsFGB7NnHARWN","standard","1","29","HP","20","379.163","399.178","399.969","20.806","0.791","3","84",""
"30","R_egpsFGB7NnHARWN","standard","1","30","HP","18","400.978","418.994","419.649","18.671","0.655","3","87",""
"31","R_egpsFGB7NnHARWN","standard","1","31","HP","6","420.657","426.659","427.288","6.631","0.629","3","90",""
"32","R_egpsFGB7NnHARWN","standard","1","32","HP","10","428.29","438.298","438.945","10.655","0.647","3","93",""
"33","R_egpsFGB7NnHARWN","standard","1","33","HP","20","439.975","459.986","460.609","20.634","0.623","3","96",""
"34","R_egpsFGB7NnHARWN","standard","1","34","HP","12","461.611","473.611","474.32","12.709","0.709","3","99",""
"35","R_egpsFGB7NnHARWN","standard","1","35","HP","10","475.321","485.322","486.029","10.708","0.707","3","102",""
"36","R_egpsFGB7NnHARWN","standard","1","36","HP","16","487.033","503.034","503.768","16.735","0.734","3","105",""
"37","R_egpsFGB7NnHARWN","standard","1","37","HP","14","504.771","518.809","519.451","14.68","0.642","3","108",""
"38","R_egpsFGB7NnHARWN","standard","1","38","HP","20","520.463","540.475","541.132","20.669","0.657","3","111",""
"39","R_egpsFGB7NnHARWN","standard","1","39","HP","18","542.139","560.147","560.789","18.65","0.642","3","114",""
"40","R_egpsFGB7NnHARWN","standard","1","40","HP","2","561.804","563.821","564.548","2.744","0.727","3","117",""
"41","R_egpsFGB7NnHARWN","standard","1","41","HP","16","565.556","581.557","582.195","16.639","0.638","3","120",""
"42","R_egpsFGB7NnHARWN","standard","1","42","HP","20","583.203","603.221","603.84","20.637","0.619","3","123",""
"43","R_egpsFGB7NnHARWN","standard","1","43","HP","12","604.842","616.85","617.519","12.677","0.669","3","126",""
"44","R_egpsFGB7NnHARWN","standard","1","44","HP","14","618.522","632.522","633.24","14.718","0.718","3","129",""
"45","R_egpsFGB7NnHARWN","standard","1","45","HP","4","634.243","638.251","638.892","4.649","0.641","3","132",""
"46","R_egpsFGB7NnHARWN","standard","1","46","HP","8","639.912","647.914","648.56","8.648","0.646","3","135",""
"47","R_egpsFGB7NnHARWN","standard","1","47","HP","4","649.629","653.635","654.329","4.7","0.694","3","138",""
"48","R_egpsFGB7NnHARWN","standard","1","48","HP","10","655.33","665.338","666.022","10.692","0.684","3","141",""
"49","R_egpsFGB7NnHARWN","standard","1","49","HP","2","667.028","669.035","669.748","2.72","0.713","3","144",""
"50","R_egpsFGB7NnHARWN","standard","1","50","HP","14","670.767","684.784","685.5","14.733","0.716","3","147",""
"51","R_egpsFGB7NnHARWN","standard","1","51","HP","12","686.515","698.517","699.171","12.656","0.654","3","150",""
"52","R_egpsFGB7NnHARWN","standard","1","52","HP","12","700.182","712.187","712.85","12.668","0.663","3","153",""
"53","R_egpsFGB7NnHARWN","standard","1","53","HP","14","713.863","727.866","728.551","14.688","0.685","3","156",""
"54","R_egpsFGB7NnHARWN","standard","1","54","HP","16","729.556","745.562","746.28","16.724","0.718","3","159",""
"55","R_egpsFGB7NnHARWN","standard","1","55","HP","4","747.282","751.29","751.957","4.675","0.667","3","162",""
"56","R_egpsFGB7NnHARWN","standard","1","56","HP","8","752.964","760.979","761.632","8.668","0.653","3","165",""
"57","R_egpsFGB7NnHARWN","standard","1","57","HP","4","762.634","766.641","767.317","4.683","0.676","3","168",""
"58","R_egpsFGB7NnHARWN","standard","1","58","HP","14","768.321","782.321","783.039","14.718","0.718","3","168","766"
"59","R_egpsFGB7NnHARWN","standard","1","59","HP","8","784.042","792.05","792.749","8.707","0.699","3","171",""
"60","R_egpsFGB7NnHARWN","standard","1","60","HP","20","793.766","813.778","814.401","20.635","0.623","3","174",""
"61","R_egpsFGB7NnHARWN","standard","1","61","HP","4","815.402","819.411","820.038","4.636","0.627","3","177",""
"62","R_egpsFGB7NnHARWN","standard","1","62","HP","18","821.041","839.042","839.647","18.606","0.605","3","180",""
"63","R_egpsFGB7NnHARWN","standard","1","63","HP","2","840.649","842.657","843.521","2.872","0.864","3","183",""
"64","R_egpsFGB7NnHARWN","standard","1","64","HP","8","844.523","852.528","853.205","8.682","0.677","3","186",""
"65","R_egpsFGB7NnHARWN","standard","1","65","HP","2","854.226","856.226","856.809","2.583","0.583","3","189",""
"66","R_egpsFGB7NnHARWN","standard","1","66","HP","14","857.815","871.815","872.49","14.675","0.675","3","192",""
"67","R_egpsFGB7NnHARWN","standard","1","67","HP","6","873.491","879.498","880.153","6.662","0.655","3","195",""
"68","R_egpsFGB7NnHARWN","standard","1","68","HP","2","881.156","883.176","883.862","2.706","0.686","3","198",""
"69","R_egpsFGB7NnHARWN","standard","1","69","HP","2","884.875","886.892","887.521","2.646","0.629","3","201",""
"70","R_egpsFGB7NnHARWN","standard","1","70","HP","2","888.523","890.528","891.16","2.637","0.632","3","204",""
