"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_ereJXWv1XOJYcql","standard","1","1","LP","0.661783713916415","0.001","0.68","NA","1.699","NA","0","0",""
"2","R_ereJXWv1XOJYcql","standard","1","2","LP","8.51632916846187","2.704","11.231","11.789","9.085","0.558","3","3",""
"3","R_ereJXWv1XOJYcql","standard","1","3","LP","3.49090909090909","12.798","16.298","16.716","3.918","0.418","3","6",""
"4","R_ereJXWv1XOJYcql","standard","1","4","LP","2.15079707022835","17.719","19.88","20.357","2.638","0.477","3","9",""
"5","R_ereJXWv1XOJYcql","standard","1","5","LP","2.15079707022835","21.365","23.516","23.964","2.599","0.448","3","12",""
"6","R_ereJXWv1XOJYcql","standard","1","6","LP","30","24.967","54.986","55.318","30.351","0.332","3","15",""
"7","R_ereJXWv1XOJYcql","standard","1","7","LP","0.661783713916415","56.32","56.985","NA","1.682","NA","0","15",""
"8","R_ereJXWv1XOJYcql","standard","1","8","LP","13.0392072382594","59.021","72.068","72.477","13.456","0.409","3","18",""
"9","R_ereJXWv1XOJYcql","standard","1","9","LP","0.264713485566566","73.484","73.752","74.191","0.707","0.439","3","21",""
"10","R_ereJXWv1XOJYcql","standard","1","10","LP","13.0392072382594","75.203","88.255","88.624","13.421","0.369","3","24",""
"11","R_ereJXWv1XOJYcql","standard","1","11","LP","8.51632916846187","89.638","98.155","98.51","8.872","0.355","3","27",""
"12","R_ereJXWv1XOJYcql","standard","1","12","LP","1.25738905644119","99.524","100.788","101.464","1.94","0.676","3","30",""
"13","R_ereJXWv1XOJYcql","standard","1","13","LP","19.8235243429556","102.489","122.324","122.728","20.239","0.404","3","33",""
"14","R_ereJXWv1XOJYcql","standard","1","14","LP","3.49090909090909","123.741","127.256","127.654","3.913","0.398","3","36",""
"15","R_ereJXWv1XOJYcql","standard","1","15","LP","5.5010771219302","128.658","134.175","134.559","5.901","0.384","3","39",""
"16","R_ereJXWv1XOJYcql","standard","1","16","LP","0.661783713916415","135.56","136.224","136.651","1.091","0.427","3","42",""
"17","R_ereJXWv1XOJYcql","standard","1","17","LP","0.264713485566566","137.658","137.941","138.325","0.667","0.384","3","45",""
"18","R_ereJXWv1XOJYcql","standard","1","18","LP","5.5010771219302","139.342","144.858","145.302","5.96","0.444","3","48",""
"19","R_ereJXWv1XOJYcql","standard","1","19","LP","0.264713485566566","146.307","146.59","146.906","0.599","0.316","3","51",""
"20","R_ereJXWv1XOJYcql","standard","1","20","LP","0.661783713916415","147.907","148.591","148.95","1.043","0.359","3","54",""
"21","R_ereJXWv1XOJYcql","standard","1","21","LP","13.0392072382594","149.952","163.004","163.375","13.423","0.371","3","57",""
"22","R_ereJXWv1XOJYcql","standard","1","22","LP","1.25738905644119","164.391","165.66","166.057","1.666","0.397","3","60",""
"23","R_ereJXWv1XOJYcql","standard","1","23","LP","3.49090909090909","167.075","170.574","170.957","3.882","0.383","3","63",""
"24","R_ereJXWv1XOJYcql","standard","1","24","LP","19.8235243429556","171.961","191.792","192.139","20.178","0.347","3","66",""
"25","R_ereJXWv1XOJYcql","standard","1","25","LP","19.8235243429556","193.16","213.008","213.331","20.171","0.323","3","69",""
"26","R_ereJXWv1XOJYcql","standard","1","26","LP","1.25738905644119","214.344","215.611","215.986","1.642","0.375","3","72",""
"27","R_ereJXWv1XOJYcql","standard","1","27","LP","0.661783713916415","216.994","217.677","218.138","1.144","0.461","3","75",""
"28","R_ereJXWv1XOJYcql","standard","1","28","LP","1.25738905644119","219.145","220.411","220.824","1.679","0.413","3","78",""
"29","R_ereJXWv1XOJYcql","standard","1","29","LP","19.8235243429556","221.828","241.662","242.092","20.264","0.43","3","81",""
"30","R_ereJXWv1XOJYcql","standard","1","30","LP","0.661783713916415","243.112","243.777","244.133","1.021","0.356","3","84",""
"31","R_ereJXWv1XOJYcql","standard","1","31","LP","13.0392072382594","245.147","258.193","258.604","13.457","0.411","3","87",""
"32","R_ereJXWv1XOJYcql","standard","1","32","LP","0.264713485566566","259.613","259.896","260.276","0.663","0.38","3","90",""
"33","R_ereJXWv1XOJYcql","standard","1","33","LP","30","261.281","291.282","291.567","30.286","0.285","3","93",""
