"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_tR0m35B25SAGgZb","standard","1","1","HP","16","0.003","16.007","16.587","16.584","0.58","3","3",""
"2","R_tR0m35B25SAGgZb","standard","1","2","HP","14","17.595","31.604","32.294","14.699","0.69","3","6",""
"3","R_tR0m35B25SAGgZb","standard","1","3","HP","6","33.311","39.353","40.301","6.99","0.948","3","9",""
"4","R_tR0m35B25SAGgZb","standard","1","4","HP","18","41.309","59.318","60","18.691","0.682","3","12",""
"5","R_tR0m35B25SAGgZb","standard","1","5","HP","20","61.004","81.006","81.741","20.737","0.735","3","15",""
"6","R_tR0m35B25SAGgZb","standard","1","6","HP","4","82.751","86.755","87.656","4.905","0.901","3","18",""
"7","R_tR0m35B25SAGgZb","standard","1","7","HP","18","88.668","106.687","107.378","18.71","0.691","3","21",""
"8","R_tR0m35B25SAGgZb","standard","1","8","HP","20","108.403","128.415","129.162","20.759","0.747","3","24",""
"9","R_tR0m35B25SAGgZb","standard","1","9","HP","6","130.169","136.194","136.833","6.664","0.639","3","27",""
"10","R_tR0m35B25SAGgZb","standard","1","10","HP","10","137.837","147.843","148.57","10.733","0.727","3","30",""
"11","R_tR0m35B25SAGgZb","standard","1","11","HP","6","149.582","155.602","156.279","6.697","0.677","3","33",""
"12","R_tR0m35B25SAGgZb","standard","1","12","HP","14","157.284","171.291","171.849","14.565","0.558","3","36",""
"13","R_tR0m35B25SAGgZb","standard","1","13","HP","6","172.851","178.86","179.626","6.775","0.766","3","39",""
"14","R_tR0m35B25SAGgZb","standard","1","14","HP","8","180.628","188.634","189.316","8.688","0.682","3","42",""
"15","R_tR0m35B25SAGgZb","standard","1","15","HP","14","190.318","204.32","205.088","14.77","0.768","3","45",""
"16","R_tR0m35B25SAGgZb","standard","1","16","HP","16","206.092","222.1","222.82","16.728","0.72","3","48",""
"17","R_tR0m35B25SAGgZb","standard","1","17","HP","4","223.828","227.834","228.566","4.738","0.732","3","51",""
"18","R_tR0m35B25SAGgZb","standard","1","18","HP","18","229.582","247.587","248.265","18.683","0.678","3","54",""
"19","R_tR0m35B25SAGgZb","standard","1","19","HP","16","249.282","265.283","265.981","16.699","0.698","3","57",""
"20","R_tR0m35B25SAGgZb","standard","1","20","HP","6","266.988","272.995","273.657","6.669","0.662","3","60",""
"21","R_tR0m35B25SAGgZb","standard","1","21","HP","2","274.659","276.68","277.536","2.877","0.856","3","63",""
"22","R_tR0m35B25SAGgZb","standard","1","22","HP","14","278.539","292.547","293.189","14.65","0.642","3","66",""
"23","R_tR0m35B25SAGgZb","standard","1","23","HP","18","294.207","312.215","312.932","18.725","0.717","3","69",""
"24","R_tR0m35B25SAGgZb","standard","1","24","HP","16","313.943","329.948","330.646","16.703","0.698","3","72",""
"25","R_tR0m35B25SAGgZb","standard","1","25","HP","4","331.668","335.679","336.514","4.846","0.835","3","75",""
"26","R_tR0m35B25SAGgZb","standard","1","26","HP","6","337.522","343.524","344.22","6.698","0.696","3","78",""
"27","R_tR0m35B25SAGgZb","standard","1","27","HP","8","345.228","353.23","353.944","8.716","0.714","3","81",""
"28","R_tR0m35B25SAGgZb","standard","1","28","HP","14","354.947","368.957","369.623","14.676","0.666","3","84",""
"29","R_tR0m35B25SAGgZb","standard","1","29","HP","14","370.629","384.636","385.329","14.7","0.693","3","87",""
"30","R_tR0m35B25SAGgZb","standard","1","30","HP","14","386.333","400.34","401.044","14.711","0.704","3","90",""
"31","R_tR0m35B25SAGgZb","standard","1","31","HP","16","402.06","418.069","418.683","16.623","0.614","3","93",""
"32","R_tR0m35B25SAGgZb","standard","1","32","HP","12","419.688","431.707","432.376","12.688","0.669","3","96",""
"33","R_tR0m35B25SAGgZb","standard","1","33","HP","20","433.392","453.406","454.04","20.648","0.634","3","99",""
"34","R_tR0m35B25SAGgZb","standard","1","34","HP","14","455.045","469.054","469.732","14.687","0.678","3","102",""
"35","R_tR0m35B25SAGgZb","standard","1","35","HP","2","470.74","472.748","473.69","2.95","0.942","3","105",""
"36","R_tR0m35B25SAGgZb","standard","1","36","HP","6","474.726","480.729","481.413","6.687","0.684","3","108",""
"37","R_tR0m35B25SAGgZb","standard","1","37","HP","18","482.433","500.437","501.032","18.599","0.595","3","111",""
"38","R_tR0m35B25SAGgZb","standard","1","38","HP","4","502.037","506.045","506.735","4.698","0.69","3","114",""
"39","R_tR0m35B25SAGgZb","standard","1","39","HP","6","507.741","513.756","514.472","6.731","0.716","3","117",""
"40","R_tR0m35B25SAGgZb","standard","1","40","HP","12","515.489","527.492","528.17","12.681","0.678","3","120",""
"41","R_tR0m35B25SAGgZb","standard","1","41","HP","16","529.173","545.18","545.792","16.619","0.612","3","123",""
"42","R_tR0m35B25SAGgZb","standard","1","42","HP","18","546.797","564.804","565.414","18.617","0.61","3","126",""
"43","R_tR0m35B25SAGgZb","standard","1","43","HP","4","566.418","570.431","571.135","4.717","0.704","3","129",""
"44","R_tR0m35B25SAGgZb","standard","1","44","HP","10","572.139","582.14","582.872","10.733","0.732","3","132",""
"45","R_tR0m35B25SAGgZb","standard","1","45","HP","10","583.886","593.903","594.532","10.646","0.629","3","135",""
"46","R_tR0m35B25SAGgZb","standard","1","46","HP","4","595.534","599.54","600.27","4.736","0.73","3","138",""
"47","R_tR0m35B25SAGgZb","standard","1","47","HP","6","601.292","607.3","608.054","6.762","0.754","3","141",""
"48","R_tR0m35B25SAGgZb","standard","1","48","HP","6","609.061","615.069","615.919","6.858","0.85","3","144",""
"49","R_tR0m35B25SAGgZb","standard","1","49","HP","18","616.925","634.932","635.701","18.776","0.769","3","147",""
"50","R_tR0m35B25SAGgZb","standard","1","50","HP","8","636.709","644.729","645.546","8.837","0.817","3","150",""
"51","R_tR0m35B25SAGgZb","standard","1","51","HP","2","646.549","648.557","649.397","2.848","0.84","3","153",""
"52","R_tR0m35B25SAGgZb","standard","1","52","HP","6","650.42","656.422","657.187","6.767","0.765","3","156",""
"53","R_tR0m35B25SAGgZb","standard","1","53","HP","2","658.189","660.196","660.947","2.758","0.751","3","159",""
"54","R_tR0m35B25SAGgZb","standard","1","54","HP","8","661.948","669.967","670.6","8.652","0.633","3","162",""
"55","R_tR0m35B25SAGgZb","standard","1","55","HP","2","671.616","673.617","674.491","2.875","0.874","3","165",""
"56","R_tR0m35B25SAGgZb","standard","1","56","HP","8","675.493","683.514","684.283","8.79","0.769","3","168",""
"57","R_tR0m35B25SAGgZb","standard","1","57","HP","16","685.295","701.301","702.079","16.784","0.778","3","171",""
"58","R_tR0m35B25SAGgZb","standard","1","58","HP","4","703.115","707.122","707.881","4.766","0.759","3","174",""
"59","R_tR0m35B25SAGgZb","standard","1","59","HP","2","708.898","710.915","711.693","2.795","0.778","3","177",""
"60","R_tR0m35B25SAGgZb","standard","1","60","HP","18","712.699","730.702","731.322","18.623","0.62","3","180",""
"61","R_tR0m35B25SAGgZb","standard","1","61","HP","6","732.326","738.334","739.068","6.742","0.734","3","183",""
"62","R_tR0m35B25SAGgZb","standard","1","62","HP","10","740.082","750.095","750.827","10.745","0.732","3","186",""
"63","R_tR0m35B25SAGgZb","standard","1","63","HP","16","751.831","767.838","768.497","16.666","0.659","3","189",""
"64","R_tR0m35B25SAGgZb","standard","1","64","HP","4","769.502","773.512","774.282","4.78","0.77","3","192",""
"65","R_tR0m35B25SAGgZb","standard","1","65","HP","18","775.286","793.289","794.282","18.996","0.993","3","192","17948"
"66","R_tR0m35B25SAGgZb","standard","1","66","HP","6","795.288","801.304","802.059","6.771","0.755","3","195",""
"67","R_tR0m35B25SAGgZb","standard","1","67","HP","20","803.062","823.078","823.719","20.657","0.641","3","198",""
"68","R_tR0m35B25SAGgZb","standard","1","68","HP","6","824.731","830.735","831.507","6.776","0.772","3","201",""
"69","R_tR0m35B25SAGgZb","standard","1","69","HP","18","832.518","850.527","851.171","18.653","0.644","3","204",""
"70","R_tR0m35B25SAGgZb","standard","1","70","HP","6","852.175","858.183","858.835","6.66","0.652","3","207",""
"71","R_tR0m35B25SAGgZb","standard","1","71","HP","20","859.838","879.847","880.577","20.739","0.73","3","210",""
"72","R_tR0m35B25SAGgZb","standard","2","1","LP","19.8235243429556","0.001","NaN","1.196","1.195","NaN","0","210",NA
"73","R_tR0m35B25SAGgZb","standard","2","2","LP","1.25738905644119","2.213","NaN","3.237","1.024","NaN","0","210",NA
"74","R_tR0m35B25SAGgZb","standard","2","3","LP","2.15079707022835","4.242","NaN","4.815","0.573","NaN","0","210",NA
"75","R_tR0m35B25SAGgZb","standard","2","4","LP","2.15079707022835","5.817","NaN","6.335","0.518","NaN","0","210",NA
"76","R_tR0m35B25SAGgZb","standard","2","5","LP","8.51632916846187","7.361","NaN","7.903","0.542","NaN","0","210",NA
"77","R_tR0m35B25SAGgZb","standard","2","6","LP","8.51632916846187","8.911","NaN","9.476","0.565","NaN","0","210",NA
"78","R_tR0m35B25SAGgZb","standard","2","7","LP","3.49090909090909","10.487","NaN","11.189","0.702","NaN","0","210",NA
"79","R_tR0m35B25SAGgZb","standard","2","8","LP","8.51632916846187","12.207","NaN","12.847","0.64","NaN","0","210",NA
"80","R_tR0m35B25SAGgZb","standard","2","9","LP","8.51632916846187","13.849","NaN","14.631","0.782","NaN","0","210",NA
"81","R_tR0m35B25SAGgZb","standard","2","10","LP","13.0392072382594","15.638","NaN","20.174","4.536","NaN","0","210",NA
"82","R_tR0m35B25SAGgZb","standard","2","11","LP","0.264713485566566","21.188","21.477",NA,"1.295",NA,"0","210",NA
"83","R_tR0m35B25SAGgZb","standard","2","12","LP","19.8235243429556","23.489","NaN","25.13","1.641","NaN","0","210",NA
"84","R_tR0m35B25SAGgZb","standard","2","13","LP","13.0392072382594","26.137","NaN","32.414","6.277","NaN","0","210",NA
"85","R_tR0m35B25SAGgZb","standard","2","14","LP","1.25738905644119","33.417","34.693",NA,"2.281",NA,"0","210",NA
"86","R_tR0m35B25SAGgZb","standard","2","15","LP","5.5010771219302","36.706","42.21","42.788","6.082","0.578","3","213",NA
"87","R_tR0m35B25SAGgZb","standard","2","16","LP","2.15079707022835","43.803","45.961",NA,"3.167",NA,"0","213",NA
"88","R_tR0m35B25SAGgZb","standard","2","17","LP","8.51632916846187","48.005","NaN","51.375","3.37","NaN","0","213",NA
