"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_tSAJ8k5MtmgXFlv","standard","1","1","LP","0.661783713916415","0.001","0.667","1.194","1.193","0.527","3","3",""
"2","R_tSAJ8k5MtmgXFlv","standard","1","2","LP","1.25738905644119","2.207","3.466","3.857","1.65","0.391","3","6",""
"3","R_tSAJ8k5MtmgXFlv","standard","1","3","LP","30","4.859","34.866","35.227","30.368","0.361","3","9",""
"4","R_tSAJ8k5MtmgXFlv","standard","1","4","LP","2.15079707022835","36.233","38.385","38.827","2.594","0.442","3","12",""
"5","R_tSAJ8k5MtmgXFlv","standard","1","5","LP","2.15079707022835","39.834","41.986","42.536","2.702","0.55","3","15",""
"6","R_tSAJ8k5MtmgXFlv","standard","1","6","LP","3.49090909090909","43.545","47.042","47.472","3.927","0.43","3","18",""
"7","R_tSAJ8k5MtmgXFlv","standard","1","7","LP","19.8235243429556","48.481","68.306","68.776","20.295","0.47","3","21",""
"8","R_tSAJ8k5MtmgXFlv","standard","1","8","LP","2.15079707022835","69.785","71.945","72.337","2.552","0.392","3","24",""
"9","R_tSAJ8k5MtmgXFlv","standard","1","9","LP","19.8235243429556","73.345","93.178","93.558","20.213","0.38","3","27",""
"10","R_tSAJ8k5MtmgXFlv","standard","1","10","LP","0.661783713916415","94.56","95.225","95.67","1.11","0.445","3","30",""
"11","R_tSAJ8k5MtmgXFlv","standard","1","11","LP","13.0392072382594","96.671","109.712","110.263","13.592","0.551","3","33",""
"12","R_tSAJ8k5MtmgXFlv","standard","1","12","LP","8.51632916846187","111.272","119.791","120.183","8.911","0.392","3","36",""
"13","R_tSAJ8k5MtmgXFlv","standard","1","13","LP","30","121.191","151.203","151.51","30.319","0.307","3","39",""
"14","R_tSAJ8k5MtmgXFlv","standard","1","14","LP","1.25738905644119","152.515","153.775","154.11","1.595","0.335","3","42",""
"15","R_tSAJ8k5MtmgXFlv","standard","1","15","LP","13.0392072382594","155.116","168.161","168.729","13.613","0.568","3","45",""
"16","R_tSAJ8k5MtmgXFlv","standard","1","16","LP","1.25738905644119","169.734","170.998","171.468","1.734","0.47","3","48",""
"17","R_tSAJ8k5MtmgXFlv","standard","1","17","LP","30","172.471","202.478","202.787","30.316","0.309","3","51",""
"18","R_tSAJ8k5MtmgXFlv","standard","1","18","LP","5.5010771219302","203.793","209.302","209.717","5.924","0.415","3","54",""
"19","R_tSAJ8k5MtmgXFlv","standard","1","19","LP","1.25738905644119","210.726","211.99","212.414","1.688","0.424","3","57",""
"20","R_tSAJ8k5MtmgXFlv","standard","1","20","LP","30","213.42","243.427","243.755","30.335","0.328","3","60",""
"21","R_tSAJ8k5MtmgXFlv","standard","1","21","LP","30","244.767","274.772","275.011","30.244","0.239","3","63",""
"22","R_tSAJ8k5MtmgXFlv","standard","1","22","LP","3.49090909090909","276.015","279.508","279.953","3.938","0.445","3","66",""
"23","R_tSAJ8k5MtmgXFlv","standard","1","23","LP","30","280.956","310.964","311.273","30.317","0.309","3","63","c(""7975"", ""12021"")"
"24","R_tSAJ8k5MtmgXFlv","standard","1","24","LP","19.8235243429556","312.282","332.106","332.68","20.398","0.574","3","66",""
"25","R_tSAJ8k5MtmgXFlv","standard","1","25","LP","1.25738905644119","333.693","334.953","335.399","1.706","0.446","3","69",""
"26","R_tSAJ8k5MtmgXFlv","standard","1","26","LP","1.25738905644119","336.402","337.667","338.152","1.75","0.485","3","72",""
"27","R_tSAJ8k5MtmgXFlv","standard","1","27","LP","8.51632916846187","339.166","347.688","348.184","9.018","0.496","3","75",""
"28","R_tSAJ8k5MtmgXFlv","standard","1","28","LP","8.51632916846187","349.195","357.714","358.088","8.893","0.374","3","78",""
