"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_x8Wn3TWbmk2dw7n","standard","1","1","LP","0.661783713916415","0.001","0.675","1.326","1.325","0.651","3","3",""
"2","R_x8Wn3TWbmk2dw7n","standard","1","2","LP","30","2.342","32.347","32.68","30.338","0.333","3","6",""
"3","R_x8Wn3TWbmk2dw7n","standard","1","3","LP","30","33.697","63.715","64.03","30.333","0.315","3","9",""
"4","R_x8Wn3TWbmk2dw7n","standard","1","4","LP","5.5010771219302","65.042","70.551","70.949","5.907","0.398","3","12",""
"5","R_x8Wn3TWbmk2dw7n","standard","1","5","LP","19.8235243429556","71.952","91.783","92.111","20.159","0.328","3","15",""
"6","R_x8Wn3TWbmk2dw7n","standard","1","6","LP","8.51632916846187","93.121","101.645","102.015","8.894","0.37","3","18",""
"7","R_x8Wn3TWbmk2dw7n","standard","1","7","LP","5.5010771219302","103.03","108.534","108.887","5.857","0.353","3","21",""
"8","R_x8Wn3TWbmk2dw7n","standard","1","8","LP","2.15079707022835","109.899","112.068","112.425","2.526","0.357","3","24",""
"9","R_x8Wn3TWbmk2dw7n","standard","1","9","LP","19.8235243429556","113.436","133.262","133.577","20.141","0.315","3","27",""
"10","R_x8Wn3TWbmk2dw7n","standard","1","10","LP","8.51632916846187","134.588","143.123","143.496","8.908","0.373","3","30",""
"11","R_x8Wn3TWbmk2dw7n","standard","1","11","LP","1.25738905644119","144.505","145.765","146.207","1.702","0.442","3","33",""
"12","R_x8Wn3TWbmk2dw7n","standard","1","12","LP","5.5010771219302","147.208","152.711","153.085","5.877","0.374","3","36",""
"13","R_x8Wn3TWbmk2dw7n","standard","1","13","LP","0.264713485566566","154.097","154.379","NA","1.285","NA","0","36",""
"14","R_x8Wn3TWbmk2dw7n","standard","1","14","LP","5.5010771219302","156.383","161.887","162.248","5.865","0.361","3","39",""
"15","R_x8Wn3TWbmk2dw7n","standard","1","15","LP","2.15079707022835","163.269","165.42","165.767","2.498","0.347","3","42",""
"16","R_x8Wn3TWbmk2dw7n","standard","1","16","LP","5.5010771219302","166.788","172.308","172.65","5.862","0.342","3","45",""
"17","R_x8Wn3TWbmk2dw7n","standard","1","17","LP","1.25738905644119","173.661","174.939","175.227","1.566","0.288","3","48",""
"18","R_x8Wn3TWbmk2dw7n","standard","1","18","LP","3.49090909090909","176.249","179.754","180.047","3.798","0.293","3","51",""
"19","R_x8Wn3TWbmk2dw7n","standard","1","19","LP","1.25738905644119","181.062","182.334","182.769","1.707","0.435","3","54",""
"20","R_x8Wn3TWbmk2dw7n","standard","1","20","LP","3.49090909090909","183.785","187.278","187.606","3.821","0.328","3","57",""
"21","R_x8Wn3TWbmk2dw7n","standard","1","21","LP","8.51632916846187","188.619","197.143","197.509","8.89","0.366","3","60",""
"22","R_x8Wn3TWbmk2dw7n","standard","1","22","LP","0.264713485566566","198.511","198.794","199.485","0.974","0.691","3","63",""
"23","R_x8Wn3TWbmk2dw7n","standard","1","23","LP","13.0392072382594","200.495","213.554","213.869","13.374","0.315","3","66",""
"24","R_x8Wn3TWbmk2dw7n","standard","1","24","LP","19.8235243429556","214.889","234.718","235.07","20.181","0.352","3","66","348"
