"","subject_id","condition","n_block","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time_fin","n_sell_time_fin","n_time_waited_fin","RT_fin","n_trial_earnings_fin","n_total_earnings_fin","keypress_times"
"1","R_xauXWEKQIXtT9Yt","standard","1","1","HP","20","0.005","20.014","20.729","20.724","0.715","3","3",""
"2","R_xauXWEKQIXtT9Yt","standard","1","2","HP","6","21.74","27.748","28.416","6.676","0.668","3","6",""
"3","R_xauXWEKQIXtT9Yt","standard","1","3","HP","16","29.418","45.426","46.05","16.632","0.624","3","9",""
"4","R_xauXWEKQIXtT9Yt","standard","1","4","HP","10","47.058","57.066","57.725","10.667","0.659","3","12",""
"5","R_xauXWEKQIXtT9Yt","standard","1","5","HP","8","58.73","66.738","67.372","8.642","0.634","3","15",""
"6","R_xauXWEKQIXtT9Yt","standard","1","6","HP","4","68.377","72.386","73.106","4.729","0.72","3","18",""
"7","R_xauXWEKQIXtT9Yt","standard","1","7","HP","10","74.11","84.113","84.825","10.715","0.712","3","21",""
"8","R_xauXWEKQIXtT9Yt","standard","1","8","HP","4","85.826","89.834","90.453","4.627","0.619","3","24",""
"9","R_xauXWEKQIXtT9Yt","standard","1","9","HP","14","91.458","105.466","106.196","14.738","0.73","3","27",""
"10","R_xauXWEKQIXtT9Yt","standard","1","10","HP","12","107.202","119.209","119.847","12.645","0.638","3","30",""
"11","R_xauXWEKQIXtT9Yt","standard","1","11","HP","2","120.849","122.857","123.594","2.745","0.737","3","33",""
"12","R_xauXWEKQIXtT9Yt","standard","1","12","HP","20","124.603","144.61","145.209","20.606","0.599","3","36",""
"13","R_xauXWEKQIXtT9Yt","standard","1","13","HP","14","146.213","160.216","160.866","14.653","0.65","3","39",""
"14","R_xauXWEKQIXtT9Yt","standard","1","14","HP","20","161.874","181.889","182.524","20.65","0.635","3","42",""
"15","R_xauXWEKQIXtT9Yt","standard","1","15","HP","14","183.529","197.531","198.152","14.623","0.621","3","45",""
"16","R_xauXWEKQIXtT9Yt","standard","1","16","HP","14","199.161","213.169","213.791","14.63","0.622","3","48",""
"17","R_xauXWEKQIXtT9Yt","standard","1","17","HP","2","214.793","216.802","217.484","2.691","0.682","3","51",""
"18","R_xauXWEKQIXtT9Yt","standard","1","18","HP","10","218.491","228.498","229.137","10.646","0.639","3","54",""
"19","R_xauXWEKQIXtT9Yt","standard","1","19","HP","2","230.147","232.154","232.855","2.708","0.701","3","57",""
"20","R_xauXWEKQIXtT9Yt","standard","1","20","HP","8","233.857","241.865","242.491","8.634","0.626","3","60",""
"21","R_xauXWEKQIXtT9Yt","standard","1","21","HP","14","243.497","257.505","258.145","14.648","0.64","3","63",""
"22","R_xauXWEKQIXtT9Yt","standard","1","22","HP","18","259.154","277.161","277.839","18.685","0.678","3","66",""
"23","R_xauXWEKQIXtT9Yt","standard","1","23","HP","16","278.841","294.85","295.476","16.635","0.626","3","69",""
"24","R_xauXWEKQIXtT9Yt","standard","1","24","HP","2","296.481","298.49","299.133","2.652","0.643","3","72",""
"25","R_xauXWEKQIXtT9Yt","standard","1","25","HP","4","300.137","304.145","304.985","4.848","0.84","3","75",""
"26","R_xauXWEKQIXtT9Yt","standard","1","26","HP","6","305.994","312.002","312.68","6.686","0.678","3","78",""
"27","R_xauXWEKQIXtT9Yt","standard","1","27","HP","8","313.681","321.689","322.532","8.851","0.843","3","81",""
"28","R_xauXWEKQIXtT9Yt","standard","1","28","HP","10","323.538","333.545","334.187","10.649","0.642","3","84",""
"29","R_xauXWEKQIXtT9Yt","standard","1","29","HP","8","335.193","343.202","343.983","8.79","0.781","3","87",""
"30","R_xauXWEKQIXtT9Yt","standard","1","30","HP","6","344.988","350.993","351.708","6.72","0.715","3","90",""
"31","R_xauXWEKQIXtT9Yt","standard","1","31","HP","2","352.711","354.713","355.492","2.781","0.779","3","93",""
"32","R_xauXWEKQIXtT9Yt","standard","1","32","HP","10","356.499","366.505","367.116","10.617","0.611","3","96",""
"33","R_xauXWEKQIXtT9Yt","standard","1","33","HP","4","368.121","372.125","373.022","4.901","0.897","3","99",""
"34","R_xauXWEKQIXtT9Yt","standard","1","34","HP","16","374.023","390.025","390.647","16.624","0.622","3","102",""
"35","R_xauXWEKQIXtT9Yt","standard","1","35","HP","14","391.649","405.658","406.257","14.608","0.599","3","105",""
"36","R_xauXWEKQIXtT9Yt","standard","1","36","HP","14","407.266","421.274","421.876","14.61","0.602","3","108",""
"37","R_xauXWEKQIXtT9Yt","standard","1","37","HP","18","422.881","440.89","441.661","18.78","0.771","3","111",""
"38","R_xauXWEKQIXtT9Yt","standard","1","38","HP","12","442.665","454.673","455.311","12.646","0.638","3","114",""
"39","R_xauXWEKQIXtT9Yt","standard","1","39","HP","4","456.313","460.32","461.153","4.84","0.833","3","117",""
"40","R_xauXWEKQIXtT9Yt","standard","1","40","HP","8","462.162","470.169","470.73","8.568","0.561","3","120",""
"41","R_xauXWEKQIXtT9Yt","standard","1","41","HP","6","471.738","477.747","478.454","6.716","0.707","3","123",""
"42","R_xauXWEKQIXtT9Yt","standard","1","42","HP","12","479.459","491.467","492.097","12.638","0.63","3","126",""
"43","R_xauXWEKQIXtT9Yt","standard","1","43","HP","20","493.099","513.107","513.866","20.767","0.759","3","129",""
"44","R_xauXWEKQIXtT9Yt","standard","1","44","HP","8","514.875","522.897","523.517","8.642","0.62","3","132",""
"45","R_xauXWEKQIXtT9Yt","standard","1","45","HP","6","524.519","530.522","531.331","6.812","0.809","3","135",""
"46","R_xauXWEKQIXtT9Yt","standard","1","46","HP","18","532.339","550.346","550.976","18.637","0.63","3","138",""
"47","R_xauXWEKQIXtT9Yt","standard","1","47","HP","12","551.979","563.987","564.963","12.984","0.976","3","141",""
"48","R_xauXWEKQIXtT9Yt","standard","1","48","HP","6","565.972","571.978","572.677","6.705","0.699","3","144",""
"49","R_xauXWEKQIXtT9Yt","standard","1","49","HP","2","573.683","575.69","576.448","2.765","0.758","3","147",""
"50","R_xauXWEKQIXtT9Yt","standard","1","50","HP","10","577.451","587.459","588.06","10.609","0.601","3","150",""
"51","R_xauXWEKQIXtT9Yt","standard","1","51","HP","14","589.066","603.075","603.678","14.612","0.603","3","153",""
"52","R_xauXWEKQIXtT9Yt","standard","1","52","HP","12","604.683","616.691","617.365","12.682","0.674","3","156",""
