"IDs","bk2","AUC"
"R_0824RUM8DfAU3NT",0,19.4864375
"R_0OqURDLSAvz32Cd",0,18.012546875
"R_0PqA8JDL9t3tLXj",0,10.138145784909
"R_10B3eMVRlVGbytJ",0,6.21685006551477
"R_10qFhOnjSKIzebU",0,6.85096353626433
"R_10r9D1TNwH0gvO3",0,13.1523674931129
"R_11crjVO6by5PBQK",0,2.70033286652166
"R_11jx8Pysned9dYc",0,9.00843731471809
"R_12KibgPrDOo9ll5",0,3.97923330319464
"R_12ne3mqWsYmwERn",0,14.743813591207
"R_1DHCtGzazro9v2Q",0,3.24761306151522
"R_1dhlyHMvZcxNoJ4",0,1.23665499843238
"R_1diem2X0dC1zhkj",0,8.46016501924471
"R_1DUqYkDOMF5miKd",0,7.75233671506328
"R_1DYfP0ZeIWvN95x",0,14.1948585227273
"R_1eJNKEv9pJsHWMv",0,5.86600588787919
"R_1Fs4apzQv4Tg4sP",0,19.7137826086957
"R_1g0itbPKCZnAAfr",0,9.10759510497947
"R_1goHLjs8jGJVu8q",0,4.82541029775775
"R_1hLxblsfRK6AFLP",0,9.02851343248192
"R_1HntTJpize38w8h",0,5.63269654530883
"R_1Hohtd4BRZ5P90X",0,6.13990948548392
"R_1ifk6NeVMFHGM61",0,19.2023125
"R_1IzLXvW5XQHqnLb",0,6.77665040337616
"R_1jE6LH7VNLtoeyC",0,5.85451578705714
"R_1juXZ7Duf2Pc7fS",0,3.5866712808285
"R_1jVDeeCRSDv5Yjs",0,4.51282370017426
"R_1kTwN1VM5cPWSGM",0,7.14931378048101
"R_1MKYh3TaGrUwPaO",0,12.740397037037
"R_1MYZ0O1LpDB2K0K",0,7.03481487161866
"R_1n75Jm5PaDrCc74",0,20
"R_1nMWsb12I7KlQSV",0,17.8570540540541
"R_1Ns5N3EA05UVAhY",0,16.5719567928368
"R_1nTLL6t2FEgJfL7",0,20
"R_1P6I86geBEG9KZ4",0,19.4879333333333
