"","X","id","dfname","cbal","sessionDurationInMin","randSeed","sessionTime","distribs","explicit.gut","explicit.dist","file.name"
"1",1,"AX979","data/wtw_discrete_AX979_1",3,15,211258.0228,2014,"list(list(""scale_1_20""))",12.143125,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 30, 1, 0.88, 0.81, 0.63, 0.42, 0.26, 0.2, 0.18, 0.15, 0.08, 0, 0)","wtw_discrete_AX979_1.mat"
"2",2,"BD1212","data/wtw_discrete_BD1212_1",4,15,211730.9698,2014,"list(list(""scale_1.5_30""))",5.97,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 1, 0.8, 0.66, 0.51, 0.44, 0.37, 0.3, 0.25, 0.21, 0.19, 0.16, 0.12, 0.08, 0.06, 0.05, 0)","wtw_discrete_BD1212_1.mat"
"3",3,"BD484","data/wtw_discrete_BD484_1",2,15,213528.0784,2014,"list(list(""scale_1.5_30""))",10.0234375,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 1, 0.83, 0.8, 0.71, 0.58, 0.31, 0.29, 0.25, 0.16, 0.14, 0.12, 0.1, 0.08, 0.06, 0.05, 0)","wtw_discrete_BD484_1.mat"
"4",4,"BK981","data/wtw_discrete_BK981_1",1,15,214581.3253,2014,"list(list(""scale_1_20""))",14.676875,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 30, 1, 0.97, 0.93, 0.78, 0.59, 0.49, 0.36, 0.24, 0.14, 0.1, 0.06, 0.05, 0)","wtw_discrete_BK981_1.mat"
"5",5,"BN1135","data/wtw_discrete_BN1135_1",3,15,207008.2307,2014,"list(list(""scale_1_20""))",16.6896875,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 1, 0.93, 0.76, 0.5, 0.46, 0.36, 0.29, 0.25, 0.19, 0.12, 0.11, 0.1, 0.08, 0.06, 0.05, 0)","wtw_discrete_BN1135_1.mat"
"6",6,"BT1060","data/wtw_discrete_BT1060_1",2,15,212998.0679,2014,"list(list(""scale_1.5_30""))",19.863125,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 0.92, 0.69, 0.64, 0.56, 0.48, 0.4, 0.33, 0.3, 0.28, 0.27, 0.25, 0.12, 0.08, 0.05, 0.01, 0)","wtw_discrete_BT1060_1.mat"
"7",7,"CI1002","data/wtw_discrete_CI1002_1",4,15,207597.4924,2014,"list(list(""scale_1.5_30""))",13.8296875,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 1, 0.85, 0.75, 0.66, 0.61, 0.6, 0.51, 0.41, 0.35, 0.34, 0.26, 0.24, 0.17, 0.1, 0.06, 0)","wtw_discrete_CI1002_1.mat"
"8",8,"CO543","data/wtw_discrete_CO543_1",3,15,211576.9662,2014,"list(list(""scale_1_20""))",5.961875,"c(0, 2, 4, 6, 8, 10, 30, 1, 0.81, 0.6, 0.41, 0.2, 0, 0)","wtw_discrete_CO543_1.mat"
"9",9,"CS1121","data/wtw_discrete_CS1121_1",2,15,210735.8099,2014,"list(list(""scale_1.5_30""))",7.493125,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 30, 1, 0.75, 0.64, 0.54, 0.49, 0.42, 0.35, 0.25, 0.18, 0.08, 0.01, 0.01, 0)","wtw_discrete_CS1121_1.mat"
"10",10,"DQ981","data/wtw_discrete_DQ981_1",3,15,206538.4741,2014,"list(list(""scale_1_20""))",5.2359375,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 0.99, 0.83, 0.61, 0.52, 0.52, 0.52, 0.43, 0.37, 0.29, 0.18, 0.14, 0.08, 0.07, 0.04, 0.03, 0)","wtw_discrete_DQ981_1.mat"
"11",11,"DQ993","data/wtw_discrete_DQ993_1",4,15,215206.2216,2014,"list(list(""scale_1.5_30""))",18.4584375,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 0.75, 0.54, 0.44, 0.37, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33, 0.21, 0.15, 0.15, 0.09, 0)","wtw_discrete_DQ993_1.mat"
"12",12,"DX1093","data/wtw_discrete_DX1093_1",3,15,211437.2307,2014,"list(list(""scale_1_20""))",9.655,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 30, 1, 0.78, 0.62, 0.4, 0.22, 0.1, 0.06, 0.04, 0.02, 0.01, 0, 0)","wtw_discrete_DX1093_1.mat"
"13",13,"EI3507","data/wtw_discrete_EI3507_1",2,15,214814.9847,2014,"list(list(""scale_1.5_30""))",10.223125,"c(0, 2, 4, 18, 20, 22, 24, 30, 0.9, 0.67, 0.67, 0.67, 0.53, 0.33, 0.22, 0)","wtw_discrete_EI3507_1.mat"
"14",14,"ET496","data/wtw_discrete_ET496_1",1,15,211156.3168,2014,"list(list(""scale_1_20""))",29.541875,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 30, 1, 0.95, 0.91, 0.85, 0.78, 0.65, 0.54, 0.35, 0.15, 0.05, 0.03, 0.01, 0, 0)","wtw_discrete_ET496_1.mat"
"15",15,"FK1127","data/wtw_discrete_FK1127_1",1,15,210463.4414,2014,"list(list(""scale_1_20""))",10.525625,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 1, 0.94, 0.75, 0.67, 0.59, 0.48, 0.4, 0.31, 0.23, 0.19, 0.15, 0.1, 0.06, 0.04, 0.02, 0)","wtw_discrete_FK1127_1.mat"
"16",16,"FL1136","data/wtw_discrete_FL1136_1",1,15,206534.2609,2014,"list(list(""scale_1_20""))",10.273125,"c(0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 1, 0.9, 0.8, 0.66, 0.6, 0.51, 0.4, 0.35, 0.32, 0.26, 0.21, 0.18, 0.14, 0.09, 0.04, 0)","wtw_discrete_FL1136_1.mat"
