"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_126ntPBwrWLSnOV","standard","1","LP","8.51632916846187","0","8.518","8.906","8.906","0.388","3","3"
"2","R_126ntPBwrWLSnOV","standard","2","LP","19.8235243429556","9.909","29.736","30.167","20.258","0.431","3","6"
"3","R_126ntPBwrWLSnOV","standard","3","LP","13.0392072382594","31.176","44.216","44.697","13.521","0.481","3","9"
"4","R_126ntPBwrWLSnOV","standard","4","LP","0.661783713916415","45.704","46.368","47.375","1.671","1.007","3","12"
"5","R_126ntPBwrWLSnOV","standard","5","LP","19.8235243429556","48.397","NaN","58.441","10.044","NaN","0","12"
"6","R_126ntPBwrWLSnOV","standard","6","LP","5.5010771219302","59.448","64.952","65.439","5.991","0.487","3","15"
"7","R_126ntPBwrWLSnOV","standard","7","LP","1.25738905644119","66.441","67.704","68.359","1.918","0.655","3","18"
"8","R_126ntPBwrWLSnOV","standard","8","LP","30","69.36","NaN","80.088","10.728","NaN","0","18"
"9","R_126ntPBwrWLSnOV","standard","9","LP","0.661783713916415","81.097","81.77","82.431","1.334","0.661","3","21"
"10","R_126ntPBwrWLSnOV","standard","10","LP","0.264713485566566","83.432","83.704","84.167","0.735","0.463","3","24"
"11","R_126ntPBwrWLSnOV","standard","11","LP","1.25738905644119","85.168","86.432","86.958","1.79","0.526","3","27"
"12","R_126ntPBwrWLSnOV","standard","12","LP","13.0392072382594","87.96","NaN","97.8","9.84","NaN","0","27"
"13","R_126ntPBwrWLSnOV","standard","13","LP","2.15079707022835","98.808","100.96","101.43","2.622","0.47","3","30"
"14","R_126ntPBwrWLSnOV","standard","14","LP","8.51632916846187","102.432","110.953","111.456","9.024","0.503","3","33"
"15","R_126ntPBwrWLSnOV","standard","15","LP","2.15079707022835","112.464","114.619","115.11","2.646","0.491","3","36"
"16","R_126ntPBwrWLSnOV","standard","16","LP","30","116.113","NaN","126.56","10.447","NaN","0","36"
"17","R_126ntPBwrWLSnOV","standard","17","LP","0.661783713916415","127.568","128.232","128.958","1.39","0.726","3","39"
"18","R_126ntPBwrWLSnOV","standard","18","LP","2.15079707022835","129.96","132.111","132.551","2.591","0.44","3","42"
"19","R_126ntPBwrWLSnOV","standard","19","LP","2.15079707022835","133.56","135.712","136.15","2.59","0.438","3","45"
"20","R_126ntPBwrWLSnOV","standard","20","LP","5.5010771219302","137.172","142.68","143.23","6.058","0.55","3","48"
"21","R_126ntPBwrWLSnOV","standard","21","LP","19.8235243429556","144.232","NaN","153.776","9.544","NaN","0","48"
"22","R_126ntPBwrWLSnOV","standard","22","LP","19.8235243429556","154.784","NaN","164.728","9.944","NaN","0","48"
"23","R_126ntPBwrWLSnOV","standard","23","LP","2.15079707022835","165.736","167.888","168.542","2.806","0.654","3","51"
"24","R_126ntPBwrWLSnOV","standard","24","LP","3.49090909090909","169.544","173.04","173.59","4.046","0.55","3","54"
"25","R_126ntPBwrWLSnOV","standard","25","LP","30","174.596","NaN","184.8","10.204","NaN","0","54"
"26","R_126ntPBwrWLSnOV","standard","26","LP","3.49090909090909","185.815","189.307","189.862","4.047","0.555","3","57"
"27","R_126ntPBwrWLSnOV","standard","27","LP","0.264713485566566","190.879","191.144","191.598","0.719","0.454","3","60"
"28","R_126ntPBwrWLSnOV","standard","28","LP","8.51632916846187","192.6","201.12","201.616","9.016","0.496","3","63"
"29","R_126ntPBwrWLSnOV","standard","29","LP","5.5010771219302","202.617","208.12","208.606","5.989","0.486","3","66"
"30","R_126ntPBwrWLSnOV","standard","30","LP","2.15079707022835","209.609","211.769","212.647","3.038","0.878","3","69"
"31","R_126ntPBwrWLSnOV","standard","31","LP","3.49090909090909","213.656","217.152","217.638","3.982","0.486","3","72"
"32","R_126ntPBwrWLSnOV","standard","32","LP","30","218.64","NaN","227.727","9.087","NaN","0","72"
"33","R_126ntPBwrWLSnOV","standard","33","LP","30","228.736","NaN","238.455","9.719","NaN","0","72"
"34","R_126ntPBwrWLSnOV","standard","34","LP","13.0392072382594","239.477","NaN","247.246","7.769","NaN","0","72"
"35","R_126ntPBwrWLSnOV","standard","35","LP","5.5010771219302","248.249","253.752","254.199","5.95","0.447","3","75"
"36","R_126ntPBwrWLSnOV","standard","36","LP","5.5010771219302","255.201","260.705","261.157","5.956","0.452","3","78"
"37","R_126ntPBwrWLSnOV","standard","37","LP","13.0392072382594","262.16","NaN","269.071","6.911","NaN","0","78"
"38","R_126ntPBwrWLSnOV","standard","38","LP","0.661783713916415","270.08","270.744","271.229","1.149","0.485","3","81"
"39","R_126ntPBwrWLSnOV","standard","39","LP","1.25738905644119","272.232","273.496","273.957","1.725","0.461","3","84"
"40","R_126ntPBwrWLSnOV","standard","40","LP","30","274.961","NaN","281.494","6.533","NaN","0","84"
"41","R_126ntPBwrWLSnOV","standard","41","LP","1.25738905644119","282.496","283.76","284.237","1.741","0.477","3","87"
"42","R_126ntPBwrWLSnOV","standard","42","LP","13.0392072382594","285.239","NaN","291.052","5.813","NaN","0","87"
"43","R_126ntPBwrWLSnOV","standard","43","LP","3.49090909090909","292.056","295.553","296.014","3.958","0.461","3","90"
"44","R_126ntPBwrWLSnOV","standard","44","LP","5.5010771219302","297.016","302.52","302.924","5.908","0.404","3","93"
"45","R_126ntPBwrWLSnOV","standard","45","LP","2.15079707022835","303.928","306.083","306.614","2.686","0.531","3","96"
"46","R_126ntPBwrWLSnOV","standard","46","LP","30","307.616","NaN","316.364","8.748","NaN","0","96"
"47","R_126ntPBwrWLSnOV","standard","47","LP","5.5010771219302","317.368","322.877","323.542","6.174","0.665","3","99"
"48","R_126ntPBwrWLSnOV","standard","48","LP","1.25738905644119","324.544","325.808","326.236","1.692","0.428","3","102"
"49","R_126ntPBwrWLSnOV","standard","49","LP","3.49090909090909","327.24","330.736","331.893","4.653","1.157","3","105"
"50","R_126ntPBwrWLSnOV","standard","50","LP","3.49090909090909","332.904","336.415","336.892","3.988","0.477","3","108"
"51","R_126ntPBwrWLSnOV","standard","51","LP","19.8235243429556","337.896","NaN","345.22","7.324","NaN","0","108"
"52","R_126ntPBwrWLSnOV","standard","52","LP","19.8235243429556","346.225","NaN","352.174","5.949","NaN","0","108"
"53","R_126ntPBwrWLSnOV","standard","53","LP","1.25738905644119","353.19","354.47","354.884","1.694","0.414","3","111"
"54","R_126ntPBwrWLSnOV","standard","54","LP","19.8235243429556","355.888","NaN","362.845","6.957","NaN","0","111"
"55","R_126ntPBwrWLSnOV","standard","55","LP","5.5010771219302","363.852","369.36","369.828","5.976","0.468","3","114"
"56","R_126ntPBwrWLSnOV","standard","56","LP","30","370.832","NaN","377.061","6.229","NaN","0","114"
"57","R_126ntPBwrWLSnOV","standard","57","LP","0.264713485566566","378.068","378.336","378.748","0.68","0.412","3","117"
"58","R_126ntPBwrWLSnOV","standard","58","LP","3.49090909090909","379.752","383.247","383.66","3.908","0.413","3","120"
"59","R_126ntPBwrWLSnOV","standard","59","LP","3.49090909090909","384.672","388.167","388.526","3.854","0.359","3","123"
"60","R_126ntPBwrWLSnOV","standard","60","LP","1.25738905644119","389.527","390.792","391.172","1.645","0.38","3","126"
"61","R_126ntPBwrWLSnOV","standard","61","LP","2.15079707022835","392.176","394.328","394.812","2.636","0.484","3","129"
"62","R_126ntPBwrWLSnOV","standard","62","LP","8.51632916846187","395.813","NaN","402.132","6.319","NaN","0","129"
"63","R_126ntPBwrWLSnOV","standard","63","LP","13.0392072382594","403.136","NaN","409.54","6.404","NaN","0","129"
"64","R_126ntPBwrWLSnOV","standard","64","LP","30","410.544","NaN","416.525","5.981","NaN","0","129"
"65","R_126ntPBwrWLSnOV","standard","65","LP","0.661783713916415","417.527","418.192","418.596","1.069","0.404","3","132"
"66","R_126ntPBwrWLSnOV","standard","66","LP","0.264713485566566","419.6","419.872","420.268","0.668","0.396","3","135"
"67","R_126ntPBwrWLSnOV","standard","67","LP","5.5010771219302","421.272","426.79","427.045","5.773","0.255","3","138"
"68","R_126ntPBwrWLSnOV","standard","68","LP","19.8235243429556","428.048","NaN","433.907","5.859","NaN","0","138"
"69","R_126ntPBwrWLSnOV","standard","69","LP","0.264713485566566","434.911","435.181","435.572","0.661","0.391","3","141"
"70","R_126ntPBwrWLSnOV","standard","70","LP","3.49090909090909","436.576","440.072","440.509","3.933","0.437","3","144"
"71","R_126ntPBwrWLSnOV","standard","71","LP","5.5010771219302","441.512","447.018","447.412","5.9","0.394","3","147"
"72","R_126ntPBwrWLSnOV","standard","72","LP","2.15079707022835","448.414","450.567","450.965","2.551","0.398","3","150"
"73","R_126ntPBwrWLSnOV","standard","73","LP","13.0392072382594","451.968","NaN","457.916","5.948","NaN","0","150"
"74","R_126ntPBwrWLSnOV","standard","74","LP","13.0392072382594","458.92","NaN","464.716","5.796","NaN","0","150"
"75","R_126ntPBwrWLSnOV","standard","75","LP","1.25738905644119","465.719","466.983","467.499","1.78","0.516","3","153"
"76","R_126ntPBwrWLSnOV","standard","76","LP","5.5010771219302","468.503","474.009","474.53","6.027","0.521","3","156"
"77","R_126ntPBwrWLSnOV","standard","77","LP","8.51632916846187","475.536","NaN","482.059","6.523","NaN","0","156"
"78","R_126ntPBwrWLSnOV","standard","78","LP","0.264713485566566","483.063","483.335","483.876","0.813","0.541","3","159"
"79","R_126ntPBwrWLSnOV","standard","79","LP","0.661783713916415","484.88","485.543","485.923","1.043","0.38","3","162"
"80","R_126ntPBwrWLSnOV","standard","80","LP","13.0392072382594","486.928","NaN","493.028","6.1","NaN","0","162"
"81","R_126ntPBwrWLSnOV","standard","81","LP","19.8235243429556","494.032","NaN","500.235","6.203","NaN","0","162"
"82","R_126ntPBwrWLSnOV","standard","82","LP","1.25738905644119","501.239","502.503","502.939","1.7","0.436","3","165"
"83","R_126ntPBwrWLSnOV","standard","83","LP","3.49090909090909","503.945","507.439","507.836","3.891","0.397","3","168"
"84","R_126ntPBwrWLSnOV","standard","84","LP","2.15079707022835","508.84","510.991","511.691","2.851","0.7","3","171"
"85","R_126ntPBwrWLSnOV","standard","85","LP","3.49090909090909","512.695","516.192","516.555","3.86","0.363","3","174"
"86","R_126ntPBwrWLSnOV","standard","86","LP","0.661783713916415","517.559","518.227","518.685","1.126","0.458","3","177"
"87","R_126ntPBwrWLSnOV","standard","87","LP","0.264713485566566","519.688","519.961","520.395","0.707","0.434","3","180"
