"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_12rwfC6qPMe8Ww6","standard","1","LP","3.49090909090909","0","3.498","3.947","3.947","0.449","3","3"
"2","R_12rwfC6qPMe8Ww6","standard","2","LP","30","4.954","34.964","35.405","30.451","0.441","3","6"
"3","R_12rwfC6qPMe8Ww6","standard","3","LP","2.15079707022835","36.411","38.563","38.928","2.517","0.365","3","9"
"4","R_12rwfC6qPMe8Ww6","standard","4","LP","0.264713485566566","39.93","40.211","40.894","0.964","0.683","3","12"
"5","R_12rwfC6qPMe8Ww6","standard","5","LP","2.15079707022835","41.898","44.059","44.412","2.514","0.353","3","15"
"6","R_12rwfC6qPMe8Ww6","standard","6","LP","8.51632916846187","45.413","53.932","54.287","8.874","0.355","3","18"
"7","R_12rwfC6qPMe8Ww6","standard","7","LP","2.15079707022835","55.302","57.459","57.848","2.546","0.389","3","21"
"8","R_12rwfC6qPMe8Ww6","standard","8","LP","5.5010771219302","58.861","64.371","64.895","6.034","0.524","3","24"
"9","R_12rwfC6qPMe8Ww6","standard","9","LP","3.49090909090909","65.904","69.414","69.649","3.745","0.235","3","27"
"10","R_12rwfC6qPMe8Ww6","standard","10","LP","3.49090909090909","70.657","74.155","74.479","3.822","0.324","3","30"
"11","R_12rwfC6qPMe8Ww6","standard","11","LP","0.264713485566566","75.484","75.755","76.102","0.618","0.347","3","33"
"12","R_12rwfC6qPMe8Ww6","standard","12","LP","1.25738905644119","77.107","78.371","78.729","1.622","0.358","3","36"
"13","R_12rwfC6qPMe8Ww6","standard","13","LP","0.661783713916415","79.73","80.401","80.754","1.024","0.353","3","39"
"14","R_12rwfC6qPMe8Ww6","standard","14","LP","13.0392072382594","81.755","NaN","82.096","0.341","NaN","0","39"
"15","R_12rwfC6qPMe8Ww6","standard","15","LP","8.51632916846187","83.099","91.615","91.911","8.812","0.296","3","42"
"16","R_12rwfC6qPMe8Ww6","standard","16","LP","0.661783713916415","92.915","93.588","93.951","1.036","0.363","3","45"
"17","R_12rwfC6qPMe8Ww6","standard","17","LP","19.8235243429556","94.963","NaN","101.51","6.547","NaN","0","45"
"18","R_12rwfC6qPMe8Ww6","standard","18","LP","0.264713485566566","102.515","102.791","103.374","0.859","0.583","3","48"
"19","R_12rwfC6qPMe8Ww6","standard","19","LP","1.25738905644119","104.382","105.646","105.916","1.534","0.27","3","51"
"20","R_12rwfC6qPMe8Ww6","standard","20","LP","0.661783713916415","106.921","107.587","107.925","1.004","0.338","3","54"
"21","R_12rwfC6qPMe8Ww6","standard","21","LP","19.8235243429556","108.929","NaN","109.003","0.074","NaN","0","54"
"22","R_12rwfC6qPMe8Ww6","standard","22","LP","0.661783713916415","110.004","110.675","111.242","1.238","0.567","3","57"
"23","R_12rwfC6qPMe8Ww6","standard","23","LP","8.51632916846187","112.244","NaN","116.494","4.25","NaN","0","57"
"24","R_12rwfC6qPMe8Ww6","standard","24","LP","2.15079707022835","117.508","119.66","120.035","2.527","0.375","3","60"
"25","R_12rwfC6qPMe8Ww6","standard","25","LP","2.15079707022835","121.057","123.211","123.599","2.542","0.388","3","63"
"26","R_12rwfC6qPMe8Ww6","standard","26","LP","19.8235243429556","124.603","NaN","127.638","3.035","NaN","0","63"
"27","R_12rwfC6qPMe8Ww6","standard","27","LP","2.15079707022835","128.643","130.801","131.105","2.462","0.304","3","66"
"28","R_12rwfC6qPMe8Ww6","standard","28","LP","3.49090909090909","132.106","135.616","135.887","3.781","0.271","3","69"
"29","R_12rwfC6qPMe8Ww6","standard","29","LP","2.15079707022835","136.891","139.053","139.372","2.481","0.319","3","72"
"30","R_12rwfC6qPMe8Ww6","standard","30","LP","3.49090909090909","140.379","143.879","144.149","3.77","0.27","3","75"
"31","R_12rwfC6qPMe8Ww6","standard","31","LP","8.51632916846187","145.155","NaN","153.327","8.172","NaN","0","75"
"32","R_12rwfC6qPMe8Ww6","standard","32","LP","0.661783713916415","154.331","155.008","155.439","1.108","0.431","3","78"
"33","R_12rwfC6qPMe8Ww6","standard","33","LP","19.8235243429556","156.454","NaN","165.738","9.284","NaN","0","78"
"34","R_12rwfC6qPMe8Ww6","standard","34","LP","1.25738905644119","166.744","168.003","168.5","1.756","0.497","3","81"
"35","R_12rwfC6qPMe8Ww6","standard","35","LP","30","169.508","NaN","176.358","6.85","NaN","0","81"
"36","R_12rwfC6qPMe8Ww6","standard","36","LP","0.264713485566566","177.372","177.65","178.035","0.663","0.385","3","84"
"37","R_12rwfC6qPMe8Ww6","standard","37","LP","30","179.049","NaN","187.53","8.481","NaN","0","84"
"38","R_12rwfC6qPMe8Ww6","standard","38","LP","0.661783713916415","188.531","189.209","190.031","1.5","0.822","3","87"
"39","R_12rwfC6qPMe8Ww6","standard","39","LP","0.661783713916415","191.042","191.711","192.112","1.07","0.401","3","90"
"40","R_12rwfC6qPMe8Ww6","standard","40","LP","2.15079707022835","193.115","195.274","195.811","2.696","0.537","3","93"
"41","R_12rwfC6qPMe8Ww6","standard","41","LP","0.661783713916415","196.816","197.487","198.368","1.552","0.881","3","96"
"42","R_12rwfC6qPMe8Ww6","standard","42","LP","8.51632916846187","199.371","NaN","205.156","5.785","NaN","0","96"
"43","R_12rwfC6qPMe8Ww6","standard","43","LP","0.264713485566566","206.172","206.453","206.867","0.695","0.414","3","99"
"44","R_12rwfC6qPMe8Ww6","standard","44","LP","19.8235243429556","207.875","NaN","208.354","0.479","NaN","0","99"
"45","R_12rwfC6qPMe8Ww6","standard","45","LP","19.8235243429556","209.367","NaN","214.479","5.112","NaN","0","99"
"46","R_12rwfC6qPMe8Ww6","standard","46","LP","19.8235243429556","215.494","NaN","219.536","4.042","NaN","0","99"
