"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1C4no02Nf5x699Q","standard","1","LP","30","0","30.021","30.491","30.491","0.47","3","3"
"2","R_1C4no02Nf5x699Q","standard","2","LP","2.15079707022835","31.504","33.666","34.229","2.725","0.563","3","6"
"3","R_1C4no02Nf5x699Q","standard","3","LP","13.0392072382594","35.235","NaN","45.643","10.408","NaN","0","6"
"4","R_1C4no02Nf5x699Q","standard","4","LP","19.8235243429556","46.648","NaN","55.284","8.636","NaN","0","6"
"5","R_1C4no02Nf5x699Q","standard","5","LP","13.0392072382594","56.29","NaN","62.041","5.751","NaN","0","6"
"6","R_1C4no02Nf5x699Q","standard","6","LP","1.25738905644119","63.043","64.308","64.939","1.896","0.631","3","9"
"7","R_1C4no02Nf5x699Q","standard","7","LP","3.49090909090909","65.941","NaN","69.339","3.398","NaN","0","9"
"8","R_1C4no02Nf5x699Q","standard","8","LP","0.661783713916415","70.342","71.01","71.571","1.229","0.561","3","12"
"9","R_1C4no02Nf5x699Q","standard","9","LP","8.51632916846187","72.577","NaN","75.524","2.947","NaN","0","12"
"10","R_1C4no02Nf5x699Q","standard","10","LP","8.51632916846187","76.528","NaN","79.73","3.202","NaN","0","12"
"11","R_1C4no02Nf5x699Q","standard","11","LP","0.264713485566566","80.739","81.01","81.422","0.683","0.412","3","15"
"12","R_1C4no02Nf5x699Q","standard","12","LP","8.51632916846187","82.423","NaN","84.888","2.465","NaN","0","15"
"13","R_1C4no02Nf5x699Q","standard","13","LP","30","85.908","NaN","88.581","2.673","NaN","0","15"
"14","R_1C4no02Nf5x699Q","standard","14","LP","0.661783713916415","89.593","90.257","90.664","1.071","0.407","3","18"
"15","R_1C4no02Nf5x699Q","standard","15","LP","5.5010771219302","91.677","NaN","95.173","3.496","NaN","0","18"
"16","R_1C4no02Nf5x699Q","standard","16","LP","0.264713485566566","96.177","96.445","96.781","0.604","0.336","3","21"
"17","R_1C4no02Nf5x699Q","standard","17","LP","3.49090909090909","97.791","NaN","98.156","0.365","NaN","0","21"
"18","R_1C4no02Nf5x699Q","standard","18","LP","13.0392072382594","99.16","NaN","102.281","3.121","NaN","0","21"
"19","R_1C4no02Nf5x699Q","standard","19","LP","0.661783713916415","103.293","103.961","104.286","0.993","0.325","3","24"
"20","R_1C4no02Nf5x699Q","standard","20","LP","13.0392072382594","105.295","NaN","108.581","3.286","NaN","0","24"
"21","R_1C4no02Nf5x699Q","standard","21","LP","5.5010771219302","109.594","NaN","113.316","3.722","NaN","0","24"
"22","R_1C4no02Nf5x699Q","standard","22","LP","8.51632916846187","114.329","NaN","117.353","3.024","NaN","0","24"
"23","R_1C4no02Nf5x699Q","standard","23","LP","13.0392072382594","118.361","NaN","122.265","3.904","NaN","0","24"
"24","R_1C4no02Nf5x699Q","standard","24","LP","19.8235243429556","123.276","NaN","126.773","3.497","NaN","0","24"
"25","R_1C4no02Nf5x699Q","standard","25","LP","19.8235243429556","127.778","NaN","133.498","5.72","NaN","0","24"
"26","R_1C4no02Nf5x699Q","standard","26","LP","0.264713485566566","134.51","134.779","135.196","0.686","0.417","3","27"
"27","R_1C4no02Nf5x699Q","standard","27","LP","8.51632916846187","136.211","NaN","139.097","2.886","NaN","0","27"
"28","R_1C4no02Nf5x699Q","standard","28","LP","19.8235243429556","140.111","NaN","142.857","2.746","NaN","0","27"
"29","R_1C4no02Nf5x699Q","standard","29","LP","8.51632916846187","143.879","NaN","146.453","2.574","NaN","0","27"
"30","R_1C4no02Nf5x699Q","standard","30","LP","1.25738905644119","147.463","148.731","149.073","1.61","0.342","3","30"
"31","R_1C4no02Nf5x699Q","standard","31","LP","13.0392072382594","150.095","NaN","152.658","2.563","NaN","0","30"
"32","R_1C4no02Nf5x699Q","standard","32","LP","3.49090909090909","153.68","NaN","156.253","2.573","NaN","0","30"
"33","R_1C4no02Nf5x699Q","standard","33","LP","3.49090909090909","157.256","NaN","160.277","3.021","NaN","0","30"
"34","R_1C4no02Nf5x699Q","standard","34","LP","30","161.295","NaN","164.306","3.011","NaN","0","30"
"35","R_1C4no02Nf5x699Q","standard","35","LP","19.8235243429556","165.311","NaN","168.03","2.719","NaN","0","30"
"36","R_1C4no02Nf5x699Q","standard","36","LP","5.5010771219302","169.034","NaN","171.022","1.988","NaN","0","30"
"37","R_1C4no02Nf5x699Q","standard","37","LP","0.661783713916415","172.024","172.696","173.067","1.043","0.371","3","33"
"38","R_1C4no02Nf5x699Q","standard","38","LP","1.25738905644119","174.081","175.344","175.58","1.499","0.236","3","36"
"39","R_1C4no02Nf5x699Q","standard","39","LP","2.15079707022835","176.598","NaN","178.733","2.135","NaN","0","36"
"40","R_1C4no02Nf5x699Q","standard","40","LP","1.25738905644119","179.745","181.015","181.359","1.614","0.344","3","39"
"41","R_1C4no02Nf5x699Q","standard","41","LP","13.0392072382594","182.36","NaN","184.845","2.485","NaN","0","39"
"42","R_1C4no02Nf5x699Q","standard","42","LP","1.25738905644119","185.848","187.114","187.43","1.582","0.316","3","42"
"43","R_1C4no02Nf5x699Q","standard","43","LP","5.5010771219302","188.433","NaN","190.474","2.041","NaN","0","42"
"44","R_1C4no02Nf5x699Q","standard","44","LP","5.5010771219302","191.473","NaN","193.554","2.081","NaN","0","42"
"45","R_1C4no02Nf5x699Q","standard","45","LP","0.661783713916415","194.563","195.233","195.652","1.089","0.419","3","45"
"46","R_1C4no02Nf5x699Q","standard","46","LP","19.8235243429556","196.659","NaN","198.388","1.729","NaN","0","45"
"47","R_1C4no02Nf5x699Q","standard","47","LP","0.264713485566566","199.397","199.666","200.122","0.725","0.456","3","48"
"48","R_1C4no02Nf5x699Q","standard","48","LP","30","201.131","NaN","203.22","2.089","NaN","0","48"
"49","R_1C4no02Nf5x699Q","standard","49","LP","13.0392072382594","204.23","NaN","205.994","1.764","NaN","0","48"
"50","R_1C4no02Nf5x699Q","standard","50","LP","19.8235243429556","207.013","NaN","209.068","2.055","NaN","0","48"
"51","R_1C4no02Nf5x699Q","standard","51","LP","30","210.083","NaN","212.124","2.041","NaN","0","48"
"52","R_1C4no02Nf5x699Q","standard","52","LP","0.264713485566566","213.133","213.415","213.772","0.639","0.357","3","51"
"53","R_1C4no02Nf5x699Q","standard","53","LP","13.0392072382594","214.779","NaN","216.639","1.86","NaN","0","51"
"54","R_1C4no02Nf5x699Q","standard","54","LP","2.15079707022835","217.647","NaN","219.531","1.884","NaN","0","51"
