"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1F8R9nzgHAgAKhN","standard","1","LP","3.49090909090909","0.001","3.501","3.909","3.908","0.408","3","3"
"2","R_1F8R9nzgHAgAKhN","standard","2","LP","8.51632916846187","4.915","13.442","13.756","8.841","0.314","3","6"
"3","R_1F8R9nzgHAgAKhN","standard","3","LP","30","14.76","NaN","33.093","18.333","NaN","0","6"
"4","R_1F8R9nzgHAgAKhN","standard","4","LP","1.25738905644119","34.106","35.375","35.744","1.638","0.369","3","9"
"5","R_1F8R9nzgHAgAKhN","standard","5","LP","1.25738905644119","36.758","38.018","38.429","1.671","0.411","3","12"
"6","R_1F8R9nzgHAgAKhN","standard","6","LP","13.0392072382594","39.43","NaN","52.016","12.586","NaN","0","12"
"7","R_1F8R9nzgHAgAKhN","standard","7","LP","30","53.034","NaN","70.182","17.148","NaN","0","12"
"8","R_1F8R9nzgHAgAKhN","standard","8","LP","2.15079707022835","71.199","73.35","73.945","2.746","0.595","3","15"
"9","R_1F8R9nzgHAgAKhN","standard","9","LP","2.15079707022835","74.965","77.119","77.453","2.488","0.334","3","18"
"10","R_1F8R9nzgHAgAKhN","standard","10","LP","2.15079707022835","78.462","80.625","80.961","2.499","0.336","3","21"
"11","R_1F8R9nzgHAgAKhN","standard","11","LP","30","81.975","NaN","98.447","16.472","NaN","0","21"
"12","R_1F8R9nzgHAgAKhN","standard","12","LP","0.264713485566566","99.454","99.741","100.16","0.706","0.419","3","24"
"13","R_1F8R9nzgHAgAKhN","standard","13","LP","0.661783713916415","101.175","101.839","102.137","0.962","0.298","3","27"
"14","R_1F8R9nzgHAgAKhN","standard","14","LP","2.15079707022835","103.142","105.311","105.608","2.466","0.297","3","30"
"15","R_1F8R9nzgHAgAKhN","standard","15","LP","8.51632916846187","106.609","NaN","113.527","6.918","NaN","0","30"
"16","R_1F8R9nzgHAgAKhN","standard","16","LP","30","114.537","NaN","127.545","13.008","NaN","0","30"
"17","R_1F8R9nzgHAgAKhN","standard","17","LP","5.5010771219302","128.55","134.054","134.356","5.806","0.302","3","33"
"18","R_1F8R9nzgHAgAKhN","standard","18","LP","2.15079707022835","135.372","137.535","137.847","2.475","0.312","3","36"
"19","R_1F8R9nzgHAgAKhN","standard","19","LP","5.5010771219302","138.852","144.38","144.716","5.864","0.336","3","39"
"20","R_1F8R9nzgHAgAKhN","standard","20","LP","1.25738905644119","145.727","146.992","147.348","1.621","0.356","3","42"
"21","R_1F8R9nzgHAgAKhN","standard","21","LP","8.51632916846187","148.359","156.885","157.238","8.879","0.353","3","45"
