"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1JDUFu5Lja2wcgE","standard","1","LP","8.51632916846187","0","8.518","9.336","9.336","0.818","3","3"
"2","R_1JDUFu5Lja2wcgE","standard","2","LP","5.5010771219302","10.342","15.846","16.736","6.394","0.89","3","6"
"3","R_1JDUFu5Lja2wcgE","standard","3","LP","13.0392072382594","17.742","30.783","31.073","13.331","0.29","3","9"
"4","R_1JDUFu5Lja2wcgE","standard","4","LP","30","32.078","NaN","51.626","19.548","NaN","0","9"
"5","R_1JDUFu5Lja2wcgE","standard","5","LP","13.0392072382594","52.631","65.671","65.85","13.219","0.179","3","12"
"6","R_1JDUFu5Lja2wcgE","standard","6","LP","0.264713485566566","66.856","67.123","68.177","1.321","1.054","3","15"
"7","R_1JDUFu5Lja2wcgE","standard","7","LP","8.51632916846187","69.182","NaN","70.322","1.14","NaN","0","15"
"8","R_1JDUFu5Lja2wcgE","standard","8","LP","3.49090909090909","71.327","74.823","75.473","4.146","0.65","3","18"
"9","R_1JDUFu5Lja2wcgE","standard","9","LP","0.661783713916415","76.479","77.143","77.93","1.451","0.787","3","21"
"10","R_1JDUFu5Lja2wcgE","standard","10","LP","0.661783713916415","78.934","79.597","80.193","1.259","0.596","3","24"
"11","R_1JDUFu5Lja2wcgE","standard","11","LP","13.0392072382594","81.199","NaN","86.737","5.538","NaN","0","24"
"12","R_1JDUFu5Lja2wcgE","standard","12","LP","13.0392072382594","87.741","NaN","93.992","6.251","NaN","0","24"
"13","R_1JDUFu5Lja2wcgE","standard","13","LP","0.661783713916415","94.997","95.662","96.366","1.369","0.704","3","27"
"14","R_1JDUFu5Lja2wcgE","standard","14","LP","30","97.373","NaN","101.097","3.724","NaN","0","27"
"15","R_1JDUFu5Lja2wcgE","standard","15","LP","2.15079707022835","102.101","104.253","104.93","2.829","0.677","3","30"
"16","R_1JDUFu5Lja2wcgE","standard","16","LP","19.8235243429556","105.933","NaN","110.602","4.669","NaN","0","30"
"17","R_1JDUFu5Lja2wcgE","standard","17","LP","1.25738905644119","111.606","112.87","113.53","1.924","0.66","3","33"
"18","R_1JDUFu5Lja2wcgE","standard","18","LP","13.0392072382594","114.533","NaN","118.426","3.893","NaN","0","33"
"19","R_1JDUFu5Lja2wcgE","standard","19","LP","0.264713485566566","119.429","119.694","120.322","0.893","0.628","3","36"
"20","R_1JDUFu5Lja2wcgE","standard","20","LP","5.5010771219302","121.326","NaN","124.161","2.835","NaN","0","36"
"21","R_1JDUFu5Lja2wcgE","standard","21","LP","3.49090909090909","125.167","128.662","128.811","3.644","0.149","3","39"
"22","R_1JDUFu5Lja2wcgE","standard","22","LP","0.661783713916415","129.814","130.478","131.266","1.452","0.788","3","42"
"23","R_1JDUFu5Lja2wcgE","standard","23","LP","30","132.27","NaN","135.49","3.22","NaN","0","42"
"24","R_1JDUFu5Lja2wcgE","standard","24","LP","5.5010771219302","136.493","NaN","139.353","2.86","NaN","0","42"
"25","R_1JDUFu5Lja2wcgE","standard","25","LP","5.5010771219302","140.358","NaN","145.674","5.316","NaN","0","42"
"26","R_1JDUFu5Lja2wcgE","standard","26","LP","0.661783713916415","146.678","147.341","148.081","1.403","0.74","3","45"
"27","R_1JDUFu5Lja2wcgE","standard","27","LP","0.264713485566566","149.085","149.35","149.97","0.885","0.62","3","48"
"28","R_1JDUFu5Lja2wcgE","standard","28","LP","5.5010771219302","150.973","NaN","153.594","2.621","NaN","0","48"
"29","R_1JDUFu5Lja2wcgE","standard","29","LP","0.661783713916415","154.597","155.262","155.93","1.333","0.668","3","51"
"30","R_1JDUFu5Lja2wcgE","standard","30","LP","5.5010771219302","156.933","NaN","160.323","3.39","NaN","0","51"
"31","R_1JDUFu5Lja2wcgE","standard","31","LP","30","161.326","NaN","165.018","3.692","NaN","0","51"
"32","R_1JDUFu5Lja2wcgE","standard","32","LP","13.0392072382594","166.022","NaN","169.202","3.18","NaN","0","51"
"33","R_1JDUFu5Lja2wcgE","standard","33","LP","30","170.205","NaN","174.794","4.589","NaN","0","51"
"34","R_1JDUFu5Lja2wcgE","standard","34","LP","13.0392072382594","175.797","NaN","179.93","4.133","NaN","0","51"
"35","R_1JDUFu5Lja2wcgE","standard","35","LP","19.8235243429556","180.933","NaN","184.428","3.495","NaN","0","51"
"36","R_1JDUFu5Lja2wcgE","standard","36","LP","30","185.429","NaN","191.636","6.207","NaN","0","51"
"37","R_1JDUFu5Lja2wcgE","standard","37","LP","8.51632916846187","192.638","NaN","199.107","6.469","NaN","0","51"
"38","R_1JDUFu5Lja2wcgE","standard","38","LP","3.49090909090909","200.11","203.605","204.267","4.157","0.662","3","54"
"39","R_1JDUFu5Lja2wcgE","standard","39","LP","0.661783713916415","205.27","205.933","206.827","1.557","0.894","3","57"
"40","R_1JDUFu5Lja2wcgE","standard","40","LP","19.8235243429556","207.829","NaN","211.499","3.67","NaN","0","57"
"41","R_1JDUFu5Lja2wcgE","standard","41","LP","3.49090909090909","212.501","NaN","215.732","3.231","NaN","0","57"
"42","R_1JDUFu5Lja2wcgE","standard","42","LP","3.49090909090909","216.734","220.23","220.939","4.205","0.709","3","60"
"43","R_1JDUFu5Lja2wcgE","standard","43","LP","19.8235243429556","221.942","NaN","226.659","4.717","NaN","0","60"
"44","R_1JDUFu5Lja2wcgE","standard","44","LP","8.51632916846187","227.661","NaN","233.171","5.51","NaN","0","60"
"45","R_1JDUFu5Lja2wcgE","standard","45","LP","2.15079707022835","234.174","236.325","237.342","3.168","1.017","3","63"
"46","R_1JDUFu5Lja2wcgE","standard","46","LP","1.25738905644119","238.349","239.606","240.276","1.927","0.67","3","66"
"47","R_1JDUFu5Lja2wcgE","standard","47","LP","0.264713485566566","241.278","241.542","242.3","1.022","0.758","3","69"
"48","R_1JDUFu5Lja2wcgE","standard","48","LP","0.661783713916415","243.302","243.965","244.612","1.31","0.647","3","72"
"49","R_1JDUFu5Lja2wcgE","standard","49","LP","30","245.614","NaN","249.741","4.127","NaN","0","72"
"50","R_1JDUFu5Lja2wcgE","standard","50","LP","19.8235243429556","250.742","NaN","254.435","3.693","NaN","0","72"
"51","R_1JDUFu5Lja2wcgE","standard","51","LP","0.661783713916415","255.454","256.117","256.788","1.334","0.671","3","75"
"52","R_1JDUFu5Lja2wcgE","standard","52","LP","13.0392072382594","257.789","NaN","263.052","5.263","NaN","0","75"
"53","R_1JDUFu5Lja2wcgE","standard","53","LP","1.25738905644119","264.053","265.31","266.021","1.968","0.711","3","78"
"54","R_1JDUFu5Lja2wcgE","standard","54","LP","2.15079707022835","267.022","269.174","271.14","4.118","1.966","3","81"
"55","R_1JDUFu5Lja2wcgE","standard","55","LP","1.25738905644119","272.142","273.406","274.348","2.206","0.942","3","84"
"56","R_1JDUFu5Lja2wcgE","standard","56","LP","2.15079707022835","275.35","277.501","278.163","2.813","0.662","3","87"
"57","R_1JDUFu5Lja2wcgE","standard","57","LP","2.15079707022835","279.168","281.325","281.918","2.75","0.593","3","90"
"58","R_1JDUFu5Lja2wcgE","standard","58","LP","1.25738905644119","282.925","284.19","284.844","1.919","0.654","3","93"
"59","R_1JDUFu5Lja2wcgE","standard","59","LP","5.5010771219302","285.846","NaN","290.42","4.574","NaN","0","93"
