"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1JQFSlpuxuhC4A7","standard","1","LP","30","0.001","NaN","12.025","12.024","NaN","0","0"
"2","R_1JQFSlpuxuhC4A7","standard","2","LP","13.0392072382594","13.078","NaN","14.422","1.344","NaN","0","0"
"3","R_1JQFSlpuxuhC4A7","standard","3","LP","13.0392072382594","15.428","NaN","23.45","8.022","NaN","0","0"
"4","R_1JQFSlpuxuhC4A7","standard","4","LP","1.25738905644119","24.454","25.714","25.952","1.498","0.238","3","3"
"5","R_1JQFSlpuxuhC4A7","standard","5","LP","5.5010771219302","26.958","32.461","34.602","7.644","2.141","3","6"
"6","R_1JQFSlpuxuhC4A7","standard","6","LP","1.25738905644119","35.606","36.869","38.401","2.795","1.532","3","9"
"7","R_1JQFSlpuxuhC4A7","standard","7","LP","1.25738905644119","39.405","40.67","41.401","1.996","0.731","3","12"
"8","R_1JQFSlpuxuhC4A7","standard","8","LP","0.661783713916415","42.417","43.09","43.791","1.374","0.701","3","15"
"9","R_1JQFSlpuxuhC4A7","standard","9","LP","3.49090909090909","44.866","48.357","63.287","18.421","14.93","3","18"
"10","R_1JQFSlpuxuhC4A7","standard","10","LP","1.25738905644119","64.293","65.557","66.208","1.915","0.651","3","21"
"11","R_1JQFSlpuxuhC4A7","standard","11","LP","8.51632916846187","67.21","NaN","67.97","0.76","NaN","0","21"
"12","R_1JQFSlpuxuhC4A7","standard","12","LP","19.8235243429556","68.973","88.798","89.693","20.72","0.895","3","24"
"13","R_1JQFSlpuxuhC4A7","standard","13","LP","5.5010771219302","90.7","96.206","97.558","6.858","1.352","3","27"
"14","R_1JQFSlpuxuhC4A7","standard","14","LP","13.0392072382594","98.566","111.618","112.822","14.256","1.204","3","30"
"15","R_1JQFSlpuxuhC4A7","standard","15","LP","19.8235243429556","113.834","NaN","128.204","14.37","NaN","0","30"
"16","R_1JQFSlpuxuhC4A7","standard","16","LP","30","129.209","NaN","154.427","25.218","NaN","0","30"
"17","R_1JQFSlpuxuhC4A7","standard","17","LP","0.264713485566566","155.43","155.702","156.622","1.192","0.92","3","33"
"18","R_1JQFSlpuxuhC4A7","standard","18","LP","0.264713485566566","157.626","157.893","158.758","1.132","0.865","3","36"
"19","R_1JQFSlpuxuhC4A7","standard","19","LP","8.51632916846187","159.765","NaN","161.333","1.568","NaN","0","36"
"20","R_1JQFSlpuxuhC4A7","standard","20","LP","8.51632916846187","162.342","NaN","170.837","8.495","NaN","0","36"
"21","R_1JQFSlpuxuhC4A7","standard","21","LP","19.8235243429556","171.838","191.808","192.682","20.844","0.874","3","39"
"22","R_1JQFSlpuxuhC4A7","standard","22","LP","30","193.688","223.694","224.463","30.775","0.769","3","42"
"23","R_1JQFSlpuxuhC4A7","standard","23","LP","8.51632916846187","225.52","NaN","233.962","8.442","NaN","0","42"
"24","R_1JQFSlpuxuhC4A7","standard","24","LP","13.0392072382594","234.965","NaN","241.342","6.377","NaN","0","42"
"25","R_1JQFSlpuxuhC4A7","standard","25","LP","3.49090909090909","242.364","245.862","246.638","4.274","0.776","3","45"
"26","R_1JQFSlpuxuhC4A7","standard","26","LP","19.8235243429556","247.645","NaN","257.141","9.496","NaN","0","45"
"27","R_1JQFSlpuxuhC4A7","standard","27","LP","2.15079707022835","258.149","260.302","260.902","2.753","0.6","3","48"
"28","R_1JQFSlpuxuhC4A7","standard","28","LP","8.51632916846187","261.903","270.421","270.942","9.039","0.521","3","51"
