"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1MGayNEN0ygxYhX","standard","1","LP","8.51632916846187","0.001","8.527","8.788","8.787","0.261","3","3"
"2","R_1MGayNEN0ygxYhX","standard","2","LP","0.264713485566566","9.791","10.062","12.646","2.855","2.584","3","6"
"3","R_1MGayNEN0ygxYhX","standard","3","LP","0.661783713916415","13.647","14.31","23.712","10.065","9.402","3","9"
"4","R_1MGayNEN0ygxYhX","standard","4","LP","5.5010771219302","24.719","30.222","31.235","6.516","1.013","3","12"
"5","R_1MGayNEN0ygxYhX","standard","5","LP","0.264713485566566","32.237","32.503","34.791","2.554","2.288","3","15"
"6","R_1MGayNEN0ygxYhX","standard","6","LP","19.8235243429556","35.798","55.63","56.046","20.248","0.416","3","18"
"7","R_1MGayNEN0ygxYhX","standard","7","LP","0.661783713916415","57.054","57.718","58.709","1.655","0.991","3","21"
"8","R_1MGayNEN0ygxYhX","standard","8","LP","3.49090909090909","59.719","63.21","63.713","3.994","0.503","3","24"
"9","R_1MGayNEN0ygxYhX","standard","9","LP","13.0392072382594","64.719","77.766","78.406","13.687","0.64","3","27"
"10","R_1MGayNEN0ygxYhX","standard","10","LP","13.0392072382594","79.41","NaN","80.694","1.284","NaN","0","27"
"11","R_1MGayNEN0ygxYhX","standard","11","LP","0.264713485566566","81.703","81.975","83.282","1.579","1.307","3","30"
"12","R_1MGayNEN0ygxYhX","standard","12","LP","0.264713485566566","84.287","84.559","85.277","0.99","0.718","3","33"
"13","R_1MGayNEN0ygxYhX","standard","13","LP","8.51632916846187","86.287","94.81","95.755","9.468","0.945","3","36"
"14","R_1MGayNEN0ygxYhX","standard","14","LP","30","96.758","126.766","127.215","30.457","0.449","3","39"
"15","R_1MGayNEN0ygxYhX","standard","15","LP","8.51632916846187","128.222","136.743","137.301","9.079","0.558","3","42"
"16","R_1MGayNEN0ygxYhX","standard","16","LP","8.51632916846187","138.303","146.822","147.285","8.982","0.463","3","45"
"17","R_1MGayNEN0ygxYhX","standard","17","LP","0.661783713916415","148.287","148.951","149.521","1.234","0.57","3","48"
"18","R_1MGayNEN0ygxYhX","standard","18","LP","1.25738905644119","150.527","151.791","152.387","1.86","0.596","3","51"
"19","R_1MGayNEN0ygxYhX","standard","19","LP","0.661783713916415","153.391","154.055","154.676","1.285","0.621","3","54"
"20","R_1MGayNEN0ygxYhX","standard","20","LP","30","155.679","185.687","186.158","30.479","0.471","3","57"
"21","R_1MGayNEN0ygxYhX","standard","21","LP","5.5010771219302","187.167","192.671","193.191","6.024","0.52","3","60"
"22","R_1MGayNEN0ygxYhX","standard","22","LP","2.15079707022835","194.199","196.359","197.731","3.532","1.372","3","63"
"23","R_1MGayNEN0ygxYhX","standard","23","LP","13.0392072382594","198.735","211.783","212.142","13.407","0.359","3","66"
"24","R_1MGayNEN0ygxYhX","standard","24","LP","13.0392072382594","213.151","226.199","226.564","13.413","0.365","3","69"
"25","R_1MGayNEN0ygxYhX","standard","25","LP","19.8235243429556","227.567","247.399","247.793","20.226","0.394","3","72"
"26","R_1MGayNEN0ygxYhX","standard","26","LP","13.0392072382594","248.799","261.847","262.229","13.43","0.382","3","75"
"27","R_1MGayNEN0ygxYhX","standard","27","LP","8.51632916846187","263.231","271.752","272.09","8.859","0.338","3","78"
"28","R_1MGayNEN0ygxYhX","standard","28","LP","19.8235243429556","273.096","292.928","293.381","20.285","0.453","3","81"
"29","R_1MGayNEN0ygxYhX","standard","29","LP","13.0392072382594","294.384","307.432","307.705","13.321","0.273","3","84"
"30","R_1MGayNEN0ygxYhX","standard","30","LP","30","308.707","338.709","338.982","30.275","0.273","3","87"
"31","R_1MGayNEN0ygxYhX","standard","31","LP","0.264713485566566","339.984","340.255","343.08","3.096","2.825","3","90"
"32","R_1MGayNEN0ygxYhX","standard","32","LP","0.661783713916415","344.088","344.752","345.191","1.103","0.439","3","93"
"33","R_1MGayNEN0ygxYhX","standard","33","LP","3.49090909090909","346.2","349.696","350.022","3.822","0.326","3","96"
"34","R_1MGayNEN0ygxYhX","standard","34","LP","30","351.024","381.032","381.262","30.238","0.23","3","99"
"35","R_1MGayNEN0ygxYhX","standard","35","LP","2.15079707022835","382.272","384.432","384.819","2.547","0.387","3","102"
"36","R_1MGayNEN0ygxYhX","standard","36","LP","8.51632916846187","385.824","394.344","394.691","8.867","0.347","3","105"
"37","R_1MGayNEN0ygxYhX","standard","37","LP","19.8235243429556","395.696","415.528","415.861","20.165","0.333","3","108"
"38","R_1MGayNEN0ygxYhX","standard","38","LP","19.8235243429556","416.864","436.696","437.056","20.192","0.36","3","111"
"39","R_1MGayNEN0ygxYhX","standard","39","LP","1.25738905644119","438.064","439.328","440.113","2.049","0.785","3","114"
"40","R_1MGayNEN0ygxYhX","standard","40","LP","13.0392072382594","441.12","454.168","454.489","13.369","0.321","3","117"
"41","R_1MGayNEN0ygxYhX","standard","41","LP","1.25738905644119","455.496","456.76","457.105","1.609","0.345","3","120"
"42","R_1MGayNEN0ygxYhX","standard","42","LP","5.5010771219302","458.108","463.612","463.985","5.877","0.373","3","123"
"43","R_1MGayNEN0ygxYhX","standard","43","LP","13.0392072382594","464.993","478.04","478.37","13.377","0.33","3","126"
"44","R_1MGayNEN0ygxYhX","standard","44","LP","0.264713485566566","479.377","479.648","480.31","0.933","0.662","3","129"
"45","R_1MGayNEN0ygxYhX","standard","45","LP","0.264713485566566","481.313","481.585","481.935","0.622","0.35","3","132"
"46","R_1MGayNEN0ygxYhX","standard","46","LP","3.49090909090909","482.942","486.441","486.756","3.814","0.315","3","135"
"47","R_1MGayNEN0ygxYhX","standard","47","LP","0.661783713916415","487.761","488.425","488.817","1.056","0.392","3","138"
"48","R_1MGayNEN0ygxYhX","standard","48","LP","0.264713485566566","489.824","490.096","490.412","0.588","0.316","3","141"
"49","R_1MGayNEN0ygxYhX","standard","49","LP","5.5010771219302","491.416","496.92","497.327","5.911","0.407","3","144"
"50","R_1MGayNEN0ygxYhX","standard","50","LP","19.8235243429556","498.33","518.161","518.601","20.271","0.44","3","147"
"51","R_1MGayNEN0ygxYhX","standard","51","LP","8.51632916846187","519.609","528.128","528.441","8.832","0.313","3","150"
"52","R_1MGayNEN0ygxYhX","standard","52","LP","2.15079707022835","529.448","531.6","532.037","2.589","0.437","3","153"
"53","R_1MGayNEN0ygxYhX","standard","53","LP","5.5010771219302","533.04","538.542","538.899","5.859","0.357","3","156"
"54","R_1MGayNEN0ygxYhX","standard","54","LP","2.15079707022835","539.905","542.057","542.562","2.657","0.505","3","159"
"55","R_1MGayNEN0ygxYhX","standard","55","LP","19.8235243429556","543.569","563.401","563.703","20.134","0.302","3","162"
"56","R_1MGayNEN0ygxYhX","standard","56","LP","3.49090909090909","564.705","568.201","568.592","3.887","0.391","3","165"
"57","R_1MGayNEN0ygxYhX","standard","57","LP","8.51632916846187","569.601","578.121","578.445","8.844","0.324","3","168"
"58","R_1MGayNEN0ygxYhX","standard","58","LP","5.5010771219302","579.449","584.953","585.392","5.943","0.439","3","171"
"59","R_1MGayNEN0ygxYhX","standard","59","LP","19.8235243429556","586.401","606.233","606.555","20.154","0.322","3","174"
"60","R_1MGayNEN0ygxYhX","standard","60","LP","1.25738905644119","607.561","608.825","609.205","1.644","0.38","3","177"
"61","R_1MGayNEN0ygxYhX","standard","61","LP","1.25738905644119","610.212","611.473","611.897","1.685","0.424","3","180"
"62","R_1MGayNEN0ygxYhX","standard","62","LP","30","612.905","642.908","643.224","30.319","0.316","3","183"
"63","R_1MGayNEN0ygxYhX","standard","63","LP","0.264713485566566","644.233","644.505","645.054","0.821","0.549","3","186"
"64","R_1MGayNEN0ygxYhX","standard","64","LP","3.49090909090909","646.057","649.553","649.94","3.883","0.387","3","189"
"65","R_1MGayNEN0ygxYhX","standard","65","LP","0.264713485566566","650.942","651.21","651.861","0.919","0.651","3","192"
"66","R_1MGayNEN0ygxYhX","standard","66","LP","8.51632916846187","652.865","661.385","661.837","8.972","0.452","3","195"
"67","R_1MGayNEN0ygxYhX","standard","67","LP","8.51632916846187","662.841","671.361","671.718","8.877","0.357","3","198"
"68","R_1MGayNEN0ygxYhX","standard","68","LP","1.25738905644119","672.721","673.985","674.368","1.647","0.383","3","201"
"69","R_1MGayNEN0ygxYhX","standard","69","LP","0.264713485566566","675.377","675.65","676.059","0.682","0.409","3","204"
"70","R_1MGayNEN0ygxYhX","standard","70","LP","0.661783713916415","677.066","677.729","678.047","0.981","0.318","3","207"
"71","R_1MGayNEN0ygxYhX","standard","71","LP","3.49090909090909","679.05","NaN","681.657","2.607","NaN","0","207"
"72","R_1MGayNEN0ygxYhX","standard","72","LP","2.15079707022835","682.666","684.817","685.218","2.552","0.401","3","210"
"73","R_1MGayNEN0ygxYhX","standard","73","LP","19.8235243429556","686.226","706.058","706.416","20.19","0.358","3","213"
"74","R_1MGayNEN0ygxYhX","standard","74","LP","5.5010771219302","707.426","712.93","713.278","5.852","0.348","3","216"
"75","R_1MGayNEN0ygxYhX","standard","75","LP","8.51632916846187","714.282","722.801","723.136","8.854","0.335","3","219"
"76","R_1MGayNEN0ygxYhX","standard","76","LP","2.15079707022835","724.145","726.298","726.648","2.503","0.35","3","222"
"77","R_1MGayNEN0ygxYhX","standard","77","LP","13.0392072382594","727.658","740.705","741.086","13.428","0.381","3","225"
"78","R_1MGayNEN0ygxYhX","standard","78","LP","0.264713485566566","742.089","742.362","742.788","0.699","0.426","3","228"
"79","R_1MGayNEN0ygxYhX","standard","79","LP","19.8235243429556","743.794","763.626","764.078","20.284","0.452","3","231"
"80","R_1MGayNEN0ygxYhX","standard","80","LP","2.15079707022835","765.082","767.242","767.73","2.648","0.488","3","234"
"81","R_1MGayNEN0ygxYhX","standard","81","LP","3.49090909090909","768.738","772.234","772.604","3.866","0.37","3","237"
"82","R_1MGayNEN0ygxYhX","standard","82","LP","1.25738905644119","773.614","774.873","775.296","1.682","0.423","3","240"
"83","R_1MGayNEN0ygxYhX","standard","83","LP","0.661783713916415","776.305","776.969","777.378","1.073","0.409","3","243"
"84","R_1MGayNEN0ygxYhX","standard","84","LP","3.49090909090909","778.386","781.882","782.262","3.876","0.38","3","246"
"85","R_1MGayNEN0ygxYhX","standard","85","LP","8.51632916846187","783.266","791.786","792.122","8.856","0.336","3","249"
"86","R_1MGayNEN0ygxYhX","standard","86","LP","0.264713485566566","793.13","793.402","793.839","0.709","0.437","3","252"
"87","R_1MGayNEN0ygxYhX","standard","87","LP","3.49090909090909","794.841","798.338","798.818","3.977","0.48","3","255"
"88","R_1MGayNEN0ygxYhX","standard","88","LP","2.15079707022835","799.826","801.978","802.372","2.546","0.394","3","258"
"89","R_1MGayNEN0ygxYhX","standard","89","LP","30","803.378","833.386","833.738","30.36","0.352","3","261"
"90","R_1MGayNEN0ygxYhX","standard","90","LP","30","834.746","864.755","865.067","30.321","0.312","3","264"
"91","R_1MGayNEN0ygxYhX","standard","91","LP","13.0392072382594","866.075","879.122","879.494","13.419","0.372","3","267"
"92","R_1MGayNEN0ygxYhX","standard","92","LP","5.5010771219302","880.499","886.003","887.902","7.403","1.899","3","270"
"93","R_1MGayNEN0ygxYhX","standard","93","LP","2.15079707022835","888.907","891.066","892.124","3.217","1.058","3","273"
