"","subject_id","condition","n_trialIdx","f_timing_condition","n_scheduled_delay","n_trial_start_time","n_rewarded_time","n_sell_time","n_time_waited","RT","n_trial_earnings","n_total_earnings"
"1","R_1NeH1J8KEMh5Dd9","standard","1","LP","1.25738905644119","0","1.271","1.976","1.976","0.705","3","3"
"2","R_1NeH1J8KEMh5Dd9","standard","2","LP","3.49090909090909","2.987","6.488","6.897","3.91","0.409","3","6"
"3","R_1NeH1J8KEMh5Dd9","standard","3","LP","8.51632916846187","7.9","16.419","16.809","8.909","0.39","3","9"
"4","R_1NeH1J8KEMh5Dd9","standard","4","LP","5.5010771219302","17.81","23.322","23.76","5.95","0.438","3","12"
"5","R_1NeH1J8KEMh5Dd9","standard","5","LP","5.5010771219302","24.771","30.289","30.777","6.006","0.488","3","15"
"6","R_1NeH1J8KEMh5Dd9","standard","6","LP","30","31.793","NaN","49.566","17.773","NaN","0","15"
"7","R_1NeH1J8KEMh5Dd9","standard","7","LP","13.0392072382594","50.574","63.62","64.191","13.617","0.571","3","18"
"8","R_1NeH1J8KEMh5Dd9","standard","8","LP","2.15079707022835","65.208","67.378","68.024","2.816","0.646","3","21"
"9","R_1NeH1J8KEMh5Dd9","standard","9","LP","1.25738905644119","69.028","70.302","70.776","1.748","0.474","3","24"
"10","R_1NeH1J8KEMh5Dd9","standard","10","LP","1.25738905644119","71.789","73.051","73.481","1.692","0.43","3","27"
"11","R_1NeH1J8KEMh5Dd9","standard","11","LP","8.51632916846187","74.49","83.008","83.488","8.998","0.48","3","30"
"12","R_1NeH1J8KEMh5Dd9","standard","12","LP","19.8235243429556","84.499","NaN","98.191","13.692","NaN","0","30"
"13","R_1NeH1J8KEMh5Dd9","standard","13","LP","2.15079707022835","99.207","101.369","101.889","2.682","0.52","3","33"
"14","R_1NeH1J8KEMh5Dd9","standard","14","LP","8.51632916846187","102.903","111.427","111.911","9.008","0.484","3","36"
"15","R_1NeH1J8KEMh5Dd9","standard","15","LP","0.661783713916415","112.915","113.587","114.216","1.301","0.629","3","39"
"16","R_1NeH1J8KEMh5Dd9","standard","16","LP","5.5010771219302","115.219","120.724","121.249","6.03","0.525","3","42"
"17","R_1NeH1J8KEMh5Dd9","standard","17","LP","1.25738905644119","122.262","123.523","124.004","1.742","0.481","3","45"
"18","R_1NeH1J8KEMh5Dd9","standard","18","LP","1.25738905644119","125.018","126.289","126.825","1.807","0.536","3","48"
"19","R_1NeH1J8KEMh5Dd9","standard","19","LP","1.25738905644119","127.827","129.104","129.489","1.662","0.385","3","51"
"20","R_1NeH1J8KEMh5Dd9","standard","20","LP","8.51632916846187","130.503","139.019","139.399","8.896","0.38","3","54"
"21","R_1NeH1J8KEMh5Dd9","standard","21","LP","1.25738905644119","140.411","141.68","142.209","1.798","0.529","3","57"
"22","R_1NeH1J8KEMh5Dd9","standard","22","LP","8.51632916846187","143.211","151.731","152.135","8.924","0.404","3","60"
"23","R_1NeH1J8KEMh5Dd9","standard","23","LP","1.25738905644119","153.14","154.415","154.992","1.852","0.577","3","63"
"24","R_1NeH1J8KEMh5Dd9","standard","24","LP","1.25738905644119","155.996","157.253","157.705","1.709","0.452","3","66"
"25","R_1NeH1J8KEMh5Dd9","standard","25","LP","19.8235243429556","158.709","NaN","170.072","11.363","NaN","0","66"
"26","R_1NeH1J8KEMh5Dd9","standard","26","LP","0.661783713916415","171.084","171.755","172.321","1.237","0.566","3","69"
"27","R_1NeH1J8KEMh5Dd9","standard","27","LP","3.49090909090909","173.324","176.819","177.169","3.845","0.35","3","72"
"28","R_1NeH1J8KEMh5Dd9","standard","28","LP","30","178.183","NaN","189.022","10.839","NaN","0","72"
"29","R_1NeH1J8KEMh5Dd9","standard","29","LP","13.0392072382594","190.027","NaN","199.527","9.5","NaN","0","72"
"30","R_1NeH1J8KEMh5Dd9","standard","30","LP","2.15079707022835","200.532","202.692","203.273","2.741","0.581","3","75"
"31","R_1NeH1J8KEMh5Dd9","standard","31","LP","2.15079707022835","204.281","206.435","206.849","2.568","0.414","3","78"
"32","R_1NeH1J8KEMh5Dd9","standard","32","LP","8.51632916846187","207.851","216.374","216.737","8.886","0.363","3","81"
"33","R_1NeH1J8KEMh5Dd9","standard","33","LP","19.8235243429556","217.739","NaN","227.624","9.885","NaN","0","81"
"34","R_1NeH1J8KEMh5Dd9","standard","34","LP","2.15079707022835","228.627","230.78","231.305","2.678","0.525","3","84"
"35","R_1NeH1J8KEMh5Dd9","standard","35","LP","0.661783713916415","232.313","232.985","233.505","1.192","0.52","3","87"
"36","R_1NeH1J8KEMh5Dd9","standard","36","LP","0.264713485566566","234.508","234.782","235.201","0.693","0.419","3","90"
"37","R_1NeH1J8KEMh5Dd9","standard","37","LP","2.15079707022835","236.208","238.37","238.759","2.551","0.389","3","93"
"38","R_1NeH1J8KEMh5Dd9","standard","38","LP","1.25738905644119","239.76","241.02","241.521","1.761","0.501","3","96"
"39","R_1NeH1J8KEMh5Dd9","standard","39","LP","2.15079707022835","242.522","244.691","245.073","2.551","0.382","3","99"
"40","R_1NeH1J8KEMh5Dd9","standard","40","LP","13.0392072382594","246.075","NaN","254.736","8.661","NaN","0","99"
"41","R_1NeH1J8KEMh5Dd9","standard","41","LP","2.15079707022835","255.739","257.896","258.425","2.686","0.529","3","102"
"42","R_1NeH1J8KEMh5Dd9","standard","42","LP","13.0392072382594","259.427","NaN","267.919","8.492","NaN","0","102"
"43","R_1NeH1J8KEMh5Dd9","standard","43","LP","0.661783713916415","268.92","269.591","270.017","1.097","0.426","3","105"
"44","R_1NeH1J8KEMh5Dd9","standard","44","LP","30","271.017","NaN","278.157","7.14","NaN","0","105"
"45","R_1NeH1J8KEMh5Dd9","standard","45","LP","19.8235243429556","279.176","NaN","288.43","9.254","NaN","0","105"
"46","R_1NeH1J8KEMh5Dd9","standard","46","LP","13.0392072382594","289.438","NaN","299.688","10.25","NaN","0","105"
"47","R_1NeH1J8KEMh5Dd9","standard","47","LP","19.8235243429556","300.701","NaN","309.257","8.556","NaN","0","105"
"48","R_1NeH1J8KEMh5Dd9","standard","48","LP","13.0392072382594","310.266","NaN","316.132","5.866","NaN","0","105"
"49","R_1NeH1J8KEMh5Dd9","standard","49","LP","5.5010771219302","317.139","322.643","323.009","5.87","0.366","3","108"
"50","R_1NeH1J8KEMh5Dd9","standard","50","LP","5.5010771219302","324.016","329.523","329.959","5.943","0.436","3","111"
"51","R_1NeH1J8KEMh5Dd9","standard","51","LP","19.8235243429556","330.966","NaN","342.656","11.69","NaN","0","111"
"52","R_1NeH1J8KEMh5Dd9","standard","52","LP","0.661783713916415","343.669","344.342","344.889","1.22","0.547","3","114"
"53","R_1NeH1J8KEMh5Dd9","standard","53","LP","30","345.895","NaN","356.248","10.353","NaN","0","114"
"54","R_1NeH1J8KEMh5Dd9","standard","54","LP","8.51632916846187","357.262","365.791","366.249","8.987","0.458","3","117"
"55","R_1NeH1J8KEMh5Dd9","standard","55","LP","0.264713485566566","367.251","367.519","368.03","0.779","0.511","3","120"
"56","R_1NeH1J8KEMh5Dd9","standard","56","LP","8.51632916846187","369.03","377.547","377.977","8.947","0.43","3","123"
"57","R_1NeH1J8KEMh5Dd9","standard","57","LP","13.0392072382594","378.987","NaN","390.465","11.478","NaN","0","123"
"58","R_1NeH1J8KEMh5Dd9","standard","58","LP","19.8235243429556","391.472","NaN","401.432","9.96","NaN","0","123"
"59","R_1NeH1J8KEMh5Dd9","standard","59","LP","8.51632916846187","402.44","410.964","411.393","8.953","0.429","3","126"
"60","R_1NeH1J8KEMh5Dd9","standard","60","LP","3.49090909090909","412.406","415.9","416.488","4.082","0.588","3","129"
"61","R_1NeH1J8KEMh5Dd9","standard","61","LP","1.25738905644119","417.5","418.775","419.305","1.805","0.53","3","132"
"62","R_1NeH1J8KEMh5Dd9","standard","62","LP","8.51632916846187","420.32","428.851","429.246","8.926","0.395","3","135"
"63","R_1NeH1J8KEMh5Dd9","standard","63","LP","19.8235243429556","430.249","NaN","442.64","12.391","NaN","0","135"
"64","R_1NeH1J8KEMh5Dd9","standard","64","LP","3.49090909090909","443.644","447.139","447.609","3.965","0.47","3","138"
"65","R_1NeH1J8KEMh5Dd9","standard","65","LP","5.5010771219302","448.611","454.114","454.533","5.922","0.419","3","141"
"66","R_1NeH1J8KEMh5Dd9","standard","66","LP","19.8235243429556","455.539","NaN","468.397","12.858","NaN","0","141"
"67","R_1NeH1J8KEMh5Dd9","standard","67","LP","8.51632916846187","469.405","477.923","478.321","8.916","0.398","3","144"
"68","R_1NeH1J8KEMh5Dd9","standard","68","LP","0.264713485566566","479.323","479.599","480.24","0.917","0.641","3","147"
"69","R_1NeH1J8KEMh5Dd9","standard","69","LP","30","481.243","NaN","491.703","10.46","NaN","0","147"
"70","R_1NeH1J8KEMh5Dd9","standard","70","LP","1.25738905644119","492.711","493.979","494.465","1.754","0.486","3","150"
"71","R_1NeH1J8KEMh5Dd9","standard","71","LP","19.8235243429556","495.468","NaN","504.695","9.227","NaN","0","150"
"72","R_1NeH1J8KEMh5Dd9","standard","72","LP","8.51632916846187","505.706","514.227","514.569","8.863","0.342","3","153"
"73","R_1NeH1J8KEMh5Dd9","standard","73","LP","1.25738905644119","515.571","516.835","517.352","1.781","0.517","3","156"
"74","R_1NeH1J8KEMh5Dd9","standard","74","LP","0.661783713916415","518.368","519.035","519.497","1.129","0.462","3","159"
"75","R_1NeH1J8KEMh5Dd9","standard","75","LP","5.5010771219302","520.51","526.019","526.417","5.907","0.398","3","162"
"76","R_1NeH1J8KEMh5Dd9","standard","76","LP","5.5010771219302","527.42","532.923","533.297","5.877","0.374","3","165"
"77","R_1NeH1J8KEMh5Dd9","standard","77","LP","0.661783713916415","534.299","534.963","535.537","1.238","0.574","3","168"
"78","R_1NeH1J8KEMh5Dd9","standard","78","LP","0.264713485566566","536.539","536.807","537.345","0.806","0.538","3","171"
"79","R_1NeH1J8KEMh5Dd9","standard","79","LP","0.264713485566566","538.347","538.619","539.169","0.822","0.55","3","174"
"80","R_1NeH1J8KEMh5Dd9","standard","80","LP","30","540.185","NaN","550.113","9.928","NaN","0","174"
"81","R_1NeH1J8KEMh5Dd9","standard","81","LP","0.661783713916415","551.114","551.792","552.321","1.207","0.529","3","177"
"82","R_1NeH1J8KEMh5Dd9","standard","82","LP","30","553.323","NaN","562.985","9.662","NaN","0","177"
"83","R_1NeH1J8KEMh5Dd9","standard","83","LP","0.264713485566566","563.987","564.252","564.721","0.734","0.469","3","180"
"84","R_1NeH1J8KEMh5Dd9","standard","84","LP","0.264713485566566","565.723","566.005","566.449","0.726","0.444","3","183"
"85","R_1NeH1J8KEMh5Dd9","standard","85","LP","5.5010771219302","567.451","572.955","573.357","5.906","0.402","3","186"
"86","R_1NeH1J8KEMh5Dd9","standard","86","LP","13.0392072382594","574.363","NaN","584.72","10.357","NaN","0","186"
"87","R_1NeH1J8KEMh5Dd9","standard","87","LP","30","585.723","NaN","596.031","10.308","NaN","0","186"
"88","R_1NeH1J8KEMh5Dd9","standard","88","LP","3.49090909090909","597.034","600.532","600.977","3.943","0.445","3","189"
"89","R_1NeH1J8KEMh5Dd9","standard","89","LP","13.0392072382594","601.989","NaN","612.072","10.083","NaN","0","189"
"90","R_1NeH1J8KEMh5Dd9","standard","90","LP","30","613.084","NaN","622.744","9.66","NaN","0","189"
"91","R_1NeH1J8KEMh5Dd9","standard","91","LP","30","623.753","NaN","633.784","10.031","NaN","0","189"
"92","R_1NeH1J8KEMh5Dd9","standard","92","LP","1.25738905644119","634.794","636.054","636.569","1.775","0.515","3","192"
"93","R_1NeH1J8KEMh5Dd9","standard","93","LP","19.8235243429556","637.586","NaN","647.319","9.733","NaN","0","192"
"94","R_1NeH1J8KEMh5Dd9","standard","94","LP","5.5010771219302","648.323","653.827","654.289","5.966","0.462","3","195"
"95","R_1NeH1J8KEMh5Dd9","standard","95","LP","8.51632916846187","655.294","663.815","664.249","8.955","0.434","3","198"
"96","R_1NeH1J8KEMh5Dd9","standard","96","LP","30","665.252","NaN","673.985","8.733","NaN","0","198"
"97","R_1NeH1J8KEMh5Dd9","standard","97","LP","0.661783713916415","675.002","675.676","676.209","1.207","0.533","3","201"
"98","R_1NeH1J8KEMh5Dd9","standard","98","LP","1.25738905644119","677.214","678.476","678.97","1.756","0.494","3","204"
"99","R_1NeH1J8KEMh5Dd9","standard","99","LP","0.264713485566566","679.975","680.241","680.794","0.819","0.553","3","207"
"100","R_1NeH1J8KEMh5Dd9","standard","100","LP","19.8235243429556","681.798","NaN","691.415","9.617","NaN","0","207"
"101","R_1NeH1J8KEMh5Dd9","standard","101","LP","8.51632916846187","692.419","700.948","701.417","8.998","0.469","3","210"
"102","R_1NeH1J8KEMh5Dd9","standard","102","LP","19.8235243429556","702.42","NaN","711.408","8.988","NaN","0","210"
"103","R_1NeH1J8KEMh5Dd9","standard","103","LP","1.25738905644119","712.418","713.68","714.241","1.823","0.561","3","213"
"104","R_1NeH1J8KEMh5Dd9","standard","104","LP","1.25738905644119","715.242","716.521","716.969","1.727","0.448","3","216"
"105","R_1NeH1J8KEMh5Dd9","standard","105","LP","0.661783713916415","717.984","718.662","719.361","1.377","0.699","3","219"
"106","R_1NeH1J8KEMh5Dd9","standard","106","LP","1.25738905644119","720.368","721.627","722.073","1.705","0.446","3","222"
